"Date","Open","High","Low","Close","Volume"
#2008-01-01#,53.08,53.16,52.56,53.16,3080631
#2008-01-02#,53.08,53.32,52.68,52.92,3698220
#2008-01-03#,53,53.24,52.88,53.12,4579948
#2008-01-04#,52.52,52.68,51.4,51.75,5893793
#2008-01-07#,51.64,51.76,51.28,51.44,3872269
#2008-01-08#,52,52.2,51.32,51.32,8960161
#2008-01-09#,52.32,52.44,51.68,52.44,5196023
#2008-01-10#,51.48,52.28,51.44,52,6399216
#2008-01-11#,51.32,51.4,50.88,51.12,7487833
#2008-01-14#,51.76,51.88,51.4,51.76,4105415
#2008-01-15#,50.68,50.8,49.76,50.32,9592459
#2008-01-16#,49.48,49.76,48.88,49.4,8958702
#2008-01-17#,49.6,49.92,48.6,48.72,8662911
#2008-01-18#,49.84,50.12,49.04,50,8087040
#2008-01-21#,49.84,50.12,49.04,50,8087040
#2008-01-22#,47.08,48.72,46.8,48.16,10838689
#2008-01-23#,46.88,48.36,46.4,48.32,14536526
#2008-01-24#,48.96,49.2,48.56,49.12,29946558
#2008-01-25#,50.64,50.76,49.44,49.88,8287730
#2008-01-28#,49.2,49.92,48.84,49.6,6391868
#2008-01-29#,50.16,50.44,50.04,50.44,4446198
#2008-01-30#,49.72,50.92,49.65,50.2,4513304
#2008-01-31#,50.08,51.2,49.96,50.88,7884621
#2008-02-01#,51.16,51.44,51,51.32,5673866
#2008-02-04#,51.2,51.52,51,51.16,3662077
#2008-02-05#,50.32,50.4,49.36,49.44,6490848
#2008-02-06#,49.4,49.48,48.8,48.8,5288562
#2008-02-07#,48.76,49.36,48.64,49.08,7658793
#2008-02-08#,48.36,48.48,47.64,47.84,4396726
#2008-02-11#,48.32,48.56,47.84,48.32,3868772
#2008-02-12#,48.88,49.28,48.68,49.04,3660752
#2008-02-13#,48.64,48.84,48.36,48.68,4442555
#2008-02-14#,49.88,49.92,49.12,49.16,4858686
#2008-02-15#,49.6,49.76,49.08,49.76,3736509
#2008-02-18#,49.6,49.76,49.08,49.76,3736509
#2008-02-19#,50.72,50.84,50.08,50.24,7146587
#2008-02-20#,48.8,49.48,48.72,49.2,5628605
#2008-02-21#,49.96,50.2,49.44,49.56,3500104
#2008-02-22#,49.88,50.04,49.12,49.96,6407127
#2008-02-25#,50.48,51.08,50.24,51,5071662
#2008-02-26#,50.84,51.68,50.72,51.56,3834759
#2008-02-27#,51.24,51.76,51.08,51.28,10096187
#2008-02-28#,51.04,51.12,50.68,50.72,4022264
#2008-02-29#,50.48,50.52,50.04,50.12,7324936
#2008-03-03#,49.92,50.08,49.64,50.08,7320465
#2008-03-04#,49,49.32,48.4,48.92,7613418
#2008-03-05#,49.32,49.72,49,49.2,7312118
#2008-03-06#,49.44,49.55,48.72,48.76,4220098
#2008-03-07#,48.4,48.64,48.04,48.04,5018697
#2008-03-10#,48.4,48.52,47.8,47.84,5241878
#2008-03-11#,48.96,49.36,48.44,49.25,6376553
#2008-03-12#,49.52,49.72,49.16,49.24,3872818
#2008-03-13#,48.32,49.68,48.04,49.4,15926662
#2008-03-14#,48.6,48.88,46.12,46.12,10181245
#2008-03-17#,46.92,47.92,46.84,47.44,10801953
#2008-03-18#,48.28,48.96,48.16,48.8,8472579
#2008-03-19#,48.56,48.8,47.32,47.32,4257084
#2008-03-20#,47.44,48.52,47.04,48.2,5967116
#2008-03-21#,47.44,48.52,47.04,48.2,5967116
#2008-03-24#,49.4,49.76,49.32,49.68,4020265
#2008-03-25#,49.92,50.4,49.68,50.2,6281140
#2008-03-26#,50.28,50.36,49.68,49.8,6526829
#2008-03-27#,50.16,50.24,49.64,49.64,3585351
#2008-03-28#,50,50.44,49.84,49.84,5587004
#2008-03-31#,49.36,49.8,49.32,49.48,3459818
#2008-04-01#,50.36,50.92,50.28,50.92,3853927
#2008-04-02#,50.88,51.12,50.68,50.84,4209716
#2008-04-03#,50.96,51.36,50.92,51.08,4854883
#2008-04-04#,51.2,51.52,50.92,51.12,3404386
#2008-04-07#,51.8,51.8,51.4,51.48,3249363
#2008-04-08#,50.56,50.84,50.56,50.72,2358403
#2008-04-09#,50.2,50.28,49.88,49.96,5694576
#2008-04-10#,50.08,50.36,49.8,49.8,5775257
#2008-04-11#,50.16,50.48,49.92,50.12,6598416
#2008-04-14#,49.92,50.16,49.76,49.8,3391092
#2008-04-15#,50.16,50.24,49.76,50.16,2661600
#2008-04-16#,51.16,51.76,51.16,51.76,5943481
#2008-04-17#,51.08,51.4,50.88,51,8018447
#2008-04-18#,51.76,52.4,51.6,52.4,5143567
#2008-04-21#,51.88,52.28,51.8,52.24,2892401
#2008-04-22#,51.48,51.56,51.16,51.24,4342613
#2008-04-23#,51.48,51.88,51.28,51.8,2885170
#2008-04-24#,51.4,51.76,50.96,51.4,4904059
#2008-04-25#,52.4,52.56,52.12,52.4,4957142
#2008-04-28#,52.84,53.48,52.76,53.36,7960602
#2008-04-29#,53.2,53.36,52.8,52.88,5294801
#2008-04-30#,52.96,53.52,52.84,53.12,4737584
#2008-05-01#,52.76,53.6,52.72,53.6,4674856
#2008-05-02#,53.76,53.84,53.2,53.48,2999041
#2008-05-05#,53.32,53.68,53.24,53.56,2169145
#2008-05-06#,53.28,53.88,53.24,53.8,3175278
#2008-05-07#,53.88,54.04,53.04,53.12,10361823
#2008-05-08#,53.36,53.56,53.08,53.36,3978138
#2008-05-09#,52.4,52.72,52.36,52.52,4988654
#2008-05-12#,52.4,52.76,52.4,52.72,2874689
#2008-05-13#,52.96,52.96,52.44,52.76,6421077
#2008-05-14#,53.12,53.48,53.12,53.24,6868958
#2008-05-15#,53.84,54.32,53.68,54.28,5379085
#2008-05-16#,54.2,54.64,54.16,54.48,3398046
#2008-05-19#,54.64,54.88,54.36,54.4,5075832
#2008-05-20#,54.28,54.32,53.88,53.92,5171103
#2008-05-21#,53.64,53.76,52.92,52.96,5793506
#2008-05-22#,53.76,53.92,53.48,53.72,3766813
#2008-05-23#,53.72,53.76,53.04,53.28,4241175
#2008-05-26#,53.72,53.76,53.04,53.28,4241175
#2008-05-27#,53.08,53.44,52.84,53.44,4800557
#2008-05-28#,52.76,52.92,52.48,52.84,6747937
#2008-05-29#,52.96,53.56,52.92,53.44,6538302
#2008-05-30#,54.08,54.36,54.04,54.16,6082784
#2008-06-02#,54.52,54.52,54.08,54.28,4256342
#2008-06-03#,54.56,54.72,54,54.24,3767760
#2008-06-04#,54.56,55.16,54.52,54.88,6231871
#2008-06-05#,54.52,55.32,54.52,55.32,4808095
#2008-06-06#,54.28,54.44,53.36,53.36,7114629
#2008-06-09#,53.6,53.8,53.2,53.44,4186567
#2008-06-10#,52.2,52.56,52.16,52.28,5167159
#2008-06-11#,52.28,52.56,51.48,51.52,7622257
#2008-06-12#,51.52,51.76,51.28,51.4,6542551
#2008-06-13#,51.36,52,51.32,51.92,4547768
#2008-06-16#,52.16,52.52,52.06,52.4,5033724
#2008-06-17#,52.88,53,52.6,52.76,2371658
#2008-06-18#,52.48,52.6,52.2,52.2,4843424
#2008-06-19#,51.8,52.08,51.52,52.04,4730292
#2008-06-20#,50.76,50.92,50.26,50.32,6691552
#2008-06-23#,50.6,50.8,50.4,50.68,4776418
#2008-06-24#,50.32,50.76,50.12,50.28,5596167
#2008-06-25#,50.6,51.16,50.56,50.8,6220951
#2008-06-26#,49.96,50.08,49.08,49.52,6686003
#2008-06-27#,49.76,49.96,49.42,49.8,6111136
#2008-06-30#,50.04,50.32,49.88,49.88,6547056
#2008-07-01#,49.6,50.12,49.16,50.08,7092701
#2008-07-02#,49.68,49.82,48.92,49,5777189
#2008-07-03#,49.36,49.48,48.92,49.16,4099747
#2008-07-04#,49.36,49.48,48.92,49.16,4099747
#2008-07-07#,49.2,49.64,48.96,49.16,6692521
#2008-07-08#,48.52,49.04,48.32,48.96,5374457
#2008-07-09#,48.92,49,48.16,48.16,6581595
#2008-07-10#,48.44,48.8,48.16,48.6,6956944
#2008-07-11#,48,48.24,47.52,47.96,6332926
#2008-07-14#,48.64,48.68,48.04,48.28,7356981
#2008-07-15#,47.6,48.04,47.24,47.48,6382051
#2008-07-16#,47.88,48.84,47.8,48.68,6810266
#2008-07-17#,48.88,49.04,48.24,48.44,6000793
