"Date","Open","High","Low","Close","Volume"
#2013-01-01#,69.4,70.53,69.26,70.53,1262813
#2013-01-02#,71.69,72.02,71.595,71.86,2392928
#2013-01-03#,71.98,72.5,71.54,71.73,2433430
#2013-01-04#,71.74,72.37,71.74,72.25,2233094
#2013-01-07#,72.12,72.34,71.8,72.1,1327891
#2013-01-08#,72.08,72.21,71.6,71.89,1622758
#2013-01-09#,72.2,72.88,72.03,72.71,1413021
#2013-01-10#,73.24,73.7,72.9107,73.45,2969625
#2013-01-11#,73.5,73.66,73.18,73.35,1648191
#2013-01-14#,73.44,73.92,73.26,73.72,2467463
#2013-01-15#,73.26,73.54,73.12,73.49,2403911
#2013-01-16#,73.26,73.675,73.04,73.52,1882270
#2013-01-17#,73.94,74.19,73.64,73.8,2518996
#2013-01-18#,73.73,73.81,73.19,73.67,1654225
#2013-01-21#,73.73,73.81,73.19,73.67,1654225
#2013-01-22#,73.57,74.16,73.43,74.02,1614856
#2013-01-23#,74.18,74.23,73.79,74.12,1470672
#2013-01-24#,74.23,74.62,74.015,74.31,1414320
#2013-01-25#,74.15,74.42,73.62,74.18,2291090
#2013-01-28#,73.88,74.18,73.44,74.01,3404335
#2013-01-29#,74.51,74.84,74.05,74.64,2307906
#2013-01-30#,74.44,74.75,74.01,74.14,3299554
#2013-01-31#,74.56,74.56,73.46,73.62,3125416
#2013-02-01#,74.24,75,73.92,74.95,2495901
#2013-02-04#,74.52,74.53,73.8799,74.11,2695408
#2013-02-05#,74.45,74.66,74.13,74.46,2487338
#2013-02-06#,74.33,74.37,74,74.07,2088891
#2013-02-07#,74.07,74.3,72.73,73.02,2703910
#2013-02-08#,73.14,73.38,73.02,73.21,2175467
#2013-02-11#,72.95,73.23,72.66,73.07,1991114
#2013-02-12#,73.12,73.2,72.92,73.01,1368366
#2013-02-13#,72.58,73.54,71.57,71.81,3749658
#2013-02-14#,71.74,71.8,71.19,71.45,2146723
#2013-02-15#,71.67,71.99,71.43,71.73,1824889
#2013-02-18#,71.67,71.99,71.43,71.73,1824889
#2013-02-19#,71.96,73.02,71.83,72.75,4327974
#2013-02-20#,72.66,72.74,71.63,71.72,2757972
#2013-02-21#,71.21,71.36,70.731,71.31,2748953
#2013-02-22#,71.78,71.78,71.01,71.56,2419825
#2013-02-25#,71.79,71.8,70.24,70.34,3218631
#2013-02-26#,70.49,70.49,69.63,70.08,2417265
#2013-02-27#,69.99,71.06,69.92,70.98,2398399
#2013-02-28#,70.93,71.74,70.7,71.32,2501011
#2013-03-01#,70.7,71.31,70.4,71.3,2105471
#2013-03-04#,71.05,71.26,70.71,71.24,2193869
#2013-03-05#,71.44,71.96,71.44,71.65,2536376
#2013-03-06#,71.89,72.01,71.64,71.85,1520558
#2013-03-07#,71.86,71.99,71.57,71.64,2062321
#2013-03-08#,72.44,73.05,71.7645,72.91,4217513
#2013-03-11#,73.16,73.2,72.42,72.86,2292056
#2013-03-12#,72.86,73.33,72.66,73.29,2832936
#2013-03-13#,73.31,73.3995,72.05,72.14,2693166
#2013-03-14#,72.24,72.65,71.801,72.29,3257917
#2013-03-15#,72.43,72.43,71.02,71.19,2532435
#2013-03-18#,70.57,71.09,70.2707,70.5,2706077
#2013-03-19#,71.06,71.61,69.53,70.05,3536726
#2013-03-20#,70.42,71.19,70.2,71.05,4378278
#2013-03-21#,70.92,71.07,70.7001,70.9,2525737
#2013-03-22#,71,71.68,70.96,71.59,2894162
#2013-03-25#,71.97,72.3,71.6,72.24,4660072
#2013-03-26#,72.55,73.58,72.4401,73.53,3768915
#2013-03-27#,73.2,74.51,72.85,74.48,3799660
#2013-03-28#,74.44,74.72,74.15,74.59,1717312
#2013-03-29#,74.44,74.72,74.15,74.59,1717312
#2013-04-01#,74.84,74.84,74.01,74.08,1286620
#2013-04-02#,74.16,75.09,74.1175,74.87,3612038
#2013-04-03#,74.94,75.04,73.38,73.66,4271599
#2013-04-04#,73.78,74.13,73.13,73.5,2897066
#2013-04-05#,72.83,73.95,72.37,73.87,3431880
#2013-04-08#,74.03,74.5,73.74,74.32,2977785
#2013-04-09#,74.77,75.6,74.31,75.35,3936073
#2013-04-10#,75.75,76.59,75.68,76.26,3695860
