"Date","Open","High","Low","Close","Volume"
#2004-01-01#,17.04,17.05,16.86,17,81000
#2004-01-02#,16.98,17.48,16.95,17.33,385000
#2004-01-05#,17.69,18.4,17.61,18.35,1518600
#2004-01-06#,18.4,18.55,17.92,18.2,2891700
#2004-01-07#,18.54,18.54,17.98,18.02,685600
#2004-01-08#,18.15,18.28,17.82,18.23,688100
#2004-01-09#,18.36,18.46,18.05,18.3,1802100
#2004-01-12#,18.62,18.8,18.5,18.73,1860200
#2004-01-13#,18.8,18.81,18.33,18.43,544000
#2004-01-14#,18.43,18.43,17.3,17.94,4543700
#2004-01-15#,17.64,17.91,17.39,17.5,821000
#2004-01-16#,17.32,17.69,17.3,17.57,1554400
#2004-01-19#,17.32,17.69,17.3,17.57,1554400
#2004-01-20#,17.94,18.05,17.8,18.02,1581000
#2004-01-21#,17.84,17.84,17.57,17.7,568000
#2004-01-22#,17.58,17.65,17.34,17.38,2558700
#2004-01-23#,17.4,17.67,17.39,17.62,840000
#2004-01-26#,17.96,18.14,17.78,18.14,1284900
#2004-01-27#,18,18.04,17.73,17.91,860600
#2004-01-28#,18.04,18.04,17.25,17.3,1648000
#2004-01-29#,16.75,16.85,16,16.41,3543200
#2004-01-30#,16.12,16.5,15.8,15.96,1551200
#2004-02-02#,15.74,16.1,15.55,16.08,3695500
#2004-02-03#,16.11,16.5,16.11,16.45,1547500
#2004-02-04#,16.62,16.75,16.02,16.2,2699500
#2004-02-05#,16.17,16.29,15.65,15.7,1530900
#2004-02-06#,15.53,16.29,15.53,16.25,1764800
#2004-02-09#,16.54,16.84,16.25,16.35,658200
#2004-02-10#,16.56,16.6,16.35,16.6,1254000
#2004-02-11#,16.62,17.31,16.48,17.25,1498200
#2004-02-12#,17.3,17.5,17.16,17.33,2452300
#2004-02-13#,17.56,17.56,16.65,16.89,1380000
#2004-02-16#,17.56,17.56,16.65,16.89,1380000
#2004-02-17#,16.85,16.9,16.64,16.84,921300
#2004-02-18#,17,17,16.5,16.56,610500
#2004-02-19#,16.12,16.32,15.75,15.76,880000
#2004-02-20#,15.15,16.1,15,16.1,2513300
#2004-02-23#,15.97,16.14,15.89,15.95,226800
#2004-02-24#,15.95,16.01,15.84,16.01,213000
#2004-02-25#,16.01,16.5,16,16.45,1000400
#2004-02-26#,16.42,16.44,16.14,16.38,403000
#2004-02-27#,16.51,16.74,16.51,16.7,1930000
#2004-03-01#,17.02,17.49,17.02,17.37,1013100
#2004-03-02#,17.25,17.48,17,17.35,501100
#2004-03-03#,17.38,17.38,16.93,17.27,328700
#2004-03-04#,17.2,17.3,16.96,17,288700
#2004-03-05#,17.1,17.31,17,17.19,820700
#2004-03-08#,17.5,17.52,17.16,17.2,595000
#2004-03-09#,17.25,17.26,16.9,17,312700
#2004-03-10#,16.89,17,16.12,16.13,443300
#2004-03-11#,16.18,16.18,15.53,15.59,895400
#2004-03-12#,15.94,16.26,15.94,16.19,560400
#2004-03-15#,16.17,16.17,15.78,15.78,758500
#2004-03-16#,16.07,16.1,15.84,16,384800
#2004-03-17#,16.1,16.27,16.1,16.25,233800
#2004-03-18#,16.31,16.68,16.13,16.61,747800
#2004-03-19#,16.64,16.64,16.4,16.45,230200
#2004-03-22#,16.12,16.25,15.94,15.94,572400
#2004-03-23#,16.12,16.25,15.82,15.95,573000
#2004-03-24#,15.86,15.93,15.57,15.6,358500
#2004-03-25#,15.6,16,15.6,15.67,350200
#2004-03-26#,15.74,16,15.73,15.76,103800
#2004-03-29#,16.15,16.29,16.01,16.15,630900
#2004-03-30#,16.33,16.59,16.21,16.54,428900
#2004-03-31#,16.61,17,16.54,16.8,858300
#2004-04-01#,16.94,17.21,16.94,16.99,815900
#2004-04-02#,17.26,17.31,17.02,17.25,978000
#2004-04-05#,17.15,17.43,17.08,17.33,1039800
#2004-04-06#,17.22,17.36,17.17,17.34,132700
#2004-04-07#,17.08,17.1,16.94,16.94,903500
#2004-04-08#,17.06,17.16,16.86,16.98,80800
#2004-04-09#,17.06,17.16,16.86,16.98,80800
#2004-04-12#,17.06,17.25,16.94,17.1,244800
#2004-04-13#,17.24,17.27,16.8,16.86,201000
#2004-04-14#,16.57,16.65,16.51,16.63,542800
#2004-04-15#,16.47,16.49,15.99,16.13,444600
#2004-04-16#,16.11,16.36,16.1,16.21,738900
#2004-04-19#,16.22,16.27,15.97,16.07,278700
#2004-04-20#,16.04,16.08,15.57,15.57,492000
