"Date","Open","High","Low","Close","Volume"
#2013-01-01#,59.27,61.709,58.9,61.44,2041115
#2013-01-02#,62.61,63.25,62.15,63.25,2146003
#2013-01-03#,63.11,64.51,62.69,62.83,2427680
#2013-01-04#,62.83,64.69,62.61,64.46,1896307
#2013-01-07#,63.9,64.66,63.55,64.41,1898690
#2013-01-08#,64.43,64.77,63.9,64.752,1882482
#2013-01-09#,64.79,64.81,63.54,63.7,2059928
#2013-01-10#,64.37,64.49,62.25,62.77,1723462
#2013-01-11#,62.71,62.98,62.25,62.61,1801370
#2013-01-14#,62.61,63.35,62,62.88,1227686
#2013-01-15#,62.58,64.08,62.15,63.52,1381148
#2013-01-16#,64.2,64.2,62.58,62.69,1148231
#2013-01-17#,62.84,63.33,62.18,62.86,1054642
#2013-01-18#,63.12,63.12,61.99,62.24,2375350
#2013-01-21#,63.12,63.12,61.99,62.24,2375350
#2013-01-22#,62.5,62.81,61.22,61.99,1197903
#2013-01-23#,62.16,62.74,61.73,62.61,960653
#2013-01-24#,63.39,64.25,62.9,63.39,1346210
#2013-01-25#,63.41,66.86,63.41,66.49,2729038
#2013-01-28#,66.59,66.84,65.91,66.66,1688585
#2013-01-29#,66.68,66.77,65.34,66.57,1595232
#2013-01-30#,66.7,66.84,65.44,65.66,1385520
#2013-01-31#,65.32,65.5,64.4,65.25,2170035
#2013-02-01#,65.95,68.09,65.44,67.27,3878882
#2013-02-04#,66.49,66.49,64.82,65.16,4664154
#2013-02-05#,65.42,68.09,65.3,67.5,5181060
#2013-02-06#,66.41,67.94,65.01,65.7,8686085
#2013-02-07#,65.68,66.177,63.11,65.4,3856172
#2013-02-08#,65.5,66.35,65.16,65.65,1791202
#2013-02-11#,65.24,65.49,64.37,64.8,2153193
#2013-02-12#,64.91,65.92,64.785,65.55,2169487
#2013-02-13#,65.7,65.83,64.854,65.47,1871751
#2013-02-14#,64.98,65.43,64.51,65.17,2404110
#2013-02-15#,65.25,65.79,64.23,64.58,2602143
#2013-02-18#,65.25,65.79,64.23,64.58,2602143
#2013-02-19#,64.9,65.13,64.06,64.42,1906627
#2013-02-20#,64.52,64.95,62.82,63.11,1828065
#2013-02-21#,63.27,63.9,62.69,63.76,2904054
#2013-02-22#,63.86,64.64,63.79,64.49,2044996
#2013-02-25#,64.66,64.92,62.031,62.14,2079300
#2013-02-26#,62.28,63.12,61.49,62.82,2228794
#2013-02-27#,63.41,64.92,62.11,64.18,2052012
#2013-02-28#,63.93,64.535,63.19,63.9,2806471
#2013-03-01#,63.5,64.15,62.86,63.74,1788756
#2013-03-04#,63.2,64.51,63.12,64.42,2172615
#2013-03-05#,64.99,66.22,64.82,65.91,3362865
#2013-03-06#,65.89,66.1,64.59,64.95,1731100
#2013-03-07#,64.8,65.41,64.195,64.32,1279546
#2013-03-08#,64.81,65,63.71,64.72,1561742
#2013-03-11#,64.42,65.05,63.93,64.98,1770296
#2013-03-12#,64.75,66,64.51,64.97,1752898
#2013-03-13#,65.14,66.095,64.35,65.75,1499351
#2013-03-14#,65.75,66.5,65.663,66.35,1304106
#2013-03-15#,66.09,66.83,65.65,66.221,1676426
#2013-03-18#,65.32,65.61,64.32,64.44,1494868
#2013-03-19#,64.78,64.86,61.43,62.65,2878353
#2013-03-20#,63.35,63.505,62.79,63.28,1798013
#2013-03-21#,62.79,63.61,61.63,61.93,1846054
#2013-03-22#,62.39,63.06,61.78,62.94,1954712
#2013-03-25#,63.19,63.65,61.96,62.38,1267515
#2013-03-26#,62.78,63.45,61.88,62.09,2001062
#2013-03-27#,61.47,61.68,60.76,60.9,2602408
#2013-03-28#,60.92,60.92,59.5,60.015,2732315
#2013-03-29#,60.92,60.92,59.5,60.015,2732315
#2013-04-01#,60.49,60.91,59.82,60.5,3274497
#2013-04-02#,61.13,62.37,60.61,61.87,3091320
#2013-04-03#,61.82,61.87,60.675,60.8,2498527
#2013-04-04#,60.74,61.75,60.07,61.18,1263181
