"Date","Open","High","Low","Close","Volume"
#2000-01-03#,2.7969,2.8125,2.625,2.6523,1889600
#2000-01-04#,2.6328,2.6563,2.4961,2.5,1691200
#2000-01-05#,2.4961,2.6211,2.4844,2.6055,3872000
#2000-01-06#,2.6172,2.6484,2.5781,2.6055,1435200
#2000-01-07#,2.6055,2.6406,2.5938,2.6016,4795200
#2000-01-10#,2.6094,2.6094,2.5313,2.5352,2587200
#2000-01-11#,2.5313,2.5781,2.5313,2.5547,4742400
#2000-01-12#,2.5391,2.5625,2.4922,2.5059,3872000
#2000-01-13#,2.5039,3.043,2.5039,2.8906,12150400
#2000-01-14#,2.8906,2.9063,2.8047,2.8086,5040000
#2000-01-17#,2.8906,2.9063,2.8047,2.8086,5040000
#2000-01-18#,2.8047,2.8438,2.7734,2.7773,2755200
#2000-01-19#,2.8477,3.1211,2.8359,2.9922,7625600
#2000-01-20#,3.0586,3.1484,3.0156,3.0508,9560000
#2000-01-21#,3.0469,3.0898,3.0156,3.0605,6924800
#2000-01-24#,3.0547,3.0625,2.8438,2.8789,2564800
#2000-01-25#,2.8906,2.9766,2.8672,2.9414,2841600
#2000-01-26#,2.9453,3.0781,2.9414,3.0703,2822400
#2000-01-27#,3.0469,3.1328,2.9688,3.0781,3633600
#2000-01-28#,3.0781,3.0781,2.9219,2.9316,3947200
#2000-01-31#,2.9688,2.9688,2.7148,2.7344,5960000
#2000-02-01#,2.7422,2.9297,2.7422,2.8242,3198400
#2000-02-02#,2.8281,3.0313,2.8242,2.9902,4088000
#2000-02-03#,2.9727,3.1094,2.9727,3.0313,2648000
#2000-02-04#,3.0078,3.0977,2.9883,3.0742,1017600
#2000-02-07#,3.0703,3.0859,3.0078,3.0664,1769600
#2000-02-08#,3.0781,3.1016,2.9883,3.0664,2774400
#2000-02-09#,3.0508,3.0625,2.9922,2.9922,2102400
#2000-02-10#,2.9766,2.9766,2.8828,2.9414,4472000
#2000-02-11#,2.9297,2.9414,2.8984,2.9063,1816000
#2000-02-14#,2.9102,2.9492,2.8984,2.9375,1644800
#2000-02-15#,2.9375,2.9375,2.8594,2.8711,4697600
#2000-02-16#,2.8281,2.8555,2.7969,2.7969,2145600
#2000-02-17#,2.7969,2.8477,2.7109,2.8047,2067200
#2000-02-18#,2.8047,2.8359,2.7578,2.7617,2516800
#2000-02-21#,2.8047,2.8359,2.7578,2.7617,2516800
#2000-02-22#,2.75,2.7578,2.6172,2.6484,2652800
#2000-02-23#,2.625,2.7344,2.6133,2.7168,2182400
#2000-02-24#,2.7344,2.7344,2.625,2.6328,2209600
#2000-02-25#,2.6328,2.707,2.625,2.625,1988800
#2000-02-28#,2.6172,2.6328,2.5264,2.6172,3422400
#2000-02-29#,2.6367,2.8047,2.6055,2.7617,3107200
#2000-03-01#,2.7188,2.8633,2.6914,2.8398,2846400
#2000-03-02#,2.832,2.8398,2.6563,2.6563,3296000
#2000-03-03#,2.6797,2.7813,2.6563,2.7734,4180800
#2000-03-06#,2.75,2.7578,2.6563,2.707,3012800
#2000-03-07#,2.7109,2.7188,2.5547,2.5664,2353600
#2000-03-08#,2.5703,2.5938,2.543,2.5703,1936000
#2000-03-09#,2.5938,2.5938,2.5547,2.5664,2968000
#2000-03-10#,2.5664,2.5664,2.375,2.375,5560000
#2000-03-13#,2.3828,2.3906,2.2813,2.3594,3484800
#2000-03-14#,2.375,2.4063,2.2305,2.2305,4971200
#2000-03-15#,2.2734,2.4844,2.2383,2.4609,11646400
#2000-03-16#,2.5547,2.7813,2.5547,2.7539,16721600
#2000-03-17#,2.625,2.8086,2.5703,2.7305,5323200
#2000-03-20#,2.7695,2.7773,2.6641,2.6875,5425600
#2000-03-21#,2.6914,2.875,2.6563,2.8672,4761600
#2000-03-22#,2.8672,2.9531,2.8359,2.9453,9145600
#2000-03-23#,2.8906,2.9453,2.7969,2.8672,3656000
#2000-03-24#,2.8789,2.9531,2.875,2.9453,820800
#2000-03-27#,2.9844,3,2.8125,2.8125,1136000
#2000-03-28#,2.8516,2.9688,2.8125,2.9141,1667200
#2000-03-29#,2.9141,2.9375,2.9063,2.9258,2126400
#2000-03-30#,2.9297,2.9609,2.8984,2.9297,2200000
#2000-03-31#,2.9063,3.0391,2.9023,2.9922,5968000
#2000-04-03#,2.9844,3.0156,2.8125,2.8242,3328000
#2000-04-04#,2.8477,2.9102,2.7969,2.8438,2745600
#2000-04-05#,2.8438,2.8438,2.6289,2.8047,1156800
#2000-04-06#,2.8164,2.9961,2.8125,2.8984,2457600
#2000-04-07#,2.916,3.0273,2.8984,3.0195,2555200
#2000-04-10#,3,3.2773,3,3.1563,8380800
#2000-04-11#,3.1719,3.1914,3.0781,3.1855,4742400
#2000-04-12#,3.2422,3.6094,3.2422,3.5313,24448000
#2000-04-13#,3.4648,3.6719,3.4375,3.6328,15568000
#2000-04-14#,3.5938,3.7031,3.4922,3.6328,20377600
#2000-04-17#,3.5781,3.625,3.4531,3.6133,14888000
#2000-04-18#,3.6055,3.6152,3.4805,3.5156,6566400
#2000-04-19#,3.5313,3.5313,3.375,3.3906,5542400
#2000-04-20#,3.375,3.418,3.3438,3.3594,4049600
#2000-04-21#,3.375,3.418,3.3438,3.3594,4049600
#2000-04-24#,3.2969,3.7188,3.2891,3.625,9606400
#2000-04-25#,3.6563,3.6953,3.5859,3.6016,7291200
#2000-04-26#,3.5938,3.6719,3.3438,3.4492,2483200
#2000-04-27#,3.3594,3.5859,3.3281,3.5859,2328000
#2000-04-28#,3.5469,3.6797,3.5469,3.6523,3032000
#2000-05-01#,3.6641,3.9922,3.6563,3.9023,18414400
#2000-05-02#,3.8984,3.9844,3.875,3.9219,7476800
#2000-05-03#,3.8516,4.0078,3.8281,3.957,11558400
#2000-05-04#,3.8906,4.1055,3.8672,4.0703,8257600
#2000-05-05#,4.0078,4.125,4.0078,4.1172,4587200
#2000-05-08#,4.1094,4.1797,4.0859,4.1289,2580800
#2000-05-09#,4.1875,4.2227,4.1328,4.207,10184000
#2000-05-10#,4.1719,4.1992,4.0313,4.0703,6844800
#2000-05-11#,4,4.2969,3.9414,4.1914,6652800
#2000-05-12#,4.2422,4.4688,4.2031,4.3359,17140800
#2000-05-15#,4.3008,4.4844,4.2734,4.4258,10867200
#2000-05-16#,4.3906,4.582,4.3906,4.4453,9043200
#2000-05-17#,4.3984,4.4219,4.3047,4.3984,3486400
#2000-05-18#,4.4297,4.4375,4.3125,4.3438,2620800
#2000-05-19#,4.2813,4.3125,4.1094,4.1797,1604800
#2000-05-22#,4.1367,4.1563,3.8125,4.0938,3475200
#2000-05-23#,4.0625,4.2402,3.8828,3.8828,5844800
#2000-05-24#,3.8828,4.0234,3.75,3.9922,4622400
#2000-05-25#,4.0156,4.1875,3.915,3.9453,10820800
#2000-05-26#,3.9063,3.9258,3.6875,3.7109,4249600
#2000-05-29#,3.9063,3.9258,3.6875,3.7109,4249600
#2000-05-30#,3.7266,4.0625,3.7109,3.9336,5720000
#2000-05-31#,3.9023,4.0195,3.8867,3.9453,2475200
#2000-06-01#,3.9453,4.1328,3.9453,4.0859,4814400
#2000-06-02#,4.1406,4.1719,4.0938,4.0938,1691200
#2000-06-05#,4.1016,4.125,3.9219,3.9961,3393600
#2000-06-06#,4.0625,4.0625,3.8281,3.8477,3550400
#2000-06-07#,3.8496,3.9688,3.7266,3.7344,11520000
#2000-06-08#,3.7227,3.7344,3.5938,3.6406,7406400
#2000-06-09#,3.6406,3.6719,3.4219,3.4844,5878400
#2000-06-12#,3.4922,3.4922,2.8281,2.9766,37417600
#2000-06-13#,3.0234,3.4609,3.0156,3.4492,25139200
#2000-06-14#,3.4063,3.4805,3.2188,3.3086,7380800
#2000-06-15#,3.2852,3.3828,3.2031,3.375,7208000
#2000-06-16#,3.3691,3.3789,3.2695,3.2773,2619200
#2000-06-19#,3.293,3.3242,3.0313,3.1992,7529600
#2000-06-20#,3.2227,3.2344,3.125,3.1719,1848000
#2000-06-21#,3.1875,3.1875,3.1094,3.1211,1576000
#2000-06-22#,3.1406,3.1563,3.0625,3.0625,3560000
#2000-06-23#,3.0586,3.1328,2.9688,3.0859,2944000
#2000-06-26#,3.0703,3.2422,3.0625,3.1953,5086400
#2000-06-27#,3.1914,3.4063,3.1875,3.3516,5571200
#2000-06-28#,3.3516,3.4414,3.3242,3.4336,4184000
#2000-06-29#,3.4141,3.4336,3.375,3.4102,7086400
#2000-06-30#,3.4063,3.4258,3.1328,3.1641,4694400
