"Date","Open","High","Low","Close","Volume"
#2006-01-02#,103.35,103.85,103.07,103.39,918300
#2006-01-03#,103.38,103.85,100.94,103.32,2227400
#2006-01-04#,103.32,105.36,103.3,104.84,1783900
#2006-01-05#,104.84,105.05,103.31,103.77,1351000
#2006-01-06#,103.65,103.98,101.51,102.59,1759100
#2006-01-09#,102,103.54,101.8,102.92,1512600
#2006-01-10#,102.92,102.92,101.71,101.99,1210300
#2006-01-11#,102.1,102.45,101.53,101.77,1231300
#2006-01-12#,100.99,101.169,99.6,100.31,1681700
#2006-01-13#,100.5,101.02,99.67,100,782600
#2006-01-16#,100.5,101.02,99.67,100,782600
#2006-01-17#,99.76,99.77,97.47,98.19,1974200
#2006-01-18#,98.19,100.83,97.4,100.62,1780200
#2006-01-19#,100.97,103.22,100.65,102.72,1931900
#2006-01-20#,103.4,103.85,99.53,99.95,2849000
#2006-01-23#,100.58,100.73,98.46,100.26,1414000
#2006-01-24#,100.279,101.55,99.3,101.22,1281300
#2006-01-25#,101.9,102.47,100.4,100.8,1387900
#2006-01-26#,101.5,102.2,101.1401,101.9,1033200
#2006-01-27#,101.85,102.84,100.75,102.46,1023300
#2006-01-30#,102.19,102.79,102,102.22,700900
#2006-01-31#,102.23,102.75,101.12,101.15,1210500
#2006-02-01#,101.2,101.35,99.44,99.74,2145900
#2006-02-02#,99.762,99.96,98.42,98.5,1522200
#2006-02-03#,98,98.69,96.501,98.49,1579700
#2006-02-06#,98.45,98.73,97.83,98.59,753700
#2006-02-07#,98.5,99.17,97.7,98.02,960000
#2006-02-08#,98.75,100.43,98,100.38,1420300
#2006-02-09#,100.45,101.03,99.38,99.55,1031700
#2006-02-10#,99.55,100.22,99.18,99.75,1073400
#2006-02-13#,99.8,102.39,99.8,101.12,1570700
#2006-02-14#,101.2,103.87,101.2,103.7,2046600
#2006-02-15#,103.25,104.5,102.55,104.3,1410700
#2006-02-16#,103.95,104.9,102.76,104.63,1326000
#2006-02-17#,104.7,105.15,103.9101,105.05,1248700
#2006-02-20#,104.7,105.15,103.9101,105.05,1248700
#2006-02-21#,104.92,105.4,104.4,105.04,1784000
#2006-02-22#,105,106.92,105,106.4,2249800
