"Date","Open","High","Low","Close","Volume"
#2003-01-01#,32.95,33,32.67,32.97,486100
#2003-01-02#,32.95,33.03,32.85,33,889900
#2003-01-03#,33,33.38,32.99,33.23,921600
#2003-01-06#,33.47,35.19,33.47,34.9,1873900
#2003-01-07#,34.91,34.91,33.75,33.86,1173400
#2003-01-08#,33.86,33.99,33.54,33.86,805400
#2003-01-09#,33.86,33.86,33.39,33.65,666500
#2003-01-10#,33.4,33.7,33.32,33.48,482600
#2003-01-13#,33.48,33.73,33,33.25,858900
#2003-01-14#,33.5,33.82,33.2,33.56,869900
#2003-01-15#,33.65,33.7,33.15,33.16,913100
#2003-01-16#,33.38,33.4,32.69,32.75,1027700
#2003-01-17#,32.5,32.64,31.95,32,960500
#2003-01-20#,32.5,32.64,31.95,32,960500
#2003-01-21#,32.12,32.38,31.1,31.1,861900
#2003-01-22#,31.11,31.46,30.62,31.26,869700
#2003-01-23#,31.26,32,31.26,31.75,857400
#2003-01-24#,31.55,31.76,31,31.42,1055800
#2003-01-27#,31.3,31.35,30.5,30.53,925800
#2003-01-28#,30.57,31.21,30.5,31.19,794000
#2003-01-29#,30.95,31.51,30.54,31.42,868100
#2003-01-30#,31.14,31.57,30.96,30.96,1544200
#2003-01-31#,30.96,31.37,30.62,31.2,1014200
#2003-02-03#,31.15,31.53,31,31.13,933900
#2003-02-04#,31.3,31.3,30.75,31.01,2598400
#2003-02-05#,31.02,31.02,30.26,30.41,1300800
#2003-02-06#,30.42,30.58,30.15,30.44,629900
#2003-02-07#,30.48,30.48,29.25,29.33,1320300
#2003-02-10#,29.54,29.84,29.31,29.6,1025300
#2003-02-11#,29.6,29.6,28.5,28.6,1002300
#2003-02-12#,28.61,28.61,27.5,27.65,1968700
#2003-02-13#,27.5,29.3,27.04,29.19,1900500
#2003-02-14#,29.45,29.73,28.8,29.24,1217200
#2003-02-17#,29.45,29.73,28.8,29.24,1217200
#2003-02-18#,29.37,29.72,29.25,29.6,1086900
#2003-02-19#,29.55,29.65,29.34,29.6,1348400
#2003-02-20#,29.88,30.36,29.82,30.19,1188500
#2003-02-21#,30.8,31.05,30.21,30.35,1525800
#2003-02-24#,30.1,30.319,29.45,29.59,1549500
#2003-02-25#,29.25,29.9,29.05,29.41,1322200
#2003-02-26#,29.41,29.43,28.71,28.75,1127700
#2003-02-27#,29.05,29.48,29.01,29.32,711500
#2003-02-28#,29.55,29.78,29.25,29.5,985000
#2003-03-03#,29.75,29.97,29.45,29.45,614700
#2003-03-04#,29.65,29.7,29.07,29.17,560100
#2003-03-05#,29.15,29.86,29.07,29.86,979000
#2003-03-06#,29.6,30.05,29.35,30.02,992900
#2003-03-07#,29.4,29.71,29.1,29.5,1224000
#2003-03-10#,29.4,29.55,29.1,29.4,836200
#2003-03-11#,29.45,29.81,28.97,29.05,1321400
#2003-03-12#,29.05,29.32,28.76,29.25,1259200
#2003-03-13#,29.65,29.75,29.19,29.69,697400
#2003-03-14#,29.75,29.9,29.41,29.7,771900
#2003-03-17#,29.78,30.58,29.78,30.3,1252700
#2003-03-18#,30.44,31.11,30.28,30.97,1432100
#2003-03-19#,31.06,31.19,30.73,31.05,761800
#2003-03-20#,31.05,31.18,30.71,30.95,974600
#2003-03-21#,31,31.76,31,31.76,1537100
#2003-03-24#,31.76,31.76,30.75,30.81,846900
#2003-03-25#,31.1,31.75,30.87,31.32,744000
