"Date","Open","High","Low","Close","Volume"
#2012-01-02#,23.95,24.31,23.84,23.84,1744573
#2012-01-03#,24.29,24.55,23.97,23.99,2252232
#2012-01-04#,23.91,24.35,23.81,24.12,1807969
#2012-01-05#,23.91,24.83,23.48,24.74,2859327
#2012-01-06#,24.65,25.12,24.46,24.96,2213328
#2012-01-09#,24.97,25.04,24.64,25.03,1675225
#2012-01-10#,25.32,25.32,24.84,24.99,1609685
#2012-01-11#,24.8,25.05,24.56,24.65,1474521
#2012-01-12#,24.75,24.955,24.41,24.78,1232248
#2012-01-13#,24.59,24.89,24.43,24.71,1572202
#2012-01-16#,24.59,24.89,24.43,24.71,1572202
#2012-01-17#,24.99,25.13,24.6,24.69,1358268
#2012-01-18#,24.75,25.33,24.58,25.16,2451773
#2012-01-19#,25.24,25.8,25.22,25.73,1468359
#2012-01-20#,25.74,25.99,25.51,25.99,1956316
#2012-01-23#,25.92,26.38,25.55,26.03,2513495
#2012-01-24#,25.88,26.22,25.85,26.08,2096435
#2012-01-25#,26.11,26.715,25.98,26.67,2159166
#2012-01-26#,26.82,26.82,26.02,26.28,1425810
#2012-01-27#,26.18,26.64,26.15,26.44,1837076
#2012-01-30#,26.24,26.545,26.1,26.39,1110023
#2012-01-31#,26.59,26.63,26,26.24,1304159
#2012-02-01#,26.47,26.87,26.29,26.65,1607585
#2012-02-02#,26.69,26.79,26.33,26.53,1265199
#2012-02-03#,26.89,27.16,26.645,27,1451287
#2012-02-06#,26.86,27.32,26.81,27.1,1297691
#2012-02-07#,27.01,27.13,26.75,26.77,1645845
#2012-02-08#,26.83,27.05,26.56,26.7,1260409
#2012-02-09#,26.76,26.85,26.41,26.68,1219507
#2012-02-10#,26.48,26.95,26.4,26.93,1497320
#2012-02-13#,27.04,27.21,26.7,27.07,2039722
#2012-02-14#,26.94,27.69,26.87,27.68,2229256
#2012-02-15#,27.99,28.36,27.72,27.81,1976088
#2012-02-16#,27.85,28.27,27.85,28.17,1428099
#2012-02-17#,28.24,28.58,28.19,28.2,1282940
#2012-02-20#,28.24,28.58,28.19,28.2,1282940
#2012-02-21#,28.34,28.5,27.86,28.05,917236
#2012-02-22#,28.01,28.56,28,28.36,1342435
#2012-02-23#,28.65,29.015,28.43,28.72,1355049
#2012-02-24#,28.76,28.995,28.4,28.52,1359565
#2012-02-27#,28.45,29.04,28.44,28.89,2357022
#2012-02-28#,29,29.17,28.7,29.01,2148425
#2012-02-29#,29.22,29.44,28.94,29.17,2986225
#2012-03-01#,29.22,29.52,28.95,29.52,4567508
#2012-03-02#,29.81,30.06,28.84,28.97,6250982
#2012-03-05#,29,29.51,28.81,29.41,3454404
#2012-03-06#,29.11,29.69,29.0112,29.62,3360519
#2012-03-07#,29.78,30.03,29.56,29.93,2080746
#2012-03-08#,30.1,30.17,29.72,30.12,2708937
#2012-03-09#,30.13,30.39,30.01,30.26,1298958
#2012-03-12#,30.19,30.28,29.88,29.91,1824298
#2012-03-13#,30,30.29,29.74,30.29,2322075
#2012-03-14#,30.32,30.42,29.93,30.27,1243118
#2012-03-15#,30.17,30.47,29.89,30.35,1454304
#2012-03-16#,30.33,30.36,29.7,29.73,1863736
#2012-03-19#,29.74,30.16,29.57,30.07,1289488
#2012-03-20#,29.92,30.539,29.92,30.41,2071617
#2012-03-21#,30.44,30.95,30.35,30.92,1735331
#2012-03-22#,30.68,31.33,30.56,31.19,2372326
#2012-03-23#,31.11,31.17,30.41,30.98,3040814
#2012-03-26#,31.58,32.18,31.39,32.11,2284179
#2012-03-27#,32.16,32.27,31.54,31.61,2043696
#2012-03-28#,31.68,31.79,31.08,31.53,1598766
