"Date","Open","High","Low","Close","Volume"
#2017-01-02#,48.27,48.38,47.8,48.05,497395
#2017-01-03#,48.61,49.4684,48.41,49.01,990447
#2017-01-04#,49.25,49.63,49.08,49.56,593427
#2017-01-05#,49.38,50,48.47,48.65,1176141
#2017-01-06#,48.88,49.15,48.26,48.86,972695
#2017-01-09#,48.4,48.89,48.1,48.51,741454
#2017-01-10#,48.72,49.15,48.3,49.01,510875
#2017-01-11#,49.17,49.71,48.8,49.63,870008
#2017-01-12#,49.65,49.65,48.31,49.31,1256976
#2017-01-13#,49.31,50.22,49.31,49.76,684590
#2017-01-16#,49.31,50.22,49.31,49.76,684590
#2017-01-17#,49.69,50.06,49.15,49.53,1108784
#2017-01-18#,49.49,49.97,49.19,49.86,638625
#2017-01-19#,50.04,50.69,49.71,50.33,875270
#2017-01-20#,50.67,51.08,50.09,50.26,1284384
#2017-01-23#,50.59,50.71,49.52,50,875062
#2017-01-24#,50.37,51.16,50.15,50.95,1359938
#2017-01-25#,51.1,51.89,50.95,51.85,1469709
#2017-01-26#,51.81,52.1,51.22,51.54,1447852
#2017-01-27#,51.44,51.67,51.2301,51.44,1159255
#2017-01-30#,51.38,51.38,49.925,50.48,1238093
#2017-01-31#,50.23,50.3132,48.83,49.16,1748244
#2017-02-01#,49.29,49.86,48.81,49.27,1102284
#2017-02-02#,48.95,49.1,47.96,48.19,2063141
#2017-02-03#,48.33,48.86,48.22,48.65,1739958
#2017-02-06#,48.37,48.9,47.9799,48.36,949923
#2017-02-07#,48.62,49.65,48.5,49.59,1881242
#2017-02-08#,49.32,51.17,49.02,50.63,2829582
#2017-02-09#,50.87,51.25,50.56,50.68,1463427
#2017-02-10#,50.95,51.2,50.68,50.96,2306189
#2017-02-13#,51.2,51.82,51.2,51.5,1410619
#2017-02-14#,51.2,51.52,50.79,50.93,1719615
#2017-02-15#,50.79,51.25,50.63,51.2,2007684
#2017-02-16#,51.35,51.58,50.53,50.81,2255261
#2017-02-17#,48.5,50.03,48.18,48.37,5094007
#2017-02-20#,48.5,50.03,48.18,48.37,5094007
#2017-02-21#,48.2,49.21,48.15,48.38,2124087
#2017-02-22#,48.11,48.75,47.915,48.65,1984845
#2017-02-23#,48.89,49.07,46.72,46.78,2350478
#2017-02-24#,46.35,47.73,46.0001,47.72,2410724
#2017-02-27#,47.66,48.02,47.27,47.94,1061306
#2017-02-28#,47.78,47.97,46.32,46.45,1587255
#2017-03-01#,47.2,48.38,47.2,48.09,1465513
#2017-03-02#,47.95,48.16,46.93,47.03,1682781
#2017-03-03#,47.09,47.275,46.37,46.52,1005374
#2017-03-06#,46.04,46.43,45.94,46.15,1071475
#2017-03-07#,46.22,46.49,45.88,46,1186712
#2017-03-08#,46.07,46.37,45.8,45.97,2223072
#2017-03-09#,45.85,45.94,44.78,45.22,2575691
#2017-03-10#,45.53,46.13,45.5,46,1398550
#2017-03-13#,46.05,46.63,45.88,46.22,1020937
#2017-03-14#,45.76,45.92,44.71,45.49,1811658
#2017-03-15#,46.31,47.51,45.95,47.18,1726153
#2017-03-16#,47.28,47.52,46.49,46.92,1103081
#2017-03-17#,47.04,47.13,46.51,46.99,1332756
#2017-03-20#,46.98,47.01,46.49,46.78,873405
#2017-03-21#,46.98,47.16,45.7,45.81,1225421
#2017-03-22#,45.39,46.18,45.355,45.95,1633805
#2017-03-23#,45.91,46.355,45.77,46.08,879482
#2017-03-24#,46.21,46.54,45.42,45.65,1011250
#2017-03-27#,45.65,47.15,44.88,46.97,1807711
#2017-03-28#,46.88,47.52,46.76,47.18,1332586
#2017-03-29#,47.04,47.64,46.99,47.4,812310
#2017-03-30#,47.41,48.37,47.26,48,1632270
#2017-03-31#,47.75,48.6,47.705,48.42,1395316
#2017-04-03#,48.42,48.7,47.48,48.15,1622578
#2017-04-04#,48.18,48.22,47.68,47.83,1488014
#2017-04-05#,48.27,49.11,47.66,47.69,1109305
#2017-04-06#,47.82,49.03,47.66,48.79,1470640
#2017-04-07#,48.63,49.08,48.29,48.64,1014839
#2017-04-10#,48.84,49.42,48.5,49.2,1036421
#2017-04-11#,49.2,49.28,48.58,49.16,946074
#2017-04-12#,48.54,48.74,47.59,47.72,1373961
#2017-04-13#,47.63,47.88,46.91,47,962805
#2017-04-14#,47.63,47.88,46.91,47,962805
#2017-04-17#,47.33,47.96,47.02,47.94,1164784
#2017-04-18#,47.47,47.88,47.36,47.7,1010946
#2017-04-19#,48.36,49.28,47.93,48.08,1534354
#2017-04-20#,48.5,49.43,48.474,49.17,940203
#2017-04-21#,49.32,49.35,48.55,48.66,1086683
#2017-04-24#,49.5,49.85,49.02,49.35,834393
#2017-04-25#,49.84,50.77,49.84,50.6,1326658
#2017-04-26#,50.53,51.62,50.53,51.14,1618281
#2017-04-27#,51.09,51.43,50.7,50.78,993188
#2017-04-28#,50.69,51.34,50.51,50.87,2218110
#2017-05-01#,51.06,51.06,49.5,49.65,2275915
#2017-05-02#,49.92,51.92,49.57,49.97,3474987
#2017-05-03#,49.91,50.47,49.43,50.22,1381042
#2017-05-04#,50.21,50.51,48.33,48.63,2315560
#2017-05-05#,48.8,50.01,48.61,49.98,1217789
#2017-05-08#,49.89,50.09,49.28,49.62,996470
#2017-05-09#,49.67,50.06,48.97,49.14,967146
#2017-05-10#,49.15,49.77,48.96,49.76,964353
#2017-05-11#,49.62,49.8,48.76,49.17,583984
#2017-05-12#,49,49.15,48.8,49.05,750832
#2017-05-15#,49.55,49.99,49.39,49.68,1443266
#2017-05-16#,50,50.14,49.05,49.58,888390
#2017-05-17#,48.93,49.08,48.3,48.34,1106685
#2017-05-18#,48.23,48.83,47.54,48.56,1100544
#2017-05-19#,48.94,49.78,48.32,49.11,1674408
#2017-05-22#,50.43,50.43,48.995,49.11,1048311
#2017-05-23#,49.23,49.48,48.74,49.47,724090
#2017-05-24#,49.42,49.77,48.89,49,1171839
#2017-05-25#,49.12,49.25,47.84,47.89,1626976
#2017-05-26#,47.86,48.21,47.51,48.1,1219659
#2017-05-29#,47.86,48.21,47.51,48.1,1219659
#2017-05-30#,47.86,48.545,47.48,48.3,747233
#2017-05-31#,48.26,48.52,47.73,48.5,1137017
#2017-06-01#,48.75,49.53,48.34,49.3,1198594
