"Date","Open","High","Low","Close","Volume"
#2003-01-01#,28,28.39,27.89,28.12,266700
#2003-01-02#,28.12,28.36,28,28.35,334100
#2003-01-03#,28.4,28.4,28,28.3,151100
#2003-01-06#,28.35,28.49,28.25,28.34,137600
#2003-01-07#,28.3,28.3,27.8,28.01,155200
#2003-01-08#,28,28,27.7,27.85,102800
#2003-01-09#,27.8,27.99,27.75,27.85,86200
#2003-01-10#,28.1,28.1,27.55,27.56,287000
#2003-01-13#,27.6,27.7,27.41,27.41,116900
#2003-01-14#,27.31,27.42,27.08,27.23,154500
#2003-01-15#,27.23,27.29,26.75,26.75,337100
#2003-01-16#,27.05,27.43,27.01,27.16,261400
#2003-01-17#,27.2,27.23,26.9,27,154400
#2003-01-20#,27.2,27.23,26.9,27,154400
#2003-01-21#,27.01,27.12,26.81,27.02,86500
#2003-01-22#,26.95,27.2,26.77,27.1,124400
#2003-01-23#,27.15,27.3,27,27.24,89700
#2003-01-24#,27.24,27.24,27,27.05,129600
#2003-01-27#,27.06,27.06,26.77,26.81,83000
#2003-01-28#,26.8,26.98,26.61,26.98,172100
#2003-01-29#,26.98,27.35,26.9,27.35,121500
#2003-01-30#,27.35,27.83,27.35,27.62,230100
#2003-01-31#,27.6,28.04,27.6,28.04,308900
#2003-02-03#,28,28.15,27.83,27.95,228600
#2003-02-04#,27.85,28.14,27.7,28.08,240700
#2003-02-05#,28.08,28.46,28,28.29,173900
#2003-02-06#,28.2,28.42,28.19,28.3,310300
#2003-02-07#,28.4,28.4,27.88,27.88,218600
#2003-02-10#,27.85,28.25,27.85,28.25,112300
#2003-02-11#,28.15,28.15,27.7,27.9,121700
#2003-02-12#,27.9,28.17,27.8,28.01,158100
#2003-02-13#,28.35,28.42,27.95,28.1,361100
#2003-02-14#,28,28.48,28,28.1,260700
#2003-02-17#,28,28.48,28,28.1,260700
#2003-02-18#,28.15,28.7,28.15,28.5,136600
#2003-02-19#,28.6,28.68,28.48,28.66,123600
#2003-02-20#,28.7,29.35,28.7,28.9,420000
#2003-02-21#,28.9,29.1,28.74,28.95,214000
#2003-02-24#,28.97,28.97,28.69,28.85,119100
#2003-02-25#,28.79,29,28.56,29,142100
#2003-02-26#,28.98,29.15,28.8,29.12,134500
#2003-02-27#,29.2,29.4,29.12,29.4,102200
#2003-02-28#,29.4,29.6,29.29,29.31,348800
#2003-03-03#,29.25,29.43,29,29.33,144200
#2003-03-04#,29.33,29.47,29.09,29.28,222100
#2003-03-05#,28.9,29.35,28.89,29.33,232100
#2003-03-06#,29.45,29.45,29.05,29.2,146500
#2003-03-07#,29.1,29.41,29.02,29.29,136100
#2003-03-10#,29.3,29.3,29.02,29.1,101900
#2003-03-11#,29.05,29.43,29.05,29.38,255000
#2003-03-12#,29.3,29.45,29.2,29.37,120700
#2003-03-13#,29.5,29.81,29.43,29.81,197800
#2003-03-14#,29.85,29.85,29.35,29.48,162200
#2003-03-17#,29.38,29.8,29.38,29.69,279600
#2003-03-18#,29.74,29.95,29.66,29.8,167800
#2003-03-19#,29.75,30.29,29.7,30.2,219000
#2003-03-20#,30.21,30.7,29.95,30.7,201900
#2003-03-21#,30.85,31.13,30.7,31.11,253700
#2003-03-24#,31.1,31.1,30.25,30.47,331700
#2003-03-25#,29.98,30.37,29.8,30.36,170100
#2003-03-26#,30.4,30.48,30.25,30.48,132400
#2003-03-27#,30.4,30.5,30.15,30.45,156100
#2003-03-28#,30.48,30.65,30.4,30.44,175600
#2003-03-31#,30.38,30.67,30.2,30.37,371300
#2003-04-01#,30.34,30.95,30.34,30.95,201900
#2003-04-02#,31,31.3,30.91,31.05,204400
#2003-04-03#,31.05,31.05,30.75,30.9,90800
#2003-04-04#,31,31.14,30.8,30.82,173000
#2003-04-07#,31.07,31.2,30.82,31,134000
#2003-04-08#,30.91,31.05,30.91,30.93,301800
#2003-04-09#,30.95,31.08,30.8,30.93,174000
#2003-04-10#,30.95,31,30.88,30.9,89500
#2003-04-11#,30.95,30.99,30.64,30.85,116600
#2003-04-14#,30.86,31,30.53,30.95,233200
#2003-04-15#,30.95,31,30.76,31,139500
#2003-04-16#,31,31.2,30.94,31.11,221500
#2003-04-17#,31.06,31.22,31.04,31.22,133300
#2003-04-18#,31.06,31.22,31.04,31.22,133300
#2003-04-21#,31.2,31.43,31.1,31.3,142400
#2003-04-22#,31.3,31.73,31.2,31.68,166100
#2003-04-23#,31.6,31.79,31.44,31.75,168000
#2003-04-24#,31.65,31.66,31.45,31.45,124400
#2003-04-25#,31.4,31.4,31.15,31.2,133500
#2003-04-28#,31.16,31.31,31.08,31.14,127700
#2003-04-29#,31.1,31.44,31.02,31.06,227200
#2003-04-30#,31.05,31.11,30.8,30.82,308600
#2003-05-01#,30.75,30.96,30.54,30.78,146000
#2003-05-02#,30.78,31.16,30.78,31.03,156900
#2003-05-05#,31.03,31.29,31,31.23,337200
#2003-05-06#,31.3,31.5,31.28,31.49,201500
#2003-05-07#,31.5,31.85,31.25,31.31,472700
#2003-05-08#,31.2,31.57,31.1,31.48,338700
#2003-05-09#,31.2,31.53,31.11,31.45,624800
#2003-05-12#,31.4,31.88,31.23,31.83,238100
#2003-05-13#,31.85,31.9,31.64,31.65,272800
