"Date","Open","High","Low","Close","Volume"
#2012-01-02#,52.28,52.5,51.97,52.23,1172856
#2012-01-03#,54.07,54.07,52.07,52.34,3658870
#2012-01-04#,52.12,52.72,51.66,52.14,2247244
#2012-01-05#,51.76,51.84,50.67,51.72,2292705
#2012-01-06#,51.73,52.2,51.21,51.57,2061118
#2012-01-09#,51.61,52.03,51.29,51.94,1632368
#2012-01-10#,52.71,53,51.97,52.63,2353553
#2012-01-11#,52.44,52.57,51.73,51.98,2570852
#2012-01-12#,52.04,53.23,51.75,52.89,2019326
#2012-01-13#,52.08,52.77,51,51.37,2384056
#2012-01-16#,52.08,52.77,51,51.37,2384056
#2012-01-17#,52.27,52.66,50.93,51.14,2301865
#2012-01-18#,51.13,52.57,50.97,52.52,2443454
#2012-01-19#,52.8,54.09,52.6,53.7,1963213
#2012-01-20#,53.6,53.92,52.28,52.66,2057517
#2012-01-23#,52.65,53.36,51.93,52.16,2352904
#2012-01-24#,51.59,52.72,51.1,52.22,1736694
#2012-01-25#,52.12,54.16,51.34,53.92,2348107
#2012-01-26#,54.32,55,53.01,53.14,1949731
#2012-01-27#,52.95,53.52,52.78,52.78,2966122
#2012-01-30#,51.83,52.18,50.85,51.98,2391061
#2012-01-31#,52.46,52.82,50.91,51.11,3292182
#2012-02-01#,51.55,52.76,51.4,52.5,1848856
#2012-02-02#,52.52,53.25,52.15,52.71,1726129
#2012-02-03#,53.33,53.465,52.64,53.41,2647415
#2012-02-06#,52.94,54.33,52.62,54.32,1346284
#2012-02-07#,54.09,54.43,53.36,54.23,1720698
#2012-02-08#,54.31,54.77,53.94,54.08,1432006
#2012-02-09#,54.1,54.29,52.79,53.15,1913187
#2012-02-10#,52.58,54.32,52.5,54.01,2929732
#2012-02-13#,53.94,55.1894,53.85,54.36,2777397
#2012-02-14#,54.18,54.55,53.55,53.77,3000585
#2012-02-15#,51.81,52.5799,49.88,51.02,7498271
#2012-02-16#,51,51.55,50.44,51.35,3947910
#2012-02-17#,52.09,52.18,50.92,51.38,3003930
#2012-02-20#,52.09,52.18,50.92,51.38,3003930
#2012-02-21#,51.71,51.85,50.8,51.14,3084048
#2012-02-22#,51.16,52.05,51.07,51.75,3090700
#2012-02-23#,51.7,52.23,51.5,52.1,2467021
#2012-02-24#,52.3,52.73,51.9,52.27,1938591
#2012-02-27#,51.89,51.95,50.98,51.42,2429071
#2012-02-28#,51.59,51.84,50.95,51.31,2357363
#2012-02-29#,51.47,51.79,50.16,50.43,4343348
#2012-03-01#,50.66,51.32,50.5,51.19,1600730
#2012-03-02#,51.08,51.41,50.51,50.62,1923631
#2012-03-05#,50.2,50.88,50.13,50.82,1901943
#2012-03-06#,49.88,50.39,49.37,50.26,3090090
#2012-03-07#,50.32,51.185,50.18,50.77,2679090
#2012-03-08#,51.32,51.88,50.88,51.51,2014076
#2012-03-09#,51.61,52.47,51.43,51.84,1340143
#2012-03-12#,51.71,51.73,50.44,50.79,2191253
#2012-03-13#,50.94,51.86,50.55,51.78,2036696
#2012-03-14#,51.87,51.93,50.78,51.06,1401166
#2012-03-15#,51.05,52.1,50.91,51.7,2416253
#2012-03-16#,52,52.84,51.62,52.34,2943519
#2012-03-19#,52.4,52.48,51.68,52.1,1527807
#2012-03-20#,51.53,51.5991,50.6,51.02,1767551
#2012-03-21#,50.39,50.43,49.53,49.65,2885653
#2012-03-22#,49.15,49.15,47.98,48.26,2875315
#2012-03-23#,48.32,48.82,47.91,48.45,3583669
#2012-03-26#,49.04,49.59,48.57,49.59,2348036
#2012-03-27#,49.7,49.72,49.04,49.05,2647989
#2012-03-28#,48.79,49.14,47.73,48.45,2607205
#2012-03-29#,50.37,50.9,49.39,49.77,4966036
#2012-03-30#,50.51,50.51,49.16,50.42,3443143
#2012-04-02#,50.23,51.03,50.06,50.52,2321754
#2012-04-03#,50.5,50.76,49.64,50.54,2197110
#2012-04-04#,49.84,50.27,49.13,49.31,2272058
#2012-04-05#,49.42,49.74,48.55,48.75,2488232
#2012-04-06#,49.42,49.74,48.55,48.75,2488232
#2012-04-09#,47.99,48.74,47.73,48.07,1603275
#2012-04-10#,48.05,48.23,46.73,46.88,2253406
#2012-04-11#,47.5,48,46.885,47.49,2654147
#2012-04-12#,47.49,48.68,47.49,48.25,1761992
#2012-04-13#,47.94,48.2,46.97,47.12,3477766
#2012-04-16#,47.425,47.56,46.3,46.38,1957811
#2012-04-17#,46.82,47.4,46.63,47.26,1823303
#2012-04-18#,47.06,48.16,46.86,47.84,2406250
#2012-04-19#,47.79,48.47,47.18,47.35,2092213
#2012-04-20#,47.7,48.5,47.28,47.4,2546195
#2012-04-23#,46.42,47.38,45.85,47.23,2005248
#2012-04-24#,47.29,48.01,46.94,47.62,2658930
#2012-04-25#,46.41,47.09,45.46,47.09,7429999
#2012-04-26#,46.96,47.08,46.29,46.92,4996585
#2012-04-27#,47.07,47.175,46.569,47.01,2888023
#2012-04-30#,46.91,47.14,46.32,47,1758667
#2012-05-01#,47.15,47.935,46.68,47.32,2170896
#2012-05-02#,46.97,47.4,46.65,47.23,1899213
#2012-05-03#,47.16,47.16,45.365,45.39,3429423
#2012-05-04#,45,45.11,44.12,44.28,2867122
#2012-05-07#,44.88,44.88,43.34,44.16,3054846
#2012-05-08#,43.67,44.77,42.87,44.59,4042996
#2012-05-09#,43.74,44.68,43.24,44.33,2933344
#2012-05-10#,45.48,45.84,44.64,44.73,3708231
#2012-05-11#,44.25,45.33,44.03,44.84,3398390
#2012-05-14#,44.08,44.26,43.02,43.07,3023421
#2012-05-15#,43.11,43.57,42.1,42.33,1599622
#2012-05-16#,42.5,43.21,42.12,42.12,1899185
#2012-05-17#,42.19,42.81,41.58,41.63,2581768
#2012-05-18#,41.92,42.46,41.15,41.35,2367410
#2012-05-21#,41.53,42.53,41.484,42.4,1878179
#2012-05-22#,42.55,43.27,41.52,41.83,2527411
#2012-05-23#,41.39,42.64,40.91,42.52,1591751
#2012-05-24#,42.72,42.72,41.52,41.99,1183874
#2012-05-25#,41.92,42.34,41.5,41.72,1190735
#2012-05-28#,41.92,42.34,41.5,41.72,1190735
#2012-05-29#,42.18,42.73,41.66,42.04,2186506
#2012-05-30#,41.5,41.56,40.79,41.15,2312826
#2012-05-31#,41.17,41.22,39.76,40.24,3650624
#2012-06-01#,39.35,39.6,38.63,38.71,3541939
#2012-06-04#,39.03,39.09,38.04,38.68,3346769
#2012-06-05#,38.5,39.93,38.46,39.83,2972944
#2012-06-06#,40.08,40.81,39.87,40.81,2188848
#2012-06-07#,41.5,41.91,40.61,40.77,1602856
#2012-06-08#,40.49,40.84,39.67,40.67,2483724
#2012-06-11#,41.14,41.24,40.2,40.24,2022277
#2012-06-12#,40.5,41.26,40.13,41.24,1467140
#2012-06-13#,40.94,41.14,40.07,40.28,1295636
#2012-06-14#,40.4,41.61,40.1,41.48,1955969
#2012-06-15#,41.89,42.14,41.135,42.13,2602549
#2012-06-18#,41.72,41.72,40.79,41.18,2113660
#2012-06-19#,41.54,41.8,41.03,41.27,3346059
#2012-06-20#,41.22,41.5,40.42,40.78,2897959
#2012-06-21#,41.07,41.07,38.58,38.63,3086239
#2012-06-22#,38.83,39.27,38.25,39,2901871
#2012-06-25#,38.47,38.49,37.24,37.72,2333155
#2012-06-26#,37.71,37.93,36.89,37.68,3126603
#2012-06-27#,37.83,38.29,37.5,38.15,2750930
#2012-06-28#,37.88,38.11,37.19,37.78,4214801
#2012-06-29#,39,39.48,38.74,39.23,2753966
#2012-07-02#,39.28,40.18,39.04,40.16,3118721
#2012-07-03#,40.5,41.77,40.45,41.67,1738795
#2012-07-04#,40.5,41.77,40.45,41.67,1738795
#2012-07-05#,41.39,41.58,40.63,41.04,1842905
#2012-07-06#,40.35,40.91,40,40.83,1396489
#2012-07-09#,40.63,41.47,40.39,40.96,1997472
#2012-07-10#,41.25,41.4,39.6165,39.97,1700060
#2012-07-11#,40.05,40.68,39.97,40.4,1469392
#2012-07-12#,39.9,39.9,39.01,39.64,2121505
#2012-07-13#,39.8,40.35,39.8,40.32,1382853
#2012-07-16#,40.19,40.7199,39.785,40.5,1619929
#2012-07-17#,40.77,41.19,40.21,41.14,1420882
#2012-07-18#,40.85,41.71,40.85,41.24,2949802
#2012-07-19#,41.48,42.855,41.43,42.45,2320627
#2012-07-20#,42.31,42.5,41.87,42.09,2426440
#2012-07-23#,41.04,41.34,40.54,40.78,1951792
#2012-07-24#,40.72,40.91,39.78,40.27,2378633
#2012-07-25#,40.51,42.99,40.51,42.68,5462787
#2012-07-26#,44.54,45.54,43.8,45.46,4707489
#2012-07-27#,45.01,47.0915,45.01,46.85,2881815
#2012-07-30#,46.89,47.01,45.735,46.28,2091972
#2012-07-31#,46.15,46.32,44.88,45.12,1918399
#2012-08-01#,45.5,46.42,45.1,46.06,2440722
#2012-08-02#,45.83,46.32,45.07,45.62,2824241
#2012-08-03#,46.56,47.32,46.56,47.2,1754429
#2012-08-06#,47.4,47.52,46.89,47.04,1117885
#2012-08-07#,47.35,48.29,47.34,47.49,1686706
#2012-08-08#,47.1,47.69,46.97,47.5,1761328
#2012-08-09#,47.39,48.02,47.19,47.72,1009229
#2012-08-10#,47.3,48.19,47.24,48.11,1676920
#2012-08-13#,48.03,48.12,47.43,47.67,976979
#2012-08-14#,47.84,48.19,47.42,47.59,1088280
#2012-08-15#,47.43,47.72,47.065,47.26,1284054
#2012-08-16#,47.27,47.89,47.26,47.78,1362763
#2012-08-17#,47.93,48.52,47.78,47.97,1370627
#2012-08-20#,47.79,47.95,46.78,47.02,2214264
#2012-08-21#,47.3,48.16,47.3,47.73,1128680
#2012-08-22#,47.56,47.79,47.055,47.3,1562664
#2012-08-23#,47.15,47.65,46.95,47.49,1278183
#2012-08-24#,47.19,47.39,47.01,47.21,1042104
#2012-08-27#,47.22,47.94,47,47.42,980007
#2012-08-28#,47.18,47.59,47.06,47.31,1221545
#2012-08-29#,47.37,47.605,46.81,47.37,1236925
#2012-08-30#,46.98,47.12,46.09,46.23,1449906
