"Date","Open","High","Low","Close","Volume"
#2018-01-01#,46.33,46.36,46.13,46.17,7854252
#2018-01-02#,47.58,47.78,47.43,47.77,14290869
#2018-01-03#,47.85,48.18,47.81,48.18,13556338
#2018-01-04#,48.35,48.4999,48.245,48.34,11832265
#2018-01-05#,48.35,48.55,48.265,48.54,8112470
#2018-01-08#,48.46,48.77,48.46,48.71,7095118
#2018-01-09#,48.69,48.7,48.47,48.57,13166555
#2018-01-10#,48.61,48.72,48.46,48.62,13534421
#2018-01-11#,48.59,48.96,48.57,48.96,8336277
#2018-01-12#,49.27,49.81,49.12,49.79,17121020
#2018-01-15#,49.27,49.81,49.12,49.79,17121020
#2018-01-16#,50.14,50.36,49.67,49.8,16052709
#2018-01-17#,50.36,50.84,50.33,50.72,16127882
#2018-01-18#,50.9,51.135,50.8,51.07,13353156
#2018-01-19#,51.52,51.93,51.45,51.92,17866173
#2018-01-22#,51.81,52.21,51.77,52.21,12913723
#2018-01-23#,52.77,53.04,52.64,53.03,21382762
#2018-01-24#,53.41,53.685,53.07,53.35,21686425
#2018-01-25#,52.62,52.98,52.32,52.64,19170758
#2018-01-26#,53.69,54,53.58,54,22540076
#2018-01-29#,52.93,53.075,52.77,52.85,21337733
#2018-01-30#,52.22,52.35,51.801,51.98,22685837
#2018-01-31#,52.94,53.02,52.26,52.67,20032589
#2018-02-01#,52.06,52.32,51.78,51.91,20077780
#2018-02-02#,52.03,52.07,51.03,51.07,31571726
#2018-02-05#,51.66,52.01,49.63,49.88,59647110
#2018-02-06#,48.86,51.41,48.8,50.77,75745442
#2018-02-07#,48.6,49.275,48.02,48.06,52692935
#2018-02-08#,47.99,48,46.05,46.05,56718859
#2018-02-09#,45.92,46.48,44.595,46.12,50911758
#2018-02-12#,46.37,47.04,46,46.69,29448093
#2018-02-13#,46.27,46.82,46.16,46.69,18771707
#2018-02-14#,46.75,48.15,46.75,48.11,33366334
#2018-02-15#,49.14,49.67,48.63,49.36,30227996
#2018-02-16#,49.28,49.95,49.16,49.37,22746848
#2018-02-19#,49.28,49.95,49.16,49.37,22746848
#2018-02-20#,48.3,48.64,48.235,48.37,26476819
#2018-02-21#,49.54,50.18,49.01,49.08,24299626
#2018-02-22#,48.97,49.39,48.745,48.78,19719231
#2018-02-23#,49.53,49.745,49.245,49.7,12658829
#2018-02-26#,49.85,50.3593,49.63,50.34,14402221
#2018-02-27#,49.1,49.29,48.195,48.2,33989090
#2018-02-28#,48.1,48.11,47.2,47.22,28171029
#2018-03-01#,47.96,48.24,46.76,47.26,40822841
#2018-03-02#,46.42,47.39,46.15,47.26,25770033
#2018-03-05#,46.43,47.39,46.43,47.25,27696319
#2018-03-06#,48,48.06,47.4,47.62,18763828
#2018-03-07#,47.25,47.56,46.891,47.5,21611797
#2018-03-08#,47.89,47.93,47.47,47.68,17840378
#2018-03-09#,48.33,49.05,48.24,49.01,21871973
#2018-03-12#,49.12,49.29,48.84,49.12,17269798
#2018-03-13#,49.39,49.44,48.315,48.43,25050531
#2018-03-14#,49.07,49.165,48.35,48.71,22768174
#2018-03-15#,49.14,49.35,48.76,49.01,21360960
#2018-03-16#,48.9,49.24,48.875,49.19,19484389
#2018-03-19#,48.84,48.91,48.295,48.57,23984777
#2018-03-20#,49.1,49.42,49.03,49.23,20328979
#2018-03-21#,48.67,49.28,48.57,49,23878202
#2018-03-22#,47.59,47.905,47.09,47.12,43079018
#2018-03-23#,46.91,47.03,45.94,45.97,45993049
#2018-03-26#,47.3,47.82,46.7,47.74,37099831
#2018-03-27#,47.83,47.97,46.8,47.06,29273528
#2018-03-28#,46.61,46.91,46.17,46.65,27992153
#2018-03-29#,46.73,47.47,46.7,47.24,25106545
#2018-03-30#,46.73,47.47,46.7,47.24,25106545
#2018-04-02#,46.82,47.14,45.715,46.21,30455090
#2018-04-03#,46.9,47.005,46.49,46.93,25914075
#2018-04-04#,45.51,46.95,45.46,46.89,29037979
#2018-04-05#,47.05,47.305,46.855,46.99,18442226
#2018-04-06#,46.33,46.84,45.64,45.97,32534012
#2018-04-09#,46.62,47.1,46.27,46.53,27123247
#2018-04-10#,47.76,48.11,47.58,48,28388473
#2018-04-11#,47.84,48.295,47.81,48.06,20761329
#2018-04-12#,47.99,48.36,47.88,48.24,15856291
#2018-04-13#,48.06,48.07,47.43,47.6,20740717
#2018-04-16#,46.76,47.03,46.609,47.01,19320701
#2018-04-17#,46.7,47.15,46.65,47.03,20758372
#2018-04-18#,46.65,47.13,46.59,46.92,25368553
#2018-04-19#,47.46,47.46,46.9,47.08,30350249
#2018-04-20#,46.67,46.74,46.24,46.42,22290829
#2018-04-23#,46.42,46.66,46.23,46.39,12030044
#2018-04-24#,47.45,47.62,46.72,46.97,38221141
#2018-04-25#,46.65,46.73,46.345,46.58,26896575
#2018-04-26#,46.38,46.88,46.28,46.79,22187571
#2018-04-27#,46.71,46.95,46.54,46.87,13885974
#2018-04-30#,47.52,47.545,46.9,46.93,21743872
#2018-05-01#,46.78,46.965,46.24,46.88,25586478
#2018-05-02#,47.12,47.13,46.66,46.75,17749582
#2018-05-03#,46.28,46.63,45.65,46.45,33630533
#2018-05-04#,45.85,46.77,45.78,46.54,21877008
#2018-05-07#,46.24,46.52,46.21,46.29,13757265
#2018-05-08#,47,47.015,46.6,46.97,20170649
#2018-05-09#,47.36,47.48,47.06,47.42,25218505
#2018-05-10#,47.61,48.16,47.57,48.02,28428219
#2018-05-11#,48.24,48.28,47.975,48.16,24765254
#2018-05-14#,48.79,48.925,48.56,48.63,17785485
#2018-05-15#,47.85,47.93,47.585,47.81,21923068
#2018-05-16#,48.26,48.7,48.22,48.6,18166931
#2018-05-17#,48.06,48.225,47.69,47.79,17962034
#2018-05-18#,47.97,48,47.735,47.89,12264779
#2018-05-21#,48.27,48.42,48.09,48.28,11223720
#2018-05-22#,48.25,48.55,47.99,48.03,15770124
#2018-05-23#,47.12,47.58,47.03,47.51,18342269
#2018-05-24#,47.3,47.37,46.77,47.22,14216632
#2018-05-25#,46.99,47.16,46.87,47.12,10649873
#2018-05-28#,46.99,47.16,46.87,47.12,10649873
#2018-05-29#,46.67,46.74,45.895,46.11,30148587
#2018-05-30#,46.03,46.47,45.89,46.32,17373839
#2018-05-31#,46.61,46.98,46.46,46.7,19915804
#2018-06-01#,46.99,47.405,46.99,47.28,23839159
#2018-06-04#,47.83,48.04,47.79,47.97,13899937
#2018-06-05#,48.07,48.15,47.89,48.06,10884179
#2018-06-06#,48.32,48.77,48.19,48.77,15472169
#2018-06-07#,48.91,48.93,48.22,48.47,21809092
#2018-06-08#,47.98,48.29,47.86,48.21,15994345
#2018-06-11#,47.98,48.13,47.94,48.02,13100378
#2018-06-12#,48.09,48.1,47.7,47.96,15549550
#2018-06-13#,47.64,47.76,47.11,47.22,26708744
#2018-06-14#,47.27,47.36,47.02,47.07,17693081
#2018-06-15#,46.52,46.82,46.25,46.81,26379444
#2018-06-18#,46.1,46.37,45.775,46.25,27192280
#2018-06-19#,44.68,45.02,44.46,44.97,30211276
#2018-06-20#,44.87,44.91,44.55,44.72,16730490
#2018-06-21#,44.17,44.2,43.64,43.66,34309858
#2018-06-22#,44.25,44.26,43.99,44.2,18930406
#2018-06-25#,43.41,43.47,42.87,43.25,39162091
#2018-06-26#,43.21,43.43,43.03,43.2,23681245
#2018-06-27#,42.73,42.85,41.9,41.99,35819350
#2018-06-28#,41.905,42.37,41.835,42.36,26722776
#2018-06-29#,42.97,43.16,42.8,42.97,29799325
#2018-07-02#,42.14,42.29,41.81,42.09,29289138
#2018-07-03#,42.56,42.57,42.06,42.08,12393502
#2018-07-04#,42.56,42.57,42.06,42.08,12393502
#2018-07-05#,42.12,42.17,41.67,41.95,22029492
#2018-07-06#,41.83,42.52,41.775,42.34,22655314
#2018-07-09#,42.9,43.25,42.83,43.23,20980528
#2018-07-10#,42.9,43.05,42.68,43.03,20659718
#2018-07-11#,42.25,42.49,41.92,42.16,21451747
#2018-07-12#,42.87,43.03,42.74,42.94,23003372
#2018-07-13#,42.64,42.94,42.57,42.9,16474685
#2018-07-16#,42.47,42.55,42.33,42.41,14458863
#2018-07-17#,41.92,42.44,41.882,42.34,14437968
#2018-07-18#,41.95,42.19,41.745,42.16,19164830
#2018-07-19#,41.52,41.78,41.23,41.4,33097906
#2018-07-20#,41.93,42.4,41.9,42.39,29884023
#2018-07-23#,42.265,42.34,42.18,42.29,13400858
#2018-07-24#,43.52,43.825,43.52,43.67,43350369
#2018-07-25#,43.83,44.32,43.72,44.29,25671670
#2018-07-26#,43.51,43.645,43.34,43.44,22324421
#2018-07-27#,43.49,43.66,43.175,43.43,15788996
#2018-07-30#,43.5,43.6,43.205,43.31,9826478
#2018-07-31#,43.33,43.795,43.15,43.62,30970130
#2018-08-01#,42.78,42.895,42.43,42.65,28691470
#2018-08-02#,41.63,42.18,41.57,42.11,30635129
#2018-08-03#,42,42.24,41.93,42.14,18099252
#2018-08-06#,41.79,41.99,41.69,41.91,13923574
#2018-08-07#,42.8,42.99,42.75,42.84,22857040
#2018-08-08#,42.5,42.71,42.26,42.67,15574839
#2018-08-09#,43.36,43.605,43.24,43.29,22012873
