"Date","Open","High","Low","Close","Volume"
#2010-01-01#,14.6783,14.7456,14.5437,14.5437,44531527
#2010-01-04#,14.6302,15.034,14.563,14.8513,67079850
#2010-01-05#,14.8609,15.0628,14.8513,14.9282,64550557
#2010-01-06#,14.9282,15.0147,14.8417,14.8513,55464835
#2010-01-07#,14.8802,15.8414,14.8321,15.6203,185472210
#2010-01-08#,15.678,16.0433,15.6396,15.9568,115112545
#2010-01-11#,16.1779,16.2259,15.8991,16.1106,76675382
#2010-01-12#,15.9375,16.1827,15.9279,16.1202,64622722
#2010-01-13#,16.1106,16.2644,15.9279,16.1779,65342374
#2010-01-14#,16.1394,16.2163,16.0337,16.0529,57380879
#2010-01-15#,16.0337,16.101,15.7165,15.803,74123574
#2010-01-18#,16.0337,16.101,15.7165,15.803,74123574
#2010-01-19#,15.7165,16.101,15.7068,15.8991,60697341
#2010-01-20#,15.8606,16.0353,15.6972,15.8606,64495581
#2010-01-21#,15.8318,15.8414,15.332,15.3992,99151179
#2010-01-22#,15.9087,16.1106,15.4665,15.4858,162677615
#2010-01-25#,15.8222,15.8895,15.5915,15.7357,75160360
#2010-01-26#,15.6972,16.0529,15.6299,15.7165,78026855
#2010-01-27#,15.6588,15.7549,15.4089,15.6684,76850502
#2010-01-28#,15.7934,15.8126,15.3896,15.5338,79162619
#2010-01-29#,15.5915,15.8606,15.4473,15.4569,81161558
#2010-02-01#,15.5723,15.7068,15.4761,15.6203,56940458
#2010-02-02#,15.6396,16.2932,15.6107,16.1971,115769504
#2010-02-03#,16.1394,16.3701,15.976,16.0337,70778151
#2010-02-04#,15.8414,15.8606,15.3896,15.4185,110098604
#2010-02-05#,15.4185,15.5627,14.6591,15.1782,143503147
#2010-02-08#,15.2166,15.2262,14.8706,14.9955,70486995
#2010-02-09#,15.1493,15.2743,14.8321,14.9955,97580270
#2010-02-10#,14.9667,15.2551,14.8994,15.082,68377072
#2010-02-11#,15.0147,15.1782,14.8802,15.1589,66896741
#2010-02-12#,14.9859,15.1397,14.7552,14.9475,76503068
#2010-02-15#,14.9859,15.1397,14.7552,14.9475,76503068
#2010-02-16#,15.0916,15.4954,15.0724,15.4185,69444725
#2010-02-17#,15.5627,15.5915,15.4377,15.5242,60553867
#2010-02-18#,15.4761,15.6588,15.4569,15.6107,47333498
#2010-02-19#,15.5146,15.6203,15.38,15.5434,65206105
#2010-02-22#,15.6011,15.7068,15.5338,15.6203,44987983
#2010-02-23#,15.5627,15.6876,15.2454,15.332,63371026
#2010-02-24#,15.3608,15.5146,15.2647,15.4954,56650528
#2010-02-25#,15.1493,15.332,15.1013,15.3031,63364411
#2010-02-26#,15.38,15.5242,15.332,15.4377,60564391
#2010-03-01#,15.4761,15.5242,15.2166,15.2839,62798241
#2010-03-02#,15.3031,15.332,15.2166,15.2839,52592566
#2010-03-03#,15.3608,15.6588,15.332,15.4089,83827015
#2010-03-04#,15.4473,15.5338,15.3512,15.4858,47138628
#2010-03-05#,15.5627,15.7357,15.5242,15.7165,65191939
#2010-03-08#,15.7357,15.8318,15.6107,15.6396,53676899
#2010-03-09#,15.6684,15.976,15.6203,15.851,83685538
#2010-03-10#,15.851,15.9664,15.7806,15.8703,67850897
#2010-03-11#,15.851,15.9087,15.6876,15.8414,64907693
#2010-03-12#,15.9424,16.3989,15.8606,16.3797,112875358
#2010-03-15#,16.3605,16.6777,16.2836,16.62,117962947
#2010-03-16#,16.8123,17.4563,16.7738,17.3698,228571003
#2010-03-17#,17.6101,17.687,17.2737,17.341,160499789
#2010-03-18#,17.389,17.5525,17.216,17.4852,88515375
#2010-03-19#,17.6101,17.6294,17.2352,17.3698,114796601
#2010-03-22#,17.168,17.4275,17.1103,17.3698,64948924
#2010-03-23#,17.4563,17.7351,17.4467,17.6197,107580018
#2010-03-24#,17.6486,18.2061,17.5614,17.7351,124256121
#2010-03-25#,17.985,18.0331,17.5525,17.5909,97668366
#2010-03-26#,17.6101,17.9081,17.4756,17.6294,84380439
#2010-03-29#,17.8024,17.8408,17.538,17.687,83921046
#2010-03-30#,17.7543,17.7639,17.5428,17.5909,53168618
#2010-03-31#,17.5044,17.6486,17.4275,17.4948,59216423
#2010-04-01#,17.5621,17.687,17.4756,17.6197,45477999
#2010-04-02#,17.5621,17.687,17.4756,17.6197,45477999
#2010-04-05#,17.7063,17.9273,17.6197,17.812,55884338
#2010-04-06#,17.7351,17.9273,17.6966,17.8793,54106414
#2010-04-07#,17.8504,18.0235,17.6774,17.7832,60464146
#2010-04-08#,17.6774,17.9273,17.5428,17.8408,60592814
#2010-04-09#,17.8697,17.9466,17.687,17.8024,54612664
#2010-04-12#,17.8408,18.2446,17.8216,17.985,71700426
#2010-04-13#,18.0235,18.3887,17.9946,18.2157,92559619
#2010-04-14#,18.4656,18.6483,18.2697,18.6002,81958971
#2010-04-15#,18.6963,18.927,18.6194,18.7444,103121896
#2010-04-16#,18.6867,18.6963,17.9273,18.2349,172384480
#2010-04-19#,17.9177,18.2349,17.9177,18.2061,78156195
#2010-04-20#,18.3022,18.456,18.2446,18.2638,57666466
#2010-04-21#,18.3599,18.4368,18.158,18.2926,58422093
#2010-04-22#,18.1773,18.2734,17.8889,18.2157,73044576
#2010-04-23#,18.1292,18.3599,18.0715,18.3311,57783904
#2010-04-26#,18.4464,18.6194,18.3599,18.5522,65712857
#2010-04-27#,18.4945,18.7348,17.8697,17.9754,109630022
#2010-04-28#,17.9466,18.3503,17.9273,18.2157,85008015
#2010-04-29#,18.3022,18.7348,18.2926,18.7348,70066312
#2010-04-30#,18.706,18.9367,18.0619,18.1292,112133024
#2010-05-03#,18.2349,18.5906,18.2253,18.5137,60157638
#2010-05-04#,18.3215,18.3311,17.639,17.8601,94123631
#2010-05-05#,17.514,17.7735,17.2352,17.3987,106999583
#2010-05-06#,17.3025,17.4467,14.4188,16.6393,182122748
#2010-05-07#,16.8315,17.0045,15.8799,16.2259,165465888
#2010-05-10#,17.341,17.6582,17.1872,17.341,138171294
#2010-05-11#,17.1583,17.6294,17.1295,17.3025,83503793
#2010-05-12#,17.389,17.7832,17.3698,17.7255,67914803
#2010-05-13#,17.6966,17.7159,17.2641,17.3506,64324914
#2010-05-14#,17.2737,17.341,16.7354,16.9565,83715625
#2010-05-17#,16.9276,17.0334,16.4278,16.8796,78755091
#2010-05-18#,17.0334,17.1776,16.3893,16.5624,79499801
#2010-05-19#,16.4086,16.7065,16.101,16.5912,134952218
#2010-05-20#,16.1586,16.1731,15.6203,15.6299,154437290
#2010-05-21#,15.0916,15.7934,15.0436,15.7837,146480615
#2010-05-24#,15.6828,15.7549,15.3512,15.3896,74174424
#2010-05-25#,14.8994,15.3512,14.6591,15.332,122232845
#2010-05-26#,15.7117,15.851,15.3512,15.3896,83279498
#2010-05-27#,15.7837,16.0337,15.5146,16.0144,70118296
#2010-05-28#,16.0144,16.0433,15.5338,15.7165,70389638
#2010-05-31#,16.0144,16.0433,15.5338,15.7165,70389638
#2010-06-01#,15.6107,15.8703,15.3127,15.3608,73127998
#2010-06-02#,15.5338,15.7549,15.332,15.7165,62855841
#2010-06-03#,15.7741,15.8414,15.6011,15.8126,51842311
#2010-06-04#,15.4569,15.4569,14.9571,15.1013,114420039
#2010-06-07#,15.1205,15.1397,14.7744,14.8129,73216071
#2010-06-08#,14.8609,14.9475,14.4668,14.8802,89376550
#2010-06-09#,14.9763,15.0916,14.6302,14.7264,66853556
#2010-06-10#,14.9859,15.2551,14.9186,15.0724,78615829
#2010-06-11#,14.9282,15.0051,14.7744,14.9571,70851680
#2010-06-14#,15.1589,15.2647,14.7552,14.7937,75734324
#2010-06-15#,14.9186,15.2358,14.7648,15.1734,79088321
#2010-06-16#,15.1013,15.4665,15.0147,15.2358,86654923
#2010-06-17#,15.2551,15.3127,15.0436,15.2935,57041089
#2010-06-18#,15.38,15.4281,15.2454,15.332,59328741
#2010-06-21#,15.5819,15.8126,15.4089,15.4761,71221411
#2010-06-22#,15.4665,15.5434,15.1589,15.1782,64982605
#2010-06-23#,15.1493,15.2743,14.7744,14.7937,97574036
#2010-06-24#,14.784,14.8513,14.4214,14.4957,96315696
#2010-06-25#,14.5341,14.563,14.2457,14.3323,134229529
#2010-06-28#,14.3803,14.6158,14.3323,14.4188,60458288
#2010-06-29#,14.1785,14.2169,13.7171,13.9189,114918460
#2010-06-30#,13.9093,14.1208,13.794,13.8612,81575331
#2010-07-01#,13.7747,13.8709,13.3326,13.5729,107077611
