"Date","Open","High","Low","Close","Volume"
#2001-01-01#,26,26.4375,25.875,26.1875,639500
#2001-01-02#,26.25,27,26.125,26.375,698400
#2001-01-03#,26.4375,27.25,25.4375,27,692700
#2001-01-04#,26.75,27.4375,26.1875,27.1875,1177200
#2001-01-05#,27.25,27.25,26.25,26.625,707100
#2001-01-08#,26.375,26.625,25.5,26.5625,450400
#2001-01-09#,26.25,26.9375,26.0625,26.6875,350200
#2001-01-10#,26.4375,26.625,25.5,26.375,572300
#2001-01-11#,26.1875,26.8125,25.3125,26.125,538300
#2001-01-12#,26,26.375,25.6875,26.3125,252100
#2001-01-15#,26,26.375,25.6875,26.3125,252100
#2001-01-16#,26.3125,26.375,25.75,26.125,445500
#2001-01-17#,26.125,26.4375,25.9375,26.0625,359900
#2001-01-18#,25.8125,25.9375,25.4375,25.5,619400
#2001-01-19#,25.625,25.75,24.875,25.625,438300
#2001-01-22#,25.3125,25.5625,24.8125,25.5,397200
#2001-01-23#,25.625,25.625,24.75,24.875,440500
#2001-01-24#,24.75,25.3125,24.625,25.125,416800
#2001-01-25#,25,25.4375,24.625,25.125,405800
#2001-01-26#,25.1875,25.1875,24.625,24.9375,480100
#2001-01-29#,24.7,24.96,24.55,24.75,284000
#2001-01-30#,24.8,25,24.27,25,366800
#2001-01-31#,25,25.48,24.9,25.36,564000
#2001-02-01#,25.61,25.61,25.2,25.29,383400
#2001-02-02#,25.45,25.55,25.1,25.32,608500
#2001-02-05#,25.5,25.86,25.43,25.58,399600
#2001-02-06#,25.58,26,25.57,25.87,387700
#2001-02-07#,26.4,26.4,26.06,26.25,547800
#2001-02-08#,26.26,26.85,26.15,26.37,990200
#2001-02-09#,26.6,26.6,26.13,26.21,345300
#2001-02-12#,26.2,26.55,26.15,26.43,376800
#2001-02-13#,26.5,26.87,26.35,26.77,228000
#2001-02-14#,26.65,27,26.48,26.69,371900
#2001-02-15#,26.57,27.35,26.52,27.16,316900
#2001-02-16#,27.05,27.4,27.05,27.3,331300
#2001-02-19#,27.05,27.4,27.05,27.3,331300
#2001-02-20#,27.05,28.13,27.05,28.06,620400
#2001-02-21#,27.86,28.45,27.86,28.1,455400
#2001-02-22#,28.1,28.1,27.05,27.48,357600
