"Date","Open","High","Low","Close","Volume"
#2004-01-01#,99.57,99.58,98,98.73,2877800
#2004-01-02#,98.8,99.09,96.58,97.13,3042300
#2004-01-05#,97.3,97.94,96.15,97.18,4817700
#2004-01-06#,97.36,97.67,96.38,96.6,4078300
#2004-01-07#,96.76,98.86,96.45,98.63,4457800
#2004-01-08#,98.73,98.98,97.7,98.75,3769100
#2004-01-09#,98.74,98.75,97.29,97.5,3298900
#2004-01-12#,97.6,97.85,96.45,97.78,2844700
#2004-01-13#,97.85,97.95,97.04,97.67,3257500
#2004-01-14#,97.5,99.5,97.46,99.38,4244200
#2004-01-15#,100.4,102,99.95,101.14,8306000
#2004-01-16#,101.15,101.592,100.03,100.48,6035000
#2004-01-19#,101.15,101.592,100.03,100.48,6035000
#2004-01-20#,101.17,101.55,99.6,100.4,3096000
#2004-01-21#,100.3,101.5,99.371,101.5,3296000
#2004-01-22#,101.07,101.87,100.4,100.68,3893900
#2004-01-23#,101.08,101.08,98.79,99.5,3742700
#2004-01-26#,99.42,102.49,99.35,102.28,4096300
#2004-01-27#,102.19,102.75,100.8,101.05,3231600
#2004-01-28#,101.3,101.5,97.7,98.3,4071000
#2004-01-29#,99.25,99.69,97.81,99.4,3872500
#2004-01-30#,99.41,100.43,98.82,99.55,2982100
#2004-02-02#,99.23,100.46,98.47,99.81,3433900
#2004-02-03#,99.77,101.36,99.2,101.15,3663400
#2004-02-04#,101.15,101.2,99.7,99.75,3229500
#2004-02-05#,99.77,100.17,98.43,98.84,2803100
#2004-02-06#,99.29,101.56,99.14,101.34,3196000
#2004-02-09#,101.34,102.47,100.87,101.87,2518600
#2004-02-10#,101.65,102.44,101.43,102.18,2558800
#2004-02-11#,103.6,107.26,103.48,107.09,7277700
#2004-02-12#,107.33,107.8,106.5,107.4,4059000
#2004-02-13#,107.35,107.9,105.03,105.85,4110200
#2004-02-16#,107.35,107.9,105.03,105.85,4110200
#2004-02-17#,106.65,107.82,106.57,106.92,2640500
#2004-02-18#,107.16,108,106.28,106.9,2413600
#2004-02-19#,107.1,107.48,105.56,105.77,2114600
#2004-02-20#,106.35,107,105.4,106.52,2801000
#2004-02-23#,106.57,107.44,105.92,106.67,2724600
#2004-02-24#,105.65,106.2,104,104.32,3548000
#2004-02-25#,104.57,106,104.44,105.82,2810500
#2004-02-26#,105.83,106.49,104.49,106.29,2160000
#2004-02-27#,106.79,107.8,105.61,105.87,3598000
#2004-03-01#,107.3,108,106.71,107.35,2849600
#2004-03-02#,106.9,107.88,106.4,106.4,2993300
#2004-03-03#,106.4,106.76,105.54,106.51,3033000
#2004-03-04#,107.03,108.85,106.83,108.52,3631900
