"Date","Open","High","Low","Close","Volume"
#2004-01-01#,47,47.59,46.65,47.39,355400
#2004-01-02#,47.37,47.97,47.28,47.36,445700
#2004-01-05#,47.5,47.73,47.14,47.43,443300
#2004-01-06#,47.4,47.51,47.02,47.36,358400
#2004-01-07#,47.36,47.43,46.81,46.97,610600
#2004-01-08#,47.07,47.4,46.59,46.9,951600
#2004-01-09#,46.85,46.96,46.51,46.86,901800
#2004-01-12#,46.77,46.95,45.46,46.03,1402000
#2004-01-13#,46.04,46.24,45.25,45.9,667200
#2004-01-14#,45.85,46.09,45.67,45.71,461100
#2004-01-15#,45.71,45.85,45,45.35,753100
#2004-01-16#,45.67,46.93,45.55,46.68,859100
#2004-01-19#,45.67,46.93,45.55,46.68,859100
#2004-01-20#,46.8,46.8,46.01,46.05,454400
#2004-01-21#,46.13,46.4,45.62,46.25,319000
#2004-01-22#,46.5,46.5,45.71,46.06,432400
#2004-01-23#,46,46.04,45.1,45.44,337100
#2004-01-26#,45.2,45.74,45,45.72,415600
#2004-01-27#,45.77,45.96,45.62,45.7,308700
#2004-01-28#,45.71,46.01,45.5,45.6,681900
#2004-01-29#,46.6,47.6,46.2,47.5,1131900
#2004-01-30#,46,48.72,45.8,48.14,1721800
#2004-02-02#,47.95,47.96,47.07,47.3,687300
#2004-02-03#,47.19,47.89,46.73,47.29,487500
#2004-02-04#,46.92,47.74,46.67,47.1,398500
#2004-02-05#,46.9,48.22,46.65,48.05,665200
#2004-02-06#,48.1,49.02,47.95,48.65,639900
#2004-02-09#,48.5,48.58,47.5,47.77,486400
#2004-02-10#,47.7,48.12,47.5,48.12,332400
#2004-02-11#,48.12,48.63,47.91,48.25,569100
#2004-02-12#,48.25,48.53,47.92,48.32,544200
#2004-02-13#,48.33,48.66,48.22,48.37,343500
#2004-02-16#,48.33,48.66,48.22,48.37,343500
#2004-02-17#,48.49,48.9,48.11,48.27,373100
#2004-02-18#,48.4,48.93,48.1,48.51,261200
#2004-02-19#,48.61,48.9,48.25,48.31,322100
#2004-02-20#,48.31,48.31,47.57,47.96,444300
#2004-02-23#,47.88,48.03,47.5,47.8,339300
#2004-02-24#,47.6,47.68,47.23,47.51,295400
#2004-02-25#,47.4,47.73,47.258,47.39,328100
#2004-02-26#,47.44,47.6,47.15,47.45,300400
#2004-02-27#,47.45,47.55,46.99,47.25,436500
#2004-03-01#,47.3,47.44,47.05,47.29,491900
#2004-03-02#,47.29,47.41,46.76,46.83,472700
#2004-03-03#,46.83,47.031,46.57,47.01,489600
#2004-03-04#,47.05,47.52,46.91,47.42,246000
#2004-03-05#,47,48.2,46.98,47.5,315300
#2004-03-08#,47.4,47.53,47.15,47.24,385900
#2004-03-09#,47,47.26,46.25,46.4,555300
#2004-03-10#,46.3,46.45,45.48,45.59,388000
#2004-03-11#,45.65,46.7,45.53,45.54,483900
#2004-03-12#,45.42,47,45.42,46.67,490000
#2004-03-15#,46.63,46.63,45.74,45.74,400100
#2004-03-16#,45.83,46.6,45.8,46.33,377600
#2004-03-17#,46.33,47.1,46.33,47.09,344500
#2004-03-18#,47,47,46.16,46.76,367500
#2004-03-19#,46.59,46.87,46.31,46.55,213900
