"Date","Open","High","Low","Close","Volume"
#2003-01-01#,18.7,18.86,18.47,18.71,570238
#2003-01-02#,18.83,19.4,18.72,19.36,848168
#2003-01-03#,19.28,19.4,19.11,19.22,535791
#2003-01-06#,19.28,19.8,19.16,19.63,1089443
#2003-01-07#,19.5,19.69,19.43,19.48,614185
#2003-01-08#,19.49,19.51,19.24,19.29,724696
#2003-01-09#,19.32,19.61,19.26,19.55,1004572
#2003-01-10#,19.54,19.6,19.28,19.4,590572
#2003-01-13#,19.37,19.54,19.25,19.36,612743
#2003-01-14#,19.3,19.4,19.22,19.39,783916
#2003-01-15#,19.3,19.4,19.02,19.11,619165
#2003-01-16#,19.2,19.34,18.89,18.89,1084703
#2003-01-17#,18.86,19.09,18.65,19.01,487668
#2003-01-20#,18.86,19.09,18.65,19.01,487668
#2003-01-21#,19.07,19.27,18.97,19.03,1119106
#2003-01-22#,18.9,19.14,18.8,18.9,818250
#2003-01-23#,18.95,19.34,18.82,19.33,870988
#2003-01-24#,19.3,19.32,18.79,18.79,744055
#2003-01-27#,18.71,19,18.59,18.73,811500
#2003-01-28#,18.58,18.88,18.46,18.87,770090
#2003-01-29#,18.73,19.03,18.5,18.9,690226
#2003-01-30#,18.92,18.97,18.52,18.57,837915
#2003-01-31#,18.5,19.135,18.49,18.97,865822
#2003-02-03#,19.03,19.222,18.92,19.07,546039
#2003-02-04#,18.82,18.85,18.65,18.74,753958
#2003-02-05#,18.8,19.1,18.61,18.61,638761
#2003-02-06#,18.71,18.8,18.45,18.59,646295
#2003-02-07#,18.61,18.84,18.36,18.41,790216
#2003-02-10#,18.34,18.7,18.25,18.69,500865
#2003-02-11#,18.63,18.81,18.41,18.45,622495
#2003-02-12#,18.61,18.64,18.46,18.5,796534
#2003-02-13#,18.48,19.06,18.38,18.58,684070
#2003-02-14#,18.6,18.96,18.4,18.95,507835
#2003-02-17#,18.6,18.96,18.4,18.95,507835
#2003-02-18#,18.89,19.19,18.8,19.08,732406
#2003-02-19#,19.1,19.15,18.96,19.03,568082
#2003-02-20#,19.15,19.17,18.92,18.94,484027
#2003-02-21#,19.14,19.34,18.85,19.2,743091
#2003-02-24#,19.19,19.2,18.71,18.72,815421
#2003-02-25#,18.31,18.95,18.07,18.9,959064
#2003-02-26#,18.97,18.99,18.64,18.76,533497
#2003-02-27#,18.83,19.21,18.77,19.06,799109
#2003-02-28#,19.13,19.42,19.08,19.2,792683
#2003-03-03#,19.23,19.55,19.11,19.11,619691
#2003-03-04#,19.16,19.19,19.0065,19.0065,563268
#2003-03-05#,18.98,19.26,18.94,19.22,1042020
#2003-03-06#,19.19,19.22,18.88,18.93,845480
#2003-03-07#,18.8,19.08,18.76,18.99,1056635
#2003-03-10#,18.95,18.95,18.3,18.33,1082716
#2003-03-11#,18.6,18.61,18.05,18.25,1669502
#2003-03-12#,18.33,18.34,17.78,17.99,1875660
#2003-03-13#,18.06,18.39,18.04,18.37,1420852
#2003-03-14#,18.39,18.4,18.1,18.2,1918706
#2003-03-17#,18.26,18.65,18.13,18.62,1346046
#2003-03-18#,18.69,18.74,18.31,18.45,1462830
#2003-03-19#,18.5,18.6,18.35,18.58,1018839
#2003-03-20#,18.49,18.79,18.31,18.66,1147996
#2003-03-21#,19,19.17,18.56,19.12,1222152
#2003-03-24#,18.88,18.9,18.62,18.64,2286635
#2003-03-25#,18.7,18.935,18.65,18.87,989807
#2003-03-26#,18.87,18.96,18.66,18.78,710445
#2003-03-27#,18.85,18.85,18.48,18.76,997859
#2003-03-28#,18.6,18.75,18.58,18.68,912850
#2003-03-31#,18.65,18.7,18.38,18.59,1199568
#2003-04-01#,18.66,18.97,18.41,18.95,1460556
#2003-04-02#,19.04,19.29,18.95,19.131,1064162
#2003-04-03#,19.12,19.25,18.78,18.79,772209
#2003-04-04#,18.85,19,18.8,18.94,635030
#2003-04-07#,18.88,19.13,18.57,18.57,1148439
#2003-04-08#,18.58,18.65,18.49,18.57,719762
#2003-04-09#,18.61,18.68,18.08,18.16,980532
#2003-04-10#,18.1,18.75,18.03,18.6,1125572
#2003-04-11#,18.59,18.87,18.45,18.61,698688
#2003-04-14#,18.7,18.9,18.55,18.88,490881
#2003-04-15#,18.85,19.21,18.73,19.12,804800
#2003-04-16#,18.85,19.3,18.83,18.98,1418352
#2003-04-17#,19.1,19.11,18.754,19.03,971681
#2003-04-18#,19.1,19.11,18.754,19.03,971681
#2003-04-21#,19.08,19.08,18.92,19.03,900875
#2003-04-22#,18.94,19.48,18.8,19.47,890319
#2003-04-23#,19.47,19.82,19.28,19.81,1220287
#2003-04-24#,19.6,19.7,19.34,19.54,805848
#2003-04-25#,19.52,19.55,19.27,19.37,448114
#2003-04-28#,19.3,19.75,19.3,19.75,874367
#2003-04-29#,19.75,19.84,19.4,19.651,714769
#2003-04-30#,19.5,19.6,19.24,19.38,1566353
#2003-05-01#,19.28,19.52,19.01,19.44,585445
#2003-05-02#,19.32,19.78,19.26,19.72,577660
#2003-05-05#,19.69,19.81,19.52,19.58,677893
#2003-05-06#,19.63,19.81,19.49,19.76,578123
#2003-05-07#,19.66,19.78,19.54,19.67,432936
#2003-05-08#,19.59,19.6,19.37,19.48,562594
#2003-05-09#,19.5,19.75,19.41,19.66,587044
#2003-05-12#,19.55,19.84,19.49,19.66,447537
#2003-05-13#,19.74,20,19.59,19.83,676264
#2003-05-14#,19.83,19.95,19.702,19.83,546261
#2003-05-15#,19.81,20,19.75,19.94,739936
#2003-05-16#,19.36,20,19.3,19.91,1257256
#2003-05-19#,19.801,19.85,19.51,19.64,760091
#2003-05-20#,19.69,19.79,19.51,19.65,533541
#2003-05-21#,19.545,19.97,19.54,19.84,778659
#2003-05-22#,19.84,19.98,19.73,19.88,599999
#2003-05-23#,19.88,19.98,19.78,19.94,426192
#2003-05-26#,19.88,19.98,19.78,19.94,426192
#2003-05-27#,19.79,20.28,19.79,20.23,940530
#2003-05-28#,20.16,20.3,20.1,20.18,892823
#2003-05-29#,20.07,20.3,20.01,20.18,692765
#2003-05-30#,20.21,20.52,20.13,20.49,1122945
#2003-06-02#,20.46,20.96,20.44,20.83,1479317
#2003-06-03#,20.8,21,20.67,21,799475
#2003-06-04#,20.89,21.28,20.87,21.23,951118
#2003-06-05#,21.17,21.29,21.02,21.29,723553
#2003-06-06#,21.27,21.54,20.98,21.15,1640419
#2003-06-09#,21.03,21.1799,20.73,20.87,533995
#2003-06-10#,20.89,21,20.7279,20.81,797706
#2003-06-11#,20.6,20.95,20.25,20.84,1368054
#2003-06-12#,20.68,20.93,20.58,20.8,939495
#2003-06-13#,20.63,20.84,20.4,20.48,589986
#2003-06-16#,20.54,20.95,20.4,20.92,619338
#2003-06-17#,20.74,20.8299,20.47,20.6,645994
#2003-06-18#,20.59,20.59,20.3,20.35,778681
#2003-06-19#,20.38,20.38,19.83,20.02,1561190
#2003-06-20#,20.161,20.4,19.96,20.39,2170231
#2003-06-23#,20.26,20.38,19.73,19.8,788486
#2003-06-24#,19.85,20.02,19.7,19.87,1065563
#2003-06-25#,19.8,20.03,19.735,19.8,771990
#2003-06-26#,20,20.06,19.72,19.83,559974
#2003-06-27#,18.49,19.59,18.35,19.54,2614408
#2003-06-30#,19.39,19.89,19.315,19.51,1725015
#2003-07-01#,19.55,19.98,19.22,19.95,1280758
#2003-07-02#,19.8,20.04,19.7799,20,892967
#2003-07-03#,19.99,20,19.7,19.93,389988
#2003-07-04#,19.99,20,19.7,19.93,389988
#2003-07-07#,19.96,20.26,19.89,20.26,625570
#2003-07-08#,20.16,20.21,19.95,20.17,540358
#2003-07-09#,20.11,20.17,19.93,20.03,526488
#2003-07-10#,19.99,20.07,19.79,20.02,540251
#2003-07-11#,19.96,20.28,19.96,20.16,514551
#2003-07-14#,20.18,20.67,20.175,20.55,890454
#2003-07-15#,20.64,20.645,20.17,20.25,927375
#2003-07-16#,20.3,20.52,20.2,20.35,1209399
#2003-07-17#,20.18,20.25,19.96,20.15,1231058
#2003-07-18#,20.4,20.76,20.11,20.54,1196252
#2003-07-21#,20.73,20.73,20.21,20.45,855735
#2003-07-22#,20.52,20.79,20.35,20.62,815444
#2003-07-23#,20.67,20.74,20.26,20.51,735079
#2003-07-24#,20.56,20.79,20.36,20.38,511780
#2003-07-25#,20.42,20.89,20.35,20.84,816487
#2003-07-28#,20.8,20.88,20.51,20.54,667580
#2003-07-29#,20.64,20.72,20.313,20.58,589857
#2003-07-30#,20.49,20.65,20.43,20.51,668009
#2003-07-31#,20.51,20.75,20.39,20.48,670062
#2003-08-01#,20.38,20.5,20.06,20.18,666484
#2003-08-04#,20.11,20.25,19.74,20.25,752866
#2003-08-05#,20.09,20.23,19.81,19.88,756037
#2003-08-06#,19.82,20.19,19.78,19.94,654339
#2003-08-07#,20.09,20.1,19.77,20.01,644956
#2003-08-08#,19.99,20.1,19.85,20.05,575509
#2003-08-11#,19.91,20.17,19.9,20.1,690549
#2003-08-12#,20.08,20.2,19.95,20.2,479843
#2003-08-13#,20.2,20.2,19.81,19.89,551936
#2003-08-14#,19.81,20.17,19.8,20.1,538752
#2003-08-15#,20.22,20.27,19.71,20.04,250011
#2003-08-18#,20.09,20.28,20.05,20.19,423708
#2003-08-19#,20.15,20.27,20.02,20.11,384141
#2003-08-20#,20.09,20.34,20.04,20.34,356501
#2003-08-21#,20.2,20.46,20.2,20.26,396306
#2003-08-22#,20.2,20.4,19.87,19.99,558958
#2003-08-25#,19.87,20.04,19.78,20.04,285826
#2003-08-26#,20.03,20.08,19.67,19.88,529566
#2003-08-27#,19.83,19.9,19.71,19.73,423846
#2003-08-28#,19.7,19.89,19.66,19.85,304936
#2003-08-29#,19.9,20,19.76,19.97,297371
#2003-09-01#,19.9,20,19.76,19.97,297371
#2003-09-02#,20,20.3,19.89,20.27,716785
#2003-09-03#,20.28,20.31,20.11,20.21,432744
#2003-09-04#,20.17,20.31,20.07,20.23,366499
#2003-09-05#,20.19,20.36,20.15,20.36,660134
#2003-09-08#,20.3,20.47,20.23,20.43,576310
#2003-09-09#,20.2,20.372,20.12,20.13,636719
#2003-09-10#,20.13,20.25,19.71,19.87,689462
#2003-09-11#,19.83,20.11,19.8,20,688162
#2003-09-12#,20.26,20.35,19.87,20.3,1063781
#2003-09-15#,20.17,20.39,20.128,20.3,804616
#2003-09-16#,20.36,20.54,19.95,20.5,625971
#2003-09-17#,20.4,20.48,20.14,20.15,587390
#2003-09-18#,20.2,20.6,20.15,20.53,879488
#2003-09-19#,20.42,20.71,20.41,20.68,1232511
#2003-09-22#,20.45,20.57,20.13,20.27,934653
#2003-09-23#,20.27,20.4,20.21,20.29,567947
#2003-09-24#,20.38,20.39,19.96,19.98,688896
#2003-09-25#,19.88,20.13,19.85,19.96,580356
#2003-09-26#,19.82,20.09,19.75,20.04,693500
#2003-09-29#,19.99,20.16,19.85,20.118,567802
#2003-09-30#,20.11,20.16,19.79,19.85,788098
#2003-10-01#,19.9,20.5,19.85,20.5,1251897
#2003-10-02#,20.45,20.55,20.19,20.29,610824
#2003-10-03#,20.48,20.58,20.3,20.4,879093
#2003-10-06#,20.41,20.66,20.35,20.62,644601
#2003-10-07#,20.45,20.74,20.31,20.67,540028
#2003-10-08#,20.62,20.74,20.52,20.62,428191
#2003-10-09#,20.67,20.9,20.62,20.69,426699
#2003-10-10#,20.62,20.8,20.484,20.71,512200
#2003-10-13#,20.6,20.9,20.6,20.9,351203
#2003-10-14#,20.9,20.99,20.75,20.97,438827
#2003-10-15#,21.07,21.11,20.57,21.01,1327256
#2003-10-16#,20.95,21.22,20.85,20.98,941018
#2003-10-17#,20.85,21.04,20.74,20.93,727186
#2003-10-20#,20.97,21,20.64,20.76,514668
#2003-10-21#,20.83,21.03,20.64,20.91,700649
#2003-10-22#,20.91,20.94,20.7,20.86,539629
#2003-10-23#,20.66,20.91,20.65,20.8,400052
#2003-10-24#,20.75,20.95,20.66,20.93,517457
#2003-10-27#,20.87,21.54,20.87,21.35,1236223
#2003-10-28#,21.35,21.52,21.28,21.52,767617
#2003-10-29#,21.75,21.76,21.36,21.55,677192
#2003-10-30#,21.65,21.73,21.36,21.6,513014
#2003-10-31#,21.73,21.75,21.5,21.6,836829
#2003-11-03#,21.581,21.86,21.51,21.8,853628
#2003-11-04#,21.73,22,21.59,21.93,733191
#2003-11-05#,21.83,21.98,21.63,21.81,508543
#2003-11-06#,21.89,22.05,21.66,22.04,446289
#2003-11-07#,22.1,22.29,22.01,22.14,917596
#2003-11-10#,22.3,22.3,21.87,21.99,609163
#2003-11-11#,21.91,22.07,21.86,21.97,389593
#2003-11-12#,22.02,22.04,21.78,21.96,602614
#2003-11-13#,21.94,22.11,21.76,21.97,476307
#2003-11-14#,21.91,22,21.7,21.74,329942
#2003-11-17#,21.83,21.83,21.45,21.75,411392
#2003-11-18#,21.69,21.75,21.29,21.32,492677
#2003-11-19#,21.27,21.56,21.24,21.44,788558
#2003-11-20#,21.35,21.37,21.12,21.2,447438
#2003-11-21#,21.17,21.49,21.04,21.29,396858
#2003-11-24#,21.4,21.67,21.38,21.57,478990
#2003-11-25#,21.45,21.83,21.45,21.79,487726
#2003-11-26#,21.68,21.97,21.64,21.97,370021
#2003-11-27#,21.68,21.97,21.64,21.97,370021
#2003-11-28#,21.95,21.99,21.81,21.99,385389
#2003-12-01#,21.83,22.3,21.69,22.19,975667
#2003-12-02#,22.05,22.21,22,22.14,702593
#2003-12-03#,22.08,22.24,21.94,22.17,707251
#2003-12-04#,22.2,22.25,21.9,21.985,407742
#2003-12-05#,22.01,22.04,21.62,21.74,630756
#2003-12-08#,21.7,22.09,21.7,22.07,506525
#2003-12-09#,22.05,22.1,21.755,21.94,348695
#2003-12-10#,21.94,22.01,21.7,21.85,889559
#2003-12-11#,21.99,22.15,21.84,22.15,583913
#2003-12-12#,22.11,22.19,21.9,22.1,376566
#2003-12-15#,22.15,22.24,21.84,21.85,601718
#2003-12-16#,21.92,22.3,21.88,22.28,911201
