"Date","Open","High","Low","Close","Volume"
#2002-01-01#,51.02,51.36,51,51.01,3982300
#2002-01-02#,51.01,51.01,49.4,50.39,7291300
#2002-01-03#,50.15,50.39,49.5,50.05,5186600
#2002-01-04#,50.49,50.97,50.1,50.95,5523200
#2002-01-07#,51.1,51.55,50.53,50.59,6288800
#2002-01-08#,51.1,51.29,50.61,51.1,5172400
#2002-01-09#,51.4,51.65,50.06,50.26,6352600
#2002-01-10#,50.26,51.1,49.75,50.3,6625400
#2002-01-11#,50.55,51.14,50.35,50.46,6278400
#2002-01-14#,50.46,50.55,49.41,49.53,7568100
#2002-01-15#,49.53,50.17,49.15,49.7,6201800
#2002-01-16#,49.65,49.95,49.09,49.09,4163900
#2002-01-17#,48.95,49.04,47.75,48,8933400
#2002-01-18#,48,49,47.75,48.5,5394500
#2002-01-21#,48,49,47.75,48.5,5394500
#2002-01-22#,48.95,49.49,48.31,48.5,4899300
#2002-01-23#,48.65,49,48.25,48.52,4568300
#2002-01-24#,48.7,49.23,47.9,47.99,6254900
#2002-01-25#,47.5,47.51,46.91,47,7529800
#2002-01-28#,47.5,47.88,47.2,47.8,4683700
#2002-01-29#,47.97,48.55,46.9,47,5715100
#2002-01-30#,47,49.35,47,49.07,7776900
#2002-01-31#,49.5,50.2,49.04,50.09,7555000
#2002-02-01#,50,50.15,49.01,49.4,5025800
#2002-02-04#,49.5,50.14,48.8,48.99,6246900
#2002-02-05#,48.99,49.415,48.35,49.1,7221600
#2002-02-06#,49.05,49.35,48.5,48.91,4323100
#2002-02-07#,48.92,49.52,48.51,48.85,4905900
#2002-02-08#,49,49.75,48.56,49.7,4789000
#2002-02-11#,49.52,50.75,49.5,50.5,5716600
#2002-02-12#,50.5,50.9,50.2,50.31,4844800
#2002-02-13#,51,51.73,50.5,51.24,6119500
#2002-02-14#,51.49,51.9,50.85,51.55,5374600
#2002-02-15#,51.55,51.55,50.2,50.52,5947900
#2002-02-18#,51.55,51.55,50.2,50.52,5947900
#2002-02-19#,50.74,51.31,50.3,50.35,5684900
#2002-02-20#,50.78,51.79,50.51,51.71,8007300
#2002-02-21#,51.38,52.1,50.76,51.3,7551200
#2002-02-22#,50.97,51.04,49.8,51,8604300
#2002-02-25#,51.25,52.12,51.08,52.07,8632400
#2002-02-26#,52.1,52.6,50.57,51.51,12246800
#2002-02-27#,52.15,52.25,50.44,50.92,8919700
#2002-02-28#,50.91,51,49.7,50,9268900
#2002-03-01#,50.28,50.5,49.7,50.29,8664600
#2002-03-04#,49,50.15,48.66,49.9,12373700
#2002-03-05#,49.18,49.18,47.1,47.5,14543500
#2002-03-06#,47.75,48.97,47.7,48.7,9741600
#2002-03-07#,49.56,49.6,48,48.4,8834000
#2002-03-08#,48.9,49.4,48.55,48.94,6999200
#2002-03-11#,48.91,48.91,48.09,48.33,6442900
#2002-03-12#,48.1,48.71,47.77,48.35,7512700
#2002-03-13#,47.9,48.71,47.55,48.5,6465400
#2002-03-14#,48.25,48.99,48.2,48.35,4748700
#2002-03-15#,48.35,48.98,47.75,48.92,10340400
#2002-03-18#,49.43,49.43,48.25,48.71,5763700
#2002-03-19#,49.24,49.79,48.93,49.5,6070900
#2002-03-20#,49.3,50.25,49.03,49.64,7084700
#2002-03-21#,49.52,49.64,48.52,49.05,8685000
#2002-03-22#,48.99,49.75,48.54,49.36,5208600
#2002-03-25#,49.15,49.5,48,48.45,5216600
#2002-03-26#,48.2,49.22,48.15,49,7481600
#2002-03-27#,49.1,49.4,48.3,49.26,6815400
#2002-03-28#,49,49.1,48.31,48.61,5981500
#2002-03-29#,49,49.1,48.31,48.61,5981500
#2002-04-01#,48.15,48.8,48.06,48.22,6961800
#2002-04-02#,48.22,48.22,47.25,47.51,6247500
#2002-04-03#,47.66,48.3,46,46.95,7151400
#2002-04-04#,47.25,48.28,47.15,48.15,5382900
#2002-04-05#,48.35,49.09,48.1,48.77,5547500
#2002-04-08#,48.3,49.5,48.3,49.5,4669400
#2002-04-09#,49.5,49.87,49,49.08,5068700
#2002-04-10#,49.16,49.75,48.94,49.74,4372900
#2002-04-11#,49.74,50.29,49.17,49.33,6956500
#2002-04-12#,49.75,50.46,49.49,50.36,5825500
#2002-04-15#,50.15,50.24,49.02,49.2,4793800
#2002-04-16#,49.52,49.85,48.97,49.84,6424500
#2002-04-17#,49.6,49.91,49.11,49.37,3836200
#2002-04-18#,49.6,49.76,48.6,49.52,5226400
#2002-04-19#,49.75,49.9,49.1,49.15,6629500
#2002-04-22#,49.01,49.51,48.51,48.51,7705500
#2002-04-23#,48.52,49.2,48,48.86,6312100
#2002-04-24#,48.87,49.19,48.06,48.17,5576800
#2002-04-25#,48.17,48.9,47.9,48.67,5848800
