"Date","Open","High","Low","Close","Volume"
#2000-01-03#,31.75,31.8125,31.0313,31.2188,815400
#2000-01-04#,30.8125,31,30.5,30.5938,728000
#2000-01-05#,30.5938,30.5938,30.125,30.375,556400
#2000-01-06#,30.4063,30.4063,30,30.2813,590400
#2000-01-07#,30.2188,30.25,29.8125,30.125,816000
#2000-01-10#,30.125,30.3438,30.0625,30.2813,1099000
#2000-01-11#,30.25,30.9063,30.1875,30.5938,966600
#2000-01-12#,30.25,30.4375,29.5313,29.625,857000
#2000-01-13#,29.75,30.0625,29.625,29.75,456400
#2000-01-14#,30,30.375,29.9688,30.3438,2087000
#2000-01-17#,30,30.375,29.9688,30.3438,2087000
#2000-01-18#,30.2188,31.25,30,31.1563,1931000
#2000-01-19#,33.25,35,33,34.6875,4421200
#2000-01-20#,34.6875,36.4375,34,36.25,2368200
#2000-01-21#,36.125,36.125,35.1875,35.6875,2595000
#2000-01-24#,35.7188,36.0313,35.5625,35.6875,1283200
#2000-01-25#,38.5,38.75,37,37.8438,5017000
#2000-01-26#,37.875,38.25,37,37.4375,3005400
#2000-01-27#,37.5313,37.75,37.2188,37.4688,3135000
#2000-01-28#,37.4688,37.5938,35.1875,35.5,21130400
#2000-01-31#,35.125,35.7813,34.5313,35.0938,3028000
#2000-02-01#,35.0938,35.9688,35,35.6563,1882000
#2000-02-02#,35.9375,35.9375,35.375,35.7188,2016800
#2000-02-03#,35.5938,36,35.3125,36,1431000
#2000-02-04#,35.875,35.9063,35.25,35.4688,753000
#2000-02-07#,35.0625,35.4688,34.9688,35.375,1264400
#2000-02-08#,35,36,34.9688,35.6875,1374000
#2000-02-09#,35.5,35.9375,35.125,35.125,1098000
#2000-02-10#,34.9063,35.3125,34.9063,35.0625,1158000
#2000-02-11#,35.0313,35.0313,34.75,35,941000
#2000-02-14#,35.125,35.125,34.3125,34.6563,1137400
#2000-02-15#,34.875,35.0625,34.0313,35.0625,865600
#2000-02-16#,34.8438,34.875,33.9375,34,1008000
#2000-02-17#,34.125,34.125,33.0625,33.4375,959600
#2000-02-18#,34,34.75,33.3438,33.4375,1838200
#2000-02-21#,34,34.75,33.3438,33.4375,1838200
#2000-02-22#,34,34.0313,33.3125,33.8125,1032600
#2000-02-23#,33.5,33.7188,32.9375,33.1875,747600
#2000-02-24#,33.3125,33.375,32.125,32.4063,832200
#2000-02-25#,32.75,34.75,32.3125,34.4688,2004600
#2000-02-28#,34.875,35,34.3438,34.5313,956800
#2000-02-29#,34.5313,34.5313,33.6875,34.0625,842400
#2000-03-01#,34.1875,34.75,34,34.2813,676000
#2000-03-02#,35,35.625,34.2813,35.2188,1161000
#2000-03-03#,35.2188,37.25,35.1875,36.9375,1087200
#2000-03-06#,36.8125,36.8125,35.5,35.5938,838400
#2000-03-07#,35.5625,35.5625,34.0625,34.25,956600
