"Date","Open","High","Low","Close","Volume"
#2009-01-01#,31.0448,31.7017,31.0258,31.2542,4874861
#2009-01-02#,31.3494,33.1773,30.9591,32.9964,5121409
#2009-01-05#,32.8155,33.0154,32.3681,32.825,6984890
#2009-01-06#,33.1487,34.6529,33.1487,34.3102,7207745
#2009-01-07#,33.9103,33.9103,32.5394,32.7965,5698630
#2009-01-08#,32.5775,32.9393,32.1777,32.9393,4360002
#2009-01-09#,33.282,33.282,31.9968,32.5014,5544303
#2009-01-12#,32.3586,32.5014,31.7969,32.1491,4318682
#2009-01-13#,32.0825,32.349,31.2733,31.7778,5114946
#2009-01-14#,31.4161,31.5494,30.169,30.4641,6071289
#2009-01-15#,30.5402,31.2447,29.7501,31.0638,6719316
#2009-01-16#,31.4827,31.6065,30.683,31.359,7131851
#2009-01-19#,31.4827,31.6065,30.683,31.359,7131851
#2009-01-20#,31.2352,31.854,29.9786,30.0166,6844041
#2009-01-21#,30.4926,30.9877,29.6834,30.8354,5430567
#2009-01-22#,30.4736,30.7973,29.7786,30.4355,6645700
#2009-01-23#,29.5787,30.9877,29.493,30.664,5612186
#2009-01-26#,30.6735,31.7398,30.407,31.5874,8730888
#2009-01-27#,31.7588,32.4918,31.5398,32.2824,6535589
#2009-01-28#,32.825,33.5486,32.6727,33.044,6801595
#2009-01-29#,32.6727,32.9488,30.9591,31.1019,9056221
#2009-01-30#,31.1495,32.5966,30.7682,31.2352,8155267
#2009-02-02#,30.7687,30.9115,29.8453,30.3022,7252495
#2009-02-03#,30.5307,30.5355,29.5311,30.169,8390730
#2009-02-04#,30.207,31.7112,30.207,30.7973,7563488
#2009-02-05#,29.8262,31.3209,29.7215,30.9591,7221234
#2009-02-06#,31.3399,32.0349,31.0638,31.835,7526841
#2009-02-09#,31.873,32.0609,31.3304,31.9397,4637015
#2009-02-10#,31.5779,32.0825,30.2166,30.4355,7096101
#2009-02-11#,31.7302,31.9302,30.1785,30.645,5234110
#2009-02-12#,30.169,30.3879,29.3217,30.3403,6925357
#2009-02-13#,30.4546,31.9397,30.2832,31.4732,8268546
#2009-02-16#,30.4546,31.9397,30.2832,31.4732,8268546
#2009-02-17#,30.683,30.8544,29.6454,29.7406,7328203
#2009-02-18#,29.8929,29.8929,28.5982,28.8362,7309649
#2009-02-19#,29.0837,29.4359,28.6934,28.779,7948351
#2009-02-20#,28.3506,28.3506,27.0178,27.4558,10035673
#2009-02-23#,27.8175,27.9318,26.3324,26.4085,11870348
#2009-02-24#,26.4561,27.7604,26.2086,27.3701,11180093
#2009-02-25#,27.589,27.589,26.7322,26.9036,8248546
#2009-02-26#,27.4367,27.4367,26.1325,26.2372,6640467
#2009-02-27#,25.7802,26.4466,25.4946,25.5422,9396453
#2009-03-02#,25.0757,25.19,23.5906,23.762,9064330
#2009-03-03#,24.0476,24.3046,23.4288,23.5145,8018268
#2009-03-04#,24.1333,24.5712,23.7144,24.1428,7639008
#2009-03-05#,23.6192,23.6763,22.5529,22.7624,7343545
#2009-03-06#,22.8576,23.4669,21.9532,22.4673,10762223
#2009-03-09#,22.2578,22.9623,21.9913,22.115,6506292
#2009-03-10#,22.591,24.2285,22.591,24.2094,11390705
#2009-03-11#,24.019,25.7136,24.019,25.3804,10502392
#2009-03-12#,25.3613,26.0563,24.7901,26.0182,7750429
#2009-03-13#,26.2562,26.2562,24.8473,25.6374,6394058
#2009-03-16#,25.8373,26.5799,25.7136,25.7612,5331997
#2009-03-17#,25.7421,26.2372,25.3994,26.2372,4077428
#2009-03-18#,26.1991,27.0273,25.5137,26.9893,8451847
#2009-03-19#,27.2939,27.3034,26.5609,26.6846,5528347
#2009-03-20#,26.7513,26.875,25.4375,25.6565,8844676
#2009-03-23#,26.2562,27.551,26.1039,27.551,5231164
#2009-03-24#,27.3034,27.9984,27.1321,27.551,5790723
#2009-03-25#,27.9413,28.7139,26.9417,27.5605,8537654
#2009-03-26#,27.9222,28.9599,27.7033,28.9599,6643471
#2009-03-27#,28.6077,28.7886,27.7318,27.8461,6003403
#2009-03-30#,27.332,27.332,26.1801,26.4752,7401391
#2009-03-31#,26.6465,27.1035,26.1801,26.5228,6825990
#2009-04-01#,26.4085,27.1511,26.1229,26.9512,7567185
#2009-04-02#,27.808,29.731,27.6271,29.1027,10214535
#2009-04-03#,29.0646,29.493,28.3792,28.7505,6310606
#2009-04-06#,28.6077,28.7505,27.4272,28.3602,8063244
#2009-04-07#,28.0841,28.5601,27.5034,27.8842,7223270
#2009-04-08#,28.0555,28.3602,27.7414,28.1983,4672109
#2009-04-09#,28.8266,29.6168,28.6077,29.5502,6409678
#2009-04-10#,28.8266,29.6168,28.6077,29.5502,6409678
#2009-04-13#,29.3502,29.3502,28.0746,28.8171,6639907
#2009-04-14#,28.4744,29.186,28.303,28.76,4523332
#2009-04-15#,28.779,29.6263,28.6553,29.1979,8048246
#2009-04-16#,29.4454,30.207,29.0837,29.9786,4999701
#2009-04-17#,30.0166,30.4641,29.6834,29.9786,7656524
#2009-04-20#,29.5121,29.8167,28.3221,28.3602,6250805
#2009-04-21#,28.3602,29.1884,27.8937,29.0932,6145482
#2009-04-22#,29.1218,30.921,28.741,30.169,9135295
#2009-04-23#,30.3498,30.9972,29.7786,30.8258,7945018
#2009-04-24#,30.0071,30.4641,28.9409,29.9405,17018353
#2009-04-27#,29.0646,29.7215,28.7314,28.8457,12356247
#2009-04-28#,28.5601,28.5601,27.9318,28.0174,8014262
#2009-04-29#,28.6077,29.8358,28.5601,29.4169,6919151
#2009-04-30#,30.0642,30.4784,29.4359,29.712,7949747
#2009-05-01#,29.6739,30.3594,29.3883,30.1118,5327526
#2009-05-04#,30.5307,30.7211,29.731,30.0071,11187620
#2009-05-05#,30.0642,30.5593,29.9786,30.1594,6761331
#2009-05-06#,31.2257,31.9587,30.7021,31.873,11932459
#2009-05-07#,32.073,32.3014,31.1876,31.5208,10393620
#2009-05-08#,31.9873,33.2344,31.6826,33.0535,8884328
#2009-05-11#,32.6442,32.825,31.7683,32.0254,6793539
