"Date","Open","High","Low","Close","Volume"
#2003-01-01#,8.927,8.975,8.758,8.819,1294220
#2003-01-02#,8.929,9.133,8.819,8.937,1476848
#2003-01-03#,8.902,8.98,8.674,8.78,1877068
#2003-01-06#,8.815,8.891,8.77,8.799,2013076
#2003-01-07#,8.772,8.772,8.388,8.451,3580752
#2003-01-08#,8.492,8.525,8.376,8.376,1178720
#2003-01-09#,8.38,8.603,8.378,8.564,1011584
#2003-01-10#,8.525,8.643,8.425,8.486,893256
#2003-01-13#,8.515,8.627,8.462,8.482,1322520
#2003-01-14#,8.511,8.531,8.376,8.443,1362044
#2003-01-15#,8.466,8.486,8.231,8.235,2145548
#2003-01-16#,8.235,8.273,8.086,8.164,2038732
#2003-01-17#,8.157,8.402,8.127,8.315,1660572
#2003-01-20#,8.157,8.402,8.127,8.315,1660572
#2003-01-21#,8.313,8.368,8.274,8.341,1440500
#2003-01-22#,8.294,8.327,8.108,8.166,1457968
#2003-01-23#,8.159,8.166,8.072,8.108,1284900
#2003-01-24#,8.117,8.117,7.8,7.919,2698076
#2003-01-27#,7.919,7.978,7.804,7.928,1144888
#2003-01-28#,7.933,8.031,7.79,8.002,1433980
#2003-01-29#,8.002,8.129,7.808,8.123,1074552
#2003-01-30#,8.123,8.153,7.804,7.841,1690008
#2003-01-31#,7.841,8.017,7.747,7.943,1210980
#2003-02-03#,8.033,8.055,7.906,7.921,1302852
#2003-02-04#,7.902,7.918,7.688,7.688,1502236
#2003-02-05#,7.722,7.741,6.971,7.09,5871680
#2003-02-06#,7.126,7.663,7.102,7.663,6718176
#2003-02-07#,7.565,7.716,7.241,7.322,2898116
#2003-02-10#,7.32,7.575,7.273,7.479,2042292
#2003-02-11#,7.502,7.522,7.247,7.296,1572788
#2003-02-12#,7.279,7.373,7.041,7.087,2401748
#2003-02-13#,7.096,7.155,6.961,7.018,1665676
#2003-02-14#,7.106,7.106,6.697,6.853,5547788
#2003-02-17#,7.106,7.106,6.697,6.853,5547788
#2003-02-18#,6.859,7.267,6.84,7.153,2392800
#2003-02-19#,7.153,7.23,6.953,7.153,2501740
#2003-02-20#,7.187,7.5,7.187,7.357,2713036
#2003-02-21#,7.351,7.639,7.349,7.563,2400156
#2003-02-24#,7.643,7.643,7.365,7.398,1861524
#2003-02-25#,7.424,7.665,7.255,7.612,1627752
#2003-02-26#,7.604,7.639,7.412,7.498,1763544
#2003-02-27#,7.522,7.741,7.457,7.688,1779336
#2003-02-28#,7.749,7.851,7.649,7.839,2502644
#2003-03-03#,7.957,8.016,7.849,7.976,4059616
#2003-03-04#,8.104,8.231,7.976,8.229,6439708
#2003-03-05#,8.229,8.474,8.221,8.394,4555088
#2003-03-06#,8.349,8.357,8.072,8.225,2714652
#2003-03-07#,8.202,8.29,8.119,8.262,1398388
#2003-03-10#,8.26,8.26,8.066,8.112,1728708
#2003-03-11#,8.102,8.229,8.078,8.202,2038580
#2003-03-12#,8.202,8.28,8.055,8.162,1658004
#2003-03-13#,8.241,8.396,8.174,8.384,2403140
#2003-03-14#,8.411,8.507,8.355,8.454,2217668
#2003-03-17#,8.437,8.67,8.406,8.521,2516020
#2003-03-18#,8.517,8.588,8.425,8.507,1988008
#2003-03-19#,8.507,8.596,8.384,8.492,1594440
#2003-03-20#,8.478,8.574,8.255,8.511,1738468
#2003-03-21#,8.531,8.629,8.49,8.613,1228720
#2003-03-24#,8.574,8.574,8.349,8.431,1985568
#2003-03-25#,8.417,8.809,8.362,8.709,1364408
#2003-03-26#,8.67,8.86,8.658,8.811,1352952
#2003-03-27#,8.75,8.905,8.615,8.807,1063088
#2003-03-28#,8.764,8.892,8.701,8.888,1743436
#2003-03-31#,8.799,8.878,8.627,8.839,1517668
#2003-04-01#,8.893,8.893,8.739,8.842,1583700
#2003-04-02#,8.839,9.111,8.731,9.068,3190192
#2003-04-03#,9.064,9.089,8.733,8.85,2942864
#2003-04-04#,8.823,8.856,8.253,8.47,8110300
#2003-04-07#,8.505,8.652,8.478,8.519,1953100
#2003-04-08#,8.545,8.545,8.337,8.433,1433100
#2003-04-09#,8.407,8.576,8.407,8.476,1603784
#2003-04-10#,8.456,8.619,8.455,8.611,1465044
#2003-04-11#,8.664,8.672,8.319,8.433,1146452
#2003-04-14#,8.429,8.488,8.343,8.48,1603020
#2003-04-15#,8.472,8.523,8.394,8.505,1288636
#2003-04-16#,8.554,8.57,8.306,8.327,2218876
#2003-04-17#,8.137,8.388,8.137,8.221,2761180
#2003-04-18#,8.137,8.388,8.137,8.221,2761180
#2003-04-21#,8.206,8.319,8.172,8.231,2164020
#2003-04-22#,8.231,8.388,8.162,8.351,2151612
#2003-04-23#,8.456,8.466,8.308,8.339,1830612
#2003-04-24#,8.288,8.329,8.133,8.182,1890060
#2003-04-25#,8.18,8.215,8.014,8.206,1335224
#2003-04-28#,8.219,8.566,8.184,8.388,1596180
#2003-04-29#,8.388,8.515,8.351,8.392,1542372
#2003-04-30#,8.407,8.515,8.321,8.451,1308156
#2003-05-01#,8.447,8.831,8.433,8.799,3595976
#2003-05-02#,8.819,8.988,8.799,8.983,1412512
#2003-05-05#,8.946,8.972,8.805,8.87,2086924
#2003-05-06#,9.015,9.713,9.015,9.687,10258736
#2003-05-07#,9.628,9.85,9.479,9.692,4895964
#2003-05-08#,9.664,9.672,9.356,9.358,3179556
#2003-05-09#,9.34,9.632,9.34,9.574,1457164
#2003-05-12#,9.558,9.701,9.505,9.677,2176516
#2003-05-13#,9.672,9.799,9.574,9.691,1753056
#2003-05-14#,9.707,9.715,9.484,9.583,948116
#2003-05-15#,9.57,9.799,9.57,9.791,1820536
#2003-05-16#,9.762,9.791,9.662,9.683,1452056
#2003-05-19#,9.652,9.701,9.262,9.334,1568544
#2003-05-20#,9.288,9.313,9.154,9.201,1747408
#2003-05-21#,9.254,9.26,9.05,9.211,1942496
#2003-05-22#,9.348,9.642,9.303,9.574,2177668
#2003-05-23#,9.53,9.599,9.376,9.583,1180648
#2003-05-26#,9.53,9.599,9.376,9.583,1180648
#2003-05-27#,9.595,9.689,9.503,9.646,1390536
#2003-05-28#,9.652,9.699,9.548,9.591,1406404
#2003-05-29#,9.603,9.699,9.554,9.575,1026672
#2003-05-30#,9.585,9.699,9.554,9.634,955896
#2003-06-02#,9.64,9.697,9.55,9.599,1374464
#2003-06-03#,9.566,9.777,9.515,9.74,1322904
#2003-06-04#,9.77,9.864,9.715,9.775,2073208
#2003-06-05#,9.809,9.965,9.744,9.907,1394108
#2003-06-06#,9.916,10.071,9.744,9.746,1808004
#2003-06-09#,9.779,9.785,9.56,9.603,1066284
#2003-06-10#,9.632,9.666,9.54,9.601,1125792
#2003-06-11#,9.603,9.907,9.535,9.907,1248496
#2003-06-12#,9.907,9.965,9.719,9.809,748936
#2003-06-13#,9.838,9.967,9.73,9.85,1385612
#2003-06-16#,9.846,10.22,9.846,10.21,1526424
#2003-06-17#,10.238,10.316,10.152,10.261,973276
#2003-06-18#,10.306,10.438,10.193,10.361,1942968
#2003-06-19#,10.344,10.355,10.132,10.21,1932532
#2003-06-20#,10.24,10.453,10.189,10.297,3152148
#2003-06-23#,10.316,10.391,10.101,10.163,1246776
#2003-06-24#,10.161,10.285,10.109,10.177,1001036
#2003-06-25#,10.199,10.279,10.142,10.203,945880
#2003-06-26#,10.116,10.612,10.116,10.534,1693164
#2003-06-27#,10.534,10.536,10.175,10.35,1599492
#2003-06-30#,10.348,10.399,10.254,10.291,1744728
#2003-07-01#,10.12,10.453,10.093,10.395,1375612
#2003-07-02#,10.357,10.424,10.236,10.328,1397260
#2003-07-03#,10.324,10.453,10.289,10.385,1156160
#2003-07-04#,10.324,10.453,10.289,10.385,1156160
#2003-07-07#,10.367,10.614,10.338,10.614,1609596
#2003-07-08#,10.606,10.734,10.501,10.614,1199452
#2003-07-09#,10.626,10.726,10.497,10.681,1025216
#2003-07-10#,10.693,10.842,10.614,10.767,2158596
#2003-07-11#,10.769,10.881,10.696,10.881,511828
#2003-07-14#,10.896,11.21,10.859,10.994,1425120
#2003-07-15#,11.034,11.135,11.016,11.071,863148
#2003-07-16#,11.086,11.122,10.971,11,1018432
#2003-07-17#,10.975,11.03,10.679,10.761,1900272
#2003-07-18#,10.802,10.926,10.689,10.886,1048256
#2003-07-21#,10.877,10.951,10.724,10.951,1061676
#2003-07-22#,10.936,11.092,10.781,10.908,1349564
#2003-07-23#,10.914,10.975,10.64,10.93,1116352
#2003-07-24#,10.975,11.059,10.761,10.808,1448304
#2003-07-25#,10.794,11.151,10.738,11.122,978940
#2003-07-28#,11.141,11.377,11.096,11.29,1318812
#2003-07-29#,11.298,11.52,11.159,11.502,2599204
#2003-07-30#,11.494,11.592,11.426,11.529,1213808
#2003-07-31#,11.586,11.659,11.281,11.453,1818684
#2003-08-01#,11.361,11.408,11.139,11.202,1637852
#2003-08-04#,11.206,11.23,11.043,11.122,2225152
#2003-08-05#,11.29,11.71,11.202,11.625,4196192
#2003-08-06#,11.32,11.608,11.308,11.329,2752240
#2003-08-07#,11.371,11.377,11.118,11.355,2297028
#2003-08-08#,11.367,11.377,11.196,11.282,1487556
#2003-08-11#,11.269,11.326,11.106,11.249,1184276
#2003-08-12#,11.288,11.328,11.122,11.298,1161504
#2003-08-13#,11.249,11.359,11.122,11.343,1101836
#2003-08-14#,11.263,11.463,11.177,11.4,597884
#2003-08-15#,11.371,11.588,11.073,11.582,539200
#2003-08-18#,11.592,11.759,11.514,11.741,953824
#2003-08-19#,11.739,11.821,11.647,11.759,1329308
#2003-08-20#,11.61,11.612,11.161,11.367,3827164
#2003-08-21#,11.367,11.52,11.367,11.412,914148
#2003-08-22#,11.386,11.426,11.067,11.2,958700
#2003-08-25#,11.177,11.216,11.022,11.171,656808
#2003-08-26#,11.134,11.224,10.916,11.2,880872
#2003-08-27#,11.157,11.206,10.985,11.169,732140
#2003-08-28#,11.186,11.255,11.039,11.22,809752
#2003-08-29#,11.255,11.341,11.183,11.314,465764
#2003-09-01#,11.255,11.341,11.183,11.314,465764
#2003-09-02#,11.341,11.522,11.228,11.504,1108192
#2003-09-03#,11.48,11.545,11.329,11.345,1234188
#2003-09-04#,11.361,11.367,11.151,11.161,2149712
#2003-09-05#,11.155,11.253,11.043,11.169,992468
#2003-09-08#,11.161,11.369,11.161,11.365,1133376
#2003-09-09#,11.335,11.355,11.096,11.108,1154728
#2003-09-10#,11.102,11.218,11.014,11.018,1095208
#2003-09-11#,11.018,11.116,10.957,11.024,1112884
#2003-09-12#,11.034,11.053,10.812,11.024,1022140
#2003-09-15#,11.034,11.21,11.034,11.092,1143820
#2003-09-16#,11.102,11.202,11.073,11.198,956152
#2003-09-17#,11.204,11.38,11.204,11.328,585060
#2003-09-18#,11.71,11.71,11.396,11.524,1388608
#2003-09-19#,11.623,11.684,10.861,11.455,1762908
#2003-09-22#,11.435,11.549,11.286,11.414,1015836
#2003-09-23#,11.412,11.533,11.312,11.478,538580
#2003-09-24#,11.48,11.48,11.196,11.294,1594912
#2003-09-25#,11.279,11.5,11.184,11.188,1390684
#2003-09-26#,11.165,11.165,10.924,10.953,1241460
#2003-09-29#,10.985,11.102,10.845,11.1,2047816
#2003-09-30#,11.077,11.181,10.945,11.114,1127812
#2003-10-01#,11.114,11.318,11.026,11.169,1154452
#2003-10-02#,11.188,11.22,11.024,11.043,1528960
#2003-10-03#,11.108,11.171,10.985,11.077,1285280
#2003-10-06#,11.083,11.151,11.055,11.118,1079288
#2003-10-07#,11.128,11.204,10.977,11.135,1323916
#2003-10-08#,11.112,11.196,10.94,11.047,1700240
#2003-10-09#,11.106,11.232,10.983,11.085,1421328
#2003-10-10#,11.047,11.134,11.034,11.128,1929036
#2003-10-13#,11.147,11.308,11.053,11.102,1759972
#2003-10-14#,11.102,11.149,11.032,11.053,1352076
#2003-10-15#,11.081,11.1,10.953,11.034,1745304
#2003-10-16#,11.026,11.414,11.024,11.408,1714500
#2003-10-17#,11.461,11.518,11.22,11.306,1361000
#2003-10-20#,11.2,11.533,11.181,11.525,1612100
#2003-10-21#,11.467,11.529,11.355,11.492,1103652
#2003-10-22#,11.502,11.524,11.281,11.367,986172
#2003-10-23#,11.426,11.52,11.367,11.455,570236
#2003-10-24#,11.437,11.533,11.328,11.518,707452
#2003-10-27#,11.539,11.561,11.369,11.459,848128
#2003-10-28#,11.449,11.814,11.388,11.814,1206032
#2003-10-29#,11.733,11.982,11.727,11.961,1669032
#2003-10-30#,12.017,12.439,12.008,12.245,2276148
#2003-10-31#,12.286,12.464,12.147,12.16,1721536
#2003-11-03#,12.18,12.633,12.172,12.523,2638668
#2003-11-04#,12.196,12.713,12.17,12.229,2722876
#2003-11-05#,12.213,12.472,12.178,12.298,1443432
#2003-11-06#,12.278,12.358,12.098,12.311,1797076
#2003-11-07#,12.321,12.525,12.321,12.462,1817492
#2003-11-10#,12.505,12.703,12.427,12.601,2428592
#2003-11-11#,12.599,12.725,12.562,12.701,1314884
#2003-11-12#,12.731,13.082,12.631,12.874,1848876
#2003-11-13#,12.86,13.307,12.768,13.013,931200
#2003-11-14#,13.011,13.072,12.784,12.803,1604224
#2003-11-17#,12.797,12.862,12.65,12.817,1692752
#2003-11-18#,12.88,12.935,12.566,12.566,1164856
#2003-11-19#,12.597,12.795,12.547,12.744,1039612
#2003-11-20#,12.717,12.79,12.539,12.631,1196852
#2003-11-21#,12.654,12.929,12.564,12.889,1639288
#2003-11-24#,12.897,13.248,12.888,13.228,1632744
#2003-11-25#,13.223,13.276,13.087,13.144,1416184
#2003-11-26#,13.174,13.352,12.948,13.091,842856
#2003-11-27#,13.174,13.352,12.948,13.091,842856
#2003-11-28#,13.082,13.24,13.082,13.217,354836
#2003-12-01#,13.217,13.718,13.18,13.489,1983004
#2003-12-02#,13.526,13.566,13.336,13.385,1359156
#2003-12-03#,13.442,13.619,13.189,13.209,1708656
#2003-12-04#,13.17,13.464,13.16,13.372,1388780
#2003-12-05#,13.356,13.385,13.129,13.17,1534668
#2003-12-08#,13.207,13.475,13.172,13.475,1611580
#2003-12-09#,13.428,13.472,13.025,13.07,2175020
#2003-12-10#,13.076,13.109,12.952,13.05,1241872
#2003-12-11#,13.072,13.534,13.015,13.425,1514352
#2003-12-12#,13.423,13.458,13.236,13.403,1239364
#2003-12-15#,13.452,13.511,13.158,13.181,1230876
#2003-12-16#,13.205,13.34,13.089,13.191,971876
#2003-12-17#,13.223,13.272,13.048,13.048,1280076
#2003-12-18#,13.132,13.211,13.089,13.15,1429796
#2003-12-19#,13.113,13.293,12.984,13.229,1856984
#2003-12-22#,13.191,13.405,13.187,13.334,1343564
#2003-12-23#,13.305,13.483,13.266,13.409,1255580
