"Date","Open","High","Low","Close","Volume"
#2005-01-03#,29.86,29.86,28.97,29.16,1030600
#2005-01-04#,29.36,29.59,29.03,29.1,1659200
#2005-01-05#,29.15,29.85,28.92,29.7,1886800
#2005-01-06#,29.75,30.3,29.61,29.64,1638400
#2005-01-07#,29.39,29.56,29.26,29.42,1194400
#2005-01-10#,29.58,30.66,29.41,30.65,2274000
#2005-01-11#,30.57,31.34,30.23,31.18,2465700
#2005-01-12#,31.18,31.55,31,31.49,1568900
#2005-01-13#,31.79,32.68,31.75,32.42,2560700
#2005-01-14#,32.63,33.7,32.26,33.26,2508300
#2005-01-17#,32.63,33.7,32.26,33.26,2508300
#2005-01-18#,33.02,33.3,32.4,33.26,3284600
#2005-01-19#,33.4,33.65,32.85,32.94,2099200
#2005-01-20#,32.89,32.9,31.75,32.42,1985300
#2005-01-21#,32.8,33.21,32.58,32.86,1328500
#2005-01-24#,33.1,33.1,32.37,32.68,1279800
#2005-01-25#,32.88,33.46,32.67,32.8,1183500
#2005-01-26#,32.8,33.55,32.76,33.01,1117500
#2005-01-27#,33.2,33.87,33.14,33.5,936500
#2005-01-28#,33.97,33.97,33.32,33.61,1398800
#2005-01-31#,33.9,34.4,33.85,34.27,1084200
#2005-02-01#,34.52,35.1,34.27,34.82,1808500
#2005-02-02#,35.02,35.02,34.5,34.65,1170600
#2005-02-03#,34.5,34.56,34,34.25,1390000
#2005-02-04#,34.15,34.7,33.94,34.65,1572400
#2005-02-07#,33.33,35.6,32.45,34.15,5574500
#2005-02-08#,33.88,34.43,33.88,34.19,1491600
#2005-02-09#,34.19,34.38,32.907,33.22,1843800
#2005-02-10#,33.4,33.45,32.97,33.05,1412100
#2005-02-11#,32.99,33.64,32.94,33.42,857800
#2005-02-14#,33.17,33.4,33.06,33.13,1194100
#2005-02-15#,33.1,33.32,32.93,33.06,1206800
#2005-02-16#,33.07,33.52,32.94,33.41,1489000
#2005-02-17#,33.6,33.98,33.37,33.67,1437000
#2005-02-18#,33.75,33.89,33.26,33.36,1042500
#2005-02-21#,33.75,33.89,33.26,33.36,1042500
#2005-02-22#,32.85,33.12,31.66,31.7,1838200
#2005-02-23#,31.9,32.54,31.65,32.4,1791800
#2005-02-24#,32.4,33.2,32.2,33.15,993200
#2005-02-25#,32.9,33.41,32.6,33.33,1005100
#2005-02-28#,33.33,33.6,33.04,33.27,993600
#2005-03-01#,33.22,34.25,33.22,33.97,1039900
#2005-03-02#,33.77,34.2,33.51,34.11,938000
#2005-03-03#,34.13,34.45,33.98,34.25,992600
#2005-03-04#,34.5,34.86,34.38,34.86,884700
#2005-03-07#,34.98,34.99,34.43,34.53,1185300
#2005-03-08#,34.53,34.59,33.73,33.77,1294500
#2005-03-09#,33.71,34.35,33.14,33.35,1059800
#2005-03-10#,33.36,33.79,33.24,33.47,828200
#2005-03-11#,33.42,34.2,33.41,33.75,891100
#2005-03-14#,33.85,34.15,33.78,34.13,733500
#2005-03-15#,34.13,34.25,33.79,33.8,857800
#2005-03-16#,33.81,34.07,33.566,33.75,1241800
#2005-03-17#,33.9,33.907,33.27,33.39,989100
#2005-03-18#,33.31,33.485,31.25,31.93,2624300
#2005-03-21#,32.1,32.45,31.22,31.56,1441100
#2005-03-22#,31.6,31.99,31.11,31.22,1348600
#2005-03-23#,30.9,31.18,30.5,30.97,1201400
#2005-03-24#,31.05,31.74,31.033,31.45,781200
#2005-03-25#,31.05,31.74,31.033,31.45,781200
#2005-03-28#,32.19,32.19,31.2,31.23,590500
#2005-03-29#,31.7,32.01,30.6,31.86,2166600
#2005-03-30#,31.8,32.89,31.63,32.83,1479900
#2005-03-31#,32.75,32.75,31.82,31.94,1182300
#2005-04-01#,32.15,32.82,32.15,32.57,993600
#2005-04-04#,32.56,32.78,32.25,32.46,501600
#2005-04-05#,32.55,33.45,32.5,33.44,1233900
#2005-04-06#,33.55,34.47,33.53,34,1162100
#2005-04-07#,34.2,34.53,33.77,34.49,1040700
#2005-04-08#,34.6,34.62,33.93,34.09,897900
#2005-04-11#,34.02,34.33,33.68,34.01,913000
#2005-04-12#,33.8,34.18,33.26,34.09,658700
#2005-04-13#,34.09,34.34,33.87,34.06,839500
#2005-04-14#,34.06,34.06,32.39,32.74,2044300
#2005-04-15#,32.65,32.93,32.22,32.34,1128000
#2005-04-18#,32.28,32.33,30.92,31.58,1128600
#2005-04-19#,31.58,32.7,31.58,32.52,991600
#2005-04-20#,32.52,32.94,31.5,31.5,837500
#2005-04-21#,31.75,32,31.1,31.37,1618500
#2005-04-22#,31.37,31.37,30.64,30.96,1014900
#2005-04-25#,30.96,31.78,30.92,31.72,1276000
#2005-04-26#,31.73,32.4,31.51,32.15,1163100
#2005-04-27#,32.27,32.94,31.43,32.84,1240300
#2005-04-28#,32.86,32.86,32.24,32.4,1055300
#2005-04-29#,32.4,34.94,32.38,34.65,2551500
#2005-05-02#,34.15,35.52,33.82,34.76,2853600
#2005-05-03#,34.7,34.75,33.64,34.4,2200200
#2005-05-04#,34.7,35.4,34.54,35.12,1945200
#2005-05-05#,35.12,35.72,34.81,34.97,1323000
#2005-05-06#,35.15,35.35,34.63,35.08,926500
#2005-05-09#,35.2,36.6,34.85,36.33,1522400
#2005-05-10#,36.3,36.73,36.1,36.5,1428800
#2005-05-11#,36.64,36.69,35.68,36.48,1039100
#2005-05-12#,36.53,36.95,35.89,35.89,1110600
#2005-05-13#,35.76,35.89,33.94,34.69,1333200
#2005-05-16#,34.5,35.53,34.5,35.47,801000
#2005-05-17#,35.48,35.79,35.04,35.78,643400
#2005-05-18#,36,37.09,35.83,36.47,1846400
#2005-05-19#,36.5,36.95,36.04,36.54,788400
#2005-05-20#,36.62,36.64,36.03,36.3,485800
#2005-05-23#,36.31,36.46,35.91,36.33,656900
#2005-05-24#,36.4,36.8,36.1,36.26,689900
#2005-05-25#,36.27,36.44,35.88,36.18,533500
#2005-05-26#,36.5,36.74,36.39,36.65,520700
#2005-05-27#,36.66,37.08,36.6,36.89,535900
#2005-05-30#,36.66,37.08,36.6,36.89,535900
#2005-05-31#,36.92,36.99,36.32,36.36,974400
#2005-06-01#,36.55,37.29,36.25,37.22,969900
#2005-06-02#,37.25,37.5,36.8,37.43,706500
#2005-06-03#,37.44,38.2,37.44,37.78,804900
#2005-06-06#,37.86,38.24,37.6,38.21,964100
#2005-06-07#,38.39,38.82,38.08,38.17,1128400
#2005-06-08#,38.25,38.3,37.31,37.5,524800
#2005-06-09#,37.53,38.56,37.49,38.56,1217600
#2005-06-10#,39.33,39.33,37.92,38.15,492900
#2005-06-13#,38.19,38.58,38.03,38.57,458800
#2005-06-14#,38.57,39.49,38.55,39.48,806200
#2005-06-15#,39.87,39.87,38.58,38.9,701800
#2005-06-16#,38.95,39.09,38.18,38.74,755800
#2005-06-17#,39.2,39.71,38.92,39.42,1381000
