"Date","Open","High","Low","Close","Volume"
#2019-01-01#,113.33,114.35,112.4201,113.67,4982755
#2019-01-02#,112.01,115.98,111.69,115.21,4239924
#2019-01-03#,114.53,114.88,112.69,112.91,4346659
#2019-01-04#,114.91,117.49,114.44,117.32,4477755
#2019-01-07#,117.5,118.83,116.67,118.15,3751204
#2019-01-08#,119.66,120.57,118.98,119.83,4763636
#2019-01-09#,120.91,121.4,119.87,120.69,3633663
#2019-01-10#,120.08,121.86,119.95,121.79,3909971
#2019-01-11#,121.58,121.615,120.2,121.46,3722370
#2019-01-14#,120.51,120.6548,119.7607,120.39,5228909
#2019-01-15#,120.96,121.93,120.82,121.73,3507719
#2019-01-16#,121.58,122,120.83,121.62,3841100
#2019-01-17#,120.56,122.4085,120.55,122.19,5029871
#2019-01-18#,123.27,124.7175,122.71,123.82,6008509
#2019-01-21#,123.27,124.7175,122.71,123.82,6008509
#2019-01-22#,123.3,123.8,121.54,122.52,10052384
#2019-01-23#,131.37,135,130.31,132.89,22063666
#2019-01-24#,132.63,133.2054,131.43,132.53,6322928
#2019-01-25#,132.87,134.44,132.43,133.97,5708500
#2019-01-28#,133.1,134.805,132.58,134.27,5357736
#2019-01-29#,134.29,135.4149,133.6,134.33,5037129
#2019-01-30#,134,135.03,133.25,134.38,4500919
#2019-01-31#,134.45,134.716,133.74,134.42,4884031
#2019-02-01#,134.97,135.2,133.35,134.1,3806047
#2019-02-04#,134.02,135.2,132.99,135.19,3966597
#2019-02-05#,135.28,135.82,134.92,135.55,5398907
#2019-02-06#,135.22,136.65,135.17,136.32,4879670
#2019-02-07#,133.55,134.47,132.12,133.19,4379439
#2019-02-08#,132.34,133.71,132.19,133.71,3250074
#2019-02-11#,134.29,135.15,133.91,133.99,3095069
#2019-02-12#,135.15,136.2,134.86,136.05,3317161
#2019-02-13#,136.92,137.92,136.41,137.52,4253042
#2019-02-14#,137.17,137.6019,136.21,136.48,2789839
#2019-02-15#,137.58,138.185,137.385,138.03,3844062
#2019-02-18#,137.58,138.185,137.385,138.03,3844062
#2019-02-19#,137.81,138.7,137.36,138.7,3385675
#2019-02-20#,138.76,139.24,137.2203,138,3801979
#2019-02-21#,137.82,138.35,137.35,137.84,2937467
#2019-02-22#,138.73,139.38,138.43,139.25,3113698
#2019-02-25#,140,140.47,139.32,139.46,3194161
#2019-02-26#,139.67,140.49,139.47,139.72,3060381
#2019-02-27#,139.25,139.57,138.4007,139.17,2530968
#2019-02-28#,138.77,139.055,137.72,138.13,3457788
#2019-03-01#,139.31,140.04,138.64,139.2,3030044
#2019-03-04#,139.99,140.08,137.17,138.43,3407217
#2019-03-05#,138.37,138.74,137.555,137.88,4250650
#2019-03-06#,138.12,138.3892,136.72,136.98,2768256
#2019-03-07#,136.61,136.89,134.6343,135.36,4358802
#2019-03-08#,134.21,135.24,133.58,135.09,3773722
#2019-03-11#,136.03,137.73,135.84,137.71,3939517
#2019-03-12#,138.52,139.695,137.86,138.28,3954653
#2019-03-13#,138.05,139.325,137.85,138.56,3173179
#2019-03-14#,138.51,138.94,138.06,138.79,2738790
#2019-03-15#,139.37,140.33,139.23,139.43,7153687
#2019-03-18#,139.83,140.365,138.72,140.21,3268510
#2019-03-19#,140.96,141.7024,140.002,140.49,3482336
#2019-03-20#,140.53,140.7,138.98,139.6,3649455
#2019-03-21#,139.1,142.12,138.88,141.44,3605420
#2019-03-22#,140.97,141.44,138.9,139.45,3877616
#2019-03-25#,139.06,139.91,138.35,139.18,2839766
#2019-03-26#,139.93,141.02,139.42,140.22,2553708
#2019-03-27#,140.41,140.49,138.4,139.24,3098233
#2019-03-28#,139.91,140.44,139.1,139.92,2663884
#2019-03-29#,140.5,141.22,140.15,141.1,3101454
#2019-04-01#,141.51,143.41,141.51,143.3,3984250
#2019-04-02#,143.35,143.95,142.6,143,2404920
