"Date","Open","High","Low","Close","Volume"
#2012-01-02#,52.58,52.91,52.36,52.42,250619
#2012-01-03#,53.39,53.49,52.82,52.88,420672
#2012-01-04#,52.71,53.02,52.501,52.95,296680
#2012-01-05#,52.47,53.08,52.05,52.9,404973
#2012-01-06#,52.88,53.31,52.56,53.07,361241
#2012-01-09#,53.01,53.29,52.9,53.22,438743
#2012-01-10#,53.68,54.25,53.68,54.06,437152
#2012-01-11#,53.8,54.24,53.52,54.22,526784
#2012-01-12#,54.23,55.09,53.93,55.08,474282
#2012-01-13#,54.2,54.68,54.015,54.57,413337
#2012-01-16#,54.2,54.68,54.015,54.57,413337
#2012-01-17#,55.31,55.69,54.72,55.08,685196
#2012-01-18#,55.09,55.81,54.88,55.7,701026
#2012-01-19#,55.75,56.09,55.32,56.02,1127001
#2012-01-20#,56.05,56.37,55.96,56.15,650898
#2012-01-23#,56.15,56.55,56.05,56.46,513153
#2012-01-24#,56.26,56.59,55.94,56.45,353684
#2012-01-25#,56.3,56.86,56.14,56.79,420552
#2012-01-26#,57,57.1,56.58,56.76,429984
#2012-01-27#,56.61,57.14,56.6,56.94,502825
#2012-01-30#,56.51,56.61,56,56.41,723530
#2012-01-31#,56.61,56.75,55.71,55.81,839730
#2012-02-01#,56.33,56.67,56.07,56.28,541968
#2012-02-02#,56.3,56.59,56.03,56.04,578387
#2012-02-03#,57.32,57.32,56.28,56.39,649523
#2012-02-06#,56.2,56.51,55.96,56.29,462543
#2012-02-07#,56.04,56.13,55.51,55.6,1149173
#2012-02-08#,55.81,56.485,55.58,56.25,898648
#2012-02-09#,58.33,58.81,56.41,57.22,1226499
#2012-02-10#,57.25,57.25,55.5,56.02,830309
#2012-02-13#,56.43,56.63,56.18,56.3,497056
#2012-02-14#,56.06,56.45,55.99,56.4,718474
#2012-02-15#,56.48,56.76,55.9,55.98,598651
#2012-02-16#,55.91,56.59,55.71,56.31,494831
#2012-02-17#,56.5,56.71,56.34,56.66,673341
#2012-02-20#,56.5,56.71,56.34,56.66,673341
#2012-02-21#,56.73,57.52,56.65,57.35,829075
#2012-02-22#,57.43,57.623,57.03,57.42,458497
#2012-02-23#,57.52,57.66,56.94,57.48,378147
#2012-02-24#,57.56,57.889,57.34,57.63,465532
