"Date","Open","High","Low","Close","Volume"
#2014-01-01#,50.74,51.25,50.24,50.63,603383
#2014-01-02#,50.32,52.1,49.655,51.23,978188
#2014-01-03#,51.23,52.23,50.56,51.99,960100
#2014-01-06#,52.5,54.36,51.38,52.31,1328090
#2014-01-07#,52.52,53.5,51.69,51.96,1140194
#2014-01-08#,52.33,55.27,52.02,54.74,2062648
#2014-01-09#,55,56.26,54.29,56.17,1228253
#2014-01-10#,57.29,59.99,57.29,59.97,4104865
#2014-01-13#,60,60.93,57.8776,59.11,2294146
#2014-01-14#,60,63.46,58.82,63.46,2365026
#2014-01-15#,63.5,63.6,60.82,62.42,3441952
#2014-01-16#,62.18,63.93,61.89,63.48,1864721
#2014-01-17#,63.55,64.1,61.86,61.87,1921379
#2014-01-20#,63.55,64.1,61.86,61.87,1921379
#2014-01-21#,64.19,64.56,62.25,64.55,1628154
#2014-01-22#,64.54,65.36,64.164,64.86,1275768
#2014-01-23#,64.97,66.19,63.89,65.6,1035002
#2014-01-24#,65,65.6,63.5503,63.94,2085557
#2014-01-27#,63.25,64.12,60.05,62.5,1775692
#2014-01-28#,62.81,66.04,62.09,65.32,1240941
#2014-01-29#,64.58,66.64,63.505,65.24,1262418
#2014-01-30#,66,67.45,65.7,66.45,1574776
#2014-01-31#,65.37,66.21,64.88,65.52,1590091
#2014-02-03#,65.89,66.51,62.5,63,1483244
#2014-02-04#,63.63,64.415,62.596,62.93,1571979
#2014-02-05#,64.1,64.5,59.51,62.26,2720734
#2014-02-06#,62.63,64.35,62.27,62.58,1789637
#2014-02-07#,63.06,65.94,63,65.89,1839347
#2014-02-10#,66,66.65,64.305,66.13,1388080
#2014-02-11#,66.1,67.5,65.36,66,1854576
#2014-02-12#,65.34,69.98,64.98,68.83,3575653
#2014-02-13#,66.5,68.17,65.34,66.14,4162170
#2014-02-14#,66.55,66.62,63.12,64.17,2224227
#2014-02-17#,66.55,66.62,63.12,64.17,2224227
#2014-02-18#,64.68,66.5,64.26,65.5,2342440
