"Date","Open","High","Low","Close","Volume"
#2011-01-03#,21.01,21.05,20.78,20.85,58223768
#2011-01-04#,21.12,21.2,21.05,21.15,75210343
#2011-01-05#,21.19,21.21,20.9,20.94,61810472
#2011-01-06#,20.67,20.82,20.55,20.77,116668982
#2011-01-07#,20.71,20.77,20.27,20.66,74806061
#2011-01-10#,20.71,20.77,20.57,20.69,51449697
#2011-01-11#,20.83,21.12,20.74,21.05,64452537
#2011-01-12#,21.27,21.33,21.07,21.3025,53380573
#2011-01-13#,21.26,21.32,21.08,21.29,104828205
#2011-01-14#,21.35,21.42,20.97,21.08,154888736
#2011-01-17#,21.35,21.42,20.97,21.08,154888736
#2011-01-18#,21.03,21.2,20.94,21.0825,55272098
#2011-01-19#,21.07,21.13,20.95,21.01,43338981
#2011-01-20#,20.94,20.95,20.62,20.95,56170796
#2011-01-21#,20.95,21.04,20.81,20.82,63697594
#2011-01-24#,21.03,21.24,20.93,21.24,82375446
#2011-01-25#,21.28,21.57,21.17,21.55,72334569
#2011-01-26#,21.77,21.895,21.66,21.75,57196022
#2011-01-27#,21.76,21.94,21.65,21.75,58069117
#2011-01-28#,21.7619,21.89,21.35,21.46,55193037
#2011-01-31#,21.55,21.64,21.03,21.46,90844209
#2011-02-01#,21.49,21.7,21.28,21.48,60970917
#2011-02-02#,21.48,21.71,21.47,21.56,46954522
#2011-02-03#,21.41,21.65,21.3,21.57,39846001
#2011-02-04#,21.47,21.7,21.43,21.68,39353405
#2011-02-07#,21.74,21.86,21.63,21.69,43647681
#2011-02-08#,21.65,21.675,21.4,21.635,48215026
#2011-02-09#,21.53,21.6,21.42,21.46,44601339
#2011-02-10#,21.43,21.84,21.35,21.8,56661748
#2011-02-11#,21.63,21.85,21.52,21.76,43716565
#2011-02-14#,21.63,21.8,21.5,21.57,45134575
#2011-02-15#,21.48,21.55,21.28,21.45,50646325
#2011-02-16#,21.57,21.88,21.43,21.75,55214046
#2011-02-17#,21.68,22.06,21.67,21.97,50186595
#2011-02-18#,22.09,22.21,22.01,22.14,55066173
#2011-02-21#,22.09,22.21,22.01,22.14,55066173
#2011-02-22#,21.95,22.19,21.73,21.81,64515549
#2011-02-23#,21.7,21.72,21.01,21.15,83648294
#2011-02-24#,21.1,21.41,21.03,21.285,54496328
#2011-02-25#,21.52,22,21.46,21.86,53475606
#2011-02-28#,21.75,21.84,21.37,21.47,66390040
#2011-03-01#,21.61,21.69,21.35,21.39,57993504
#2011-03-02#,21.42,21.7,21.4,21.49,52192367
#2011-03-03#,21.66,21.88,21.65,21.79,50503933
#2011-03-04#,21.88,22.08,21.4,21.56,64671779
#2011-03-07#,21.69,21.74,21.08,21.21,57520132
#2011-03-08#,21.26,21.26,21.02,21.13,57165626
#2011-03-09#,21.08,21.34,20.94,21.2,60415811
#2011-03-10#,20.94,21.02,20.72,20.79,69125252
#2011-03-11#,20.63,20.96,20.61,20.87,45648050
#2011-03-14#,20.66,20.88,20.62,20.84,48923507
#2011-03-15#,20.23,20.33,20.01,20.18,80463962
#2011-03-16#,20.03,20.37,19.71,19.8075,84812605
#2011-03-17#,20.02,20.06,19.8,19.9,59050846
#2011-03-18#,19.98,20.1466,19.88,19.93,74001296
#2011-03-21#,19.9,20.39,19.88,20.19,43392286
#2011-03-22#,20.18,20.21,19.98,20.145,45973801
#2011-03-23#,20.09,20.36,20.01,20.29,37927293
#2011-03-24#,20.51,20.51,20.28,20.38,49378215
#2011-03-25#,20.3,20.6,20.21,20.37,52479176
#2011-03-28#,20.44,20.66,20.33,20.34,37111485
#2011-03-29#,20.27,20.29,19.98,20.28,59545177
#2011-03-30#,20.42,20.46,20.1124,20.46,54568401
#2011-03-31#,20.29,20.37,19.94,20.18,87544126
#2011-04-01#,20.38,20.38,19.56,19.72,82621446
#2011-04-04#,19.79,19.8,19.36,19.49,69372740
#2011-04-05#,19.59,19.88,19.55,19.71,62621153
#2011-04-06#,19.86,19.95,19.71,19.95,56268775
#2011-04-07#,19.92,20.09,19.82,20.03,51606392
#2011-04-08#,20.04,20.2,19.95,20.02,46474890
#2011-04-11#,20.07,20.2,20.01,20.12,43167928
#2011-04-12#,20.01,20.07,19.69,19.76,52163063
#2011-04-13#,19.88,19.95,19.72,19.78,38977499
#2011-04-14#,19.64,19.66,19.41,19.58,52706852
#2011-04-15#,19.6,19.75,19.53,19.75,44282999
#2011-04-18#,19.53,19.74,19.45,19.62,46489507
#2011-04-19#,19.67,19.98,19.62,19.86,81426422
#2011-04-20#,21.21,21.44,20.94,21.41,174554410
#2011-04-21#,21.39,21.49,21.19,21.46,77639590
#2011-04-22#,21.39,21.49,21.19,21.46,77639590
#2011-04-25#,21.37,22.01,21.33,21.94,81676687
#2011-04-26#,21.82,22.53,21.81,22.48,105309140
#2011-04-27#,22.54,22.68,22.33,22.63,68452870
#2011-04-28#,22.45,22.87,22.45,22.8,54952050
#2011-04-29#,22.8,23.19,22.63,23.15,156188963
#2011-05-02#,23.02,23.18,22.81,22.91,71978985
#2011-05-03#,22.81,23.46,22.67,23.23,110497542
#2011-05-04#,23.05,23.56,22.72,23.5,137107162
#2011-05-05#,23.43,23.86,23.17,23.61,94299086
#2011-05-06#,23.46,23.59,23.13,23.25,100008252
#2011-05-09#,23.13,23.2,22.65,22.76,73296305
#2011-05-10#,22.85,23.2,22.82,23.03,66314223
#2011-05-11#,23.29,23.63,23.2,23.41,85761805
#2011-05-12#,23.25,23.83,23.23,23.705,66277866
#2011-05-13#,23.66,23.8,23.36,23.41,53104955
#2011-05-16#,23.32,23.95,23.267,23.64,74460665
#2011-05-17#,23.37,23.57,23.08,23.55,86025584
#2011-05-18#,23.6,23.96,23.52,23.88,65592836
#2011-05-19#,23.32,23.87,23.2,23.54,98367364
#2011-05-20#,23.46,23.54,23.15,23.22,63124701
#2011-05-23#,22.92,23.03,22.76,22.86,64894030
#2011-05-24#,22.89,22.91,22.59,22.61,51741200
#2011-05-25#,22.52,22.83,22.41,22.68,49375771
#2011-05-26#,22.62,22.64,22.45,22.5,44435966
#2011-05-27#,22.46,22.52,22.11,22.21,67162126
#2011-05-30#,22.46,22.52,22.11,22.21,67162126
#2011-05-31#,22.45,22.64,22.32,22.51,59575279
#2011-06-01#,22.45,22.48,21.98,22,56011358
#2011-06-02#,22.01,22.33,21.86,22.085,53449010
#2011-06-03#,21.79,22.1,21.67,21.73,53942562
#2011-06-06#,21.739,21.95,21.66,21.829,49667062
#2011-06-07#,22.04,22.44,22,22.06,60308552
#2011-06-08#,21.96,22.13,21.73,21.82,49518338
#2011-06-09#,21.87,22.01,21.7,21.76,36986514
#2011-06-10#,21.73,21.8,21.26,21.38,53239485
#2011-06-13#,21.43,21.6001,21.28,21.385,43553001
#2011-06-14#,21.6,21.92,21.55,21.82,51996875
#2011-06-15#,21.68,21.83,21.4,21.42,48564893
#2011-06-16#,21.46,21.79,21.27,21.42,53639980
#2011-06-17#,21.68,21.68,21.07,21.19,96518394
#2011-06-20#,21.19,21.42,21.17,21.325,37359573
#2011-06-21#,21.46,21.69,21.22,21.65,55384725
#2011-06-22#,21.54,21.61,21.38,21.395,37686475
#2011-06-23#,21.2,21.72,21.06,21.71,54193071
#2011-06-24#,21.61,21.74,21.1805,21.2,124407613
#2011-06-27#,21.17,21.48,21,21.34,45186797
#2011-06-28#,21.42,21.54,21.26,21.49,36515757
#2011-06-29#,21.53,21.57,21.31,21.39,31660359
#2011-06-30#,21.48,22.22,21.48,22.16,53931999
#2011-07-01#,22.21,22.58,22.1,22.53,35841178
#2011-07-04#,22.21,22.58,22.1,22.53,35841178
#2011-07-05#,22.69,22.69,22.36,22.44,33359335
#2011-07-06#,22.45,22.82,22.44,22.75,43270717
#2011-07-07#,22.89,23.39,22.86,23.23,53114166
#2011-07-08#,22.96,23.2,22.81,23.09,35839128
#2011-07-11#,22.84,22.98,22.73,22.85,34662925
#2011-07-12#,22.62,22.72,22.24,22.45,51051302
#2011-07-13#,22.57,22.73,22.32,22.48,43270875
#2011-07-14#,22.56,22.7,22.21,22.27,47573415
#2011-07-15#,22.27,22.56,22.2,22.37,49959371
#2011-07-18#,22.29,22.43,22.08,22.28,45195361
#2011-07-19#,22.44,23.1,22.44,23.06,55706845
#2011-07-20#,23.1,23.22,22.9,22.99,57158800
#2011-07-21#,22.35,22.88,22.17,22.81,80133877
#2011-07-22#,22.94,23.25,22.78,23.13,45085427
#2011-07-25#,22.94,23.28,22.8,23.03,40716097
#2011-07-26#,23.03,23.15,22.83,22.895,45574860
#2011-07-27#,22.65,22.75,22.35,22.53,59205983
#2011-07-28#,22.47,22.88,22.33,22.55,36742373
#2011-07-29#,22.35,22.62,22.22,22.33,51897483
#2011-08-01#,22.57,22.69,21.9,22.24,51674291
