"Date","Open","High","Low","Close","Volume"
#2010-01-01#,26.8053,27.0222,26.4011,26.4011,1484753
#2010-01-04#,26.8053,27.0616,26.6574,26.7955,3979107
#2010-01-05#,26.7856,28.0475,26.6279,27.7419,5177002
#2010-01-06#,27.2588,28.2052,27.2391,27.4264,5783820
#2010-01-07#,27.2785,27.3081,26.2927,26.3814,6977000
#2010-01-08#,26.3814,26.6476,25.8589,26.549,4530943
#2010-01-11#,26.8546,26.8546,25.9871,26.2335,4401581
#2010-01-12#,25.9082,27.1306,25.9082,26.3025,8009807
#2010-01-13#,26.3715,26.6377,26.0068,26.2434,3667350
#2010-01-14#,26.2039,26.2237,25.7209,25.8589,3255990
#2010-01-15#,25.8195,26.1842,25.3364,25.711,4845235
#2010-01-18#,25.8195,26.1842,25.3364,25.711,4845235
#2010-01-19#,25.7505,26.6081,25.5533,26.5786,4563127
#2010-01-20#,26.2434,26.411,25.5829,25.9082,3559393
#2010-01-21#,26.0166,26.1054,24.0942,24.1041,7530320
#2010-01-22#,24.1928,24.666,23.4633,24.0844,8590803
#2010-01-25#,24.7252,25.0604,24.1041,24.1534,4890483
#2010-01-26#,23.8971,24.5477,23.8576,24.1238,4368318
#2010-01-27#,23.9956,24.0055,22.8028,23.5421,7613296
#2010-01-28#,23.69,23.69,22.3098,22.7436,6749912
#2010-01-29#,22.9408,23.1971,22.4971,22.5859,4221643
#2010-02-01#,22.9112,23.5914,22.6746,23.5619,5554268
#2010-02-02#,23.6013,23.9759,23.3154,23.6802,6413000
#2010-02-03#,22.369,22.9112,21.807,22.3493,15262303
#2010-02-04#,22.4479,22.4479,21.5409,21.8366,9766716
#2010-02-05#,21.8366,22.4084,21.3536,22.3493,11822449
#2010-02-08#,22.2803,22.7239,21.812,22.1915,7465912
#2010-02-09#,22.5366,22.9704,22.1817,22.5957,6754421
#2010-02-10#,22.5859,22.6845,21.738,22.0929,5966860
#2010-02-11#,21.9648,22.3394,21.8563,22.0535,6867085
#2010-02-12#,21.8761,22.2803,21.3733,22.2507,6650368
#2010-02-15#,21.8761,22.2803,21.3733,22.2507,6650368
#2010-02-16#,22.4479,23.8083,22.4479,23.759,10236218
#2010-02-17#,23.7097,24.1238,23.2168,23.3746,5980727
#2010-02-18#,23.2267,24.1041,23.1774,23.8872,4738276
#2010-02-19#,23.69,24.2421,23.5126,23.9069,4558716
#2010-02-22#,23.9168,24.0942,22.9901,23.6506,5380901
#2010-02-23#,23.6802,24.528,23.5323,23.6703,7005943
#2010-02-24#,23.6703,23.9661,23.4337,23.5619,3995477
#2010-02-25#,23.3548,23.69,22.9605,23.552,5215795
#2010-02-26#,23.552,23.6309,22.7929,22.8422,6694407
#2010-03-01#,23.0689,23.8675,22.9704,23.8379,5952522
#2010-03-02#,24.0351,24.804,23.18,24.6759,8625253
#2010-03-03#,24.7547,25.2378,24.5576,24.8435,6232236
#2010-03-04#,24.9716,25.1392,24.2322,24.6266,4402201
#2010-03-05#,24.8336,25.1589,24.7153,24.9914,6017601
#2010-03-08#,24.9914,25.0604,24.6069,24.8928,4413143
#2010-03-09#,24.7942,25.0801,24.5674,24.735,5830190
#2010-03-10#,24.7153,25.1491,24.528,24.7547,4836946
#2010-03-11#,24.6463,24.8632,24.4393,24.8435,5900929
#2010-03-12#,25.0899,25.3463,24.8928,24.9815,6144918
