"Date","Open","High","Low","Close","Volume"
#2015-01-01#,75.86,75.86,74.6,74.92,290691
#2015-01-02#,75.51,75.85,72.86,73.98,225879
#2015-01-05#,73.72,74.38,72.5,73.5,338545
#2015-01-06#,73.46,74.21,71.86,73.27,700883
#2015-01-07#,73.66,74.31,72.82,73.2,338746
#2015-01-08#,73.66,74.48,73.2,73.56,350220
#2015-01-09#,73.69,73.9099,72.0501,72.24,205740
#2015-01-12#,71.99,72.18,70.0728,71.06,409726
#2015-01-13#,72.09,73.29,70.12,71.18,234044
#2015-01-14#,70.26,71.71,69.86,71.02,345678
#2015-01-15#,71.45,72.06,70.82,71.49,408687
#2015-01-16#,71.32,73.11,70.94,72.97,251216
#2015-01-19#,71.32,73.11,70.94,72.97,251216
#2015-01-20#,73.27,73.825,71.76,73.62,311344
#2015-01-21#,73.59,74.43,72.995,74.04,274627
#2015-01-22#,74.22,74.465,72.971,74.265,526294
#2015-01-23#,74.3,75.58,74.1401,75,213033
#2015-01-26#,75,75.89,75,75.86,297543
#2015-01-27#,75,75,72.98,73.47,374190
#2015-01-28#,74.13,75.64,73.515,73.82,396105
#2015-01-29#,73.73,74.82,73.19,74.66,307644
#2015-01-30#,74.25,75.35,73.72,74.64,313870
#2015-02-02#,74.49,76.2,73.71,75.95,335650
#2015-02-03#,76.1,77.7675,75.32,77.49,367800
#2015-02-04#,76.87,79.75,76.87,78.97,512011
#2015-02-05#,78.69,79.8,78.07,79.095,497300
#2015-02-06#,78.93,81.92,78.22,81.9,902886
#2015-02-09#,84.81,87.3,83.8,85.24,1154890
#2015-02-10#,84.6,87.64,84.55,86.7,458250
#2015-02-11#,87.13,87.56,85.43,87.15,369964
#2015-02-12#,87.48,88.43,86.74,87.195,334512
#2015-02-13#,86.64,87.75,86.39,87.26,262442
#2015-02-16#,86.64,87.75,86.39,87.26,262442
#2015-02-17#,87.26,89.47,86.8664,89.37,410069
#2015-02-18#,89.25,89.34,86.77,88.11,344130
#2015-02-19#,87.34,88.48,86.56,88.3,399537
#2015-02-20#,90,93.73,85.53,93.28,737373
#2015-02-23#,94.08,98.32,93.62,96.61,1064113
#2015-02-24#,96.83,97.15,95.35,96.635,687134
#2015-02-25#,96.88,97.75,96.07,97.65,481669
#2015-02-26#,97.86,99.22,97.492,98.42,335116
#2015-02-27#,97.87,98.438,94.75,95.9,517470
#2015-03-02#,95.9,96.2725,95,96.17,541027
#2015-03-03#,96,98.69,95.58,97.99,452148
#2015-03-04#,97.98,97.98,96.13,97.35,285625
#2015-03-05#,97.5,97.94,96.61,97.82,160232
#2015-03-06#,97.32,97.898,94.495,95.8,381130
#2015-03-09#,96.15,98,95.18,96.9,423383
#2015-03-10#,96.43,97.1,94.82,96.54,421837
#2015-03-11#,96.8,98.86,96.11,98.17,323870
#2015-03-12#,98.14,99.45,97.875,99.22,227695
#2015-03-13#,99.3,99.89,97.48,97.99,239870
#2015-03-16#,98.44,99.69,97.89,99.46,241590
#2015-03-17#,99.5,99.5,98.01,99.21,235909
#2015-03-18#,99.11,100.61,97.72,99.52,347394
#2015-03-19#,99.68,100.17,97.65,99.93,368487
#2015-03-20#,100.42,101.69,99.3,100,643975
#2015-03-23#,97.25,97.98,94.3,96.08,551550
#2015-03-24#,96.43,96.84,95.15,95.58,337088
#2015-03-25#,96,96,91.8,91.99,382671
#2015-03-26#,91.5,92.23,90.31,91.47,516311
#2015-03-27#,91.47,92.78,91.46,92.07,432189
#2015-03-30#,92.85,96.24,92.85,95.81,460049
#2015-03-31#,95.5,95.5,91.655,92.7,689153
#2015-04-01#,92.92,93.33,91.099,91.94,388674
#2015-04-02#,91.91,94.075,91.46,91.65,590343
#2015-04-03#,91.91,94.075,91.46,91.65,590343
#2015-04-06#,91.89,93.39,91.82,92.48,599662
#2015-04-07#,92.49,94.99,92.36,93.66,559326
