"Date","Open","High","Low","Close","Volume"
#2013-01-01#,37.2595,38.3051,37.1477,38.2812,1798663
#2013-01-02#,39.5024,39.8296,39.0594,39.4864,3285770
#2013-01-03#,39.3348,39.5343,38.9197,39.0793,2100826
#2013-01-04#,39.1592,39.7897,39.0874,39.7259,2088322
#2013-01-07#,39.1033,39.2071,38.361,39.1033,1627879
#2013-01-08#,38.9357,39.3028,38.7681,39.2949,1602511
#2013-01-09#,39.4306,39.5662,39.0394,39.2789,1381619
#2013-01-10#,39.5104,39.67,39.0793,39.6062,1682081
#2013-01-11#,39.6381,39.654,39.3428,39.5902,810718
#2013-01-14#,39.5742,39.7099,39.1991,39.7099,997714
#2013-01-15#,39.4385,39.8296,39.4385,39.7418,1047919
#2013-01-16#,39.5263,39.63,39.3348,39.4864,834134
#2013-01-17#,39.6381,40.7316,39.4864,40.6677,1971282
#2013-01-18#,40.8433,40.8992,40.0132,40.4123,2238023
#2013-01-21#,40.8433,40.8992,40.0132,40.4123,2238023
#2013-01-22#,40.3325,40.5161,40.1808,40.4602,1316840
#2013-01-23#,40.4602,40.7077,40.4043,40.5799,1459969
#2013-01-24#,40.6119,41.1227,40.6119,40.7795,2246399
#2013-01-25#,40.8433,41.0908,40.6997,41.0828,1599825
#2013-01-28#,41.2345,41.2584,40.5959,40.8274,1045940
#2013-01-29#,40.8753,41.1227,40.6438,41.0828,1480658
#2013-01-30#,41.0908,41.2876,40.7875,41.2025,1673255
#2013-01-31#,41.0988,41.3063,40.8194,41.0189,1777289
#2013-02-01#,41.4979,42.0646,40.6438,41.7932,3208875
#2013-02-04#,41.6575,42.4956,41.3023,41.3462,2400124
#2013-02-05#,41.5777,42.5914,41.3302,42.4238,2390802
#2013-02-06#,42.1923,42.2641,41.6575,42.1204,1988534
#2013-02-07#,42.1125,42.1204,41.2903,41.5138,2407769
#2013-02-08#,41.6096,42.6632,41.5585,42.6473,2275786
#2013-02-11#,42.4717,42.5994,42.2003,42.2641,1793823
