"Date","Open","High","Low","Close","Volume"
#2018-01-01#,38.03,38.125,37.7,37.73,1085139
#2018-01-02#,37.8,37.94,37.46,37.61,1307745
#2018-01-03#,37.59,37.69,37.01,37.1,1869682
#2018-01-04#,37.13,37.28,36.89,36.92,1827775
#2018-01-05#,37,37.16,36.555,36.8,1893193
#2018-01-08#,36.71,37.11,36.43,37.04,1442609
#2018-01-09#,37.08,37.28,36.82,36.83,1122468
#2018-01-10#,36.75,36.78,36.24,36.55,1358748
#2018-01-11#,36.5,36.68,36.161,36.58,1949188
#2018-01-12#,36.58,36.6,36.05,36.22,1665066
#2018-01-15#,36.58,36.6,36.05,36.22,1665066
#2018-01-16#,36.36,37.11,36.2,36.23,1346442
#2018-01-17#,36.4,36.4,36.05,36.33,1882117
#2018-01-18#,36.2,36.22,35.27,35.3,2975521
#2018-01-19#,35.37,35.85,35.31,35.49,1750060
#2018-01-22#,35.6,36.2399,35.59,35.81,1891494
#2018-01-23#,36.02,36.45,35.8239,36.35,1691409
#2018-01-24#,36.34,36.4,35.65,35.77,1685724
#2018-01-25#,35.77,35.97,35.7,35.82,1015922
#2018-01-26#,35.99,35.99,35.33,35.76,1788804
#2018-01-29#,35.76,35.77,34.01,34.08,3653462
#2018-01-30#,34.1,34.31,33.57,33.93,2807624
#2018-01-31#,34.01,35.04,34.01,35.03,3380098
#2018-02-01#,34.94,35.11,34.54,34.62,2055293
#2018-02-02#,34.36,34.45,33.42,33.66,2364154
#2018-02-05#,33.53,34.27,32.73,32.73,2002691
#2018-02-06#,32.21,33.79,32.05,33.11,3135102
#2018-02-07#,32.95,33.93,32.71,33.18,2566697
#2018-02-08#,33.2,33.28,32.06,32.07,2103886
#2018-02-09#,32.33,33.39,31.91,33.1,2364996
#2018-02-12#,33.22,33.48,32.7,33.3,2607790
#2018-02-13#,33.25,33.79,32.94,33.54,1686941
#2018-02-14#,33.25,33.35,32.73,33.19,1441187
#2018-02-15#,33.43,33.74,33.06,33.72,2561465
#2018-02-16#,34.87,35.25,33.13,33.17,3047887
#2018-02-19#,34.87,35.25,33.13,33.17,3047887
#2018-02-20#,32.75,33.15,31.89,32.12,3840287
#2018-02-21#,31.89,32.35,31.45,31.47,2912704
#2018-02-22#,31.7,32.03,31.34,31.58,2293399
#2018-02-23#,31.78,32.04,31.76,31.96,1550599
#2018-02-26#,32.08,32.3,31.81,31.95,1854076
#2018-02-27#,32.03,32.26,31.02,31.05,2316612
#2018-02-28#,31.21,31.56,30.95,31.46,2543280
#2018-03-01#,31.36,32.0863,31.15,31.63,2161630
#2018-03-02#,31.48,31.59,31.1,31.55,2046804
#2018-03-05#,31.39,32.23,31.26,32.1,1724595
#2018-03-06#,32.11,32.43,31.88,32.39,1310676
#2018-03-07#,32.24,32.75,32.14,32.71,2005004
#2018-03-08#,32.8,32.89,32.52,32.71,1612400
#2018-03-09#,32.76,33.25,32.55,33.25,2629355
#2018-03-12#,33.29,33.38,32.86,33.01,2106293
#2018-03-13#,33.14,33.37,33.12,33.22,1623097
#2018-03-14#,32.71,32.99,32.55,32.98,1999089
#2018-03-15#,32.98,33.09,32.62,32.89,1758059
#2018-03-16#,32.44,32.59,31.87,32.52,5377863
#2018-03-19#,32.23,32.23,31.33,31.46,1926759
#2018-03-20#,31.47,31.74,31.37,31.73,1367853
#2018-03-21#,31.72,31.97,31.39,31.61,1447074
#2018-03-22#,31.46,32.03,31.42,31.64,2231920
#2018-03-23#,31.67,31.87,30.78,30.89,1836659
#2018-03-26#,31.12,31.35,30.95,31.27,1249115
#2018-03-27#,31.53,32.36,31.25,31.9,2202676
#2018-03-28#,32.04,33.02,32.03,32.71,1776455
#2018-03-29#,32.8,33.09,32.7,32.86,1901671
#2018-03-30#,32.8,33.09,32.7,32.86,1901671
#2018-04-02#,32.87,32.95,32.33,32.37,2050578
#2018-04-03#,32.43,32.96,32.15,32.82,1569902
#2018-04-04#,32.54,33.47,32.5001,33.3,1390582
#2018-04-05#,33.34,33.83,33.12,33.77,1680222
#2018-04-06#,33.77,34.3146,33.47,33.53,2219906
#2018-04-09#,33.59,33.83,33.21,33.32,1183797
#2018-04-10#,33.58,33.71,33.41,33.46,1572991
#2018-04-11#,33.38,33.73,33.16,33.54,797738
#2018-04-12#,33.6,33.6,32.85,33.16,1554683
#2018-04-13#,33.35,33.38,32.95,33.35,784297
#2018-04-16#,33.49,33.99,33.32,33.61,1332867
#2018-04-17#,33.72,34.39,33.4,34.23,1192963
#2018-04-18#,34.3,34.77,34.26,34.52,1164259
#2018-04-19#,34.36,34.41,33.58,33.76,1102988
#2018-04-20#,33.86,33.88,33.21,33.34,1304495
#2018-04-23#,33.42,33.61,33.22,33.44,1173507
#2018-04-24#,33.58,33.91,33.48,33.76,1718445
#2018-04-25#,33.66,33.87,33.575,33.78,1994473
#2018-04-26#,33.97,34.61,33.66,34.33,1721533
#2018-04-27#,34.17,34.7,34.08,34.5,1551279
#2018-04-30#,34.59,34.6,33.93,33.94,1540655
#2018-05-01#,33.97,34.195,33.77,34.12,1362068
#2018-05-02#,33.95,34.19,33.71,34,2022458
#2018-05-03#,33.99,34.35,33.93,34.3,1165539
#2018-05-04#,34.25,34.72,34.1,34.49,1054619
#2018-05-07#,34.57,34.64,34.32,34.44,1450827
#2018-05-08#,34.43,34.52,33.4,33.49,2011153
#2018-05-09#,33.64,33.93,33.21,33.42,1632656
#2018-05-10#,33.65,33.8634,33.51,33.72,1166648
#2018-05-11#,33.83,34.06,33.38,33.53,1075991
#2018-05-14#,33.53,33.79,33.23,33.51,737953
#2018-05-15#,33.27,33.32,32.53,32.75,2107220
#2018-05-16#,32.88,33.17,32.56,32.62,1199681
#2018-05-17#,32.62,32.7775,31.96,32.05,1206633
#2018-05-18#,32.12,32.21,31.87,32.08,1014176
#2018-05-21#,32.21,32.755,32.05,32.68,1355111
#2018-05-22#,32.67,32.7,32.27,32.52,1260017
#2018-05-23#,32.53,32.8991,32.47,32.87,903240
#2018-05-24#,32.84,33.04,32.78,32.98,1014555
#2018-05-25#,33.04,33.2376,32.9,32.99,929398
#2018-05-28#,33.04,33.2376,32.9,32.99,929398
#2018-05-29#,33.02,33.34,32.75,33.26,1251707
#2018-05-30#,33.26,33.77,32.61,33.5,1676544
#2018-05-31#,33.41,33.7,33.2,33.29,3084765
#2018-06-01#,33.35,34.12,33.15,33.95,1245736
#2018-06-04#,34.15,34.58,34.145,34.57,1454343
#2018-06-05#,34.62,34.6798,34.36,34.43,1444336
#2018-06-06#,34.45,34.689,34.26,34.63,1216660
#2018-06-07#,34.69,34.96,34.54,34.8,2233722
#2018-06-08#,34.6,34.83,34.37,34.61,1690211
#2018-06-11#,34.61,34.719,34.45,34.64,1404882
#2018-06-12#,34.64,35.135,34.6,35,1897025
#2018-06-13#,35.07,35.11,34.4366,34.64,2874035
#2018-06-14#,34.2,34.44,33.845,33.99,1801638
#2018-06-15#,33.59,33.81,33.25,33.26,3100101
#2018-06-18#,33.24,33.52,33.06,33.38,1681705
#2018-06-19#,33.21,34.08,33.15,33.83,2848136
#2018-06-20#,33.84,34.41,33.77,34.32,1420768
#2018-06-21#,34.37,34.79,34.3203,34.7,1177880
#2018-06-22#,34.77,35.13,34.68,35,4201334
#2018-06-25#,35.03,35.15,34.81,34.93,1324514
#2018-06-26#,34.96,35.06,34.52,34.58,1488231
#2018-06-27#,34.68,35,34.4,34.4,1597829
#2018-06-28#,34.45,34.74,34.16,34.65,1232714
#2018-06-29#,34.63,35.37,34.2,35.01,2026206
#2018-07-02#,34.9,35.0471,34.42,34.9,1487436
#2018-07-03#,34.82,35.72,34.76,35.56,840886
#2018-07-04#,34.82,35.72,34.76,35.56,840886
#2018-07-05#,35.65,35.74,35.12,35.68,2285187
#2018-07-06#,35.77,36.09,35.725,35.89,973811
#2018-07-09#,36,36.52,35.75,36.5,2012832
#2018-07-10#,36.5,36.64,36.1,36.46,1454046
#2018-07-11#,36.28,36.72,36.09,36.62,1345557
#2018-07-12#,36.73,36.81,36.48,36.74,2108279
#2018-07-13#,36.8,36.95,36.5625,36.64,1437596
#2018-07-16#,36.59,36.62,36.15,36.36,1231538
#2018-07-17#,36.26,36.26,34.89,35.03,3455166
#2018-07-18#,34.91,35.11,34.44,34.7,2346600
#2018-07-19#,34.71,35.58,34.3746,35.42,1761429
#2018-07-20#,35.34,35.34,34.78,34.95,1328354
#2018-07-23#,34.78,34.92,34.55,34.81,994806
#2018-07-24#,34.9,35.16,34.64,35.05,1456707
#2018-07-25#,35.2,35.42,34.97,35.35,1192870
#2018-07-26#,35.38,35.74,35.22,35.45,1496760
#2018-07-27#,36,36,33.01,34.46,4936448
#2018-07-30#,34.47,35.17,34.38,34.91,3275507
#2018-07-31#,34.9,35.52,34.75,35.11,5369088
#2018-08-01#,34.85,35.325,34.42,35.3,2493623
#2018-08-02#,35.29,35.9302,35.23,35.58,1323208
#2018-08-03#,35.66,36.21,35.57,35.76,1576193
#2018-08-06#,35.81,36.18,35.79,36.01,1387064
#2018-08-07#,36.03,36.08,35.78,35.93,1514362
#2018-08-08#,35.7,35.87,35.42,35.58,1200075
#2018-08-09#,35.61,35.95,35.395,35.46,1766741
#2018-08-10#,35.19,35.19,34.4437,34.6,2499558
#2018-08-13#,34.05,35.25,34,34.83,1952753
#2018-08-14#,34.96,35.4,34.79,35.31,1303175
#2018-08-15#,35.29,35.74,35.2,35.55,1107853
#2018-08-16#,35.7,36.115,35.6,36.08,958548
#2018-08-17#,36.13,36.51,36.106,36.48,1026901
#2018-08-20#,36.66,36.8,36.55,36.57,695715
#2018-08-21#,36.61,36.76,36.29,36.31,1045156
#2018-08-22#,36.33,36.42,35.95,35.98,742433
#2018-08-23#,35.99,36.1,35.86,36.08,1055496
#2018-08-24#,36.1,36.2499,35.81,35.9,872836
#2018-08-27#,35.9,35.93,35.43,35.74,1154837
#2018-08-28#,35.74,36.24,35.64,36.21,1370586
#2018-08-29#,36.3,36.5,36.15,36.31,939936
#2018-08-30#,36.38,36.38,35.84,35.95,1145462
#2018-08-31#,35.86,36.14,35.82,36.1,1212569
#2018-09-03#,35.86,36.14,35.82,36.1,1212569
#2018-09-04#,36.12,36.66,36.105,36.35,1550993
#2018-09-05#,36.28,36.63,36.13,36.54,1226806
#2018-09-06#,36.6,36.79,36.27,36.27,1312635
#2018-09-07#,36.1,36.21,35.11,35.36,1748817
#2018-09-10#,35.62,36.115,35.6,35.92,2127590
#2018-09-11#,35.76,35.9,35.395,35.66,1226040
#2018-09-12#,35.6,36.065,35.51,36.02,1585857
#2018-09-13#,36.16,36.44,35.9,36.34,1769948
#2018-09-14#,35.8,35.8,35.38,35.65,1510488
#2018-09-17#,35.72,35.87,35.56,35.78,1337182
#2018-09-18#,35.79,35.96,35.14,35.25,1415618
#2018-09-19#,35.25,35.37,34.48,34.6,2041204
#2018-09-20#,34.8,35.61,34.5,35.53,1844902
#2018-09-21#,35.48,36.06,35.41,35.91,2845581
#2018-09-24#,35.76,35.9,35.119,35.23,1314367
#2018-09-25#,35.23,35.265,34.7,34.71,1416467
#2018-09-26#,34.77,34.89,34.3,34.31,1261357
#2018-09-27#,34.4,34.59,34.05,34.09,1188400
#2018-09-28#,34,34.535,33.88,34.52,1713370
#2018-10-01#,34.62,34.92,34.37,34.38,2099066
#2018-10-02#,34.4,34.5,34.04,34.05,1132331
#2018-10-03#,34.15,34.22,33.435,33.71,1487609
#2018-10-04#,33.55,33.72,33.2,33.52,1467663
#2018-10-05#,33.53,33.64,33.27,33.29,1541047
#2018-10-08#,33.45,34.15,33.33,33.91,1475423
#2018-10-09#,33.94,33.969,33.46,33.55,1325069
#2018-10-10#,33.5,33.6,32.4,32.45,2901223
#2018-10-11#,32.5,32.56,31.48,31.5,3900821
#2018-10-12#,31.95,31.995,31.36,31.59,3135161
#2018-10-15#,31.58,32.09,31.54,31.83,2364961
#2018-10-16#,32.02,32.28,31.7906,32.15,2070438
#2018-10-17#,32.1,32.1803,31.66,31.74,1636697
#2018-10-18#,31.7,31.99,31.64,31.8,2842823
#2018-10-19#,31.87,32.28,31.87,32.18,2484094
#2018-10-22#,32.23,32.43,31.75,31.78,1593483
#2018-10-23#,31.6,32.245,31.59,32.03,1654469
#2018-10-24#,32.11,32.8,32.06,32.25,2170440
#2018-10-25#,32.58,33.4,32.11,32.7,4212641
#2018-10-26#,32.3,32.33,30.22,30.48,5514318
#2018-10-29#,30.63,31.69,30.63,31.37,3100231
#2018-10-30#,31.46,31.98,31.15,31.61,2293717
#2018-10-31#,31.68,31.7773,30.59,30.61,2844597
#2018-11-01#,30.73,31.59,30.5,31.59,1964022
#2018-11-02#,31.7,31.82,30.69,31.18,1910558
#2018-11-05#,31.34,31.77,31.22,31.63,1223140
#2018-11-06#,31.7,31.89,31.52,31.74,1358298
#2018-11-07#,31.95,32.16,31.53,32.13,1183426
#2018-11-08#,32.06,32.3,31.86,32.29,1228588
#2018-11-09#,32.28,32.94,32.24,32.77,1762687
#2018-11-12#,32.69,33.005,32.63,32.67,1628525
#2018-11-13#,32.78,33,32.57,32.87,1453814
#2018-11-14#,33,33.13,32.66,32.83,2448372
#2018-11-15#,32.71,33.09,31.95,33.04,2204845
#2018-11-16#,32.93,34.08,32.93,33.86,2995507
#2018-11-19#,33.92,34.1,33.28,33.46,1595015
#2018-11-20#,33.44,34.08,33.1,33.11,2065687
#2018-11-21#,32.95,33.2,32.51,32.57,1898832
#2018-11-22#,32.95,33.2,32.51,32.57,1898832
#2018-11-23#,32.56,32.73,32.115,32.42,794734
#2018-11-26#,32.62,33.27,32.58,33.27,2045363
#2018-11-27#,33.3,33.485,33.096,33.44,1187095
#2018-11-28#,33.42,34.05,33.4,33.76,1207039
#2018-11-29#,33.71,34.055,33.54,33.75,1354353
#2018-11-30#,33.89,34,33.69,33.97,2087198
#2018-12-03#,34.14,34.15,33.38,33.9,2082356
#2018-12-04#,33.9,34.54,33.82,33.92,1976899
#2018-12-05#,33.9,34.54,33.82,33.92,1976899
#2018-12-06#,33.82,34.43,33.09,34.39,2542460
#2018-12-07#,34.33,34.34,33.835,34.05,1600026
#2018-12-10#,34.18,34.25,33.4907,33.98,1393963
#2018-12-11#,34.16,34.695,34.16,34.46,1792755
#2018-12-12#,34.68,34.8271,34.06,34.07,1786980
#2018-12-13#,34.26,35,34.13,34.95,2455555
#2018-12-14#,34.39,35.03,34.25,35.02,2563554
#2018-12-17#,35.02,35.18,33.24,33.37,2751327
#2018-12-18#,33.68,34.35,33.445,33.91,2887097
#2018-12-19#,33.9,34.16,33.2001,33.27,2154980
#2018-12-20#,33.33,33.35,31.98,32.42,2849194
#2018-12-21#,32.51,33.49,32.08,32.13,3856877
#2018-12-24#,32.06,32.32,30.61,30.64,1484745
#2018-12-25#,32.06,32.32,30.61,30.64,1484745
#2018-12-26#,30.76,32.12,30.56,32.07,2226679
#2018-12-27#,31.9,32.16,31.01,32.16,1890154
#2018-12-28#,32.39,32.85,32.05,32.39,1794110
#2018-12-31#,32.39,32.52,31.87,32.41,1380907
#2019-01-01#,32.39,32.52,31.87,32.41,1380907
