"Date","Open","High","Low","Close","Volume"
#2012-01-02#,34.72,35.07,34.71,34.77,318538
#2012-01-03#,35.48,35.6,34.67,34.7,374734
#2012-01-04#,34.55,34.88,34.445,34.8,393627
#2012-01-05#,34.79,35.32,34.46,35.08,342439
#2012-01-06#,35.05,35.05,34.66,34.7,268027
#2012-01-09#,34.77,34.99,34.39,34.67,215574
#2012-01-10#,34.97,35.338,34.83,35.13,226903
#2012-01-11#,35.05,35.18,34.94,35.02,361946
#2012-01-12#,35.01,35.44,34.61,35.32,220207
#2012-01-13#,35.1,35.28,34.79,35.28,340702
#2012-01-16#,35.1,35.28,34.79,35.28,340702
#2012-01-17#,35.43,35.75,35.24,35.33,254735
#2012-01-18#,35.26,36.57,35.25,36.56,403596
#2012-01-19#,36.58,37.35,36.54,37.15,564036
#2012-01-20#,37.03,37.03,36.33,36.41,330349
#2012-01-23#,36.45,37.4,36.45,37.23,367319
#2012-01-24#,37.06,37.45,37,37.4,316054
#2012-01-25#,37.34,38.06,37.15,38.02,268685
#2012-01-26#,38.14,38.25,37.97,38.25,311172
#2012-01-27#,38.1,38.19,37.84,37.95,318403
#2012-01-30#,37.66,38.09,37.55,37.69,212665
#2012-01-31#,37.92,38.05,37.47,37.91,204251
#2012-02-01#,38.08,38.95,38,38.88,363631
#2012-02-02#,38.87,39.09,38.24,38.31,321844
#2012-02-03#,38.71,39.15,38.65,38.83,378456
#2012-02-06#,38.66,39.19,38.66,39.15,439603
#2012-02-07#,38.76,39.66,37.291,37.71,1228830
#2012-02-08#,37.67,37.91,37.35,37.7,580560
#2012-02-09#,37.67,37.92,37.46,37.81,452204
#2012-02-10#,37.52,37.81,37.44,37.57,468527
#2012-02-13#,37.87,38,37.61,37.92,275161
#2012-02-14#,37.69,38,37.57,37.75,292620
#2012-02-15#,37.84,38.1,37.71,38.03,408967
#2012-02-16#,38.03,38.66,37.9,38.23,312518
#2012-02-17#,38.63,39.71,38.6,38.82,438834
#2012-02-20#,38.63,39.71,38.6,38.82,438834
#2012-02-21#,38.63,38.86,38.53,38.7,243320
#2012-02-22#,38.7,39.64,37.82,39.16,458116
#2012-02-23#,39.24,40.16,38.99,40.11,554005
#2012-02-24#,40.03,40.479,39.81,40.35,560863
#2012-02-27#,40.04,40.5,39.71,40.1,440754
#2012-02-28#,40.01,40.13,39.66,39.84,463992
#2012-02-29#,39.96,40.46,39.73,40.26,668319
#2012-03-01#,40.27,40.5,39.81,39.89,797096
#2012-03-02#,39.91,40.17,38.97,39.33,574609
#2012-03-05#,39.33,39.91,39.25,39.75,315973
#2012-03-06#,39.43,39.65,39.1,39.21,352037
#2012-03-07#,39.27,39.9,39.14,39.81,354481
#2012-03-08#,39.96,40.7,39.732,40.48,435006
#2012-03-09#,40.38,41.06,40.28,40.88,622815
#2012-03-12#,40.84,41.2,40.74,41.16,390555
#2012-03-13#,41.23,42.14,41.14,42.14,524056
#2012-03-14#,41.94,42.04,41.46,41.84,442335
#2012-03-15#,41.86,42,41.51,41.96,310566
#2012-03-16#,42.27,42.65,41.93,42.13,629241
#2012-03-19#,41.87,42.57,41.84,42.4,415847
#2012-03-20#,42.05,42.2,41.76,42.05,302723
#2012-03-21#,41.91,42.39,41.85,42.18,328027
#2012-03-22#,41.79,42.07,41.72,42.03,432816
#2012-03-23#,41.92,42.28,41.91,42.28,436342
#2012-03-26#,42.42,43.17,42.42,43.1,450414
#2012-03-27#,43.19,43.19,42.28,43,650875
#2012-03-28#,42.9,43.16,42.79,43.15,598645
#2012-03-29#,42.73,42.959,42.42,42.7,629673
#2012-03-30#,42.98,43.06,42.61,42.64,567299
#2012-04-02#,42.93,43.41,42.72,43.09,437611
#2012-04-03#,43.1,43.34,42.97,43.34,543715
#2012-04-04#,42.92,43.58,42.87,43.46,751188
#2012-04-05#,43.2,43.41,43,43.12,346113
#2012-04-06#,43.2,43.41,43,43.12,346113
#2012-04-09#,42.43,42.71,42.2,42.58,451546
#2012-04-10#,42.44,42.49,41.72,41.77,334125
#2012-04-11#,42.11,42.44,41.91,42.22,262192
#2012-04-12#,42.29,42.66,42.11,42.46,271846
#2012-04-13#,42.25,42.68,42.146,42.27,352299
#2012-04-16#,42.43,42.65,42.01,42.21,234417
#2012-04-17#,42.52,43.34,42.44,43.09,221230
#2012-04-18#,42.86,43.25,42.74,43.07,361591
#2012-04-19#,43.04,43.35,42.59,42.86,296819
#2012-04-20#,42.94,43.58,42.872,43.16,198362
#2012-04-23#,42.79,42.79,41.94,42.31,376508
#2012-04-24#,42.3,42.44,41.81,41.91,387006
#2012-04-25#,42.29,43.07,42.2,42.94,370875
#2012-04-26#,42.85,43.66,42.775,43.29,307337
#2012-04-27#,43.45,43.66,43.1,43.46,425455
#2012-04-30#,43.37,43.92,43.31,43.8,401338
#2012-05-01#,43.76,44.72,43.47,44.49,650659
#2012-05-02#,44.17,44.97,44.01,44.92,955579
#2012-05-03#,44.65,44.65,42.55,43.65,1486250
#2012-05-04#,43.83,44.01,43.34,43.76,404110
#2012-05-07#,43.43,44.14,43,44.02,748244
#2012-05-08#,43.73,44.03,42.89,43.31,659586
#2012-05-09#,42.86,43.59,42.69,43.39,639521
#2012-05-10#,43.49,43.61,42.99,43.09,318823
#2012-05-11#,42.92,43.5,42.86,43.02,369602
#2012-05-14#,42.77,43.006,42.36,42.51,231037
#2012-05-15#,42.42,43.27,42.37,42.55,343128
#2012-05-16#,42.75,43.13,42.42,42.5,426285
#2012-05-17#,42.39,42.63,41.91,41.95,803058
#2012-05-18#,42.12,42.44,41.22,41.24,434401
#2012-05-21#,41.23,41.7,40.83,41.67,655324
#2012-05-22#,41.65,42.13,41.48,42.13,495300
#2012-05-23#,41.77,42.06,41.13,41.69,726285
#2012-05-24#,41.64,41.69,40.94,41.06,883362
#2012-05-25#,41.17,41.53,41.05,41.2,411886
#2012-05-28#,41.17,41.53,41.05,41.2,411886
#2012-05-29#,41.54,41.93,40.85,41.11,696731
#2012-05-30#,40.89,41.243,40.6,40.74,409929
#2012-05-31#,40.83,40.99,40.11,40.68,2933877
#2012-06-01#,39.79,40.11,39.5,39.78,618776
#2012-06-04#,39.79,40.47,39.79,40.36,531503
#2012-06-05#,40.16,41,40.08,40.78,340724
#2012-06-06#,41,41.82,40.88,41.82,324731
#2012-06-07#,42.17,42.4,42,42.12,549329
#2012-06-08#,41.98,42.31,41.66,42.17,265213
#2012-06-11#,42.41,42.41,41.71,41.74,378200
#2012-06-12#,41.85,42,41.2,41.83,381937
#2012-06-13#,41.66,42.31,41.49,41.6,415103
#2012-06-14#,41.69,42.5,41.55,42.27,300428
#2012-06-15#,42.41,43.14,42.27,43.02,613038
#2012-06-18#,42.82,44.23,42.7,44.08,613928
#2012-06-19#,44.15,44.24,43.15,43.3,481357
#2012-06-20#,43.29,43.29,42.76,43,271511
#2012-06-21#,42.93,43.17,42.1,42.39,345151
#2012-06-22#,42.59,43.36,42.17,43.05,906973
#2012-06-25#,42.63,42.64,41.88,42.3,279623
#2012-06-26#,42.37,42.57,41.93,42.37,270839
#2012-06-27#,42.53,43.26,42.38,43.13,270561
#2012-06-28#,42.7,42.725,42,42.56,505179
#2012-06-29#,43.32,43.55,42.77,43.05,704052
#2012-07-02#,43.36,45.09,43.36,45.02,902170
#2012-07-03#,45.08,45.28,44.88,45.25,193058
#2012-07-04#,45.08,45.28,44.88,45.25,193058
#2012-07-05#,45.29,46.69,45.04,46.49,1084669
#2012-07-06#,46.27,46.28,45.35,45.8,812635
#2012-07-09#,45.84,45.91,45.49,45.78,767707
#2012-07-10#,45.98,46.25,45.285,45.41,505363
#2012-07-11#,45.54,46.13,45.45,45.99,542075
#2012-07-12#,45.83,45.83,44.9,45.46,465579
#2012-07-13#,45.48,45.94,45.2,45.71,279216
#2012-07-16#,45.58,45.95,45.41,45.85,272921
#2012-07-17#,45.9,46.52,45.5,45.71,580056
#2012-07-18#,45.69,46.38,45.65,45.96,487496
#2012-07-19#,46.19,46.24,45.59,45.78,253341
#2012-07-20#,45.37,45.43,44.825,45.06,212668
#2012-07-23#,43.99,44.85,43.84,44.68,191078
#2012-07-24#,44.59,44.63,43.27,43.42,467329
#2012-07-25#,43.55,44.01,43.34,43.61,503159
#2012-07-26#,43.32,43.86,42.49,43.69,1519408
#2012-07-27#,43.91,44.8,43.82,44.37,554203
#2012-07-30#,44.32,45.01,44.22,44.92,417241
#2012-07-31#,44.92,45.21,44.37,44.39,246296
#2012-08-01#,44.48,44.69,43.8,43.94,276004
#2012-08-02#,43.56,44.59,43.53,44.54,541049
#2012-08-03#,45,48.51,45,46.84,1145518
#2012-08-06#,47.12,48.19,46.96,47.95,820820
#2012-08-07#,47.94,48.24,47.39,48,466442
#2012-08-08#,47.85,48.09,47.6,47.83,390142
#2012-08-09#,47.67,48.14,47.31,47.94,374263
#2012-08-10#,47.92,48.54,47.57,48.5,261052
#2012-08-13#,48.56,49.54,48.5,49.46,671113
#2012-08-14#,49.45,49.5,48.04,48.2,439858
#2012-08-15#,48.24,48.52,48,48.15,239574
#2012-08-16#,48.15,48.41,47.95,48.3,540542
#2012-08-17#,48.38,48.99,48.31,48.76,305917
#2012-08-20#,48.76,48.84,48.105,48.84,265116
#2012-08-21#,48.87,49.38,48.74,49.14,473854
#2012-08-22#,48.98,49.39,48.62,49.01,420956
#2012-08-23#,49.05,49.05,48.525,48.65,346168
#2012-08-24#,48.68,48.96,48.352,48.75,185679
#2012-08-27#,49.05,49.48,49.02,49.15,216346
#2012-08-28#,48.96,49.87,48.31,49.67,496175
#2012-08-29#,49.53,49.97,49.28,49.89,242225
#2012-08-30#,49.43,49.8,49.09,49.3,266075
#2012-08-31#,49.78,49.78,48.99,49.39,244823
#2012-09-03#,49.78,49.78,48.99,49.39,244823
#2012-09-04#,49.45,50.67,49,50.67,454477
#2012-09-05#,50.51,51.44,50.17,51.01,587936
#2012-09-06#,51.15,51.45,50.8,50.99,439298
#2012-09-07#,50.89,50.89,48.83,48.92,993784
#2012-09-10#,49.08,49.96,48.83,49.35,355179
#2012-09-11#,49.27,49.94,49.13,49.18,364183
#2012-09-12#,49.24,49.85,49.24,49.67,375952
#2012-09-13#,49.65,49.84,49.18,49.71,360674
#2012-09-14#,49.75,50.1,49.29,49.92,254770
#2012-09-17#,49.68,49.74,49.26,49.37,288701
#2012-09-18#,49.43,49.53,49.03,49.18,358107
#2012-09-19#,49.17,49.366,48.56,48.99,439023
#2012-09-20#,48.74,49.065,48.59,48.72,260545
#2012-09-21#,49.12,49.34,47.52,47.62,1015289
#2012-09-24#,46.51,47.69,46.1,47.35,405134
#2012-09-25#,47.62,47.65,46.32,46.32,421998
#2012-09-26#,46.3,46.48,45.5,46.3,931717
#2012-09-27#,46.42,46.885,46.21,46.31,716061
#2012-09-28#,46.3,46.37,45.77,46.09,540997
#2012-10-01#,46.1,46.268,45.13,45.8,860997
#2012-10-02#,46.08,46.16,45.56,45.93,433104
#2012-10-03#,46.14,46.64,45.94,46.26,368267
#2012-10-04#,46.29,46.52,45.8,46.51,413704
