"Date","Open","High","Low","Close","Volume"
#2000-01-03#,30.25,32.4063,30.1875,31.9375,6250800
#2000-01-04#,31.8125,31.8438,30.25,30.5,2799600
#2000-01-05#,30.5,31.125,30.0313,30.875,2350800
#2000-01-06#,30.4375,30.875,30.25,30.6563,2038800
#2000-01-07#,31.1875,32.6875,31.125,32.625,3213800
#2000-01-10#,32.6875,33.3125,32.6563,33.25,1856800
#2000-01-11#,33.2188,33.8438,32.5938,32.9063,1698200
#2000-01-12#,32.9063,33.1875,32.4063,32.5,1353000
#2000-01-13#,32.5,34.5,32.5,34.1563,2671600
#2000-01-14#,34.2813,34.3438,33.6563,33.75,1230200
#2000-01-17#,34.2813,34.3438,33.6563,33.75,1230200
#2000-01-18#,33.125,33.2188,32.25,32.2813,1415200
#2000-01-19#,32.0625,32.4375,31.75,32.1875,1249200
#2000-01-20#,32.5,32.5625,31.25,31.4688,895600
#2000-01-21#,32.125,32.1875,31.0625,31.2188,2320800
#2000-01-24#,31.375,31.375,30.5,30.6563,1092000
#2000-01-25#,30.6563,30.6875,29.2813,29.8125,2350800
#2000-01-26#,29.9375,30.1875,29.3125,30.1563,1829200
#2000-01-27#,30.1875,30.7813,29.75,29.875,1382000
#2000-01-28#,29.75,29.875,28.75,28.75,1109200
#2000-01-31#,29,29.8125,28.4688,29.25,1644000
#2000-02-01#,29.375,29.8438,29.1563,29.6563,1235800
#2000-02-02#,29.6563,29.9688,29.3438,29.6563,1505400
#2000-02-03#,30,30.875,29.7813,30.1875,1542800
#2000-02-04#,30.3125,30.3125,29.9688,30.1563,1257200
#2000-02-07#,30.0938,30.4375,30.0313,30.2813,1020400
#2000-02-08#,30.4063,30.6563,29.7188,29.8438,1516200
#2000-02-09#,29.8125,29.9375,29.5938,29.625,1234400
#2000-02-10#,29.7188,29.8125,28,28.5,1108200
#2000-02-11#,28.625,28.625,27.375,27.8438,1299200
#2000-02-14#,27.8438,27.9375,27.125,27.3438,1680400
#2000-02-15#,27.3125,29.8438,27.25,29.25,1787400
#2000-02-16#,29.2188,29.8125,28.3438,28.9063,1355800
#2000-02-17#,28.9063,29.1563,28.6875,28.7813,1224600
#2000-02-18#,28,29.125,28,28.1563,1978000
#2000-02-21#,28,29.125,28,28.1563,1978000
#2000-02-22#,28.6875,29.1563,28.0313,28.9375,1065200
#2000-02-23#,28.375,29.7813,28.25,29.625,1305400
#2000-02-24#,29,29.0313,27.3438,28.2813,1966200
#2000-02-25#,28,28,25.9375,26.375,2002600
#2000-02-28#,25.5625,26.4688,25.5625,26.125,2485600
#2000-02-29#,26.125,26.375,25.5313,25.8438,2145000
#2000-03-01#,25.9688,26.75,25.8125,26.5,1582400
#2000-03-02#,26.5,26.7188,26.1875,26.5,1181200
#2000-03-03#,26.5,28,26.5,27.5625,1019600
#2000-03-06#,27.9375,28.1875,26.5938,26.9688,1176200
#2000-03-07#,26.9688,27.2188,26.0625,26.25,1689200
#2000-03-08#,26.3438,27.4063,26.25,27.0313,1656200
#2000-03-09#,26.9063,27.4688,26.75,27.4375,1481600
#2000-03-10#,27.3125,27.4375,26.7813,27.1875,1005800
#2000-03-13#,26.5,27.25,26,27.0938,1565600
#2000-03-14#,27.1563,27.4688,26.8125,27,1161000
#2000-03-15#,27.125,29.625,26.9375,29.25,2499200
#2000-03-16#,29.3438,32.375,29.1563,32.1875,2386200
#2000-03-17#,32.1875,32.8125,31.5,32.4063,2389800
#2000-03-20#,32.2813,32.3125,31.0313,31.125,1743400
#2000-03-21#,31.1563,31.2813,30.3125,31.0313,1084600
#2000-03-22#,31,31.0938,30.375,30.5938,1086600
#2000-03-23#,30.5,30.5313,29.2813,30.125,1639000
#2000-03-24#,30.125,30.375,29.3125,29.7813,1993200
#2000-03-27#,29.5,29.7813,28.8125,29.1953,1303800
#2000-03-28#,29.0313,29.7813,28.375,28.5,1790800
#2000-03-29#,28.4063,29.1875,28.3125,28.6875,1706600
#2000-03-30#,28.6875,29.6875,27.9063,29.0313,2237400
#2000-03-31#,29.0313,30.1563,27.625,27.625,1917200
#2000-04-03#,28,29.875,28,29.5938,1432400
#2000-04-04#,29.5,30.6875,28.875,30,1708000
#2000-04-05#,30.375,30.5,29.1563,29.5313,1628200
#2000-04-06#,29.9063,30.4375,29.1875,29.375,1000600
#2000-04-07#,29.75,29.9688,28.9688,29.125,807600
#2000-04-10#,29.0938,30.0625,28.875,29.6563,864400
#2000-04-11#,30.125,30.4688,29.7813,30,1189400
#2000-04-12#,30.25,32.25,30.25,32,2041000
#2000-04-13#,31.5,31.75,30.875,31.0313,1292200
#2000-04-14#,31.0625,31.3125,29.5313,29.5625,1719000
#2000-04-17#,29.625,30.625,29.125,30.5313,1199600
#2000-04-18#,30.5,30.5313,29.5,29.5625,2115600
#2000-04-19#,29.625,30.375,29.5313,30.25,1127400
