"Date","Open","High","Low","Close","Volume"
#2015-01-01#,40.11,40.13,39.475,39.52,1752381
#2015-01-02#,39.72,39.815,38.865,39.14,2899023
#2015-01-05#,38.77,38.89,37.94,38,4067588
#2015-01-06#,37.6,37.99,36.9,37.21,5081128
#2015-01-07#,37.66,37.96,37.41,37.7,2547614
#2015-01-08#,38.16,38.71,38.02,38.36,2892108
#2015-01-09#,38.38,38.4499,37.635,37.65,2609958
#2015-01-12#,37.64,37.64,36.95,37.43,2286496
#2015-01-13#,37.79,38.26,37.025,37.33,4254959
#2015-01-14#,36.75,36.88,36.22,36.55,4716632
#2015-01-15#,36.6,36.8,35.91,35.93,4341148
#2015-01-16#,35.66,36.35,35.45,36.34,3427837
#2015-01-19#,35.66,36.35,35.45,36.34,3427837
#2015-01-20#,36.47,36.53,35.88,35.98,3097408
#2015-01-21#,35.91,36.4399,35.42,36.31,4313837
#2015-01-22#,36.58,37.49,36.03,37.32,5032909
#2015-01-23#,37.27,37.33,36.96,37.03,4714498
#2015-01-26#,37.25,37.4721,36.83,37.4,2895112
#2015-01-27#,36.87,37.4,36.74,37.13,3463269
#2015-01-28#,37.43,37.43,36.33,36.34,4190477
#2015-01-29#,37.28,37.86,36.63,37.77,6845390
#2015-01-30#,37.17,37.57,36.43,36.73,5168426
#2015-02-02#,36.83,37.44,36.49,37.42,3529549
#2015-02-03#,37.77,38.7,37.66,38.67,4752557
#2015-02-04#,38.52,38.84,38.37,38.46,2869468
#2015-02-05#,38.64,39.16,38.58,38.93,2835631
#2015-02-06#,39.28,39.58,38.74,38.85,3501761
#2015-02-09#,38.58,38.93,38.46,38.75,1885957
#2015-02-10#,39.16,39.415,38.702,39.37,2182405
#2015-02-11#,39.38,39.535,39.05,39.37,1827408
#2015-02-12#,39.78,39.79,39.4099,39.58,2405480
#2015-02-13#,39.6,39.79,39.43,39.52,1956101
#2015-02-16#,39.6,39.79,39.43,39.52,1956101
#2015-02-17#,39.44,39.73,39.2801,39.51,1925280
#2015-02-18#,39.5,39.6,39.065,39.18,2029764
#2015-02-19#,39.06,39.34,38.92,39.18,2904632
#2015-02-20#,38.96,40.14,38.96,40.03,4124516
#2015-02-23#,39.97,40.01,39.58,39.74,2056921
#2015-02-24#,39.65,40.299,39.65,40.2,2787279
#2015-02-25#,40.1,40.28,39.97,40.19,1996629
#2015-02-26#,40.12,40.73,40.05,40.33,3675103
#2015-02-27#,40.35,40.4,40.08,40.27,3683783
#2015-03-02#,39.93,40.53,39.85,40.46,3099793
