"Date","Open","High","Low","Close","Volume"
#2014-01-01#,115.36,115.71,115.17,115.36,38358640
#2014-01-02#,115.09,115.12,113.64,114.11,44250045
#2014-01-03#,114.5,114.895,114.11,114.69,26471622
#2014-01-06#,115.22,115.265,113.71,113.76,36201506
#2014-01-07#,114.19,115.16,114.11,114.71,28546997
#2014-01-08#,114.78,115.08,114.07,114.86,30764666
#2014-01-09#,115.25,115.39,114.16,114.89,29873359
#2014-01-10#,114.92,115.53,114.3999,115.52,29175394
#2014-01-13#,115.3,115.49,113.2606,113.94,45378016
#2014-01-14#,114.44,115.51,114.18,115.34,39126063
#2014-01-15#,115.64,116.29,115.56,116.2,31644489
#2014-01-16#,116.05,116.38,115.83,116.34,23095126
#2014-01-17#,116.31,116.43,115.69,115.93,28737861
#2014-01-20#,116.31,116.43,115.69,115.93,28737861
#2014-01-21#,116.73,116.87,115.78,116.62,29829225
#2014-01-22#,116.69,117.37,116.5,117.21,24019722
#2014-01-23#,116.72,116.78,115.66,116.42,36059538
#2014-01-24#,115.69,115.74,113.2201,113.45,57138648
#2014-01-27#,113.78,113.84,111.15,111.79,60388333
#2014-01-28#,111.93,112.985,111.79,112.97,43845082
#2014-01-29#,111.88,112.58,111.02,111.34,61930645
#2014-01-30#,112.33,113.65,112.04,113.001,40867981
#2014-01-31#,111.25,113,111.17,112.16,49294763
#2014-02-03#,111.87,112.2,108.15,108.65,91709562
#2014-02-04#,109.19,109.95,108.4,109.47,53173783
#2014-02-05#,108.81,109.15,107.27,108.65,60669948
#2014-02-06#,108.88,109.97,108.85,109.51,57619699
#2014-02-07#,109.97,110.835,109.5,110.75,52626463
#2014-02-10#,110.79,111.09,109.96,111.04,38261778
#2014-02-11#,111.12,112.34,110.87,112.03,44404445
#2014-02-12#,112.2,113.01,111.972,112.47,42324292
#2014-02-13#,111.38,114.07,111.36,113.9,42102313
#2014-02-14#,113.64,114.21,113.14,114.06,33396501
#2014-02-17#,113.64,114.21,113.14,114.06,33396501
#2014-02-18#,114.41,115.45,114.14,115.25,33666606
#2014-02-19#,114.9,115.64,113.98,114.07,44064964
#2014-02-20#,114.2,115.54,113.91,115.3,35941069
#2014-02-21#,115.62,116.11,115.4,115.66,34815637
#2014-02-24#,115.84,117.305,115.76,116.51,43116053
#2014-02-25#,116.66,117.24,116.18,116.63,28488442
#2014-02-26#,116.71,118.11,116.43,117.35,40808471
#2014-02-27#,116.96,118.055,116.76,117.99,29911862
#2014-02-28#,117.96,118.71,116.8,117.52,47375710
#2014-03-03#,116.52,117.26,115.58,116.89,50899497
#2014-03-04#,118.2,120.58,118.18,119.83,112815303
#2014-03-05#,119.86,119.96,119.47,119.76,34692352
#2014-03-06#,120.12,120.25,119.42,119.74,35093117
#2014-03-07#,120.41,120.47,119.025,119.7,36955761
#2014-03-10#,119.36,119.58,118.49,119.3,32095387
#2014-03-11#,119.41,119.805,117.51,118.06,50376565
#2014-03-12#,117.34,118.44,116.92,118.42,37236926
#2014-03-13#,118.85,118.96,116.38,117.05,53542790
#2014-03-14#,116.63,117.87,116.62,117.54,46894073
#2014-03-17#,118.22,119.1,117.878,118.06,41563375
#2014-03-18#,118.22,119.88,118.1,119.78,41606597
#2014-03-19#,119.68,119.74,118.1,119,47422981
#2014-03-20#,118.73,119.54,118.16,119.16,33212932
#2014-03-21#,119.72,120.26,118.56,118.61,47872766
#2014-03-24#,119.07,119.23,116.19,117.26,66747026
#2014-03-25#,117.665,118.31,116.14,116.93,47699697
#2014-03-26#,117.63,117.68,114.65,114.69,69060817
#2014-03-27#,114.71,115.38,113.69,114.4,65234852
#2014-03-28#,114.48,116,113.98,114.29,50557963
#2014-03-31#,115.04,116.68,114.6299,116.34,44599234
#2014-04-01#,116.63,118.06,116.59,117.87,47906600
#2014-04-02#,118.29,118.482,117.71,118.4,33856476
#2014-04-03#,118.4,118.44,116.68,117.2,38473979
#2014-04-04#,117.96,118.12,114.02,114.49,86345902
#2014-04-07#,113.95,114.24,112.08,112.82,68537730
#2014-04-08#,112.81,114.2,112.2,113.61,60088199
#2014-04-09#,114,115.25,113.5,115.25,42744858
#2014-04-10#,115.1,115.11,111.4,111.959,74865768
#2014-04-11#,111.04,112.2375,109.86,110.41,71007952
#2014-04-14#,111.55,111.97,109.65,110.72,62662262
#2014-04-15#,111.08,111.72,108.66,111.15,76969749
#2014-04-16#,111.93,112.44,111.23,112.36,49360448
#2014-04-17#,111.99,113.41,111.72,112.92,50276042
#2014-04-18#,111.99,113.41,111.72,112.92,50276042
#2014-04-21#,113.13,113.53,112.28,113.45,31970685
#2014-04-22#,113.63,115.02,113.47,114.62,40541907
#2014-04-23#,114.48,114.77,113.77,113.9,33863201
#2014-04-24#,114.62,114.67,112.68,113.61,44323900
#2014-04-25#,113.17,113.21,111.21,111.61,58391755
#2014-04-28#,112.01,112.54,109.32,110.96,66050449
#2014-04-29#,111.42,111.98,110.9,111.24,34487600
#2014-04-30#,110.88,112.06,109.95,111.98,43933159
#2014-05-01#,111.75,112.77,110.54,111.94,78690921
#2014-05-02#,112.09,113.12,111.68,112.03,43451603
#2014-05-05#,111.12,112.18,110.53,111.89,28108490
#2014-05-06#,111.41,111.71,109.99,110.07,45355109
#2014-05-07#,110.2,110.45,108.43,110.139,64244972
#2014-05-08#,110.03,111.24,108.69,109.03,58522868
#2014-05-09#,108.69,110.06,108.28,110.03,48409859
#2014-05-12#,110.68,113.035,110.51,112.53,76294561
#2014-05-13#,112.38,112.85,111.34,111.43,58122812
#2014-05-14#,111.1,111.12,109.42,109.62,65720721
#2014-05-15#,109.07,109.21,107.44,108.88,75870525
#2014-05-16#,108.93,109.62,108.03,109.57,44668826
#2014-05-19#,109.27,111.04,108.95,110.75,35339501
#2014-05-20#,110.48,110.51,108.42,109.06,89570244
#2014-05-21#,109.65,110.13,108.55,109.62,55278486
#2014-05-22#,109.96,111.05,109.62,110.76,41295052
#2014-05-23#,110.69,112.02,110.51,111.97,42649313
#2014-05-26#,110.69,112.02,110.51,111.97,42649313
#2014-05-27#,112.69,113.84,112.65,113.58,46373919
#2014-05-28#,113.33,113.46,112.525,112.99,37055940
#2014-05-29#,113.33,113.59,112.7,113.37,25557332
#2014-05-30#,113.33,113.43,112.34,112.86,38856791
#2014-06-02#,113.07,113.1,111.36,112.25,40374390
#2014-06-03#,111.64,112.36,111.11,111.98,31147213
#2014-06-04#,111.48,112.565,111.16,112.42,28835813
#2014-06-05#,112.72,114.88,112.09,114.78,67185749
#2014-06-06#,115.27,116.24,115.11,115.88,45854004
#2014-06-09#,115.88,117.48,115.66,116.9,44032217
#2014-06-10#,116.63,116.83,115.96,116.67,39801683
#2014-06-11#,116.03,116.33,115.4,116.1,30149927
#2014-06-12#,115.78,115.9199,114.91,115.39,39482798
#2014-06-13#,115.67,115.91,114.66,115.59,33779504
#2014-06-16#,115.49,116.15,115.1,116.15,30052776
#2014-06-17#,116.04,117.45,115.78,116.97,62581411
#2014-06-18#,116.9,117.81,116.5,117.76,37448855
#2014-06-19#,118.17,118.23,117.1,117.86,30915956
#2014-06-20#,117.87,118.3,117.56,118.25,30104388
#2014-06-23#,118.5,118.55,117.69,118.02,21388730
#2014-06-24#,117.74,118.91,116.6528,116.76,41792423
#2014-06-25#,116.06,117.79,116.05,117.75,34620791
#2014-06-26#,117.79,117.82,116.59,117.55,28018883
#2014-06-27#,117.06,118.51,117.03,118.34,38525081
#2014-06-30#,118.16,118.88,117.83,118.81,34227986
#2014-07-01#,119.26,120.97,119.2,120.02,65733194
#2014-07-02#,119.56,119.96,118.89,119.1,30796790
