"Date","Open","High","Low","Close","Volume"
#2011-01-03#,46.21,47.38,45.92,46.98,1109137
#2011-01-04#,47,47.04,45.97,46.04,1286628
#2011-01-05#,45.9,46.05,45.3,45.49,1276226
#2011-01-06#,45.49,45.99,45.4,45.67,1198528
#2011-01-07#,45.75,46.1,44.92,45.27,857033
#2011-01-10#,45.635,45.95,45.32,45.88,1768464
#2011-01-11#,46.17,47.16,45.88,47.1,1914546
#2011-01-12#,47.4,48.79,47.4,48.68,2268656
#2011-01-13#,48.55,49,48.19,48.75,1367797
#2011-01-14#,48.71,55.7258,48.71,51.02,2963974
#2011-01-17#,48.71,55.7258,48.71,51.02,2963974
#2011-01-18#,50.71,51.2,50.29,51.16,1203172
#2011-01-19#,51.06,51.41,49.53,50.09,1498465
#2011-01-20#,50.17,50.2,48.87,49.32,1499429
#2011-01-21#,49.86,50.35,49.24,49.72,1267090
#2011-01-24#,49.96,50.98,49.65,50.32,1211204
#2011-01-25#,48.4,49.53,48.08,49.49,2682393
#2011-01-26#,51.07,53.12,51.07,53.01,4299211
#2011-01-27#,52.86,52.86,51.25,52.1,1143171
#2011-01-28#,52.21,52.5,49.91,49.95,1581966
#2011-01-31#,50.07,51.68,49.74,51.37,1351525
#2011-02-01#,52.1,52.67,51.98,52.53,1175443
#2011-02-02#,52.12,52.59,51.78,52.13,908985
#2011-02-03#,51.88,52.08,50.94,51.85,784454
#2011-02-04#,51.99,52.2,51.512,52.1,1278209
#2011-02-07#,52.14,53.18,52.14,52.94,782531
#2011-02-08#,52.88,53,52.17,52.8,1193547
#2011-02-09#,52.47,52.55,50.97,51.48,1282590
#2011-02-10#,51.07,51.96,51.02,51.85,861752
#2011-02-11#,51.45,52.2,51.38,52.14,755616
#2011-02-14#,52.17,52.4,51.82,51.86,1072307
#2011-02-15#,51.68,51.68,50.73,50.74,1051040
#2011-02-16#,51.02,51.82,50.98,51.71,929054
#2011-02-17#,51.58,52.1,51.19,52.01,773122
#2011-02-18#,51.99,52,51.09,51.55,782307
#2011-02-21#,51.99,52,51.09,51.55,782307
#2011-02-22#,50.99,50.99,48.96,49.09,1503350
#2011-02-23#,48.87,49.42,47.17,48.47,2287832
#2011-02-24#,48.35,49.5,47.95,48.83,1274027
#2011-02-25#,49.06,49.8,49.02,49.67,879654
#2011-02-28#,49.84,50.13,49.34,50.06,906036
#2011-03-01#,50.2,50.26,49.21,49.53,1990278
#2011-03-02#,49.32,50.64,49.32,49.85,1842644
#2011-03-03#,50.54,50.85,50.25,50.81,1698217
#2011-03-04#,50.73,50.84,49.28,49.6,2026663
#2011-03-07#,49.81,49.82,47.91,48.14,2350412
#2011-03-08#,48.55,49.12,47.98,48.64,753300
#2011-03-09#,48.42,48.99,48,48.56,855292
#2011-03-10#,47.765,47.96,47.05,47.11,1308276
#2011-03-11#,47.1,49.15,47.092,49.08,1454891
#2011-03-14#,48.45,49.39,47.99,48.8,1776071
#2011-03-15#,47.05,48.98,47.05,48.58,1336449
#2011-03-16#,48.34,48.7,46.88,47.49,1261789
#2011-03-17#,48.62,48.92,47.77,48.03,1251880
#2011-03-18#,49.35,49.35,48.49,48.66,1005131
#2011-03-21#,49.51,49.62,49.01,49.4,1241346
#2011-03-22#,49.37,49.37,47.85,48.12,1524903
#2011-03-23#,47.88,48.34,47.3202,48.05,744333
#2011-03-24#,48.37,48.76,47.84,48.56,648016
#2011-03-25#,48.68,49.14,48.4216,48.73,652541
#2011-03-28#,48.78,48.93,48.23,48.24,806477
#2011-03-29#,49.15,49.5,48.77,49.34,1434134
#2011-03-30#,49.56,51.27,49.45,51.08,1932653
#2011-03-31#,51,51.49,50.7441,51.43,1299863
#2011-04-01#,51.84,52.44,51.26,51.54,1318674
#2011-04-04#,51.61,51.84,51.17,51.81,975132
#2011-04-05#,51.72,52.3,51.35,51.94,1309382
#2011-04-06#,52.07,52.49,51.51,51.97,927453
#2011-04-07#,51.84,52.1295,51.465,51.54,866783
#2011-04-08#,52.06,52.06,50.3,50.59,760740
#2011-04-11#,50.52,50.52,49.47,49.68,1200086
#2011-04-12#,49.13,49.5,48.19,48.32,1392807
#2011-04-13#,48.68,48.85,47.79,47.97,1530274
#2011-04-14#,47.72,48.26,47.52,48.13,994889
#2011-04-15#,48.21,49.75,48.189,49.59,1822432
#2011-04-18#,49.05,49.05,47.8735,48.39,1375838
#2011-04-19#,48.62,49.72,48.62,49.25,1262588
#2011-04-20#,50.19,50.34,49.7,50.26,1702106
#2011-04-21#,50.65,51.37,50.42,51.35,1239214
#2011-04-22#,50.65,51.37,50.42,51.35,1239214
#2011-04-25#,51.35,51.54,50.74,51.34,1445132
#2011-04-26#,51.13,51.79,49.23,49.53,2830352
#2011-04-27#,49.84,50.07,48.58,49.35,1830255
#2011-04-28#,49.06,49.23,48.54,48.84,1516878
#2011-04-29#,48.84,49.79,48.77,49.61,1039690
#2011-05-02#,49.88,50.19,48.54,48.67,1401346
#2011-05-03#,48.41,48.51,47.94,48.23,1571878
#2011-05-04#,48.15,48.27,46.93,47.2,1685919
#2011-05-05#,46.65,47.43,46.11,46.81,2451218
#2011-05-06#,47.63,48.23,46.78,47.04,1503474
#2011-05-09#,47.04,48.13,46.97,47.79,1155964
#2011-05-10#,48.08,48.68,47.78,48.61,1375766
#2011-05-11#,48.43,48.54,47.59,47.89,1261410
#2011-05-12#,47.59,47.93,46.76,47.36,1186676
#2011-05-13#,47.18,47.49,46.33,46.59,1134903
#2011-05-16#,46.99,46.99,46.1377,46.25,1453900
#2011-05-17#,45.91,45.99,45.14,45.7,1883999
#2011-05-18#,46.02,46.52,45.67,46.37,1215033
#2011-05-19#,46.71,47.25,46.42,47.13,1757992
#2011-05-20#,47.14,47.14,46.152,46.25,1401886
#2011-05-23#,45.71,45.71,44.29,44.53,2086153
#2011-05-24#,44.83,44.98,44,44.14,1585536
#2011-05-25#,43.89,45.05,43.82,44.61,1457187
#2011-05-26#,44.54,45.13,44.19,44.91,1285075
#2011-05-27#,45.15,45.78,45.0501,45.38,1100121
#2011-05-30#,45.15,45.78,45.0501,45.38,1100121
#2011-05-31#,45.87,46.06,45.45,46.06,1188267
#2011-06-01#,45.85,46.06,43.99,44.04,1493217
#2011-06-02#,44.06,44.89,43.82,44.1,1533855
#2011-06-03#,43.41,43.99,43.17,43.46,1363968
#2011-06-06#,43.29,43.45,42.48,42.65,1363145
#2011-06-07#,42.98,42.98,42.42,42.44,1526624
#2011-06-08#,42.26,42.4,41.89,42.05,964142
#2011-06-09#,42.15,42.49,41.89,42.19,669095
#2011-06-10#,41.89,42.09,41.25,41.51,826451
#2011-06-13#,41.55,41.68,40.87,41.36,664771
#2011-06-14#,41.92,42.77,41.75,42.61,1361009
#2011-06-15#,42.08,42.29,41.14,41.18,973223
#2011-06-16#,41.19,41.55,40.81,41.14,1192086
#2011-06-17#,41.65,41.86,40.76,40.95,1125243
#2011-06-20#,40.72,41.5125,40.53,41.27,1023851
#2011-06-21#,41.57,42.07,41.5,41.93,1128233
#2011-06-22#,41.77,42.33,41.71,41.76,861907
#2011-06-23#,41.02,42,40.62,41.92,1060269
#2011-06-24#,41.93,42.22,40.83,40.88,1485788
#2011-06-27#,40.79,41.21,40.71,40.99,674865
#2011-06-28#,41.26,42.08,41.05,42.01,780410
#2011-06-29#,42.15,42.59,41.85,42.35,834317
#2011-06-30#,42.54,43.46,42.42,43.25,1080666
#2011-07-01#,43.25,43.54,42.89,43.35,924526
#2011-07-04#,43.25,43.54,42.89,43.35,924526
#2011-07-05#,43.32,43.37,42.81,43.05,666129
#2011-07-06#,42.95,43.35,42.37,43.12,829998
#2011-07-07#,43.67,43.96,43.47,43.67,864883
#2011-07-08#,42.94,43.56,42.73,43.48,1159851
#2011-07-11#,42.78,42.79,41.61,41.64,1298251
#2011-07-12#,41.55,42.33,41.33,41.4,1553084
#2011-07-13#,41.67,42.34,41.46,41.58,1528275
#2011-07-14#,41.69,42.09,41.14,41.24,1251665
#2011-07-15#,41.3,41.56,40.82,41.56,1113025
#2011-07-18#,41.32,41.38,40.59,40.93,901841
#2011-07-19#,41.22,41.47,40.75,41.46,1307239
#2011-07-20#,41.63,41.908,41.31,41.64,877665
#2011-07-21#,41.95,43.015,41.73,42.95,1112008
#2011-07-22#,42.78,42.94,42.31,42.81,940568
#2011-07-25#,42.02,43.41,42.02,43,1125816
#2011-07-26#,42.79,43.17,40.84,41.23,1621515
#2011-07-27#,40.92,40.92,39.54,39.84,1431833
#2011-07-28#,39.93,40.13,38.99,39.16,1368686
#2011-07-29#,38.8,39.61,38.5,39.14,1419328
#2011-08-01#,39.65,39.83,38.25,38.86,1330292
#2011-08-02#,38.56,39.18,37.72,37.72,2015118
#2011-08-03#,37.69,38.215,36.69,38.08,2249565
#2011-08-04#,37.33,37.34,35.98,36.01,3549095
#2011-08-05#,36.87,37.11,34.72,35.64,3205547
#2011-08-08#,34.55,35.06,32.14,33.13,4910586
#2011-08-09#,33.68,34.59,32.25,34.5,4432540
#2011-08-10#,33.6,34.98,33.03,33.32,3449177
#2011-08-11#,33.74,35.81,33.39,35.24,2473453
#2011-08-12#,35.69,35.93,34.8,35.23,1456130
#2011-08-15#,35.6,36.1,35.53,36.05,1826533
#2011-08-16#,35.4,35.7365,34.81,35.14,1344406
#2011-08-17#,35.41,35.89,34.62,34.95,1215737
#2011-08-18#,33.81,33.84,32.21,32.56,1758137
#2011-08-19#,32.1,33.53,31.69,31.88,2869194
#2011-08-22#,32.83,32.83,32.07,32.26,1639837
#2011-08-23#,32.38,33.78,31.94,33.76,1447560
#2011-08-24#,33.52,35.08,33.52,34.97,1520479
#2011-08-25#,35.15,35.41,33.98,34.12,1742370
#2011-08-26#,33.78,35.48,33.465,35.25,1517350
#2011-08-29#,35.7,36.27,35.5,36.27,1144249
#2011-08-30#,36.02,37.43,35.8,37.13,1305877
#2011-08-31#,37.47,38.04,36.87,37.24,1168761
#2011-09-01#,37.17,37.63,36.5,36.55,996930
#2011-09-02#,35.5,35.8,34.78,35.03,852033
#2011-09-05#,35.5,35.8,34.78,35.03,852033
#2011-09-06#,33.65,35.44,33.56,35.14,1251117
#2011-09-07#,35.8,37.41,35.79,37.11,1259317
#2011-09-08#,36.62,37.15,36.15,36.31,1019176
#2011-09-09#,35.86,36.02,34.86,35.23,1249350
#2011-09-12#,34.76,35.48,34.1,34.85,1751931
#2011-09-13#,34.9,35.91,34.85,35.67,1220837
#2011-09-14#,35.82,36.49,34.89,36.02,1282511
#2011-09-15#,36.41,36.869,35.96,36.77,876992
#2011-09-16#,36.94,37.01,36.12,36.54,1123517
#2011-09-19#,35.85,35.85,35.02,35.59,923592
#2011-09-20#,35.79,36.31,34.96,34.99,1219881
#2011-09-21#,34.99,35.34,33.87,33.9,1470876
#2011-09-22#,32.76,33.81,31.95,32.51,3126944
#2011-09-23#,32.24,34,32.2,33.76,1737228
#2011-09-26#,34.22,34.52,33.39,34.48,1516677
#2011-09-27#,35.48,35.92,34.6,34.84,1339663
#2011-09-28#,34.99,35.31,33.68,33.81,1228338
#2011-09-29#,34.68,35.1899,33.61,34.61,1146926
#2011-09-30#,33.94,34.19,32.24,32.29,2844997
#2011-10-03#,32.04,32.97,31.2,31.55,3254454
#2011-10-04#,31.12,33.5,30.74,33.46,3732790
#2011-10-05#,33.62,34.27,32.97,34.05,1693185
#2011-10-06#,33.98,35,33.68,34.98,1399736
#2011-10-07#,35.14,35.22,33.47,34.17,1500000
#2011-10-10#,34.97,35.84,34.91,35.73,966217
#2011-10-11#,35.26,36.8,35.23,36.57,1435895
#2011-10-12#,36.88,37.95,36.539,37.46,1310080
#2011-10-13#,37.03,37.48,36.44,37.27,1050363
#2011-10-14#,37.86,38,37.42,37.81,1075047
#2011-10-17#,37.55,37.55,36.26,36.38,822471
#2011-10-18#,36.45,37.66,35.92,37.21,1558265
#2011-10-19#,37.33,37.46,36.28,36.43,1229924
#2011-10-20#,36.32,36.67,35.52,36.43,1216634
#2011-10-21#,36.95,37.98,36.72,37.96,1259992
#2011-10-24#,38.02,38.92,37.82,38.86,1278184
#2011-10-25#,38.53,38.94,37.505,38.01,976157
#2011-10-26#,38.76,39.06,37.66,38.78,1334610
#2011-10-27#,39.97,41.48,39.49,40.9,1526533
#2011-10-28#,40.75,41.68,40.35,40.39,1955840
#2011-10-31#,39.82,39.92,38.77,38.8,1799814
#2011-11-01#,37.46,38.59,37.11,38.07,1806064
#2011-11-02#,38.36,39.55,38,39.3,1360434
#2011-11-03#,39.98,40.86,39.32,40.74,1642062
#2011-11-04#,39.98,40.13,38.98,39.24,1753938
#2011-11-07#,39.21,39.519,38.17,39.05,1374076
#2011-11-08#,39.43,40.01,38.8,39.94,1097922
#2011-11-09#,38.7,38.93,37.58,37.77,2024281
#2011-11-10#,38.35,38.6,37.58,37.89,1521247
#2011-11-11#,38.51,39.32,38.36,38.96,1479583
#2011-11-14#,38.69,38.74,37.8,38.14,1545758
#2011-11-15#,38.23,41.78,38.14,41.17,4262988
#2011-11-16#,40.72,42.62,40.45,41.23,3322051
#2011-11-17#,41.19,41.92,40.4,40.82,2281368
#2011-11-18#,40.98,41.53,40.56,40.69,1293107
#2011-11-21#,39.86,39.98,38.97,39.67,1413502
#2011-11-22#,39.65,40.04,39.25,39.6,1313710
#2011-11-23#,39.06,39.28,38.42,38.49,2179394
#2011-11-24#,39.06,39.28,38.42,38.49,2179394
#2011-11-25#,38,39.06,38,38.51,700870
#2011-11-28#,39.87,40.35,39.35,39.84,1436123
#2011-11-29#,39.88,40.39,39.5,39.83,1488903
#2011-11-30#,41.49,41.8,40.99,41.54,1552408
#2011-12-01#,41.37,41.63,41.1,41.27,1153386
#2011-12-02#,41.85,42.82,41.7,42.05,1951032
#2011-12-05#,42.75,43.1,42.34,42.65,1477353
#2011-12-06#,42.83,43.08,42.23,42.61,1247338
#2011-12-07#,42.35,43,42.24,42.76,1540711
#2011-12-08#,42.43,42.6,41.651,41.8,1567734
#2011-12-09#,41.81,42.81,41.59,42.53,1039792
#2011-12-12#,41.81,41.84,41.29,41.71,1013592
#2011-12-13#,42.09,42.29,40.39,40.69,1446399
#2011-12-14#,40.32,40.42,39.34,39.75,1483473
#2011-12-15#,40.44,40.63,39.6,39.81,1480175
#2011-12-16#,40.2,40.74,39.63,39.81,1666945
#2011-12-19#,40.12,40.16,38.39,38.53,1134466
#2011-12-20#,39.33,40.66,39.33,40.26,1649735
#2011-12-21#,40.2,40.26,39.2,40.11,1246244
#2011-12-22#,40.32,40.96,40.08,40.69,1441195
#2011-12-23#,40.74,40.91,39.95,40.89,852497
#2011-12-26#,40.74,40.91,39.95,40.89,852497
#2011-12-27#,40.71,41.37,40.58,41.09,730043
#2011-12-28#,41.08,41.14,39.99,40.14,953251
#2011-12-29#,40.33,40.94,40.26,40.86,935425
#2011-12-30#,40.81,41,40.55,40.58,921605
