"Date","Open","High","Low","Close","Volume"
#2019-01-01#,17.54,17.65,17.14,17.36,2102880
#2019-01-02#,17.15,17.89,17.01,17.7,1692396
#2019-01-03#,17.55,17.71,17.24,17.36,2091480
#2019-01-04#,17.71,18.26,17.63,18.17,1509867
#2019-01-07#,18.06,18.5,17.95,18.29,1697383
#2019-01-08#,18.39,18.58,18.23,18.46,1718371
#2019-01-09#,18.55,18.71,18.3,18.51,1533604
#2019-01-10#,18.51,19.02,18.45,18.87,2401999
#2019-01-11#,18.65,19.46,18.5,19.09,3927515
#2019-01-14#,18.85,19.52,18.85,19.3,2671941
#2019-01-15#,19.3,19.55,19.24,19.48,2731902
#2019-01-16#,19.6,20.075,19.52,19.87,1954024
#2019-01-17#,19.71,20.055,19.68,19.9,2097743
#2019-01-18#,20.01,20.45,19.92,20.38,2458553
#2019-01-21#,20.01,20.45,19.92,20.38,2458553
#2019-01-22#,20.2,20.23,19.88,20.02,2979548
#2019-01-23#,20.17,20.26,19.8,19.84,2138213
#2019-01-24#,19.75,20.2,19.75,20.03,1525088
#2019-01-25#,20.2,20.49,20.2,20.37,1573511
#2019-01-28#,20.21,20.56,20.145,20.52,1455005
#2019-01-29#,20.57,20.71,20.33,20.57,1501278
#2019-01-30#,20.64,21.09,20.53,20.94,2907672
#2019-01-31#,20.72,20.96,20.71,20.81,2487106
#2019-02-01#,20.88,21.24,20.6,20.69,3342980
#2019-02-04#,20.48,20.89,20.43,20.88,3390871
#2019-02-05#,20.99,20.99,20.77,20.77,2183152
#2019-02-06#,20.67,20.88,20.56,20.58,2182560
#2019-02-07#,20.44,20.72,19.99,20.07,2707343
#2019-02-08#,20.04,20.1206,19.58,19.85,5657049
#2019-02-11#,19.87,20.13,19.86,20.07,2249821
#2019-02-12#,20.27,20.53,20.24,20.48,1818384
#2019-02-13#,20.5,20.83,20.5,20.64,2133460
#2019-02-14#,20.4,20.56,20.13,20.35,2096015
#2019-02-15#,20.56,21.055,20.54,21.02,2408518
#2019-02-18#,20.56,21.055,20.54,21.02,2408518
#2019-02-19#,20.92,21.045,20.78,21.02,1569137
#2019-02-20#,20.99,21.03,20.76,20.85,1497546
#2019-02-21#,20.85,20.85,20.4,20.44,1522584
#2019-02-22#,20.43,20.4646,20.16,20.24,1854035
#2019-02-25#,20.45,20.58,20.27,20.29,1404733
#2019-02-26#,20.16,20.47,20.12,20.37,2230784
#2019-02-27#,20.38,20.5,20.24,20.43,1388761
#2019-02-28#,20.45,20.4739,20.19,20.27,1669887
#2019-03-01#,20.41,20.72,20.335,20.55,2149202
#2019-03-04#,20.61,20.82,19.91,20.03,2206992
#2019-03-05#,20.02,20.02,19.52,19.86,2480413
#2019-03-06#,19.8,19.91,19.52,19.54,1939688
#2019-03-07#,19.47,19.5,18.76,18.88,2903370
#2019-03-08#,18.71,18.985,18.54,18.95,2538887
#2019-03-11#,19.11,19.32,19.02,19.17,2128063
#2019-03-12#,19.25,19.39,19.13,19.37,1645362
#2019-03-13#,19.44,19.755,19.38,19.72,2466841
#2019-03-14#,19.63,19.75,19.46,19.47,2190439
#2019-03-15#,19.41,19.67,19.4,19.43,4233179
#2019-03-18#,19.5,19.98,19.5,19.9,2205814
#2019-03-19#,20.03,20.15,19.69,19.75,2631216
#2019-03-20#,19.72,19.795,19.3,19.31,1925303
#2019-03-21#,19.18,19.38,19.07,19.22,1281371
#2019-03-22#,19.06,19.11,18.45,18.47,1494255
#2019-03-25#,18.39,18.69,18.24,18.41,1757427
#2019-03-26#,18.81,18.87,18.47,18.73,1424525
#2019-03-27#,18.72,18.91,18.59,18.7,1688586
#2019-03-28#,18.7,19.05,18.7,18.83,2229390
#2019-03-29#,18.91,19.12,18.76,18.79,2447354
#2019-04-01#,19.01,19.32,19.01,19.27,2634392
#2019-04-02#,19.27,19.41,19.175,19.38,1505543
#2019-04-03#,19.54,19.815,19.5,19.66,1848581
#2019-04-04#,19.69,20.045,19.62,19.89,1796578
#2019-04-05#,19.9,20.145,19.8,20.05,1599681
#2019-04-08#,20.03,20.18,19.94,20.08,1363458
#2019-04-09#,19.97,20.09,19.71,19.82,1317502
#2019-04-10#,19.82,19.985,19.63,19.93,1161530
#2019-04-11#,20.04,20.07,19.78,19.79,2683726
#2019-04-12#,20.01,20.5,20.01,20.36,1817197
#2019-04-15#,20.53,20.57,20.14,20.15,1964450
#2019-04-16#,20.19,20.24,19.855,20.06,2389756
#2019-04-17#,20.35,20.65,20.19,20.25,2235767
#2019-04-18#,20.21,20.32,20.1,20.16,1330856
#2019-04-19#,20.21,20.32,20.1,20.16,1330856
#2019-04-22#,20.1,20.12,19.875,19.9,1050091
#2019-04-23#,19.86,20.105,19.68,20.1,2193503
#2019-04-24#,20.01,20.33,19.925,20.26,1504224
#2019-04-25#,20.15,20.35,20.045,20.25,1115111
#2019-04-26#,20.28,20.43,19.99,20.42,1131119
#2019-04-29#,20.42,20.71,20.3728,20.59,846021
#2019-04-30#,20.66,20.74,20.21,20.57,1403034
#2019-05-01#,20.59,20.8,20.29,20.47,1705576
#2019-05-02#,20.48,20.55,20.16,20.45,1252610
#2019-05-03#,20.54,20.74,20.455,20.65,1240801
#2019-05-06#,20.14,20.5,19.96,20.46,1371445
#2019-05-07#,20.27,20.36,19.79,19.91,1730221
#2019-05-08#,19.81,20.05,19.8,19.84,1232536
#2019-05-09#,19.59,19.66,19.26,19.61,1710997
#2019-05-10#,19.47,20.14,19.41,20.01,3299988
#2019-05-13#,19.56,19.57,18.86,18.88,2006664
#2019-05-14#,18.99,19.28,18.9,18.91,1597035
#2019-05-15#,18.8,18.99,18.51,18.92,1716799
#2019-05-16#,19.01,19.18,18.87,18.88,1307984
#2019-05-17#,18.51,18.7,18.39,18.53,1625435
#2019-05-20#,18.36,18.56,18.345,18.53,1118590
#2019-05-21#,18.6,18.815,18.6,18.76,984728
#2019-05-22#,18.64,18.77,18.56,18.58,1086338
#2019-05-23#,18.39,18.39,18.09,18.29,1763490
#2019-05-24#,18.43,18.555,18.325,18.45,1446120
#2019-05-27#,18.43,18.555,18.325,18.45,1446120
#2019-05-28#,18.42,18.47,18.26,18.3,2640104
#2019-05-29#,18.2,18.38,18,18.29,1659805
#2019-05-30#,18.35,18.51,18.02,18.15,1549104
#2019-05-31#,17.89,17.985,17.67,17.67,1854774
#2019-06-03#,17.67,17.96,17.66,17.9,1952721
#2019-06-04#,18.17,18.52,18.14,18.5,1486907
#2019-06-05#,18.42,18.49,17.94,18.09,2092681
#2019-06-06#,18.04,18.15,17.75,18.06,1553243
#2019-06-07#,18.08,18.14,17.92,18,902532
#2019-06-10#,18.11,18.29,18.01,18.03,1282061
#2019-06-11#,18.17,18.285,18,18.14,1065788
#2019-06-12#,18.11,18.115,17.875,17.97,893509
#2019-06-13#,18.06,18.2,17.98,18.14,905795
#2019-06-14#,18.16,18.16,17.85,17.98,786887
#2019-06-17#,18.02,18.21,17.9,17.91,780522
#2019-06-18#,17.97,18.4,17.95,18.22,1188749
#2019-06-19#,18.26,18.43,18.17,18.18,1323435
#2019-06-20#,18.3,18.45,18.07,18.41,1471820
#2019-06-21#,18.41,18.61,18.28,18.53,3708292
#2019-06-24#,18.56,18.78,18.43,18.53,2084875
#2019-06-25#,18.51,18.6,18.18,18.51,1814686
#2019-06-26#,18.58,18.85,18.52,18.69,1126826
#2019-06-27#,18.76,18.975,18.69,18.86,1260759
#2019-06-28#,19.08,19.34,19.01,19.23,3455363
#2019-07-01#,19.54,19.98,19.53,19.73,2672569
#2019-07-02#,19.68,19.73,19.36,19.47,1320585
#2019-07-03#,19.65,20.81,19.65,20.72,2960304
#2019-07-04#,19.65,20.81,19.65,20.72,2960304
#2019-07-05#,20.87,21.45,20.72,21.42,3845367
#2019-07-08#,21.35,21.659,21.33,21.5,3914488
#2019-07-09#,21.39,21.55,21.29,21.43,2749081
#2019-07-10#,21.47,21.54,21.36,21.41,2385931
#2019-07-11#,21.4,21.5,20.8,20.94,2919305
#2019-07-12#,21.02,21.44,20.88,21.37,2313514
#2019-07-15#,21.34,21.41,20.95,21.4,1962942
#2019-07-16#,21.48,21.5,21.21,21.34,2440429
#2019-07-17#,21.2,21.31,20.935,20.95,1457036
#2019-07-18#,21,21.265,20.95,21.08,1942097
#2019-07-19#,21.08,21.21,20.915,20.97,1752497
#2019-07-22#,20.88,20.96,20.64,20.71,1419414
#2019-07-23#,20.84,21.13,20.8,21.1,1804700
#2019-07-24#,21,21.63,21,21.56,1679382
#2019-07-25#,21.59,21.61,21.32,21.45,1678531
#2019-07-26#,21.47,21.64,21.3,21.6,1083076
