"Date","Open","High","Low","Close","Volume"
#2002-01-01#,59.7,59.82,58.88,59.1,4958000
#2002-01-02#,58.9,59.3,57.58,58.7,7054600
#2002-01-03#,58.7,58.73,57.88,58.68,6413100
#2002-01-04#,58.68,58.9,57.95,58.14,4778400
#2002-01-07#,57.9,58.5,57.76,57.87,4509300
#2002-01-08#,58.08,58.1,57,57.49,4505900
#2002-01-09#,56.95,57.8,56.75,56.91,6491400
#2002-01-10#,56.67,58.39,56.6,58.28,5305900
#2002-01-11#,58.08,58.42,57.75,58.23,5158500
#2002-01-14#,58.68,59.32,58.46,58.92,5401200
#2002-01-15#,59.13,59.43,58.64,59.17,6218100
#2002-01-16#,59.34,59.99,59.21,59.58,6373800
#2002-01-17#,59.58,59.98,59.22,59.83,5591900
#2002-01-18#,59.83,60.1,59.62,59.7,8949200
#2002-01-21#,59.83,60.1,59.62,59.7,8949200
#2002-01-22#,59.71,59.85,58.52,59.12,9588800
#2002-01-23#,59.13,59.27,58.38,58.78,7261200
#2002-01-24#,58,58.21,57.74,58.04,6873700
#2002-01-25#,58.05,58.2,57.6,57.65,5527000
#2002-01-28#,57.51,57.98,57.37,57.81,5286700
#2002-01-29#,57.9,58.74,56.82,57.18,5898700
#2002-01-30#,57.2,57.69,56.9,57.2,7920200
#2002-01-31#,57.21,57.55,56.81,57.51,6754000
#2002-02-01#,57.26,58.33,57.26,57.6,5901100
#2002-02-04#,57.55,57.71,56,56.31,7657400
#2002-02-05#,55.51,56.35,54.7,55.5,12762300
#2002-02-06#,55.5,56.5,55.5,55.88,7167300
#2002-02-07#,55.88,57.1,55.8,56.49,6952400
#2002-02-08#,56.06,57.06,55.25,56.88,6542900
#2002-02-11#,56.88,57.85,56.75,57.05,4444000
#2002-02-12#,57.05,57.38,56.6,57.3,4910200
#2002-02-13#,58.2,58.89,57.95,58.09,7287500
#2002-02-14#,58,58.05,57.05,57.3,7144900
#2002-02-15#,57.7,58.09,57,57.24,6738700
#2002-02-18#,57.7,58.09,57,57.24,6738700
#2002-02-19#,57.49,57.6,56.75,56.92,5012900
#2002-02-20#,57.49,58.5,57.16,58.12,5536600
#2002-02-21#,58.25,58.95,57.93,58,7052500
#2002-02-22#,58,59.51,57.95,59.4,7805400
#2002-02-25#,59.96,60.03,59.4,59.7,8391700
#2002-02-26#,59.7,60.25,59.25,60.01,7768000
#2002-02-27#,60.22,60.54,59.96,60.23,6807400
#2002-02-28#,60.24,60.97,60.12,60.9,6439200
#2002-03-01#,60.9,62.4,60.6,62.1,9202100
#2002-03-04#,62.5,62.5,61.9,61.92,8455600
#2002-03-05#,61.92,62.16,61.11,61.31,7700200
#2002-03-06#,61.79,62.79,61.6,62.52,7264800
#2002-03-07#,63.5,64.1,63.28,63.62,11207800
#2002-03-08#,64.4,64.49,63.1,63.66,10364300
#2002-03-11#,63.66,64.4,63.41,63.81,7239000
#2002-03-12#,63.81,63.81,62.97,63.65,7505800
#2002-03-13#,63.65,64.01,63.25,63.9,6200600
#2002-03-14#,63.9,64.69,63.7,64.38,7572700
#2002-03-15#,64.8,65.47,64.45,64.6,13573000
#2002-03-18#,64.7,65.15,64.3,64.66,8275600
#2002-03-19#,64.75,65.7,64.7,65.49,6706300
#2002-03-20#,65.49,65.49,64.34,64.49,7227800
#2002-03-21#,64.3,64.98,63.69,64.8,6758300
#2002-03-22#,64.55,65.38,64.37,64.85,5583600
#2002-03-25#,64.85,65.89,64.35,64.35,6519500
#2002-03-26#,64.55,65.14,64.36,64.71,6034100
#2002-03-27#,64.95,65.47,64.82,65.14,6347900
#2002-03-28#,65.14,65.5,64.83,64.95,5604700
#2002-03-29#,65.14,65.5,64.83,64.95,5604700
#2002-04-01#,64.2,65.29,64.15,64.61,8185800
#2002-04-02#,64.4,65.04,64.16,64.45,5218200
#2002-04-03#,64.7,64.8,63.8,64.02,6996500
#2002-04-04#,63.52,64.25,63.02,63.48,8472200
#2002-04-05#,63.48,63.73,62.8,63.05,7208300
#2002-04-08#,62.8,63.54,62.55,63.38,6099300
#2002-04-09#,63.74,63.8,62.91,63,7770700
#2002-04-10#,62.91,63.5,62.8,63.44,7254400
#2002-04-11#,63.24,63.69,62.7,62.7,7492000
#2002-04-12#,62.7,62.85,61.9,62.67,6372500
#2002-04-15#,63.1,63.2,61.78,62.16,6677300
#2002-04-16#,63,63.95,62.02,63.26,9999000
#2002-04-17#,62.8,63.47,62.06,62.52,9971400
#2002-04-18#,62.52,64.49,62.4,64.29,8094900
#2002-04-19#,64.7,64.75,64.1,64.49,6617100
#2002-04-22#,64.21,64.34,63.07,63.34,7124100
#2002-04-23#,63.59,63.95,62.71,62.8,6709000
#2002-04-24#,63.19,64.83,63.13,63.61,6929700
#2002-04-25#,63.45,64.4,63.3,63.4,6789100
#2002-04-26#,63.24,64.44,63.15,63.61,5438400
