"Date","Open","High","Low","Close","Volume"
#2004-01-01#,107.22,107.49,107.18,107.45,"#N/A N/A"
#2004-01-02#,107.22,107.51,106.85,107.06,"#N/A N/A"
#2004-01-05#,106.98,107.2,106.06,106.2,"#N/A N/A"
#2004-01-06#,106.2,106.41,106.05,106.18,"#N/A N/A"
#2004-01-07#,106.17,106.43,105.93,106.17,"#N/A N/A"
#2004-01-08#,106.17,106.25,106.13,106.2,"#N/A N/A"
#2004-01-09#,106.18,108.28,106.16,106.8,"#N/A N/A"
#2004-01-12#,106.64,106.75,106.4,106.64,"#N/A N/A"
#2004-01-13#,106.63,106.72,106.12,106.22,"#N/A N/A"
#2004-01-14#,106.21,106.34,105.97,106.17,"#N/A N/A"
#2004-01-15#,106.16,106.49,106.02,106.35,"#N/A N/A"
#2004-01-16#,106.35,106.99,105.73,106.63,"#N/A N/A"
#2004-01-19#,106.61,107.49,106.48,107.25,"#N/A N/A"
#2004-01-20#,107.25,107.92,107,107.06,"#N/A N/A"
#2004-01-21#,107.07,107.29,106.6,106.9,"#N/A N/A"
#2004-01-22#,106.9,107,105.95,106.04,"#N/A N/A"
#2004-01-23#,106.04,106.81,105.76,106.75,"#N/A N/A"
#2004-01-26#,106.62,106.74,105.81,106.39,"#N/A N/A"
#2004-01-27#,106.39,106.43,105.46,105.55,"#N/A N/A"
#2004-01-28#,105.55,106.65,105.51,106.23,"#N/A N/A"
#2004-01-29#,106.22,106.31,105.65,105.95,"#N/A N/A"
#2004-01-30#,105.95,106.13,105.65,105.71,"#N/A N/A"
#2004-02-02#,105.62,105.8,105.37,105.61,"#N/A N/A"
#2004-02-03#,105.61,105.87,105.25,105.5,"#N/A N/A"
#2004-02-04#,105.47,105.64,105.33,105.43,"#N/A N/A"
#2004-02-05#,105.43,106.04,105.39,105.84,"#N/A N/A"
#2004-02-06#,105.83,106.8,105.4,105.49,"#N/A N/A"
#2004-02-09#,105.81,105.99,105.54,105.59,"#N/A N/A"
#2004-02-10#,105.57,105.89,105.36,105.62,"#N/A N/A"
#2004-02-11#,105.62,105.71,105.19,105.47,"#N/A N/A"
#2004-02-12#,105.48,105.54,105.31,105.37,"#N/A N/A"
#2004-02-13#,105.37,105.6,105.33,105.46,"#N/A N/A"
#2004-02-16#,105.48,105.53,105.41,105.47,"#N/A N/A"
#2004-02-17#,105.48,106.01,105.46,105.67,"#N/A N/A"
#2004-02-18#,105.67,107.14,105.52,106.76,"#N/A N/A"
#2004-02-19#,106.76,107.44,106.32,107.02,"#N/A N/A"
#2004-02-20#,107.02,109.34,106.88,109.04,"#N/A N/A"
#2004-02-23#,108.87,109.38,108.09,108.38,"#N/A N/A"
#2004-02-24#,108.38,108.74,108.09,108.18,"#N/A N/A"
#2004-02-25#,108.18,109.13,108.06,108.99,"#N/A N/A"
#2004-02-26#,108.99,109.84,108.78,109.57,"#N/A N/A"
#2004-02-27#,109.57,109.7,108.9,109.11,"#N/A N/A"
#2004-03-01#,109.04,109.43,108.91,108.99,"#N/A N/A"
#2004-03-02#,108.99,110.42,108.93,110.1,"#N/A N/A"
#2004-03-03#,110.09,110.5,110.03,110.05,"#N/A N/A"
#2004-03-04#,110.05,111.16,110.04,111.12,"#N/A N/A"
#2004-03-05#,111.1,112.28,111.01,112.04,"#N/A N/A"
#2004-03-08#,112.09,112.34,111.14,111.19,"#N/A N/A"
#2004-03-09#,111.21,111.63,110.24,111.32,"#N/A N/A"
#2004-03-10#,111.33,111.55,110.73,110.91,"#N/A N/A"
#2004-03-11#,110.89,111.08,110.45,110.78,"#N/A N/A"
#2004-03-12#,110.78,111.4,110.6,110.79,"#N/A N/A"
#2004-03-15#,110.68,111.07,109.19,110.31,"#N/A N/A"
#2004-03-16#,110.31,110.37,108.64,108.77,"#N/A N/A"
#2004-03-17#,108.81,108.98,107.97,108.28,"#N/A N/A"
#2004-03-18#,108.24,108.37,106.41,106.83,"#N/A N/A"
#2004-03-19#,106.84,107.33,106.63,106.67,"#N/A N/A"
#2004-03-22#,106.85,107.66,106.74,106.88,"#N/A N/A"
#2004-03-23#,106.88,106.95,106.47,106.77,"#N/A N/A"
#2004-03-24#,106.73,106.95,106.04,106.23,"#N/A N/A"
#2004-03-25#,106.23,106.48,105.77,106.18,"#N/A N/A"
#2004-03-26#,106.18,106.25,105.56,106.01,"#N/A N/A"
#2004-03-29#,105.57,105.96,105.26,105.54,"#N/A N/A"
#2004-03-30#,105.53,106.22,105.41,105.77,"#N/A N/A"
#2004-03-31#,105.76,105.92,103.42,104.23,"#N/A N/A"
#2004-04-01#,104.24,104.48,103.49,103.68,"#N/A N/A"
#2004-04-02#,103.83,104.78,103.66,104.51,"#N/A N/A"
#2004-04-05#,104.52,105.46,104.15,104.93,"#N/A N/A"
#2004-04-06#,104.92,107.24,104.89,105.75,"#N/A N/A"
#2004-04-07#,105.72,106.16,104.98,105.23,"#N/A N/A"
#2004-04-08#,105.24,106.43,105.22,106.29,"#N/A N/A"
#2004-04-09#,106.3,106.77,105.99,106.45,"#N/A N/A"
#2004-04-12#,106.32,106.44,105.28,105.39,"#N/A N/A"
#2004-04-13#,105.38,107.01,105.07,106.59,"#N/A N/A"
#2004-04-14#,106.58,108.99,106.57,108.65,"#N/A N/A"
#2004-04-15#,108.68,109.27,108.26,108.27,"#N/A N/A"
#2004-04-16#,108.29,108.88,107.52,107.82,"#N/A N/A"
#2004-04-19#,107.73,108.7,107.61,108.44,"#N/A N/A"
#2004-04-20#,108.45,108.87,107.71,108.78,"#N/A N/A"
#2004-04-21#,108.83,109.76,108.59,109.39,"#N/A N/A"
#2004-04-22#,109.39,109.89,109.14,109.41,"#N/A N/A"
#2004-04-23#,109.41,109.85,108.6,108.97,"#N/A N/A"
#2004-04-26#,108.97,109.34,108.31,108.61,"#N/A N/A"
#2004-04-27#,108.6,109.88,108.4,109.42,"#N/A N/A"
#2004-04-28#,109.44,110.24,108.78,110.1,"#N/A N/A"
#2004-04-29#,110.12,111.05,109.54,109.89,"#N/A N/A"
#2004-04-30#,109.86,110.63,109.79,110.52,"#N/A N/A"
#2004-05-03#,110.43,110.71,109.83,110.34,"#N/A N/A"
#2004-05-04#,110.34,110.61,109.25,109.36,"#N/A N/A"
#2004-05-05#,109.36,109.59,108.34,108.7,"#N/A N/A"
#2004-05-06#,108.73,109.89,108.58,109.76,"#N/A N/A"
#2004-05-07#,109.79,112.52,109.72,112.21,"#N/A N/A"
#2004-05-10#,112.3,114.16,112.16,113.68,"#N/A N/A"
#2004-05-11#,113.68,113.97,113.13,113.16,"#N/A N/A"
#2004-05-12#,113.15,113.51,112.44,113,"#N/A N/A"
#2004-05-13#,112.99,114.63,112.83,114.52,"#N/A N/A"
#2004-05-14#,114.51,114.88,113.97,114.25,"#N/A N/A"
#2004-05-17#,114.23,114.65,113.08,114.34,"#N/A N/A"
#2004-05-18#,114.35,114.71,113.39,114.29,"#N/A N/A"
#2004-05-19#,114.34,114.36,112.44,113.12,"#N/A N/A"
#2004-05-20#,113.13,113.9,112.73,112.76,"#N/A N/A"
#2004-05-21#,112.78,113.08,111.77,112.36,"#N/A N/A"
#2004-05-24#,112.08,112.96,112.07,112.93,"#N/A N/A"
#2004-05-25#,112.93,113.33,111.65,111.72,"#N/A N/A"
#2004-05-26#,111.73,111.98,111.26,111.93,"#N/A N/A"
#2004-05-27#,111.96,112.11,110.69,110.86,"#N/A N/A"
#2004-05-28#,110.89,111.07,110.05,110.21,"#N/A N/A"
#2004-05-31#,110.42,110.47,109.08,109.52,"#N/A N/A"
#2004-06-01#,109.58,110.74,109.24,110.63,"#N/A N/A"
#2004-06-02#,110.62,110.92,109.86,109.9,"#N/A N/A"
#2004-06-03#,109.89,111.54,109.82,110.82,"#N/A N/A"
#2004-06-04#,110.82,112.02,110.23,111.19,"#N/A N/A"
#2004-06-07#,110.99,111,109.48,109.56,"#N/A N/A"
#2004-06-08#,109.59,110.15,109.49,109.65,"#N/A N/A"
#2004-06-09#,109.64,110.57,108.67,110.44,"#N/A N/A"
#2004-06-10#,110.43,110.56,109.17,109.34,"#N/A N/A"
#2004-06-11#,109.34,110.5,109.2,110.06,"#N/A N/A"
