"Date","Open","High","Low","Close","Volume"
#2013-01-01#,55.17,55.88,55.02,55.85,1299916
#2013-01-02#,56.33,56.91,56.25,56.91,1563228
#2013-01-03#,56.94,56.94,56.29,56.52,1556841
#2013-01-04#,56.5,56.68,56.25,56.64,1764725
#2013-01-07#,56.66,56.82,56.37,56.66,1079628
#2013-01-08#,56.58,56.86,56.22,56.85,1530348
#2013-01-09#,56.94,57.15,56.775,56.99,1132568
#2013-01-10#,57.09,57.31,56.91,57.31,1119560
#2013-01-11#,57.4,57.4,56.92,57.02,927964
#2013-01-14#,57.16,57.545,57.132,57.38,1209697
#2013-01-15#,57.21,57.2446,57.02,57.12,1065919
#2013-01-16#,56.32,57.12,56.04,57.03,1939763
#2013-01-17#,57.27,58,57.18,57.76,1273712
#2013-01-18#,57.7,58.23,57.48,58.21,1396535
#2013-01-21#,57.7,58.23,57.48,58.21,1396535
#2013-01-22#,58.05,58.35,57.9,58.19,1992164
#2013-01-23#,58.04,58.325,57.8,58.17,1798001
#2013-01-24#,58.25,58.75,58.1201,58.59,1587490
#2013-01-25#,58.6,58.84,58.24,58.84,1212271
#2013-01-28#,58.72,58.83,58.32,58.41,827290
#2013-01-29#,58.46,58.88,58.3,58.82,857425
#2013-01-30#,58.79,58.9,58.5801,58.71,777856
#2013-01-31#,58.65,58.85,58.29,58.5,1043083
#2013-02-01#,58.85,59,58.56,58.65,2152789
#2013-02-04#,58.41,58.49,58,58.1,2585175
#2013-02-05#,58.85,59.38,58.46,58.5,3053006
#2013-02-06#,58.61,59,58.6,58.99,2485190
#2013-02-07#,58.78,59.04,58.51,59,1877122
#2013-02-08#,58.93,59.35,58.76,58.91,1669244
#2013-02-11#,58.98,59.26,58.95,59.12,1145083
#2013-02-12#,59.15,59.33,59,59.25,1183612
#2013-02-13#,59.34,59.36,59.07,59.29,1210491
#2013-02-14#,59.36,59.96,59.29,59.58,2861108
#2013-02-15#,59.75,59.87,59.43,59.77,1599961
#2013-02-18#,59.75,59.87,59.43,59.77,1599961
#2013-02-19#,59.63,60.3,59.48,60.14,2173310
#2013-02-20#,59.99,60.21,59.15,59.77,1783726
#2013-02-21#,59.63,59.74,59.22,59.67,2287839
#2013-02-22#,59.7,60.01,59.5,60.01,1676261
#2013-02-25#,60.06,60.25,59.03,59.03,1340279
#2013-02-26#,59.29,59.98,59.22,59.95,1797370
#2013-02-27#,60,60.54,59.82,60.49,2234044
#2013-02-28#,60.18,60.785,59.96,60.5,2466676
#2013-03-01#,60.31,60.62,60.05,60.58,1462572
#2013-03-04#,60.47,61.05,60.45,61.05,1118348
#2013-03-05#,61.1,61.7423,61.01,61.42,1749096
#2013-03-06#,61.41,61.5,61.11,61.42,2002508
#2013-03-07#,61.33,61.75,61.27,61.47,1371334
#2013-03-08#,61.69,61.9261,61.34,61.52,1159750
#2013-03-11#,61.5,61.67,61.39,61.63,1138552
#2013-03-12#,61.52,61.77,61.41,61.73,1245790
#2013-03-13#,61.66,62,61.45,62,1581316
#2013-03-14#,61.95,62.41,61.83,62.23,1329140
#2013-03-15#,62.03,62.44,61.88,62.2,2190808
#2013-03-18#,61.98,62.545,61.7,62.28,1204986
#2013-03-19#,62.4,62.53,62.045,62.47,1190190
#2013-03-20#,62.71,63.3,62.49,63.25,2177313
#2013-03-21#,62.99,63.315,62.61,62.69,1347242
