"Date","Open","High","Low","Close","Volume"
#2016-01-01#,13.17,13.37,13.13,13.19,9559856
#2016-01-04#,12.99,13.03,12.85,12.96,18056981
#2016-01-05#,13.01,13.08,12.75,12.85,18014714
#2016-01-06#,12.69,12.81,12.59,12.62,20747041
#2016-01-07#,12.43,12.5799,12.15,12.18,20453005
#2016-01-08#,12.29,12.335,11.89,11.92,14347109
#2016-01-11#,11.99,12.065,11.75,11.94,22337883
#2016-01-12#,12.1,12.12,11.745,12.05,14513821
#2016-01-13#,12.13,12.18,11.575,11.68,22164739
#2016-01-14#,11.78,11.92,11.55,11.83,16909250
#2016-01-15#,11.36,11.58,11.28,11.51,19433168
#2016-01-18#,11.36,11.58,11.28,11.51,19433168
#2016-01-19#,11.65,11.69,11.25,11.33,14662066
#2016-01-20#,11.1,11.32,10.78,11.2,29515223
#2016-01-21#,10.88,11.47,10.84,11.17,22749760
#2016-01-22#,11.36,11.57,11.26,11.32,20038194
#2016-01-25#,11.28,11.31,10.81,10.85,18892871
#2016-01-26#,10.91,11.07,10.85,10.94,16094875
#2016-01-27#,10.89,11.275,10.86,10.92,16773910
#2016-01-28#,11.13,11.25,10.955,11.08,13991205
#2016-01-29#,11.15,11.2,10.95,11.16,17297955
#2016-02-01#,11.25,11.25,11.02,11.08,14086563
#2016-02-02#,10.91,10.91,10.7,10.76,16507056
#2016-02-03#,10.83,10.85,10.32,10.78,23400678
#2016-02-04#,10.74,11,10.72,10.91,17267447
#2016-02-05#,11.02,11.1,10.77,10.8,17348793
#2016-02-08#,10.68,10.685,10.44,10.55,14660008
#2016-02-09#,10.37,10.73,10.335,10.64,13925266
#2016-02-10#,10.74,10.8,10.45,10.52,22141204
#2016-02-11#,10.17,10.19,9.88,10,25375924
#2016-02-12#,10.19,10.59,10.15,10.49,15587507
#2016-02-15#,10.19,10.59,10.15,10.49,15587507
#2016-02-16#,10.81,11.08,10.585,10.91,17656101
#2016-02-17#,11.04,11.145,10.86,10.93,16957981
#2016-02-18#,10.98,10.98,10.5,10.64,30584242
#2016-02-19#,10.56,10.77,10.49,10.7,13448762
#2016-02-22#,10.84,10.94,10.77,10.93,12653986
#2016-02-23#,10.9,10.91,10.57,10.63,10715073
#2016-02-24#,10.47,10.5666,10.23,10.54,11566413
#2016-02-25#,10.58,10.73,10.49,10.69,11139797
#2016-02-26#,10.79,10.87,10.62,10.72,21332747
#2016-02-29#,10.71,10.725,10.45,10.55,17371997
#2016-03-01#,10.6,10.99,10.57,10.9,29905440
#2016-03-02#,10.91,11.31,10.91,11.31,21916731
#2016-03-03#,11.31,11.47,11.22,11.47,12147945
#2016-03-04#,11.57,11.74,11.49,11.55,13573172
#2016-03-07#,11.44,11.54,11.35,11.44,8270409
#2016-03-08#,11.29,11.34,11.03,11.09,11340547
#2016-03-09#,11.14,11.205,10.85,10.9,11315756
#2016-03-10#,10.99,11.07,10.75,10.96,12655026
#2016-03-11#,11.09,11.26,11.035,11.22,11362499
#2016-03-14#,11.22,11.23,11.03,11.14,12993873
#2016-03-15#,11.03,11.17,10.96,11.17,11643189
#2016-03-16#,11.15,11.34,10.96,11.01,14411583
#2016-03-17#,10.98,11.2,10.86,11.13,15026810
#2016-03-18#,11.23,11.45,11.2,11.39,22896115
#2016-03-21#,11.35,11.525,11.33,11.43,10597718
#2016-03-22#,11.3,11.49,11.265,11.41,12373339
#2016-03-23#,11.39,11.4,11.19,11.26,12352924
#2016-03-24#,11.17,11.2,11.01,11.19,9821573
#2016-03-25#,11.17,11.2,11.01,11.19,9821573
#2016-03-28#,11.22,11.27,11.125,11.18,8497360
#2016-03-29#,11.08,11.08,10.87,11.02,13520399
#2016-03-30#,11.11,11.29,11.05,11.15,13201033
#2016-03-31#,11.11,11.2,10.95,11.04,11399091
#2016-04-01#,10.96,11.04,10.8,10.97,11830994
#2016-04-04#,10.94,11.22,10.89,10.96,10777667
#2016-04-05#,10.8,10.91,10.76,10.8,12108389
#2016-04-06#,10.81,11.045,10.74,10.99,13826043
