"Date","Open","High","Low","Close","Volume"
#2003-01-01#,12.07,12.2,11.89,12,302400
#2003-01-02#,12.1,12.47,11.95,12.4,869400
#2003-01-03#,12.4,12.55,12.25,12.35,316600
#2003-01-06#,12.35,12.75,12.35,12.6,501200
#2003-01-07#,12.61,12.7,12.35,12.6,304500
#2003-01-08#,12.6,12.6,12.18,12.25,156300
#2003-01-09#,12.15,12.56,12.15,12.45,523700
#2003-01-10#,12.35,12.5,12.1,12.45,215300
#2003-01-13#,12.55,12.9,12.32,12.46,469600
#2003-01-14#,12.44,12.58,12.26,12.55,240800
#2003-01-15#,12.55,12.55,12.47,12.5,170600
#2003-01-16#,12.5,12.65,12.44,12.5,211500
#2003-01-17#,12.5,12.51,12.45,12.47,193300
#2003-01-20#,12.5,12.51,12.45,12.47,193300
#2003-01-21#,12.5,12.56,12.13,12.45,194900
#2003-01-22#,12.55,12.55,12.01,12.09,364400
#2003-01-23#,12.1,12.41,12.06,12.36,215200
#2003-01-24#,12.45,12.45,12.03,12.1,213200
#2003-01-27#,12.05,12.31,12,12,707700
#2003-01-28#,12.05,12.16,11.96,12.08,414700
#2003-01-29#,12.1,12.27,11.95,12.06,379300
#2003-01-30#,12.42,12.55,12.26,12.5,432900
#2003-01-31#,12.5,13.02,12.48,12.75,384000
#2003-02-03#,12.7,12.7,12.35,12.56,267100
#2003-02-04#,12.46,12.71,12.4,12.55,558500
#2003-02-05#,12.6,12.89,12.54,12.68,172200
#2003-02-06#,12.64,12.75,12.44,12.44,130700
#2003-02-07#,12.4,12.66,12.3,12.37,176300
#2003-02-10#,12.36,12.59,12.34,12.42,127400
#2003-02-11#,12.5,12.56,12.24,12.3,355700
#2003-02-12#,12.3,12.31,11.95,12.01,334300
#2003-02-13#,12.05,12.11,11.96,12.07,143500
#2003-02-14#,12.07,12.2,11.97,12.02,285900
#2003-02-17#,12.07,12.2,11.97,12.02,285900
#2003-02-18#,12.02,12.52,12,12.47,306500
#2003-02-19#,12.5,12.5,12.1,12.16,228100
#2003-02-20#,12.2,12.2,11.95,12.03,362100
#2003-02-21#,11.95,12.085,11.82,11.83,396300
#2003-02-24#,11.85,11.85,11.21,11.37,461700
#2003-02-25#,11.45,11.82,11.2,11.8,256700
#2003-02-26#,11.81,11.96,11.6,11.87,208500
#2003-02-27#,11.97,12.05,11.8,11.92,249500
#2003-02-28#,12,12.21,11.97,12.15,286800
#2003-03-03#,12.15,12.2,11.79,11.9,255400
#2003-03-04#,11.8,11.91,11.73,11.73,171100
#2003-03-05#,11.65,11.85,11.3,11.5,250000
#2003-03-06#,11.47,11.49,11.36,11.42,162700
#2003-03-07#,11.38,11.58,11.25,11.45,124000
#2003-03-10#,11.4,11.4,10.88,11.05,237600
#2003-03-11#,11,11.08,10.84,10.91,301900
#2003-03-12#,10.9,11,10.65,10.8,198100
#2003-03-13#,10.9,11.2,10.9,11.1,268300
#2003-03-14#,11.13,11.35,11.05,11.17,176800
#2003-03-17#,11.07,11.52,11.05,11.45,268300
#2003-03-18#,11.4,11.75,11.32,11.5,235800
#2003-03-19#,11.52,11.73,11.51,11.73,104300
#2003-03-20#,11.63,11.8,11.52,11.74,153000
#2003-03-21#,11.71,12.15,11.65,12.07,607700
#2003-03-24#,12,12.05,11.83,11.98,250300
#2003-03-25#,11.7,12.1,11.7,12.02,285000
#2003-03-26#,11.95,11.95,11.4,11.46,337900
#2003-03-27#,11.46,11.9,11.4,11.6,495300
#2003-03-28#,11.6,11.6,11.4,11.49,131500
#2003-03-31#,11.39,11.45,11.13,11.23,216500
#2003-04-01#,11.2,11.38,11.02,11.27,346900
#2003-04-02#,11.35,11.48,11.1,11.15,418300
#2003-04-03#,11.15,11.19,10.95,11,590600
#2003-04-04#,11,11.21,10.99,11,231500
#2003-04-07#,11.25,11.47,11.17,11.25,272400
#2003-04-08#,11.2,11.24,11.05,11.07,119600
#2003-04-09#,11.07,11.25,10.96,10.99,183000
#2003-04-10#,11,11.1,10.85,10.85,204200
#2003-04-11#,10.95,11.2,10.95,11.14,284800
#2003-04-14#,11.14,11.33,11,11.32,161900
#2003-04-15#,11.32,11.42,11.2,11.4,300500
#2003-04-16#,11.4,11.53,11.05,11.1,295800
#2003-04-17#,11.3,11.77,11.3,11.77,313100
#2003-04-18#,11.3,11.77,11.3,11.77,313100
#2003-04-21#,11.52,11.7,11.06,11.06,534600
#2003-04-22#,11,11.04,10.7,10.89,630500
#2003-04-23#,10.99,11.3,10.9,11.25,300800
#2003-04-24#,11.24,11.4,11.21,11.27,267200
#2003-04-25#,11.27,11.35,11.2,11.21,520000
#2003-04-28#,11.15,11.42,11.05,11.42,291100
#2003-04-29#,11.85,12.05,11.73,11.95,721100
#2003-04-30#,11.96,11.96,10.86,11.07,5536800
