"Date","Open","High","Low","Close","Volume"
#2014-01-01#,31.15,31.2,30.865,30.94,642431
#2014-01-02#,30.87,30.92,30.54,30.66,713229
#2014-01-03#,30.76,30.939,30.66,30.71,535508
#2014-01-06#,30.65,30.7,30.17,30.31,1113234
#2014-01-07#,30.36,30.595,30.35,30.44,714667
#2014-01-08#,30.46,30.64,30.13,30.37,1275182
#2014-01-09#,30.37,30.58,30.12,30.27,670519
#2014-01-10#,30.32,30.72,30.3,30.38,764617
#2014-01-13#,30.24,30.36,29.69,29.79,1060417
#2014-01-14#,29.91,30.2,29.77,30.03,851573
#2014-01-15#,30.11,30.3,29.91,30.23,745927
#2014-01-16#,30.17,30.21,29.805,30.1,659925
#2014-01-17#,30.12,30.12,29.6,29.75,1084845
#2014-01-20#,30.12,30.12,29.6,29.75,1084845
#2014-01-21#,30.15,30.46,29.925,30.42,1361254
#2014-01-22#,30.45,30.5199,30.05,30.3,874392
#2014-01-23#,30.16,30.71,30.16,30.69,1585319
#2014-01-24#,30.56,30.56,29.64,29.78,2621137
#2014-01-27#,29.78,29.868,29.35,29.49,1997635
#2014-01-28#,29.56,29.87,29.44,29.71,1841231
#2014-01-29#,29.47,29.75,29.31,29.55,1619705
#2014-01-30#,29.76,29.96,29.62,29.87,1138617
#2014-01-31#,29.43,30.27,29.38,30.02,1223597
#2014-02-03#,30.02,30.06,28.96,29.06,1489459
#2014-02-04#,29.17,29.55,28.9,29.44,1175633
#2014-02-05#,29.3,29.56,29.19,29.35,992993
#2014-02-06#,29.4,30.02,29.4,29.93,796620
#2014-02-07#,29.93,30.39,29.92,30.36,776827
#2014-02-10#,30.26,30.56,30.06,30.32,1310492
#2014-02-11#,30.29,30.8,30.24,30.51,960816
#2014-02-12#,30.52,30.76,30.38,30.54,937966
#2014-02-13#,30.31,30.88,30.19,30.81,793803
#2014-02-14#,30.79,31.11,30.65,31.09,606610
#2014-02-17#,30.79,31.11,30.65,31.09,606610
#2014-02-18#,31.15,31.28,30.81,30.99,668783
#2014-02-19#,30.89,31.35,30.8,31.23,1124674
#2014-02-20#,31.2,31.42,31.1,31.38,691285
#2014-02-21#,31.48,31.52,31.33,31.39,629723
#2014-02-24#,31.5,31.85,31.36,31.36,925944
#2014-02-25#,31.4,31.46,31.18,31.24,781535
#2014-02-26#,31.36,32.02,31.17,31.91,1037796
#2014-02-27#,31.9,32.04,31.74,32.03,578391
#2014-02-28#,32.06,32.25,31.78,32.05,774303
#2014-03-03#,31.67,31.89,31.41,31.71,672614
#2014-03-04#,32.01,32.28,31.92,32.03,933075
#2014-03-05#,32.06,32.06,31.76,31.95,875052
#2014-03-06#,31.98,32.235,31.85,32.15,712025
#2014-03-07#,32.43,32.47,32.05,32.09,724551
#2014-03-10#,32.03,32.16,31.85,32.08,689374
#2014-03-11#,32.14,32.27,31.81,32.07,908274
#2014-03-12#,31.59,32.185,31.57,32.12,1483415
#2014-03-13#,32.19,32.235,31.01,31.2,1428697
#2014-03-14#,31.11,31.55,31.11,31.47,700620
#2014-03-17#,31.56,31.86,31.49,31.75,645063
#2014-03-18#,31.76,32.32,31.75,32.22,729059
#2014-03-19#,32.44,32.55,31.65,31.86,732610
#2014-03-20#,31.91,32.13,31.64,32.12,818211
#2014-03-21#,32.26,32.52,31.89,31.95,1704188
#2014-03-24#,32.04,32.16,31.57,31.84,1059785
#2014-03-25#,31.87,32.09,31.63,31.84,618193
#2014-03-26#,32.05,32.22,31.69,31.76,640715
#2014-03-27#,31.72,31.83,31.53,31.67,484339
#2014-03-28#,31.8,32.3,31.8,32.23,645077
#2014-03-31#,32.37,32.75,32.29,32.64,660318
#2014-04-01#,32.6,32.82,32.39,32.53,891358
#2014-04-02#,32.44,32.9,32.21,32.71,642846
#2014-04-03#,32.81,32.82,32.55,32.63,632789
#2014-04-04#,32.8,33.37,32.51,32.57,719883
#2014-04-07#,32.54,32.555,31.92,31.94,1101957
#2014-04-08#,31.95,32.59,31.81,32.51,870127
#2014-04-09#,32.57,32.96,32.4101,32.81,614643
#2014-04-10#,32.83,33,32.22,32.22,846317
#2014-04-11#,31.97,32.32,31.85,31.96,821264
#2014-04-14#,32.18,32.42,32.07,32.3,806181
#2014-04-15#,32.42,32.58,31.975,32.49,846515
#2014-04-16#,32.69,33.02,32.54,33.02,609057
#2014-04-17#,32.95,33.13,32.75,32.95,1290485
#2014-04-18#,32.95,33.13,32.75,32.95,1290485
#2014-04-21#,33,33.16,32.87,33.01,528134
#2014-04-22#,33.05,33.389,33.05,33.36,710024
#2014-04-23#,33.37,33.44,32.98,33.39,697756
#2014-04-24#,33.39,33.85,33.28,33.74,1169340
#2014-04-25#,33.3,33.39,31.54,31.97,2188135
#2014-04-28#,32.02,32.56,31.75,32.5,1250877
#2014-04-29#,32.56,32.88,32.48,32.7,968626
#2014-04-30#,32.68,32.99,32.57,32.86,1003824
#2014-05-01#,32.84,33.07,32.68,32.91,815489
#2014-05-02#,32.98,33.6,32.93,33.39,878134
#2014-05-05#,33.23,33.26,32.63,32.67,1482363
#2014-05-06#,32.58,32.623,32.16,32.27,1333089
#2014-05-07#,32.42,33,32.31,32.98,1532772
#2014-05-08#,32.96,33.35,32.77,33.04,983909
#2014-05-09#,32.92,33.64,32.77,33.41,1155979
#2014-05-12#,33.57,34,33.56,33.84,916073
#2014-05-13#,33.93,34.0599,33.745,33.93,713162
#2014-05-14#,33.87,33.9,33.19,33.23,861394
#2014-05-15#,33.14,33.14,32.53,32.94,833211
#2014-05-16#,32.95,33.25,32.88,33.24,777121
#2014-05-19#,33.24,33.48,32.95,33.38,864422
#2014-05-20#,33.21,33.4,32.79,32.91,804571
#2014-05-21#,33.11,33.19,32.92,33.04,639249
#2014-05-22#,33.02,33.3599,32.98,33.31,571748
#2014-05-23#,33.32,33.65,33.23,33.6,527628
#2014-05-26#,33.32,33.65,33.23,33.6,527628
#2014-05-27#,33.74,33.93,33.62,33.69,635542
#2014-05-28#,33.79,33.95,33.65,33.76,730238
#2014-05-29#,33.79,34,33.71,33.77,848752
#2014-05-30#,33.7,33.9616,33.68,33.92,769081
#2014-06-02#,33.91,34.1,33.88,34.03,817271
#2014-06-03#,33.98,34.06,33.93,34.02,504344
#2014-06-04#,33.94,34.1,33.84,33.86,642981
#2014-06-05#,33.88,34.12,33.73,34.12,596771
#2014-06-06#,34.13,34.5,34.07,34.48,514171
#2014-06-09#,34.5,34.8,34.47,34.8,1006146
#2014-06-10#,34.65,34.72,34,34.05,1218527
#2014-06-11#,33.71,33.815,33.21,33.56,975496
#2014-06-12#,33.56,33.73,33.35,33.46,724135
#2014-06-13#,33.45,33.58,33.14,33.47,629474
#2014-06-16#,33.47,33.6,33.27,33.46,823502
#2014-06-17#,33.39,33.8,33.15,33.66,606302
#2014-06-18#,33.64,33.81,33.47,33.76,651793
#2014-06-19#,33.77,34.11,33.77,34.04,891866
#2014-06-20#,34.14,34.22,33.96,34.06,1221883
#2014-06-23#,34.1,34.39,33.97,34,807126
#2014-06-24#,33.9,34.45,33.8,33.84,812248
#2014-06-25#,33.79,34.22,33.7604,34.1,687753
#2014-06-26#,33.98,34.195,33.61,34.02,735065
#2014-06-27#,34.07,34.3,33.72,34.12,1868462
#2014-06-30#,34.06,34.3,33.9,34.28,621504
#2014-07-01#,34.3,34.49,34.14,34.29,566623
#2014-07-02#,34.27,34.33,33.97,34.09,536699
#2014-07-03#,34.23,34.4,34.0101,34.36,457321
#2014-07-04#,34.23,34.4,34.0101,34.36,457321
#2014-07-07#,34.44,34.45,34.03,34.11,526007
#2014-07-08#,33.98,34.1423,33.87,33.93,444794
#2014-07-09#,33.88,34.25,33.73,33.95,983905
#2014-07-10#,33.53,33.7,33.39,33.47,1033034
#2014-07-11#,33.43,33.76,33.3,33.6,686164
#2014-07-14#,33.86,33.99,33.58,33.67,768750
#2014-07-15#,33.62,33.75,32.88,32.96,1355441
#2014-07-16#,33.11,33.25,32.87,33.06,1117922
#2014-07-17#,32.86,33.07,32.54,32.55,914436
#2014-07-18#,32.68,32.94,32.62,32.9,1398511
#2014-07-21#,32.86,33.01,32.53,32.81,691965
#2014-07-22#,33,33.19,32.83,32.95,950757
#2014-07-23#,32.91,33.2,32.67,32.93,731539
