"Date","Open","High","Low","Close","Volume"
#2009-01-01#,8.5446,8.8021,8.2451,8.6544,5170594
#2009-01-02#,8.5845,9.3132,8.4248,9.1635,3412405
#2009-01-05#,9.0736,10.531,8.8441,10.1816,8437752
#2009-01-06#,10.3513,11.2497,10.2914,11.1499,8743486
#2009-01-07#,10.8405,10.9503,10.3613,10.551,6502469
#2009-01-08#,10.9802,11.5392,10.3913,11.3994,7810559
#2009-01-09#,11.2597,11.2597,8.2152,9.1335,58308052
#2009-01-12#,9.453,9.4829,8.2252,8.335,17102637
#2009-01-13#,8.2851,8.7742,8.0655,8.6444,9429762
#2009-01-14#,8.4847,8.5446,7.7959,7.8858,7956160
#2009-01-15#,7.9457,8.0754,7.0074,7.5564,10419667
#2009-01-16#,7.8558,8.0555,7.0772,7.8359,7663799
#2009-01-19#,7.8558,8.0555,7.0772,7.8359,7663799
#2009-01-20#,7.5164,7.8858,6.6979,6.7678,6147795
#2009-01-21#,6.9275,7.1072,6.1489,7.0673,7559041
#2009-01-22#,6.7179,7.0173,6.4584,6.5382,6652481
#2009-01-23#,6.3785,7.1172,6.1589,6.8277,5436569
#2009-01-26#,7.5364,8.7243,7.1571,7.8059,14133114
#2009-01-27#,7.7061,8.2052,7.6161,7.746,5245230
#2009-01-28#,8.1353,9.403,7.9656,8.8441,7757255
#2009-01-29#,8.6444,8.7842,7.9257,7.9856,5053661
#2009-01-30#,7.9856,8.0555,7.5564,7.6762,5359051
#2009-02-02#,7.4965,8.5246,7.4166,7.8059,7519875
#2009-02-03#,8.1054,8.7243,7.8259,8.5745,7236008
#2009-02-04#,8.6045,8.9539,7.8359,7.8858,7902413
#2009-02-05#,7.9157,8.5146,7.786,8.3649,7909069
#2009-02-06#,8.3849,9.972,8.3849,9.2833,11650162
#2009-02-09#,9.2334,9.2334,8.4697,8.6943,8394931
#2009-02-10#,8.5346,9.1635,7.227,7.3468,12737177
#2009-02-11#,7.5464,8.0555,7.1371,7.6562,7900235
#2009-02-12#,7.3368,7.4665,6.638,7.2769,11285813
#2009-02-13#,7.2469,7.6163,6.9475,7.4765,6611481
#2009-02-16#,7.2469,7.6163,6.9475,7.4765,6611481
#2009-02-17#,7.197,7.4066,6.8776,7.2869,6724736
#2009-02-18#,7.5963,7.7261,6.6581,6.8876,8728661
#2009-02-19#,6.8676,7.187,5.8395,5.8694,13143939
#2009-02-20#,5.57,6.0691,5.53,5.8594,10505287
#2009-02-23#,6.079,6.5981,5.9393,6.2986,10914268
#2009-02-24#,6.3885,7.8658,6.2887,7.3867,11310636
#2009-02-25#,7.237,7.5763,6.7977,7.3068,9382115
#2009-02-26#,7.4865,7.7959,7.1172,7.227,6825340
#2009-02-27#,7.0772,7.237,6.5482,6.668,7745314
#2009-03-02#,6.3985,6.8876,6.3585,6.5981,6423820
#2009-03-03#,6.7379,6.8776,6.0291,6.079,7226482
#2009-03-04#,6.1589,6.6181,5.7097,6.4983,9569063
#2009-03-05#,6.2487,6.4484,5.9692,6.099,7098092
#2009-03-06#,6.1888,6.4584,5.8495,6.0691,7168446
#2009-03-09#,6.109,7.0273,5.9193,6.2388,7534171
#2009-03-10#,6.4683,7.6562,6.3785,7.5664,9526152
#2009-03-11#,7.5364,7.9357,7.3967,7.5264,6453768
#2009-03-12#,7.6762,8.5845,7.3368,8.5047,9196651
#2009-03-13#,8.4847,8.7667,8.0355,8.4747,5122288
#2009-03-16#,8.6145,8.7842,7.7959,7.8259,5576496
#2009-03-17#,8.1653,8.5146,7.6662,8.5047,6800942
#2009-03-18#,8.4148,9.7225,7.8958,9.3232,9980539
#2009-03-19#,9.5228,9.5827,8.4448,8.4847,6795223
#2009-03-20#,8.7842,8.7842,7.9357,8.0954,5991766
#2009-03-23#,8.4847,9.7724,8.2252,9.7424,8557564
#2009-03-24#,9.4729,10.0119,9.2932,9.413,7088630
#2009-03-25#,9.6825,11.2298,8.6843,9.3731,14704198
#2009-03-26#,9.6326,10.561,9.5927,10.2615,8473775
#2009-03-27#,10.2316,10.6208,9.8023,10.2415,7126267
#2009-03-30#,9.7325,9.7624,8.4548,8.6943,9181571
#2009-03-31#,9.0936,9.0936,7.1271,7.4965,21895961
#2009-04-01#,7.2968,7.7161,7.0172,7.0972,13388732
#2009-04-02#,7.4466,7.5164,7.1271,7.3168,10012722
#2009-04-03#,7.3268,7.756,7.0673,7.6662,6892560
#2009-04-06#,7.5963,7.5963,7.2469,7.5364,6120895
#2009-04-07#,7.2669,7.3567,7.0074,7.1172,4924687
#2009-04-08#,7.786,8.1253,7.2669,7.4765,9085293
#2009-04-09#,7.6961,8.1653,7.5464,8.1653,7312975
#2009-04-10#,7.6961,8.1653,7.5464,8.1653,7312975
#2009-04-13#,7.9856,8.305,7.741,8.2052,6326536
#2009-04-14#,8.0455,8.2152,7.6961,7.766,6252315
#2009-04-15#,7.7361,9.0237,7.6562,8.6744,11351691
#2009-04-16#,8.8241,9.0038,8.2451,8.7842,7027805
#2009-04-17#,8.7742,9.5328,8.7742,9.3232,5388566
#2009-04-20#,8.9738,9.0237,7.4965,7.5863,9560517
#2009-04-21#,7.3567,8.1353,7.3368,8.0056,6488627
#2009-04-22#,7.8958,8.4348,7.5863,7.9557,7432532
