"Date","Open","High","Low","Close","Volume"
#2001-01-01#,45.25,45.25,42.375,44,1165600
#2001-01-02#,43.734,43.75,37,37,2700000
#2001-01-03#,35.875,39.375,35.875,37.938,3658800
#2001-01-04#,37.75,37.813,32.375,34.625,3702800
#2001-01-05#,34.75,34.875,31.25,33,3762800
#2001-01-08#,33,34.875,33,34.063,1639200
#2001-01-09#,34,36.469,33.625,35.688,1533600
#2001-01-10#,35.5,37.219,35.5,36.75,1446800
#2001-01-11#,36.5,37.656,36.5,36.906,1580800
#2001-01-12#,36.938,36.938,32,33.734,2382400
#2001-01-15#,36.938,36.938,32,33.734,2382400
#2001-01-16#,33.625,34.984,33.375,33.563,1916000
#2001-01-17#,33.75,35.188,31.875,32.484,2807200
#2001-01-18#,32.531,32.531,29.906,31.625,4117600
#2001-01-19#,31.938,32.063,29.875,30.297,2761200
#2001-01-22#,30.656,31.75,30.625,31,1904400
#2001-01-23#,31.125,33.391,30.453,32.875,2132400
#2001-01-24#,33,35.875,33,34.75,2795200
#2001-01-25#,34.5,34.938,33.781,34.25,1384400
#2001-01-26#,34.5,36.016,34.406,35.594,766400
#2001-01-29#,35.875,36.563,35.025,35.075,1032400
#2001-01-30#,34.825,36.175,34.75,35.425,1460800
#2001-01-31#,35.675,35.938,34,34.055,1245600
#2001-02-01#,34.625,34.748,33.625,33.915,1201600
#2001-02-02#,33.915,34.35,32.825,33.063,1520800
#2001-02-05#,32.875,33.313,32.728,33.288,998400
#2001-02-06#,33.25,34.875,33.25,33.675,1100800
#2001-02-07#,33.5,35.125,33.475,34.128,1102400
#2001-02-08#,34.25,34.313,33.213,33.325,692000
#2001-02-09#,33.125,33.875,32.8,33.625,1108800
#2001-02-12#,33.625,35.22,33.25,34.8,1100400
#2001-02-13#,34.925,35.113,34.5,34.988,786000
#2001-02-14#,35.175,35.75,34.263,35.69,1214000
#2001-02-15#,36.5,37.485,35.055,35.225,2072800
#2001-02-16#,35.5,36.495,35.188,36.313,1094000
#2001-02-19#,35.5,36.495,35.188,36.313,1094000
#2001-02-20#,36.438,36.875,36.25,36.623,1826800
#2001-02-21#,36.625,37.3,36.563,36.875,1500000
#2001-02-22#,36.788,36.983,36.45,36.813,1290800
#2001-02-23#,36.688,37.123,35.5,36.75,1276800
#2001-02-26#,36.75,39.625,36.625,38.663,2412400
#2001-02-27#,39,40.5,38.875,39.925,2556000
#2001-02-28#,39.988,40.185,38.978,40.125,1586000
#2001-03-01#,40,40.438,37.863,38.488,1682400
#2001-03-02#,38,39.875,38,39.428,1114000
#2001-03-05#,39.675,39.675,38.4,38.805,739200
#2001-03-06#,38.808,39.238,37.9,38,1336400
#2001-03-07#,37.75,38,35.625,36.325,1583200
