"Date","Open","High","Low","Close","Volume"
#2008-01-01#,10.815,10.945,10.475,10.51,2064858
#2008-01-02#,10.51,10.815,10.16,10.505,2355516
#2008-01-03#,10.72,10.925,10.355,10.425,1805008
#2008-01-04#,10.265,10.4699,10.05,10.06,1842456
#2008-01-07#,10.13,10.285,9.92,10.045,2586496
#2008-01-08#,10.005,10.21,9.6201,9.725,2758054
#2008-01-09#,9.685,9.955,9.41,9.865,1373846
#2008-01-10#,9.735,9.825,9.48,9.72,1711552
#2008-01-11#,9.665,9.735,9.4,9.445,1469504
#2008-01-14#,9.555,9.765,9.45,9.69,1307228
#2008-01-15#,9.555,9.75,9.34,9.71,1928726
#2008-01-16#,9.665,10.12,9.555,10.005,2285662
#2008-01-17#,10,10.299,9.735,9.75,1928728
#2008-01-18#,9.67,10.605,9.67,10.44,3899428
#2008-01-21#,9.67,10.605,9.67,10.44,3899428
#2008-01-22#,10,10.53,9.27,9.73,3092068
#2008-01-23#,9.5,10.325,9.5,10.15,2910534
#2008-01-24#,9.855,10.55,9.825,9.89,2727482
#2008-01-25#,10.015,10.205,9.485,9.535,2120654
#2008-01-28#,9.495,9.685,9.345,9.67,1872326
#2008-01-29#,9.75,9.75,9.185,9.25,2527216
#2008-01-30#,9.165,9.19,8.795,8.85,2772944
#2008-01-31#,8.835,9.01,8.605,8.945,3654502
#2008-02-01#,9,10.16,8.96,10.075,4228218
#2008-02-04#,10.065,10.225,9.975,10.055,2147670
#2008-02-05#,9.845,10.165,9.72,9.8,2188382
#2008-02-06#,9.86,10.04,9.53,9.555,1017610
#2008-02-07#,9.505,9.84,9.45,9.675,1332010
#2008-02-08#,9.63,9.83,9.455,9.61,1384124
#2008-02-11#,9.595,9.78,9.375,9.695,1272518
#2008-02-12#,9.725,10.18,9.675,9.83,1786192
#2008-02-13#,9.945,10.14,9.925,10.03,1064334
#2008-02-14#,10.035,10.07,9.795,9.815,856322
#2008-02-15#,9.74,9.84,9.47,9.555,1099058
#2008-02-18#,9.74,9.84,9.47,9.555,1099058
#2008-02-19#,9.705,9.725,9.25,9.3,1406330
#2008-02-20#,9.335,9.43,9.155,9.345,1701528
#2008-02-21#,9.43,9.53,9.175,9.315,1306846
#2008-02-22#,9.35,9.465,9.22,9.445,1335364
#2008-02-25#,9.465,9.54,9.22,9.325,1966162
#2008-02-26#,9.235,9.34,9.115,9.195,2962534
#2008-02-27#,10.605,11.51,10.58,10.9,11171322
#2008-02-28#,10.79,11.25,10.745,10.88,3935532
#2008-02-29#,10.875,11.09,10.59,10.62,3900724
#2008-03-03#,10.585,10.995,10.45,10.995,2458964
#2008-03-04#,10.835,10.955,10.53,10.71,1769386
#2008-03-05#,10.74,11,10.675,10.87,3443574
#2008-03-06#,10.83,11.2,10.725,10.935,2958398
#2008-03-07#,10.795,11.245,10.73,11.05,3000672
#2008-03-10#,11.1,11.2749,10.78,10.84,2825202
#2008-03-11#,11.15,11.43,10.805,11.05,4261974
#2008-03-12#,11.065,11.16,10.78,10.795,2370700
#2008-03-13#,10.655,11.41,10.615,11.2,2793398
#2008-03-14#,11.345,11.7,11.07,11.275,2942116
#2008-03-17#,10.985,11.61,10.75,10.885,1788460
#2008-03-18#,11.145,11.43,10.825,11.3,2427928
#2008-03-19#,11.36,11.415,11.02,11.045,1733874
#2008-03-20#,11.205,11.755,11,11.66,6765064
#2008-03-21#,11.205,11.755,11,11.66,6765064
#2008-03-24#,12.015,12.5,11.855,11.93,3428214
#2008-03-25#,11.98,12.09,11.325,11.475,2740640
#2008-03-26#,11.375,11.555,11.25,11.42,1763948
#2008-03-27#,11.455,11.67,11.155,11.25,2096312
#2008-03-28#,11.245,11.43,10.92,11.025,1772412
#2008-03-31#,10.995,11.345,10.95,11.235,1978000
#2008-04-01#,11.445,11.4949,11.085,11.23,2437704
#2008-04-02#,11.25,11.325,10.785,10.915,2520388
#2008-04-03#,10.795,10.905,10.455,10.81,2660448
#2008-04-04#,10.8,11.045,10.425,10.945,2925682
#2008-04-07#,11.11,11.12,10.8951,10.955,2852276
