"Date","Open","High","Low","Close","Volume"
#2007-01-01#,51.73,52.22,51.71,52.1,4311400
#2007-01-02#,51.73,52.22,51.71,52.1,4311400
#2007-01-03#,52.45,52.88,51.92,52.25,10306200
#2007-01-04#,51.99,52.51,51.9,52.36,6828700
#2007-01-05#,52.52,52.58,51.87,52.04,4114400
#2007-01-08#,52.21,52.21,51.75,51.8,3804200
#2007-01-09#,52.04,52.1,51.75,51.83,6272400
#2007-01-10#,51.59,51.83,51.57,51.66,3400300
#2007-01-11#,51.76,52.33,51.66,52.23,4432200
#2007-01-12#,52.4,52.92,52.27,52.6,5533100
#2007-01-15#,52.4,52.92,52.27,52.6,5533100
#2007-01-16#,52.8,52.9,52.51,52.88,4181300
#2007-01-17#,52.88,53.17,52.54,52.85,5018000
#2007-01-18#,52.6,53.21,52.6,53.04,3943000
#2007-01-19#,53.3,53.45,52.83,52.96,3837200
#2007-01-22#,52.57,53.12,52.52,52.73,5872300
#2007-01-23#,52.85,52.95,52.47,52.65,4397700
#2007-01-24#,52.74,53.4,52.68,53.33,3934000
#2007-01-25#,53.2,53.3,52.85,53.13,5061100
#2007-01-26#,53.05,53.45,52.6,52.79,3966100
#2007-01-29#,52.9,53,52.55,52.85,3472700
#2007-01-30#,52.87,53,52.6,52.73,2671200
#2007-01-31#,52.7,54.37,52.55,54.12,10521700
#2007-02-01#,54.65,55.04,54.5,54.77,6648100
#2007-02-02#,54.68,54.78,54.37,54.6,4973400
#2007-02-05#,54.43,54.7192,54.03,54.67,5090500
#2007-02-06#,54.6,54.82,54.39,54.64,4486200
#2007-02-07#,54.7,54.78,54.34,54.42,4679100
#2007-02-08#,54.05,54.72,54.05,54.21,3124600
#2007-02-09#,54.2,54.7,54.11,54.23,3591600
#2007-02-12#,54.75,54.75,54.23,54.41,3300438
#2007-02-13#,54.39,54.5,54.05,54.28,3356625
#2007-02-14#,54.37,54.89,54.23,54.86,3773511
#2007-02-15#,54.85,55.11,54.75,54.96,3092000
#2007-02-16#,54.76,55.04,54.57,54.99,3681000
#2007-02-19#,54.76,55.04,54.57,54.99,3681000
#2007-02-20#,55.03,55.2,54.76,54.97,3228800
#2007-02-21#,54.65,54.8,54.37,54.52,3370600
#2007-02-22#,54.6,54.6,54.01,54.14,3344100
#2007-02-23#,54,54.36,53.75,54.21,3381300
#2007-02-26#,54.46,54.66,54.25,54.4,3847822
#2007-02-27#,53.71,54.52,52.58,53,8179900
#2007-02-28#,53.52,53.52,52.3,52.59,7685000
#2007-03-01#,52.01,52.52,51.9,52.25,6261332
#2007-03-02#,52.14,52.19,51.71,51.77,6537300
#2007-03-05#,51.48,52.1,51.21,51.63,7572100
#2007-03-06#,51.75,52.28,51.56,52.23,5054300
#2007-03-07#,52.07,52.44,51.65,51.86,4844600
#2007-03-08#,52.11,52.39,52,52.36,3297000
#2007-03-09#,52.55,52.92,52.38,52.59,5052100
#2007-03-12#,52.39,53.04,52.25,52.8,3643200
#2007-03-13#,52.37,52.88,52,52.07,5432200
#2007-03-14#,52.26,52.3,51.35,51.9,5342900
#2007-03-15#,51.75,52.09,51.53,52.05,3769600
#2007-03-16#,52.15,52.42,51.79,52.18,6181800
#2007-03-19#,52.23,52.72,52.12,52.68,3265250
#2007-03-20#,52.6,52.88,52.38,52.77,3532300
#2007-03-21#,52.65,53.91,52.65,53.82,6668165
#2007-03-22#,53,54.28,53,54.17,4420100
#2007-03-23#,54.17,54.22,53.39,53.81,3956100
#2007-03-26#,53.49,53.96,53.2,53.71,5206300
#2007-03-27#,53.4,53.6,53.06,53.27,4548400
#2007-03-28#,53.28,53.35,52.62,53.01,5457700
#2007-03-29#,53.2,53.54,52.73,53.41,5333000
#2007-03-30#,53.5,54.08,53.2,53.71,3728028
#2007-04-02#,53.96,54.49,53.9,54.39,6021300
#2007-04-03#,54.15,54.92,54.11,54.75,4308200
#2007-04-04#,54.65,55.24,54.5,55.16,4345959
#2007-04-05#,55.15,55.62,55.06,55.48,2996980
#2007-04-06#,55.15,55.62,55.06,55.48,2996980
#2007-04-09#,55.43,55.73,55.27,55.58,2295406
#2007-04-10#,55.42,55.73,55.34,55.68,2985180
#2007-04-11#,55.72,55.74,55.29,55.59,3778417
#2007-04-12#,55.6,56.09,55.5,55.94,4002220
#2007-04-13#,56.24,57,56.2,56.88,6486815
#2007-04-16#,57.7,58.48,57.01,58.4,10758245
#2007-04-17#,58.4,59.09,58.34,58.87,9279077
#2007-04-18#,58.56,59.36,58.45,59.14,6871470
#2007-04-19#,59.1,60.28,58.65,60.02,9921471
#2007-04-20#,60.34,61,60.05,60.56,9629999
#2007-04-23#,60.21,60.28,59.27,59.63,7704252
#2007-04-24#,59.02,59.5,58.9,59.28,5093273
#2007-04-25#,59.6,59.63,59.11,59.51,4655730
#2007-04-26#,58.88,59.88,58.88,59.73,6101130
#2007-04-27#,59.01,59.7,58.99,59.61,2967600
#2007-04-30#,59.98,59.98,58.93,59.13,5198148
#2007-05-01#,59.12,59.39,58.76,58.89,7408973
#2007-05-02#,59,59.49,58.77,59.16,4625591
#2007-05-03#,59.45,59.6,58.97,59.14,4162649
#2007-05-04#,59.09,59.74,58.92,59.54,6180344
#2007-05-07#,59.55,59.96,59.54,59.72,4577108
#2007-05-08#,59.64,59.97,59.45,59.83,8534200
#2007-05-09#,59.58,59.78,59.39,59.75,4803720
#2007-05-10#,59.47,59.58,58.64,58.71,6166321
#2007-05-11#,58.71,58.71,57.9,58.43,7569722
#2007-05-14#,58.44,59.35,58.44,59.21,4713186
#2007-05-15#,59.17,59.6,59.08,59.24,4076700
#2007-05-16#,59.26,59.47,58.88,59.11,3939960
#2007-05-17#,58.7,59.17,58.67,59.02,2789681
#2007-05-18#,59.11,59.59,59,59.37,3042100
#2007-05-21#,59.4,59.89,59.19,59.62,6837878
#2007-05-22#,59.99,60,59.4,59.53,3095700
#2007-05-23#,59.52,59.75,59.29,59.4,2914098
#2007-05-24#,59.9,59.9,59.08,59.19,3900875
#2007-05-25#,58.6,59.5,58.6,59.36,1821550
#2007-05-28#,58.6,59.5,58.6,59.36,1821550
#2007-05-29#,59.3,59.54,58.8,59.46,3201700
#2007-05-30#,59.01,59.27,58.52,59.24,5105787
#2007-05-31#,59.25,59.39,58.38,58.62,5382738
#2007-06-01#,58.73,58.96,58.42,58.94,3851239
#2007-06-04#,58.94,59.23,58.74,59.16,4873700
#2007-06-05#,59.18,59.21,58.73,59,5278498
#2007-06-06#,58.75,59.19,58.15,58.29,5927126
#2007-06-07#,58.09,58.16,56.71,56.93,12169371
