"Date","Open","High","Low","Close","Volume"
#2014-01-01#,25.9,25.9099,25.72,25.8,769104
#2014-01-02#,25.805,25.805,25.345,25.39,1103324
#2014-01-03#,25.465,25.5,25.21,25.345,894340
#2014-01-06#,25.095,25.29,25,25.245,1692696
#2014-01-07#,25.29,25.525,25.29,25.485,923040
#2014-01-08#,25.515,25.515,25.25,25.395,1417840
#2014-01-09#,25.525,25.775,25.335,25.65,1172184
#2014-01-10#,25.655,25.99,25.505,25.935,976296
#2014-01-13#,25.885,25.91,25.62,25.675,672862
#2014-01-14#,25.75,25.8175,25.565,25.75,879134
#2014-01-15#,25.845,25.915,25.57,25.635,905230
#2014-01-16#,25.545,25.785,25.545,25.72,619188
#2014-01-17#,25.76,25.815,25.5925,25.645,873572
#2014-01-20#,25.76,25.815,25.5925,25.645,873572
#2014-01-21#,25.75,25.96,25.7,25.96,1039704
#2014-01-22#,25.895,25.99,25.745,25.895,1514166
#2014-01-23#,25.82,25.91,25.7163,25.845,1282270
#2014-01-24#,25.77,25.8175,25.37,25.375,1364704
#2014-01-27#,25.4,25.605,25.315,25.49,975518
#2014-01-28#,25.565,25.59,25.475,25.575,916196
#2014-01-29#,25.255,25.565,25.255,25.385,1026844
#2014-01-30#,25.565,25.895,25.46,25.875,742274
#2014-01-31#,25.665,26.095,25.516,25.98,829206
#2014-02-03#,26.025,26.26,25.455,25.475,2100142
#2014-02-04#,25.6,25.635,25.32,25.515,1667274
#2014-02-05#,25.465,25.475,25.195,25.3,1021660
#2014-02-06#,25.3,25.55,25.1913,25.445,525806
#2014-02-07#,25.525,25.685,25.4,25.645,550758
#2014-02-10#,25.625,25.875,25.44,25.82,671020
#2014-02-11#,25.8,26.31,25.755,26.28,797076
#2014-02-12#,26.39,26.515,26.255,26.32,1496926
#2014-02-13#,26.24,26.605,26.24,26.57,795608
#2014-02-14#,26.575,26.845,26.465,26.835,790468
#2014-02-17#,26.575,26.845,26.465,26.835,790468
