"Date","Open","High","Low","Close","Volume"
#2009-01-01#,21.7,21.79,21.03,21.28,2419328
#2009-01-02#,21.47,22.18,20.65,22.04,2620884
#2009-01-05#,21.62,22.34,21.44,21.99,1900071
#2009-01-06#,22.36,23.68,21.8,23.36,3134918
#2009-01-07#,22.98,23.07,21.9,22.66,2590663
#2009-01-08#,22.61,23.479,22.24,23.35,2588435
#2009-01-09#,23.43,23.59,22.61,23.5,3068650
#2009-01-12#,23.35,23.42,21.89,22.28,3176873
#2009-01-13#,21.93,22.69,21.2,21.63,3387234
#2009-01-14#,21.17,21.5,20.33,20.45,2427699
#2009-01-15#,20.34,21.5,19.75,21.13,4188459
#2009-01-16#,21.75,22.46,21.15,22.17,3627329
#2009-01-19#,21.75,22.46,21.15,22.17,3627329
#2009-01-20#,21.9,22.36,20.89,20.89,3297220
#2009-01-21#,21.15,21.4,20.08,21.19,3189855
#2009-01-22#,20.69,21.39,19.95,20.56,3004521
#2009-01-23#,20.32,22.34,20.22,21.91,3917366
#2009-01-26#,21.85,22.57,21.43,21.78,2870803
#2009-01-27#,21.7,22.75,21.6,22.42,1811454
#2009-01-28#,22.96,24.28,22.67,23.89,4062339
#2009-01-29#,21.72,22.33,20.15,21.1,9081948
#2009-01-30#,20.85,21.58,20,20.21,4359218
#2009-02-02#,20,20.5,19.06,19.68,5478053
#2009-02-03#,19.77,19.96,19.09,19.85,4308736
#2009-02-04#,20,20.71,19.56,20.07,3334970
#2009-02-05#,19.44,21.2001,19.32,20.91,3427689
#2009-02-06#,21.24,21.83,20.78,21.78,2609192
#2009-02-09#,21.67,22.13,21.21,21.57,1828120
#2009-02-10#,21.34,22.49,20.69,20.86,3769414
#2009-02-11#,21.01,21.12,19.98,20.37,2920742
#2009-02-12#,20.16,21.23,19.86,20.86,4491445
#2009-02-13#,20.85,22.03,20.85,21.69,3528895
#2009-02-16#,20.85,22.03,20.85,21.69,3528895
#2009-02-17#,20.58,21.01,19.88,19.98,2697756
#2009-02-18#,20.06,20.34,19.28,19.84,3243604
#2009-02-19#,20.05,20.11,19.02,19.03,2556844
#2009-02-20#,19.08,20.04,18.58,19.59,3704267
#2009-02-23#,19.57,19.8,18.43,18.56,3250489
#2009-02-24#,18.56,19.75,18.56,19.63,3552955
#2009-02-25#,19.56,21.07,19.07,20.47,5623220
#2009-02-26#,20.99,21.68,19.99,20.21,4443311
#2009-02-27#,19.76,20.38,19.4,19.56,4457869
#2009-03-02#,19.32,19.65,18.32,18.42,3183586
#2009-03-03#,18.52,19.12,18.24,18.81,4031450
#2009-03-04#,19.2,20.38,19.01,19.75,3807668
#2009-03-05#,19.3,20.06,19.13,19.32,2193097
#2009-03-06#,19.58,19.68,18.65,19.29,4073167
#2009-03-09#,19.24,20.09,18.88,19.16,3463465
#2009-03-10#,19.19,20.5,19.19,20.36,3271515
#2009-03-11#,20.28,21.1899,20,21,3428946
#2009-03-12#,21.02,22.49,20.69,22.26,4071818
#2009-03-13#,22.39,23.69,22.1,23.35,4833372
#2009-03-16#,23.61,23.9,22.36,22.57,4567987
#2009-03-17#,22.66,23.22,22.26,23.22,2674267
#2009-03-18#,23.05,24.49,22.79,24.45,4967240
#2009-03-19#,24.35,24.99,23.92,24.5,4540088
#2009-03-20#,24.01,25.18,22.79,23.24,4879924
#2009-03-23#,23.7,25,23.57,25,3855296
#2009-03-24#,24.36,24.75,23.71,24.16,3796082
