"Date","Open","High","Low","Close","Volume"
#2005-01-03#,28.93,29.345,28.75,28.77,4201600
#2005-01-04#,29.05,29.135,28.67,28.77,3901400
#2005-01-05#,29.025,29.25,28.61,28.61,5751200
#2005-01-06#,28.5,29.2,28.1,28.6,4962400
#2005-01-07#,28.6,28.6,28.185,28.28,3250200
#2005-01-10#,28.15,28.995,28.15,28.805,2763800
#2005-01-11#,28.805,28.865,28.54,28.8,2210600
#2005-01-12#,28.715,28.825,28.45,28.65,2153200
#2005-01-13#,28.525,29.03,28.455,28.685,1838000
#2005-01-14#,28.705,29.25,28.7,29.185,1492000
#2005-01-17#,28.705,29.25,28.7,29.185,1492000
#2005-01-18#,29.19,29.7,28.84,28.985,4899000
#2005-01-19#,28.825,28.95,28.525,28.54,1866200
#2005-01-20#,28.275,28.675,27.55,27.655,11232200
#2005-01-21#,27.655,28.15,27.465,27.575,6436400
#2005-01-24#,27.725,27.755,27.27,27.325,2691600
#2005-01-25#,27.425,27.625,27.1,27.3,3511400
#2005-01-26#,27.28,27.425,27.23,27.355,2836600
#2005-01-27#,27.375,27.95,27.265,27.9,3044400
#2005-01-28#,27.95,27.99,27.54,27.61,2403000
#2005-01-31#,27.81,28.42,27.695,28.4,3301000
#2005-02-01#,28.875,29.15,28.7,28.83,2985600
#2005-02-02#,28.76,28.9,28.635,28.9,1550600
#2005-02-03#,28.75,29.11,28.7,29.085,2484800
#2005-02-04#,29.09,29.425,29,29.31,2052000
#2005-02-07#,29.31,29.955,29.31,29.565,4933600
#2005-02-08#,29.65,29.87,29.26,29.275,2692400
#2005-02-09#,29.345,29.365,28.62,28.7,2435000
#2005-02-10#,28.8,28.82,28.485,28.55,1913200
#2005-02-11#,28.59,28.905,28.59,28.75,1994200
#2005-02-14#,28.8,28.8,28.48,28.625,1261000
#2005-02-15#,28.8,29.135,28.615,29,3536400
#2005-02-16#,28.9,29.01,28.57,28.695,1656600
#2005-02-17#,28.745,28.85,28.58,28.685,1757600
#2005-02-18#,28.685,28.685,27.905,28.36,5418000
#2005-02-21#,28.685,28.685,27.905,28.36,5418000
#2005-02-22#,27.85,28,27.45,27.645,5812200
#2005-02-23#,27.765,28.605,27.765,28.31,6461000
#2005-02-24#,28.35,28.65,28.175,28.505,3345600
#2005-02-25#,28.4,28.405,27.905,28.395,5140200
#2005-02-28#,29.005,29.055,27.81,28.225,26423400
#2005-03-01#,28.25,30.815,28.25,30.49,25200600
#2005-03-02#,30.075,31.55,30,30.76,14206600
#2005-03-03#,30.885,31.2,30.435,30.925,8571600
#2005-03-04#,30.875,31.04,30.445,30.475,5398800
#2005-03-07#,30.505,30.6,30.015,30.375,6945400
#2005-03-08#,30.175,30.385,30.095,30.305,4714200
#2005-03-09#,30.575,31.025,30.37,30.5,6616600
#2005-03-10#,30.45,31.425,30.425,31.325,7163800
#2005-03-11#,31.1,31.19,30.96,31.075,3604000
#2005-03-14#,31.325,32.23,31.305,32.225,8240200
#2005-03-15#,32.15,32.27,31.922,32.175,6790200
#2005-03-16#,32.075,32.075,31.3785,31.5,5540800
#2005-03-17#,31.62,31.935,31.37,31.85,3703200
#2005-03-18#,31.75,31.835,31.12,31.515,4440200
#2005-03-21#,31.35,31.44,30.565,31.16,3788600
#2005-03-22#,31.16,31.25,30.54,30.725,4090400
#2005-03-23#,30.4,30.66,30.13,30.285,7679200
#2005-03-24#,30.5,30.995,30.175,30.535,5308200
#2005-03-25#,30.5,30.995,30.175,30.535,5308200
#2005-03-28#,30.535,31.75,30.52,31.55,6397800
#2005-03-29#,31.2,31.56,30.675,30.835,5053600
#2005-03-30#,30.84,31.65,30.82,31.62,5089200
#2005-03-31#,31.52,31.975,31.505,31.82,4854800
#2005-04-01#,31.9,31.92,31.315,31.405,5442600
#2005-04-04#,31.45,32.435,31.4,32.28,9869800
#2005-04-05#,32.15,32.48,32.035,32.375,5201600
#2005-04-06#,32.38,32.475,32.1,32.325,4151800
#2005-04-07#,32.125,32.425,31.86,32.36,6026800
#2005-04-08#,32.225,32.375,32.065,32.125,5970600
#2005-04-11#,32.175,32.54,32.15,32.285,6033200
#2005-04-12#,32.285,32.285,31.87,32.18,4491200
#2005-04-13#,32.06,32.145,31.95,32,4200600
#2005-04-14#,32.075,32.2,31.21,31.22,5893600
#2005-04-15#,31.05,31.485,30.445,30.77,6738200
#2005-04-18#,30.85,30.94,30.36,30.88,5173800
#2005-04-19#,30.89,31.255,30.6,31.175,3404200
#2005-04-20#,31.175,31.51,30.8,30.925,4816400
#2005-04-21#,31.125,31.365,30.725,31.2,3462200
#2005-04-22#,31.2,31.205,30.52,30.675,3988800
#2005-04-25#,30.775,31.035,30.71,31.015,3005400
#2005-04-26#,31.01,31.335,30.8,30.86,3235400
#2005-04-27#,30.8,30.8,30.175,30.4,3409200
#2005-04-28#,30.325,30.55,29.675,29.695,3645200
#2005-04-29#,29.8,29.82,28.3,28.75,9351400
#2005-05-02#,28.94,29.42,28.845,29.42,3993000
#2005-05-03#,29.35,30.15,29.255,29.82,4926600
#2005-05-04#,29.82,30.155,29.75,30.085,3081200
#2005-05-05#,31.3,31.99,31.06,31.185,8956400
#2005-05-06#,31.525,31.825,31.405,31.59,4709200
#2005-05-09#,31.65,32.455,31.65,32.125,5905200
#2005-05-10#,31.85,32.3,31.66,31.95,5479400
#2005-05-11#,32.25,32.44,31.025,31.64,8873800
#2005-05-12#,31.4,31.95,31.385,31.525,5697800
#2005-05-13#,31.5,31.75,31.37,31.625,5362000
#2005-05-16#,31.6,32.535,31.6,32.48,5107000
#2005-05-17#,32.25,33.695,32.25,33.3,9473200
#2005-05-18#,33.775,34.05,33.56,33.97,7083200
#2005-05-19#,33.875,34.525,33.85,34.47,7637800
#2005-05-20#,34.35,34.435,33.665,34.43,5707800
#2005-05-23#,34.25,34.75,34.25,34.74,4749800
#2005-05-24#,34.575,34.68,34.425,34.51,6019200
#2005-05-25#,34.275,34.275,33.545,33.665,5677200
#2005-05-26#,33.9,34.11,33.56,33.94,3609600
#2005-05-27#,34.025,34.175,33.78,33.86,2658000
#2005-05-30#,34.025,34.175,33.78,33.86,2658000
#2005-05-31#,33.9,33.9,33.57,33.725,2557000
#2005-06-01#,33.725,34.37,33.5,33.85,3616200
#2005-06-02#,34.125,34.55,34.065,34.545,8839200
#2005-06-03#,34.405,34.915,33.87,33.95,5203200
#2005-06-06#,33.875,34.19,33.5,34.14,3268200
#2005-06-07#,34.125,35.03,34.05,34.53,4186800
#2005-06-08#,34.46,34.58,34.135,34.295,2224800
#2005-06-09#,34.23,35.155,34.015,35.1,3741800
#2005-06-10#,35.05,35.59,35.02,35.485,5324800
