"Date","Open","High","Low","Close","Volume"
#2014-01-01#,83.937,83.938,83.062,83.546,6762000
#2014-01-02#,83.741,83.797,83.01,83.414,7408790
#2014-01-03#,83.414,83.58,82.6,83.081,6439160
#2014-01-06#,83.196,83.388,82.466,82.669,7022770
#2014-01-07#,83.101,83.919,83.1,83.709,7646070
#2014-01-08#,83.732,84.401,83.601,83.684,6937260
#2014-01-09#,84,84.424,83.625,84.36,7212580
#2014-01-10#,84.684,84.748,83.16,83.476,8213690
#2014-01-13#,83.546,83.8,80.763,81,12359540
#2014-01-14#,81.282,82.297,80.414,82.171,10869050
#2014-01-15#,82.511,82.978,82.124,82.337,7750600
#2014-01-16#,82.482,82.799,82.242,82.55,4965690
#2014-01-17#,82.5,83.402,80.788,81.842,13330190
#2014-01-20#,82.5,83.402,80.788,81.842,13330190
#2014-01-21#,82.302,82.656,81.403,81.848,10103590
#2014-01-22#,82.21,83.9,82,83.3,7220658
#2014-01-23#,83.8,83.81,81.92,82.36,6595431
#2014-01-24#,81.78,81.98,78.5,78.51,9541224
#2014-01-27#,78.95,78.98,74.95,76.05,13715112
#2014-01-28#,76.7,79.09,76.58,78.83,7738725
#2014-01-29#,78.19,78.67,77.01,77.7,7915482
#2014-01-30#,80.45,80.55,78.24,79.76,8749157
#2014-01-31#,75.51,76.99,71.75,75.68,23255509
#2014-02-03#,76.05,76.41,73.85,73.91,9834575
#2014-02-04#,74.22,74.345,72.8,73.12,11981190
#2014-02-05#,72.76,73.5,72.11,72.84,7769433
#2014-02-06#,73.23,74.91,73.139,74.9,6805661
#2014-02-07#,75.67,76.93,75.13,76.31,8551622
#2014-02-10#,76.66,77.34,75.85,76.35,4886654
#2014-02-11#,76.8,76.83,76,76.19,5323791
#2014-02-12#,76.44,76.93,75.67,75.97,4775447
#2014-02-13#,75.48,76.64,75.13,76.53,4912964
#2014-02-14#,76.58,77.66,76.48,77.39,4766134
#2014-02-17#,76.58,77.66,76.48,77.39,4766134
#2014-02-18#,78.46,78.49,77.2,77.49,5811790
#2014-02-19#,77.34,78.01,76.53,76.65,6038258
#2014-02-20#,76.88,76.88,74.85,75.86,8723584
#2014-02-21#,75.86,76.35,75.5,75.7,6551857
#2014-02-24#,75.57,76.97,75.56,75.96,7942731
#2014-02-25#,76,76.97,75.52,76.74,7437312
#2014-02-26#,76.83,77.41,76.61,77.36,7438903
#2014-02-27#,77.34,78.01,77,77.76,4939433
#2014-02-28#,78.2,78.669,76.95,77.72,5919129
#2014-03-03#,76.53,77.09,75.65,76.73,6154831
#2014-03-04#,77.81,78.8,77.41,78.5,5303009
#2014-03-05#,78.67,78.88,77.825,78.2,4233519
#2014-03-06#,78.4,78.71,77.57,77.63,4594433
#2014-03-07#,78.07,78.25,77.52,77.94,4134098
#2014-03-10#,77.8,77.944,77.27,77.39,3314844
#2014-03-11#,77.49,78.45,76.89,77.9,4835405
#2014-03-12#,77.22,78.34,76.8,78.34,4744935
#2014-03-13#,78.38,78.77,76.54,76.62,6521375
#2014-03-14#,76.51,77.22,76.23,76.34,4859053
#2014-03-17#,76.75,77.84,76.74,77.83,3911475
#2014-03-18#,78.1,78.98,77.54,78.92,4523471
#2014-03-19#,78.94,79.6,77.92,78.31,5929255
#2014-03-20#,78.21,78.65,77.61,78.41,5197964
#2014-03-21#,79.34,79.83,75.9,75.99,14425292
#2014-03-24#,76.48,77.71,75.87,77.39,8822012
#2014-03-25#,77.58,77.77,75.23,75.28,7134713
#2014-03-26#,75.81,76.17,73.68,73.71,7612692
#2014-03-27#,73.54,73.62,72.35,73.34,7690125
#2014-03-28#,73.39,73.79,72.44,73.22,5245438
#2014-03-31#,73.86,74.87,73.5,74.7,5843774
#2014-04-01#,75.25,75.34,74.382,74.81,4105928
#2014-04-02#,74.89,75.35,74.53,74.7,4271660
#2014-04-03#,75.04,75.55,74.24,74.53,4133295
#2014-04-04#,75.4,75.49,71.71,72.18,8294189
#2014-04-07#,71.66,71.96,70.434,71.33,9701807
#2014-04-08#,71.22,71.94,71,71.52,6288654
#2014-04-09#,71.93,73.67,71.61,73.56,6985344
#2014-04-10#,73.67,74.32,70.95,71.17,8984297
#2014-04-11#,70.05,70.38,68.68,68.68,11611261
#2014-04-14#,69.79,71.97,69.6,71.18,10893950
#2014-04-15#,72.3,72.74,70.48,72.15,7010084
#2014-04-16#,72.88,73.95,72.5,73.93,7002536
#2014-04-17#,74.07,74.82,73.61,74.13,5552348
#2014-04-18#,74.07,74.82,73.61,74.13,5552348
#2014-04-21#,74.25,74.63,73.83,74.31,5991676
#2014-04-22#,74.47,74.77,73.85,74.53,5049896
#2014-04-23#,74.33,74.5,73.063,73.36,5057415
#2014-04-24#,73.71,74.72,73.33,74.35,5195169
#2014-04-25#,72.21,73,70.6,70.66,9661421
#2014-04-28#,70.8,72.16,70.217,71.24,8649368
#2014-04-29#,71.49,72.61,71.33,72.03,6031110
#2014-04-30#,72.34,73.63,71.54,73.55,6554327
#2014-05-01#,75.57,76.71,74.05,74.22,9752820
#2014-05-02#,74.2,74.5,72.52,73.78,5977593
#2014-05-05#,73.21,74.86,72.95,74.82,4777809
#2014-05-06#,74.34,74.475,73.75,73.81,4290252
#2014-05-07#,73.93,74.37,73.05,73.87,4413087
#2014-05-08#,73.87,75.47,73.5,74.24,4628491
#2014-05-09#,74.01,74.44,73.52,74.38,2975555
#2014-05-12#,74.69,75.22,74.5,75.02,2975256
#2014-05-13#,75.19,75.43,74.45,74.83,3268662
#2014-05-14#,74.66,75.02,73.96,74.1,2595985
#2014-05-15#,74,74.24,72.881,73.08,4306940
#2014-05-16#,73.03,73.865,72.56,73.75,3703945
#2014-05-19#,73.47,74.38,73.41,73.86,3429017
#2014-05-20#,73.82,74.49,73.51,73.65,3764725
#2014-05-21#,74.2,75.64,74.17,75.63,4365876
#2014-05-22#,75.81,76.22,75.1,75.75,4625410
#2014-05-23#,76,76.67,75.82,76.45,3376052
#2014-05-26#,76,76.67,75.82,76.45,3376052
#2014-05-27#,76.88,77.89,76.72,77.03,5599191
#2014-05-28#,77.11,77.25,76.72,76.93,2733287
#2014-05-29#,77.05,77.23,76.51,76.79,3375589
#2014-05-30#,76.8,77.025,76.35,76.45,5003547
#2014-06-02#,76.77,77.21,76.23,77.05,3050434
#2014-06-03#,76.76,77,76.24,76.35,2619141
#2014-06-04#,76.31,76.53,75.821,76.32,2794917
#2014-06-05#,76.32,77.172,76.14,76.84,2684380
#2014-06-06#,77,77.877,76.9,77.47,3119190
#2014-06-09#,77.32,77.49,76.75,76.86,3500030
#2014-06-10#,76.74,77.56,76.57,77.36,3396205
#2014-06-11#,76.96,77.434,76.72,76.87,3427470
#2014-06-12#,76.98,77.14,75.456,75.72,3844890
#2014-06-13#,75.72,76.14,75.13,75.94,3194937
#2014-06-16#,75.6,75.78,74.9,75.11,5674197
#2014-06-17#,75.14,75.43,74.55,74.98,4163781
#2014-06-18#,74.95,75.21,74.4,75.12,3822026
#2014-06-19#,75.08,75.418,74.1,74.27,5504688
#2014-06-20#,74.53,75.01,73.48,73.81,9339318
#2014-06-23#,73.59,74.3,73.2,74.14,4900715
#2014-06-24#,74.09,74.79,72.55,72.7,5949993
#2014-06-25#,72.56,73.55,72.54,73.04,3813591
#2014-06-26#,73.26,73.28,72.56,72.77,4085460
#2014-06-27#,72.52,73.61,72.45,73.4,12447487
#2014-06-30#,73.24,73.88,73.06,73.47,4737099
#2014-07-01#,74.2,75.91,74.14,75.53,6336226
#2014-07-02#,74.86,76.39,74.86,76.2,3973937
#2014-07-03#,76.6,76.9,76.35,76.74,3213435
#2014-07-04#,76.6,76.9,76.35,76.74,3213435
#2014-07-07#,76.44,76.64,75.94,76.18,3595751
#2014-07-08#,76.11,76.15,75.13,75.69,3903585
#2014-07-09#,75.87,76.67,75.6,76.63,3341723
#2014-07-10#,75.65,75.955,74.75,75.47,3318037
#2014-07-11#,75.54,75.85,75.26,75.83,2759088
