"Date","Open","High","Low","Close","Volume"
#2019-01-01#,95.15,95.71,93.79,95.7,448441
#2019-01-02#,94.93,94.93,92.19,92.65,602074
#2019-01-03#,92.64,94.79,92.57,93.32,521484
#2019-01-04#,93.82,94.69,93.26,93.33,587256
#2019-01-07#,93.57,94.52,92.7,93.2,725575
#2019-01-08#,93.97,95.58,93.51,95.08,868223
#2019-01-09#,95.47,95.47,94.07,94.99,573480
#2019-01-10#,94.6,96.91,94.5,96.57,441951
#2019-01-11#,96.34,97.3,96.1,97.19,603847
#2019-01-14#,96.36,97.06,95.8,96.52,557813
#2019-01-15#,96.8,98.23,96.77,97.97,747670
#2019-01-16#,97.84,99.68,97.52,99.38,625027
#2019-01-17#,99.33,100.13,99.28,100,454945
#2019-01-18#,100.15,100.47,99.1,100.14,494425
#2019-01-21#,100.15,100.47,99.1,100.14,494425
#2019-01-22#,100.11,100.4,99,99.85,572670
#2019-01-23#,99.84,99.99,98.94,99.63,900537
#2019-01-24#,99.45,100.52,99.045,99.97,331792
#2019-01-25#,100.19,101.34,100.04,101.07,475844
#2019-01-28#,100.9,102.54,100.644,102.35,457816
#2019-01-29#,102.48,103.37,101.76,103.36,529748
#2019-01-30#,103.04,104.52,102.86,104.13,535225
#2019-01-31#,102.95,103.5,100.35,101.28,1988179
#2019-02-01#,101.4,101.84,99.3,100.76,830404
#2019-02-04#,100.63,102.66,100.44,102.64,869842
#2019-02-05#,102.6,103.05,101.46,102.7,846817
#2019-02-06#,102.62,102.88,102,102.68,571675
#2019-02-07#,102.41,103.66,101.99,103.49,864939
#2019-02-08#,103.22,104.01,103,103.83,593414
#2019-02-11#,103.8,104.7,103.605,103.9,488344
#2019-02-12#,104.12,104.12,102.8,103.08,715690
#2019-02-13#,102.88,104.07,102.54,104.04,547484
#2019-02-14#,104.2,104.28,103.15,103.63,573703
#2019-02-15#,104.02,104.24,103.42,104.18,505564
#2019-02-18#,104.02,104.24,103.42,104.18,505564
#2019-02-19#,104.15,104.34,103.5325,104,535920
#2019-02-20#,103.89,103.89,101.59,103.21,753594
#2019-02-21#,102.76,104.42,102.24,104.28,473872
#2019-02-22#,104.36,105,104.08,104.5,323686
#2019-02-25#,104.76,104.76,103.54,103.71,326861
#2019-02-26#,104.01,104.14,103.25,104,567828
#2019-02-27#,103.52,103.8432,102.36,103.2,336178
#2019-02-28#,103.17,105.01,102.994,103.58,756815
#2019-03-01#,103.48,103.48,101.815,103.1,543477
#2019-03-04#,103.55,104.4291,102.87,104.08,708313
#2019-03-05#,103.9,104.75,103.9,104.38,444311
#2019-03-06#,104.62,105.09,104.3,104.47,443604
#2019-03-07#,104.74,106.035,104.4952,104.98,600338
#2019-03-08#,105,106.06,104.84,105.42,641267
#2019-03-11#,105.84,106.8,105.765,106.79,640766
#2019-03-12#,107.04,107.68,107,107.39,564146
#2019-03-13#,107.51,108.135,107.23,107.46,452596
#2019-03-14#,107.64,108.29,107.08,108.25,462847
#2019-03-15#,108.26,108.45,107.46,107.67,818643
#2019-03-18#,107.87,108.14,105.82,106.59,397551
#2019-03-19#,106.32,106.66,105.67,106.18,437520
#2019-03-20#,106.22,107.1,105.47,106.39,359283
#2019-03-21#,106.31,108.2,105.77,107.81,491856
#2019-03-22#,108.12,109.19,107.795,107.94,353911
#2019-03-25#,109.02,109.02,107.585,108.49,644256
#2019-03-26#,108.58,109.32,108.29,109.27,359098
#2019-03-27#,109.3,109.455,108.46,108.74,336443
#2019-03-28#,109.14,109.66,108.3841,109.62,285328
#2019-03-29#,109.55,109.72,108.86,109.33,593582
#2019-04-01#,109.48,109.48,107.66,108.83,398158
#2019-04-02#,108.91,110.09,108.12,109.94,340744
#2019-04-03#,110.03,110.29,108.98,109.9,397203
#2019-04-04#,108.57,109.39,108.2565,109.37,371963
#2019-04-05#,109.34,109.92,108.72,109.86,358465
#2019-04-08#,109.77,109.86,108.45,109.28,340506
#2019-04-09#,109.36,109.61,108.89,109.32,364068
#2019-04-10#,109.66,110.44,109.2,110.16,447562
#2019-04-11#,110.2,111.1,109.8,110.64,388447
#2019-04-12#,109.84,110.19,108.725,110.16,414527
#2019-04-15#,110.27,110.6,109.48,109.93,422678
#2019-04-16#,109.91,110,106.3,106.58,371568
#2019-04-17#,106.71,106.797,104.52,104.92,662153
#2019-04-18#,105,106.74,104.92,106.56,452934
#2019-04-19#,105,106.74,104.92,106.56,452934
#2019-04-22#,106.14,106.38,103.55,105.17,453723
#2019-04-23#,105.58,107.01,105.26,106.57,442418
#2019-04-24#,107,108.07,106.51,107.97,328631
#2019-04-25#,107.47,108.23,106.99,107.99,241394
#2019-04-26#,108.5,109.11,107.76,108.97,383233
#2019-04-29#,108.85,109.18,107.47,107.56,300327
#2019-04-30#,107.69,109.53,107.13,109.41,578575
#2019-05-01#,109.51,110.58,108.94,109.25,499374
#2019-05-02#,109.71,110.615,108.55,109.57,603782
#2019-05-03#,109.62,110.46,108.935,109.85,402352
#2019-05-06#,109.49,110.15,108.75,109.83,294315
#2019-05-07#,109.74,109.77,107.4,107.98,393452
#2019-05-08#,109.16,109.77,108.43,108.96,585453
#2019-05-09#,108.95,110.02,108.365,109.65,675686
#2019-05-10#,109.74,111.23,109.17,111.03,331867
#2019-05-13#,110.06,111.65,110.06,111.08,612132
#2019-05-14#,111.24,112.04,110.9675,111.48,696388
#2019-05-15#,111.53,112.74,111.29,112.64,387230
#2019-05-16#,112.58,113.8,112.34,113.5,425601
#2019-05-17#,113.02,115.15,112.56,115.05,758297
#2019-05-20#,115.45,115.79,113.11,113.63,352049
#2019-05-21#,114.02,114.78,113.83,114.01,361264
#2019-05-22#,114.06,114.8,113.63,114.45,377616
#2019-05-23#,114.27,114.98,114,114.97,365861
#2019-05-24#,115.22,115.69,114.66,114.82,328404
#2019-05-27#,115.22,115.69,114.66,114.82,328404
#2019-05-28#,115.27,115.9,113.27,113.27,632192
#2019-05-29#,113.42,113.6,111.97,112.47,559908
#2019-05-30#,112.61,113.72,112.295,113.34,372618
#2019-05-31#,113.26,114.966,112.85,114.18,400862
#2019-06-03#,114.38,114.92,113.69,114.68,397204
#2019-06-04#,114.52,114.65,112.43,113.67,499956
#2019-06-05#,114.35,117.03,113.61,116.9,335723
#2019-06-06#,117.01,117.7,116.34,117.54,303738
#2019-06-07#,117.89,118.69,117.33,117.33,335814
#2019-06-10#,117.24,117.29,115.87,117.11,220491
#2019-06-11#,117.28,117.43,115.8949,117.07,401405
#2019-06-12#,117.19,118.08,116.765,117.47,382833
#2019-06-13#,117.59,118.04,117.3301,118.04,401067
#2019-06-14#,118.35,118.58,117.25,117.79,456301
#2019-06-17#,118.2,119.37,117.95,118.81,369333
#2019-06-18#,119.41,119.41,117.4,117.79,410339
#2019-06-19#,117.9,119.73,117.19,119.2,375845
#2019-06-20#,119.62,120.16,119.47,119.98,713505
#2019-06-21#,119.5,119.5,116.8,119.09,1562049
#2019-06-24#,119.57,120,118.26,118.82,474258
#2019-06-25#,118.98,120.39,117.3,117.45,587667
#2019-06-26#,117.43,117.43,114.34,115.38,668624
#2019-06-27#,115.85,117.09,115.85,116.32,476830
#2019-06-28#,116.07,118.7,116.07,117.76,837770
#2019-07-01#,118.52,118.98,116.4,118.53,686673
#2019-07-02#,118.91,121.35,118.71,120.55,735856
#2019-07-03#,120.9,122.27,120.73,121.57,249247
#2019-07-04#,120.9,122.27,120.73,121.57,249247
#2019-07-05#,120.77,121.56,119.08,121.26,283368
#2019-07-08#,121.25,122.4,121.04,122.14,377327
#2019-07-09#,121.68,122.7,121.39,122.48,364283
#2019-07-10#,122.88,123.88,121.85,123.56,524342
#2019-07-11#,123.68,123.68,121.31,121.96,630117
#2019-07-12#,121.3,121.48,120.43,120.7,410265
#2019-07-15#,120.93,121.95,120.36,120.95,439294
#2019-07-16#,120.95,121.19,119.92,121.07,361625
#2019-07-17#,121.2,121.73,119.82,120.84,347427
#2019-07-18#,120.66,121.73,119.67,121.44,292682
#2019-07-19#,121.51,121.93,118.96,119.05,500422
#2019-07-22#,119.33,119.495,118.08,118.4,509551
#2019-07-23#,118.66,119.39,117.98,119.15,742958
#2019-07-24#,119.59,119.59,118.2,118.69,800644
#2019-07-25#,118.43,119.01,117.76,118.63,661042
#2019-07-26#,118.82,119.62,118.04,118.74,711151
