"Date","Open","High","Low","Close","Volume"
#2003-01-01#,28.1819,28.5707,28.1726,28.4689,466399
#2003-01-02#,28.5152,28.5152,28.3485,28.4133,187510
#2003-01-03#,28.4596,28.5152,28.2189,28.3763,273704
#2003-01-06#,28.2374,28.6911,27.9041,28.6077,563610
#2003-01-07#,28.5615,28.5615,27.7745,27.9782,314425
#2003-01-08#,27.8856,27.8856,27.5431,27.5893,377504
#2003-01-09#,27.6356,27.8023,27.5431,27.6819,328575
#2003-01-10#,27.7097,27.7097,27.4505,27.506,271112
#2003-01-13#,27.6819,27.6819,27.4042,27.5986,170768
#2003-01-14#,27.6449,27.6449,27.3857,27.4505,126483
#2003-01-15#,27.4505,27.4968,27.1912,27.4968,236980
#2003-01-16#,27.5153,27.5153,27.0894,27.219,459810
#2003-01-17#,27.1172,27.4042,26.969,27.4042,147761
#2003-01-20#,27.1172,27.4042,26.969,27.4042,147761
#2003-01-21#,27.4042,27.4968,27.0987,27.4505,174981
#2003-01-22#,27.4505,27.7282,27.2653,27.3301,535203
#2003-01-23#,27.3116,27.3949,27.2653,27.3579,133828
#2003-01-24#,27.3579,27.3579,27.0524,27.0709,237304
#2003-01-27#,26.8857,26.8857,26.5709,26.682,365839
#2003-01-28#,26.6172,26.8394,26.5247,26.8394,150030
#2003-01-29#,26.7931,26.9968,26.6728,26.9413,425354
#2003-01-30#,27.0339,27.0663,26.8487,26.8487,115790
#2003-01-31#,26.9413,27.4968,26.8487,27.4968,260851
#2003-02-03#,27.6356,27.6541,27.4042,27.5153,602387
#2003-02-04#,27.5431,27.9134,27.4782,27.9134,440584
#2003-02-05#,27.8671,28.0708,27.8671,27.9226,131559
#2003-02-06#,27.9319,28.1356,27.9041,28.006,111253
#2003-02-07#,28.0985,28.1726,27.8023,27.8486,117410
#2003-02-10#,27.8671,28.3115,27.8671,28.3115,133504
#2003-02-11#,28.3763,28.4226,28.0893,28.1911,174441
#2003-02-12#,28.1911,28.4041,28.0523,28.0893,109525
#2003-02-13#,28.3763,28.3763,27.9226,28.1819,223262
#2003-02-14#,28.1819,28.4689,28.1448,28.2837,183190
#2003-02-17#,28.1819,28.4689,28.1448,28.2837,183190
#2003-02-18#,28.9318,29.1169,28.8022,28.8392,376100
#2003-02-19#,28.7929,29.0706,28.6448,28.9503,246593
#2003-02-20#,28.4133,28.7003,28.4133,28.7003,245297
#2003-02-21#,28.7929,29.3577,28.7374,29.1632,236656
#2003-02-24#,29.1632,29.2188,28.9318,29.1632,185782
#2003-02-25#,29.154,29.3021,28.8855,29.2558,268304
#2003-02-26#,29.3021,29.3299,29.1169,29.2466,224126
#2003-02-27#,29.3021,29.7558,29.3021,29.6261,343696
#2003-02-28#,29.6261,29.9039,29.3484,29.765,780608
#2003-03-03#,29.6817,29.8483,29.3484,29.5336,374912
#2003-03-04#,29.5336,29.5798,29.2558,29.3299,447605
#2003-03-05#,29.2373,29.4873,29.1817,29.3206,311833
#2003-03-06#,29.3669,29.5336,29.3391,29.4132,191183
#2003-03-07#,29.2558,29.4873,29.2558,29.4502,256530
#2003-03-10#,29.5891,29.5891,29.1725,29.2188,213865
#2003-03-11#,29.2558,29.4039,28.9966,29.0706,189238
#2003-03-12#,28.9781,29.1725,28.7929,29.0058,155970
#2003-03-13#,29.0984,29.1817,28.9503,29.154,162559
#2003-03-14#,29.2003,29.3206,29.0058,29.1632,404832
#2003-03-17#,29.0706,29.9872,29.0614,29.9502,364003
#2003-03-18#,29.9502,29.9965,29.7187,29.9965,198311
#2003-03-19#,30.089,30.5057,29.8576,30.5057,204900
#2003-03-20#,30.5057,30.6075,30.089,30.5334,270248
#2003-03-21#,30.6723,30.8297,30.4409,30.7093,293795
#2003-03-24#,30.552,30.5612,29.6261,30.0242,200904
#2003-03-25#,30.0242,30.1353,29.9872,30.089,422006
#2003-03-26#,30.1353,30.2279,29.9409,30.0983,368863
#2003-03-27#,30.0983,30.1076,29.728,29.8113,96131
#2003-03-28#,29.8576,29.9687,29.6724,29.765,247349
#2003-03-31#,29.765,29.8113,29.3299,29.3299,237520
#2003-04-01#,29.3947,30.0428,29.3669,30.0057,300815
#2003-04-02#,30.0983,30.552,30.0983,30.3668,241516
#2003-04-03#,30.3761,30.4779,30.0335,30.2187,137392
#2003-04-04#,30.1816,30.4594,29.765,29.765,156294
#2003-04-07#,29.9502,30.3853,29.8206,30.089,140525
#2003-04-08#,30.1816,30.4594,29.8669,30.4131,296279
#2003-04-09#,30.4223,30.7464,30.2927,30.552,232011
#2003-04-10#,30.552,30.552,30.2372,30.4409,194099
#2003-04-11#,30.4594,30.552,30.0242,30.2279,107149
#2003-04-14#,30.3205,30.552,30.2742,30.5057,176817
#2003-04-15#,30.3668,30.4594,30.2279,30.2557,265495
#2003-04-16#,30.2742,30.2742,29.8576,30.2464,496534
#2003-04-17#,30.2927,30.552,30.1353,30.552,164827
#2003-04-18#,30.2927,30.552,30.1353,30.552,164827
#2003-04-21#,30.552,30.552,30.2742,30.552,230067
#2003-04-22#,30.552,31.0982,30.5057,30.9223,245189
#2003-04-23#,30.9686,31.2926,30.876,31.1074,112441
#2003-04-24#,31.1074,31.2,30.6908,30.6908,182758
