"Date","Open","High","Low","Close","Volume"
#2009-01-01#,17.1375,18.3028,17.0722,18.1351,3266564
#2009-01-02#,18.2004,18.9929,18.1817,18.7039,5728304
#2009-01-05#,18.6013,19.4871,18.1351,19.4032,3786076
#2009-01-06#,19.5337,20.6246,19.4218,20.1677,5057336
#2009-01-07#,19.7575,19.7575,18.4521,18.5827,4616121
#2009-01-08#,19.2074,19.2726,18.3402,19.0675,4842272
#2009-01-09#,19.0675,19.2913,18.2284,18.303,4384087
#2009-01-12#,18.2284,18.6386,17.3426,17.5384,3817769
#2009-01-13#,17.4638,17.7995,16.6619,17.1002,4857147
#2009-01-14#,16.923,16.923,15.8507,16.0372,5589070
#2009-01-15#,16.0186,16.7179,14.7785,16.1678,6870278
#2009-01-16#,16.4568,16.8671,16.261,16.634,4449025
#2009-01-19#,16.4568,16.8671,16.261,16.634,4449025
#2009-01-20#,16.6619,16.6619,15.1515,15.627,7245961
#2009-01-21#,15.8694,16.3356,15.4125,16.2983,5025488
#2009-01-22#,16.0093,16.4941,15.5524,16.0279,4160082
#2009-01-23#,15.5804,16.4755,15.4778,16.0279,4000824
#2009-01-26#,15.9067,16.5967,15.7202,16.0838,2908832
#2009-01-27#,16.289,16.6526,15.944,16.2051,3027919
#2009-01-28#,16.4102,17.3239,16.289,16.951,3601591
#2009-01-29#,16.5967,16.7831,15.6549,15.7389,3652522
#2009-01-30#,15.8787,15.9626,15.0582,15.2074,5854153
#2009-02-02#,14.8531,15.0396,14.2936,14.5267,5300940
#2009-02-03#,14.5827,15.2074,14.2936,15.1328,4610024
#2009-02-04#,15.0675,15.2354,14.4335,14.5267,5625024
#2009-02-05#,14.4894,15.1235,14.2284,14.8531,5162112
#2009-02-06#,15.1701,15.4591,14.7692,15.2913,3755737
#2009-02-09#,15.254,15.3846,14.7132,15.1142,3625358
#2009-02-10#,14.9556,15.3846,13.9393,14.0326,6306188
#2009-02-11#,14.1724,14.5827,13.7342,14.1258,6664251
#2009-02-12#,13.0256,14.7692,13.0256,14.6666,14203584
#2009-02-13#,14.6573,14.7225,13.93,13.93,8517839
#2009-02-16#,14.6573,14.7225,13.93,13.93,8517839
#2009-02-17#,13.6596,14.0605,13.2494,13.8461,7909797
#2009-02-18#,13.7342,13.8834,13.3612,13.6223,9012803
#2009-02-19#,13.585,14.0792,13.3799,13.5291,9222245
#2009-02-20#,13.2494,13.6316,12.923,13.3519,8826509
#2009-02-23#,13.4918,13.6596,12.7645,12.8391,7341563
#2009-02-24#,12.951,13.7529,12.7459,13.5943,6560819
#2009-02-25#,13.3799,13.6969,12.8857,13.1934,5594741
#2009-02-26#,13.3985,13.6783,13.0163,13.0815,4780115
#2009-02-27#,12.8205,13.6223,12.7365,13.2027,6908523
#2009-03-02#,12.9603,13.1468,12.3263,12.3636,6464436
#2009-03-03#,12.5501,12.9791,12.289,12.6526,8726970
#2009-03-04#,12.9044,13.1748,12.6992,12.8578,8091837
#2009-03-05#,12.5594,12.8205,11.8135,12.1398,6792724
#2009-03-06#,12.289,12.3916,11.3939,11.7762,5827205
#2009-03-09#,11.6083,12.4661,11.5524,12.0839,6051459
#2009-03-10#,12.3263,13.4918,12.0745,13.4358,7486514
#2009-03-11#,13.5291,14.0978,13.2867,13.6969,4768960
#2009-03-12#,13.6316,14.7225,13.296,14.6013,6761586
#2009-03-13#,14.6013,14.8624,14.0699,14.4335,5893107
#2009-03-16#,14.5734,14.6573,13.8088,13.8368,5836502
#2009-03-17#,13.8368,14.1911,13.6596,14.1631,7891654
#2009-03-18#,14.0326,14.965,13.7715,14.7039,5657191
#2009-03-19#,14.6946,14.8717,14.2564,14.8158,8078261
#2009-03-20#,14.8904,14.9929,14.1818,14.6107,8692064
#2009-03-23#,14.9556,15.9813,14.4615,15.9533,7290283
#2009-03-24#,15.6829,16.4195,15.4685,16.1305,6671156
#2009-03-25#,16.3636,16.9044,15.254,15.8414,7055599
#2009-03-26#,15.9813,16.7645,15.8507,16.6713,3835205
#2009-03-27#,16.5221,16.5221,15.7482,15.8974,4311627
#2009-03-30#,15.5244,15.5244,14.9556,15.1328,5352807
#2009-03-31#,15.3939,15.6177,14.8904,15.254,4338299
#2009-04-01#,15.0769,15.8507,14.9743,15.7855,3700381
#2009-04-02#,16.1118,17.3892,15.9626,17.1841,8350491
#2009-04-03#,17.24,18.0605,17.1375,18.0605,8677245
#2009-04-06#,17.8181,18.0978,17.4638,17.7995,8076212
#2009-04-07#,17.4638,17.4638,16.8298,16.951,7471660
#2009-04-08#,16.9696,17.2587,16.9044,17.1841,5578609
#2009-04-09#,17.6969,18.2377,17.5477,17.8927,5964317
#2009-04-10#,17.6969,18.2377,17.5477,17.8927,5964317
#2009-04-13#,17.7342,18.303,17.3612,18.0512,8250257
#2009-04-14#,17.7995,18.1817,17.5104,17.7342,7180734
#2009-04-15#,17.6223,17.6223,17.1654,17.4451,6900707
#2009-04-16#,17.6037,18.247,17.3146,18.0605,5639430
#2009-04-17#,17.9486,18.5267,17.7155,18.3682,5304813
#2009-04-20#,18.0419,18.0419,17.0069,17.2214,7367206
#2009-04-21#,17.2027,17.6876,16.8764,17.6037,6991213
#2009-04-22#,16.8484,18.8251,16.7925,18.2657,11065383
#2009-04-23#,19.4218,20.6619,19.3752,20.5127,14187717
#2009-04-24#,19.6829,20.923,19.6829,20.7925,12959983
#2009-04-27#,19.6829,20.4102,19.254,19.7388,12794104
#2009-04-28#,19.2074,20.1211,18.9556,19.3566,7236968
#2009-04-29#,19.944,21.5477,19.8134,21.2959,9933144
#2009-04-30#,21.585,22.8437,21.3193,21.9673,12872905
#2009-05-01#,21.8181,22.0264,21.0069,21.1095,7524004
#2009-05-04#,21.3519,22.4521,21.2773,22.3589,9767846
#2009-05-05#,22.2936,22.8251,22.0792,22.6666,10416839
#2009-05-06#,22.9276,23.0209,22.0698,22.6013,8643258
#2009-05-07#,22.7785,22.8064,21.2214,21.3892,9595206
#2009-05-08#,21.7249,22.3775,21.2587,22.3029,6868492
#2009-05-11#,21.8927,22.3869,21.529,21.7994,5761883
#2009-05-12#,21.7435,22.1444,20.5873,21.1561,7028638
#2009-05-13#,20.7179,20.7552,19.7295,19.8321,7673749
#2009-05-14#,19.8601,20.5547,19.4778,20.1491,5083016
#2009-05-15#,20.1211,20.7831,19.8787,20.1118,4862380
#2009-05-18#,20.2983,21.0162,20.2703,20.951,4441745
#2009-05-19#,20.895,21.4078,20.7458,20.9603,4734888
#2009-05-20#,21.1281,21.613,20.6339,20.7365,4496141
#2009-05-21#,20.3915,20.7365,20.0745,20.4568,4473878
#2009-05-22#,20.4848,20.7458,19.9346,20.4568,2870624
#2009-05-25#,20.4848,20.7458,19.9346,20.4568,2870624
#2009-05-26#,20.2983,21.8321,20.1305,21.7808,5483648
#2009-05-27#,21.8274,21.9673,20.8764,20.9137,4441994
#2009-05-28#,21.4358,21.6969,20.7458,21.3705,4062585
#2009-05-29#,21.4638,22.0214,21.3612,21.7808,6147082
#2009-06-01#,22.0885,23.3099,21.7808,23.0116,5650142
#2009-06-02#,22.881,23.1887,22.5547,22.909,3869791
#2009-06-03#,22.4708,22.6013,21.9207,22.4987,4357075
#2009-06-04#,22.2097,22.6572,21.8787,22.5454,3327566
#2009-06-05#,22.7878,23.1794,22.4708,22.8624,3571849
#2009-06-08#,22.0885,23.0489,22.0885,22.8903,3684689
#2009-06-09#,22.8437,23.3099,22.6852,23.198,2746391
#2009-06-10#,23.4498,23.5244,22.3029,22.6666,4968414
#2009-06-11#,22.3123,23.0302,22.3123,22.4708,3531105
#2009-06-12#,22.275,22.564,22.0325,22.3869,3304656
#2009-06-15#,22.1538,22.3682,21.2773,21.4172,3958005
#2009-06-16#,21.585,21.8461,20.7272,20.7738,5503245
#2009-06-17#,20.7458,21.1701,20.2517,20.8484,5702424
#2009-06-18#,20.895,21.3892,20.4428,20.5127,4149647
#2009-06-19#,20.7458,21.0628,20.4894,20.6526,5459781
#2009-06-22#,20.4475,20.4568,19.6549,19.6549,5010406
#2009-06-23#,19.6152,20.0831,19.2502,19.5122,5319203
#2009-06-24#,19.7181,20.5416,19.7134,19.9053,4087474
#2009-06-25#,19.7087,20.8317,19.7087,20.5978,3731068
#2009-06-26#,20.5416,20.6352,20.1579,20.4106,5167640
#2009-06-29#,20.4948,20.8505,20.2234,20.7475,2880552
#2009-06-30#,20.7101,20.7943,20.2047,20.6539,4319010
#2009-07-01#,19.9801,20.4481,19.6432,19.821,8038527
#2009-07-02#,19.3999,19.821,18.8852,19.0817,5503869
#2009-07-03#,19.3999,19.821,18.8852,19.0817,5503869
#2009-07-06#,18.7261,19.1566,18.2488,18.5951,8140729
#2009-07-07#,18.6045,18.9133,18.3518,18.3892,7420443
#2009-07-08#,18.3705,18.7074,17.7248,18.0523,7907145
#2009-07-09#,18.2114,18.9414,18.1646,18.4547,6306142
#2009-07-10#,18.1646,18.4547,18.0429,18.3143,4784561
#2009-07-13#,18.8384,19.3999,18.4173,19.3157,7206559
#2009-07-14#,19.2127,19.9895,19.1004,19.7275,5649468
#2009-07-15#,19.9427,20.7569,19.8678,20.4013,7061429
#2009-07-16#,19.1847,19.3718,18.4828,19.1285,14569622
#2009-07-17#,18.9975,19.1379,18.3705,18.698,7513724
#2009-07-20#,18.8478,19.297,18.8103,19.1379,7274643
#2009-07-21#,19.1379,19.5964,18.3986,18.6232,4699243
#2009-07-22#,18.5296,18.932,18.4079,18.8197,5522561
#2009-07-23#,18.8197,20.186,18.4641,19.9333,8257842
#2009-07-24#,19.6713,20.3358,19.3625,19.8772,4392647
#2009-07-27#,19.821,19.9146,19.4841,19.7742,3242094
#2009-07-28#,19.7462,19.8959,19.4654,19.7087,3389686
#2009-07-29#,19.5216,19.5216,18.8665,19.1472,5219657
#2009-07-30#,19.3718,20.3451,19.3157,20.0644,4895226
#2009-07-31#,20.0082,20.2609,19.7649,20.1579,2944213
#2009-08-03#,20.3358,20.7382,20.1579,20.6446,3526115
#2009-08-04#,20.4948,21.7489,20.4387,21.7114,6534840
#2009-08-05#,21.6834,21.9735,21.2622,21.5711,3177520
#2009-08-06#,21.5243,21.936,21.0002,21.0189,2811621
