"Date","Open","High","Low","Close","Volume"
#2005-01-03#,32.1146,32.3344,32.0004,32.141,1593600
#2005-01-04#,32.0971,32.1059,31.1742,31.4555,2130800
#2005-01-05#,31.3061,31.5697,30.8227,30.849,2051000
#2005-01-06#,30.8051,31.1391,30.7436,31.1215,1801400
#2005-01-07#,31.0951,31.2445,30.8666,31.0336,1006000
#2005-01-10#,30.9457,31.4731,30.9106,31.1215,1330400
#2005-01-11#,30.8842,31.0072,30.6996,30.7612,1829300
#2005-01-12#,30.6733,30.7699,30.269,30.6996,1791500
#2005-01-13#,30.6645,31.3412,30.6029,31.0688,1611600
#2005-01-14#,31.2006,31.9872,31.0776,31.8334,1717400
#2005-01-17#,31.2006,31.9872,31.0776,31.8334,1717400
#2005-01-18#,31.5346,32.2377,31.2797,32.1937,1814800
#2005-01-19#,32.0971,32.2377,31.7982,31.8422,1281900
#2005-01-20#,31.8334,32.1234,31.6928,31.8422,1793500
#2005-01-21#,32.0355,32.2992,31.6928,31.7455,1805000
#2005-01-24#,31.64,31.8773,31.4731,31.7104,3039500
#2005-01-25#,31.7279,31.9213,31.5697,31.6225,1705700
#2005-01-26#,31.5522,32.1674,31.2006,31.7191,2366500
#2005-01-27#,31.7279,31.9389,31.5258,31.8861,1465300
#2005-01-28#,31.9916,32.431,31.9389,32.308,2388000
#2005-01-31#,32.5189,32.5629,32.0795,32.3432,1730700
#2005-02-01#,32.3432,32.6508,32.2553,32.6244,2077100
#2005-02-02#,32.598,32.8793,32.3695,32.8002,1469500
#2005-02-03#,32.5717,33.0726,32.475,32.7914,1249300
#2005-02-04#,32.9584,33.4769,32.8969,33.4242,2199600
#2005-02-07#,33.433,33.6351,33.1781,33.3451,1413000
#2005-02-08#,33.6615,33.7757,33.2484,33.3451,1631000
#2005-02-09#,33.3451,33.3539,32.3344,32.6508,1798500
#2005-02-10#,32.7826,32.9144,32.475,32.7299,1568400
#2005-02-11#,32.7387,32.8178,32.2201,32.6859,2068700
#2005-02-14#,32.7211,32.7387,32.3959,32.5629,1230800
#2005-02-15#,32.6508,32.7387,32.3519,32.5014,1124200
#2005-02-16#,32.5101,32.642,32.2553,32.4662,3162100
#2005-02-17#,32.4574,32.7211,32.3783,32.4398,1652800
#2005-02-18#,32.5365,32.5365,32.0355,32.3783,2007800
#2005-02-21#,32.5365,32.5365,32.0355,32.3783,2007800
#2005-02-22#,32.3432,32.475,32.018,32.018,2546600
#2005-02-23#,30.9809,31.4203,29.0561,29.0649,13933200
#2005-02-24#,29.6186,29.9789,29.3373,29.5131,8285400
#2005-02-25#,29.6537,29.9526,29.5746,29.8119,3578300
#2005-02-28#,29.8119,29.891,29.5219,29.6362,3355700
#2005-03-01#,29.7944,30.4008,29.7328,30.2338,3970300
#2005-03-02#,30.0668,30.4008,29.9174,29.935,2541300
#2005-03-03#,29.9701,30.1723,29.7504,29.8559,2399700
#2005-03-04#,30.1459,30.8406,30.1459,30.4975,2076300
#2005-03-07#,30.4975,30.7172,30.0484,30.5854,2297600
#2005-03-08#,30.4975,30.6557,30.3481,30.4447,2616400
#2005-03-09#,30.0405,30.2778,29.7153,29.7944,3919400
#2005-03-10#,29.7065,29.8823,29.1879,29.3373,4152800
#2005-03-11#,29.2231,29.5571,29.0913,29.3022,2939100
#2005-03-14#,29.311,29.5307,29.1879,29.5131,2543000
#2005-03-15#,29.5395,29.8032,29.2758,29.2758,2078900
#2005-03-16#,29.2846,29.8735,29.1704,29.7944,3269000
#2005-03-17#,29.7944,29.8383,28.9155,29.5659,3110600
#2005-03-18#,29.7241,30.1283,29.3637,29.5219,3245900
#2005-03-21#,30.058,30.058,29.6098,29.8383,2848900
#2005-03-22#,30.0141,30.3305,29.8295,29.9877,4074800
#2005-03-23#,29.8647,30.0492,29.6274,29.7944,3590700
#2005-03-24#,30.2338,30.3393,30.058,30.1723,2331500
#2005-03-25#,30.2338,30.3393,30.058,30.1723,2331500
#2005-03-28#,30.1723,30.5854,30.1108,30.2953,2791400
#2005-03-29#,30.1899,30.3656,30.0053,30.0229,2134300
#2005-03-30#,30.0229,30.3129,29.9701,30.1899,2092900
#2005-03-31#,30.2865,30.5854,30.1108,30.4711,2079700
#2005-04-01#,30.4799,30.4975,30.0668,30.1371,2632300
#2005-04-04#,30.1371,30.4096,29.8647,30.2953,1696200
#2005-04-05#,30.2426,30.5678,30.2074,30.4535,1562800
#2005-04-06#,30.3305,30.4272,29.9174,30.058,2063900
#2005-04-07#,30.102,30.4096,30.058,30.0932,1703100
#2005-04-08#,30.102,30.269,29.8207,29.8295,1722800
#2005-04-11#,29.8647,29.9526,29.4393,29.7065,2691800
#2005-04-12#,30.0141,30.7084,29.7153,30.5326,3239100
#2005-04-13#,30.4535,30.5063,29.8823,29.9086,1443700
#2005-04-14#,29.9965,30.2162,29.0561,29.0737,4079300
#2005-04-15#,29.0737,29.4164,28.3969,28.6958,2693000
#2005-04-18#,28.6167,29.3198,28.5551,29.2846,2169100
#2005-04-19#,29.2846,29.5219,28.8012,29.311,1752700
#2005-04-20#,29.2934,29.3198,27.8432,27.9399,4152300
#2005-04-21#,28.2563,28.5815,28.2124,28.5551,3697200
#2005-04-22#,28.5551,28.7397,28.1157,28.3178,2472500
#2005-04-25#,28.353,28.9067,28.2915,28.8364,1938300
#2005-04-26#,28.6782,29.0034,28.4497,28.476,1709900
#2005-04-27#,28.2915,28.6782,28.1508,28.4057,2302400
#2005-04-28#,28.1596,28.3794,28.0014,28.0542,1903600
#2005-04-29#,28.1508,28.2739,27.4653,27.6762,3486700
#2005-05-02#,27.6762,28.1772,27.5971,28.1245,1827100
#2005-05-03#,26.938,27.1313,26.2437,26.27,9051700
#2005-05-04#,26.2437,26.6743,26.2349,26.5688,3857300
#2005-05-05#,26.5776,27.1577,26.5425,26.8413,3136300
#2005-05-06#,26.9819,27.2016,26.7622,27.0083,4379000
#2005-05-09#,27.1225,27.2016,26.9028,27.1225,2067400
#2005-05-10#,27.1313,27.1841,26.6743,26.7974,2515000
#2005-05-11#,26.9292,27.1138,26.6392,26.8765,1863300
#2005-05-12#,26.8765,26.938,26.4722,26.604,2475300
#2005-05-13#,26.6831,26.7183,25.9888,26.3843,2492400
#2005-05-16#,26.3931,26.7798,26.3491,26.6392,2204400
#2005-05-17#,26.6655,27.228,26.6655,27.2016,1926400
#2005-05-18#,27.5708,28.1772,27.5708,27.9663,2223800
#2005-05-19#,28.1245,28.5024,27.954,28.0366,1678800
#2005-05-20#,28.1069,28.2212,27.9487,28.0717,1360000
#2005-05-23#,28.0717,28.5639,28.019,28.5463,1471800
#2005-05-24#,28.5463,28.5595,27.9839,28.1245,1528700
#2005-05-25#,28.1157,28.3003,27.9487,28.0366,849000
#2005-05-26#,28.1684,28.4497,28.1421,28.3442,1983700
#2005-05-27#,28.476,28.5463,28.2827,28.4585,895400
#2005-05-30#,28.476,28.5463,28.2827,28.4585,895400
#2005-05-31#,28.4409,28.5639,27.9839,28.1421,2857900
#2005-06-01#,28.1245,28.6518,27.9926,28.3794,2192600
#2005-06-02#,28.52,28.8803,28.3969,28.81,2007100
#2005-06-03#,28.7661,28.9155,28.2915,28.4497,1074300
#2005-06-06#,28.3003,28.7133,28.3003,28.6518,957600
#2005-06-07#,28.7836,29.4428,28.6518,29.1088,2328300
#2005-06-08#,29.1264,29.144,28.4409,28.6167,1583300
#2005-06-09#,28.6518,28.9594,28.3794,28.6958,1759800
#2005-06-10#,28.7836,28.9506,28.4057,28.5639,1004700
#2005-06-13#,28.4497,28.81,28.3266,28.7045,985500
#2005-06-14#,28.6518,28.8979,28.6079,28.687,1147100
#2005-06-15#,28.687,28.9155,28.5376,28.854,1312200
#2005-06-16#,28.7661,29.1967,28.6518,29.1088,1995500
#2005-06-17#,29.5131,29.7065,29.3989,29.5834,2985700
#2005-06-20#,29.3637,29.4077,29.1352,29.2231,1408500
#2005-06-21#,29.267,29.4428,29.1352,29.3373,1796100
#2005-06-22#,29.3725,29.5746,28.7661,29.1791,1124900
#2005-06-23#,29.1879,29.1879,28.3881,28.3881,2712200
#2005-06-24#,28.3881,28.4672,27.685,27.8608,3280100
#2005-06-27#,27.9223,28.2387,27.9223,28.063,1201800
#2005-06-28#,28.4936,28.8452,28.4233,28.6958,2060700
#2005-06-29#,28.7397,28.7397,28.0893,28.1508,2135300
#2005-06-30#,27.9487,28.1157,27.6411,27.9135,2863100
#2005-07-01#,27.9048,28.1596,27.5356,27.6323,2283800
#2005-07-04#,27.9048,28.1596,27.5356,27.6323,2283800
#2005-07-05#,27.3335,27.7729,27.3335,27.7641,3098500
#2005-07-06#,27.5884,27.6059,27.4038,27.5884,1777000
#2005-07-07#,27.2544,27.9311,26.9995,27.9311,1578800
#2005-07-08#,27.8608,28.2299,27.5532,28.1684,1861300
#2005-07-11#,28.3266,28.4672,28.1684,28.2739,2036300
#2005-07-12#,28.3618,28.5463,28.2036,28.2915,1329100
#2005-07-13#,28.2915,28.5463,28.2387,28.4936,1237800
#2005-07-14#,28.5639,28.7309,28.2915,28.5639,3171000
#2005-07-15#,28.5727,28.7397,28.476,28.5903,1294500
#2005-07-18#,28.5903,28.7924,28.4233,28.6167,1528900
#2005-07-19#,28.7133,29.1967,28.52,29.0122,2171900
#2005-07-20#,29.0209,29.5307,28.8893,29.478,2009600
#2005-07-21#,29.3989,29.6537,29.3022,29.3813,2293800
#2005-07-22#,29.3989,29.8207,29.3989,29.7416,1917600
#2005-07-25#,29.6537,29.7944,29.478,29.478,1968900
#2005-07-26#,29.5131,29.9262,29.3725,29.8295,2524000
#2005-07-27#,29.8383,30.0668,29.7416,30.0141,1441300
#2005-07-28#,30.0492,30.4975,30.0492,30.4535,1552300
#2005-07-29#,30.3217,30.4711,29.7944,29.8032,1556700
#2005-08-01#,29.9438,30.1459,29.5483,29.5483,2082100
#2005-08-02#,28.3442,29.1791,28.0454,28.0805,7512000
#2005-08-03#,28.2563,28.5463,28.1245,28.2475,3385100
#2005-08-04#,28.1245,28.2563,27.6516,27.8872,3011100
#2005-08-05#,27.8872,27.9926,27.4407,27.5971,1898400
#2005-08-08#,27.6059,27.7466,27.2456,27.4477,2185100
#2005-08-09#,27.4214,27.729,27.4214,27.4917,1878700
#2005-08-10#,27.5005,27.7641,27.272,27.4214,1789100
#2005-08-11#,27.4214,27.7553,27.3686,27.729,1565700
#2005-08-12#,27.5971,27.685,27.3335,27.5884,959700
#2005-08-15#,27.4917,27.7817,27.272,27.685,1810900
#2005-08-16#,27.6147,27.8784,27.3774,27.3862,2170900
#2005-08-17#,27.2983,27.4302,27.2456,27.2456,2248000
#2005-08-18#,27.1841,27.4126,27.0962,27.2456,1451800
#2005-08-19#,27.4389,27.4389,26.9468,27.061,1856300
#2005-08-22#,27.0874,27.3598,26.938,27.1313,1399300
#2005-08-23#,27.0259,27.0874,26.4985,26.5952,2139600
#2005-08-24#,26.4897,26.894,26.3491,26.4546,2245000
#2005-08-25#,26.5425,26.7886,26.3579,26.4019,1906200
#2005-08-26#,26.4019,26.604,26.0503,26.1821,1687800
#2005-08-29#,26.1733,26.3579,25.813,26.2261,1980000
#2005-08-30#,26.2261,26.5864,26.1382,26.3491,2389100
#2005-08-31#,26.2788,26.9819,26.2437,26.9643,3278400
#2005-09-01#,26.894,27.2016,26.6831,27.0347,2553200
#2005-09-02#,26.9819,27.2632,26.7007,27.0698,2458000
#2005-09-05#,26.9819,27.2632,26.7007,27.0698,2458000
#2005-09-06#,27.2895,27.5708,27.2104,27.2456,1791400
#2005-09-07#,27.4302,27.7202,27.3335,27.7114,2122600
#2005-09-08#,27.7114,27.7202,26.9556,27.0347,2545100
#2005-09-09#,27.1401,27.4917,27.1313,27.2632,1391000
#2005-09-12#,27.272,27.2895,26.7534,27.0698,2039900
#2005-09-13#,26.8765,27.0522,26.7824,26.8149,2022300
#2005-09-14#,26.7974,26.9028,26.6392,26.7183,1975400
#2005-09-15#,26.727,26.9819,26.6128,26.6304,2479000
#2005-09-16#,26.6743,26.7183,26.3228,26.5073,2659100
#2005-09-19#,26.5776,26.7183,26.1909,26.4897,2883200
#2005-09-20#,26.4897,26.604,26.0239,26.147,3304300
#2005-09-21#,26.1558,26.1733,25.8657,25.936,3117300
#2005-09-22#,25.8482,26.4019,25.8394,26.27,3357500
#2005-09-23#,26.27,26.3491,25.9448,26.1558,2080400
#2005-09-26#,26.2173,26.7358,26.2173,26.6216,2771500
#2005-09-27#,26.6304,27.1313,26.3843,27.0259,3571400
#2005-09-28#,26.894,27.2368,26.4106,26.6128,2763900
#2005-09-29#,26.5688,27.061,26.3667,26.7534,3138300
#2005-09-30#,26.7534,26.9819,26.4722,26.9643,2523400
#2005-10-03#,26.7974,27.1929,26.7358,26.9819,1923600
#2005-10-04#,26.9907,27.0259,26.3315,26.4106,2936500
#2005-10-05#,26.2261,26.2349,25.5405,25.5933,2685100
#2005-10-06#,25.6284,25.8745,25.2066,25.523,2277700
#2005-10-07#,25.5757,26.1997,25.5757,25.8833,2366300
#2005-10-10#,25.8394,25.8921,25.5318,25.7339,1852200
#2005-10-11#,25.7339,26.2524,25.4702,25.5142,2600600
#2005-10-12#,25.5142,25.8921,25.189,25.2945,2135100
#2005-10-13#,25.2945,25.5669,24.899,25.3384,2675600
#2005-10-14#,25.5757,25.9009,25.4087,25.8657,1873400
#2005-10-17#,25.8394,26.3667,25.6636,25.98,1398400
#2005-10-18#,25.7603,25.7691,24.9956,25.0835,4620700
#2005-10-19#,24.9429,25.3648,24.4156,25.312,5099000
#2005-10-20#,25.2066,25.2681,24.7056,24.855,3393900
#2005-10-21#,24.9781,25.2241,24.5913,24.7144,3006100
#2005-10-24#,24.8726,25.3911,24.8726,25.0659,2481600
#2005-10-25#,25.0484,25.1187,24.7495,25.0044,2511100
#2005-10-26#,25.0044,25.0572,24.6177,24.6177,2982400
#2005-10-27#,24.7056,24.9781,24.4419,24.4595,3286000
#2005-10-28#,24.6177,25.0923,24.4683,25.0923,3583600
#2005-10-31#,25.1626,25.5933,24.9166,25.0484,4376900
#2005-11-01#,24.6089,25.2681,23.9761,24.0552,8760800
#2005-11-02#,24.0816,24.7847,23.8619,24.521,6425200
#2005-11-03#,24.6968,25.0923,24.6529,24.9517,4126000
#2005-11-04#,25.0747,25.479,25.0484,25.4087,2546100
#2005-11-07#,25.5318,26.0415,25.479,25.9097,1939600
#2005-11-08#,24.6529,25.6284,24.6089,25.2769,3830000
#2005-11-09#,25.2857,25.6548,25.2769,25.4263,2376100
#2005-11-10#,25.4087,25.8569,25.356,25.6636,2253200
#2005-11-11#,25.6196,25.6724,25.4263,25.5669,2038500
#2005-11-14#,25.6636,26.0151,25.4702,25.8921,2983200
#2005-11-15#,25.9009,25.9009,25.3296,25.4702,1649300
#2005-11-16#,25.5318,25.6636,25.1714,25.3296,1923400
#2005-11-17#,25.2681,26.0679,25.2329,25.9888,1942200
#2005-11-18#,26.3667,26.3843,25.9624,26.2085,2156700
#2005-11-21#,26.2788,26.4019,26.103,26.4019,1532000
#2005-11-22#,26.3755,26.6479,26.1909,26.5601,2263900
#2005-11-23#,26.7095,27.1753,26.5864,26.9731,2364200
#2005-11-24#,26.7095,27.1753,26.5864,26.9731,2364200
#2005-11-25#,27.228,27.228,26.9819,27.0434,944900
