"Date","Open","High","Low","Close","Volume"
#2008-01-01#,18.92,19.23,18.83,19.04,3339200
#2008-01-02#,19.06,19.06,18.5,18.52,3832871
#2008-01-03#,18.61,18.64,18.1,18.16,3984947
#2008-01-04#,18,18.09,17.62,17.71,3836495
#2008-01-07#,17.78,17.9,17.52,17.76,2923511
#2008-01-08#,18,18.12,17.29,17.36,4494059
#2008-01-09#,17.34,17.34,16.89,17.25,3842306
#2008-01-10#,17.24,17.68,16.8,17.57,3675370
#2008-01-11#,17.38,17.48,16.92,17,3211382
#2008-01-14#,17.15,17.18,16.86,17.11,3268262
#2008-01-15#,16.88,17.01,16.42,16.65,3862097
#2008-01-16#,16.93,18.27,16.93,17.99,6721498
#2008-01-17#,18.01,18.14,17.29,17.39,5580415
#2008-01-18#,17.5,17.94,17.48,17.71,4757080
#2008-01-21#,17.5,17.94,17.48,17.71,4757080
#2008-01-22#,16.71,18.25,16.71,18.03,6174665
#2008-01-23#,17.54,18.84,17.42,18.78,6502913
#2008-01-24#,18.94,19.25,18.48,19.09,5241993
#2008-01-25#,19.34,19.5,18.81,19.02,3373206
#2008-01-28#,19.08,19.32,18.6,19.31,2557569
#2008-01-29#,19.39,19.39,18.75,19.07,3031910
#2008-01-30#,19.02,19.45,18.73,18.94,2833450
#2008-01-31#,19.28,21.35,18.41,21.01,7359549
#2008-02-01#,21.01,21.35,20.73,21.32,3653983
#2008-02-04#,21.32,21.73,21.13,21.45,3405177
#2008-02-05#,21.18,21.49,20.52,20.6,3520797
#2008-02-06#,20.7,21.15,20.58,20.76,3207805
#2008-02-07#,20.7,21.37,20.64,21.08,3138282
#2008-02-08#,20.93,21.07,20.56,20.64,2494920
#2008-02-11#,20.7,20.92,20.51,20.68,4519015
#2008-02-12#,20.84,21.38,20.74,21.21,3984553
#2008-02-13#,21.08,21.8,21.08,21.65,3809064
#2008-02-14#,21.81,21.81,21.08,21.1,2196468
#2008-02-15#,21.12,21.16,20.63,20.8,3779207
#2008-02-18#,21.12,21.16,20.63,20.8,3779207
#2008-02-19#,21,21,20.29,20.45,2984394
#2008-02-20#,20.3,21,20.3,20.91,3059696
#2008-02-21#,20.96,21.17,20.44,20.48,1993194
#2008-02-22#,20.59,20.68,20.07,20.65,2768362
#2008-02-25#,20.65,21.16,20.46,21.12,2366103
#2008-02-26#,21.06,21.34,20.85,20.96,3292587
#2008-02-27#,20.93,21.05,20.57,20.64,2543913
#2008-02-28#,20.61,20.61,20.13,20.2,1740947
#2008-02-29#,20.13,20.17,19.27,19.32,3530630
#2008-03-03#,19.26,19.49,19.05,19.39,3877288
#2008-03-04#,19.4,19.83,19.17,19.74,4393919
#2008-03-05#,19.67,20.1,19.55,19.73,3532811
#2008-03-06#,19.66,19.73,19.17,19.21,2687507
#2008-03-07#,19.14,19.75,18.91,19.38,2837584
#2008-03-10#,19.53,19.71,19.13,19.15,2365277
#2008-03-11#,19.6,20.18,19.2181,20.18,3329569
#2008-03-12#,20.2,20.67,20.15,20.27,3255099
#2008-03-13#,20,20.4,19.57,20.28,3444737
#2008-03-14#,20.4,20.5,19.42,19.81,2776428
#2008-03-17#,19.65,19.9,19.3,19.66,3211959
#2008-03-18#,20,20.13,19.56,20.09,2593800
#2008-03-19#,20.15,20.9,20.14,20.37,2988122
#2008-03-20#,20.39,21.39,20.37,21.38,4455077
#2008-03-21#,20.39,21.39,20.37,21.38,4455077
#2008-03-24#,21.33,21.94,21.27,21.89,4141688
#2008-03-25#,21.94,21.94,21.45,21.58,3817223
#2008-03-26#,21.51,21.52,21.04,21.25,2682608
#2008-03-27#,21.3,21.49,20.22,20.31,4527388
#2008-03-28#,20.31,20.57,20.17,20.28,2073325
#2008-03-31#,20.28,20.33,19.78,19.9,5408966
#2008-04-01#,20.01,21.2,19.87,21.2,3451737
#2008-04-02#,21.2,21.23,20.63,20.74,3155604
#2008-04-03#,20.77,21.37,20.57,21.3,2879689
#2008-04-04#,21.26,21.845,21.14,21.64,3071553
#2008-04-07#,21.75,21.991,21.58,21.8,3186189
#2008-04-08#,21.72,21.8,21.025,21.29,2940765
#2008-04-09#,21.26,21.46,20.69,20.74,1544723
#2008-04-10#,20.55,21.49,20.55,21.32,1963466
#2008-04-11#,20.82,21.32,20.82,21.01,1685753
#2008-04-14#,20.94,21,20.75,20.87,1532640
#2008-04-15#,21.03,21.06,20.752,20.92,2147239
#2008-04-16#,20.93,21,20.7,20.83,2279928
#2008-04-17#,20.79,21.05,20.66,20.98,2701246
#2008-04-18#,21.38,21.98,21.1,21.78,3126451
#2008-04-21#,20.01,20.5,19.69,20,7287445
#2008-04-22#,19.5,19.67,18.95,19.03,5444487
#2008-04-23#,18.97,19.22,18.75,19.06,6433250
#2008-04-24#,19.06,19.3,18.95,19.21,4087492
#2008-04-25#,19.27,19.38,18.99,19.26,3210324
#2008-04-28#,19.01,19.3,19,19.12,2905044
#2008-04-29#,19.1,19.15,18.96,19.09,3465561
#2008-04-30#,19.09,19.15,18.7,18.75,4921032
#2008-05-01#,18.64,19.26,18.6,19.15,3705029
#2008-05-02#,19.15,19.3,18.91,19.13,3268297
#2008-05-05#,18.96,19.09,18.55,18.89,3421180
#2008-05-06#,18.71,19.15,18.5,18.99,3006402
#2008-05-07#,18.96,19.43,18.83,18.94,3165718
#2008-05-08#,18.97,19.05,18.66,18.76,2284247
#2008-05-09#,18.52,19.21,18.52,19.05,3683857
#2008-05-12#,19.06,19.38,18.97,19.34,3205035
#2008-05-13#,19.43,19.99,19.39,19.85,3354357
#2008-05-14#,19.95,20.28,19.85,19.96,2262989
#2008-05-15#,20.02,20.29,19.69,20.23,2520981
#2008-05-16#,20.17,20.17,19.67,19.94,3042406
#2008-05-19#,20,20.48,19.87,20.25,4111470
#2008-05-20#,20.11,20.22,19.85,20.09,4518175
#2008-05-21#,20.09,20.242,19.54,19.65,2756004
#2008-05-22#,19.71,20.01,19.42,19.77,2540991
#2008-05-23#,19.81,19.98,19.55,19.86,3122762
#2008-05-26#,19.81,19.98,19.55,19.86,3122762
#2008-05-27#,19.79,20.13,19.64,20.1,3444945
#2008-05-28#,19.99,20.4,19.99,20.25,3818276
#2008-05-29#,20.17,20.45,20.07,20.41,3861047
#2008-05-30#,20.35,20.5,20.02,20.14,2525239
#2008-06-02#,20.16,20.19,19.78,19.92,2158329
#2008-06-03#,19.81,20.065,19.67,19.72,2797775
#2008-06-04#,19.62,20.11,19.61,20.04,3619156
#2008-06-05#,20.07,20.38,19.99,20.37,2618135
#2008-06-06#,20.24,20.34,19.71,19.85,4031642
#2008-06-09#,19.83,20.16,19.62,20.08,3281045
#2008-06-10#,19.9,20.59,19.83,20.29,2857134
#2008-06-11#,20.14,20.24,19.6,19.6,2519859
#2008-06-12#,19.67,20.16,19.62,19.78,1807100
#2008-06-13#,19.87,20.49,19.84,20.36,2210548
#2008-06-16#,20.26,20.595,20.03,20.49,2108545
#2008-06-17#,20.53,20.58,19.8,19.86,3470681
#2008-06-18#,19.72,19.83,19.05,19.1,4350616
#2008-06-19#,19.06,19.41,18.89,19.27,2823832
#2008-06-20#,19.11,19.2,18.59,18.8,4081073
#2008-06-23#,18.96,18.96,18.29,18.35,2628345
#2008-06-24#,18.25,18.77,18.12,18.4,3532637
#2008-06-25#,18.52,18.88,18.33,18.51,4523988
#2008-06-26#,18.24,18.39,17.91,17.97,2376382
#2008-06-27#,17.91,18.07,17.52,17.72,4625323
#2008-06-30#,17.7,17.73,17.09,17.12,6809155
#2008-07-01#,16.96,17.3,16.67,16.98,5653477
#2008-07-02#,17.17,17.55,17.06,17.14,4511022
#2008-07-03#,17.25,17.54,17.08,17.22,2222162
#2008-07-04#,17.25,17.54,17.08,17.22,2222162
#2008-07-07#,17.22,17.49,17.13,17.17,3480729
#2008-07-08#,17.15,17.84,17.1,17.84,3165305
#2008-07-09#,17.96,18.67,17.8,17.83,5140737
#2008-07-10#,17.8,17.82,17.23,17.41,3716606
#2008-07-11#,17.1,17.58,16.93,17.25,4256785
#2008-07-14#,17.43,17.59,16.99,17.14,3878923
#2008-07-15#,17.03,17.57,16.71,17.28,3884362
#2008-07-16#,17.27,17.71,17.08,17.7,3976315
#2008-07-17#,17.77,18.55,17.55,18.28,4854316
#2008-07-18#,20.42,21.18,19.96,20.66,12739027
#2008-07-21#,20.92,21.07,20.2,20.44,4399639
#2008-07-22#,20.25,21.08,20.06,21.04,6487878
#2008-07-23#,21.02,21.4,20.67,21.19,4058087
#2008-07-24#,21.12,21.32,20.63,20.73,4189102
#2008-07-25#,20.78,21.2,20.62,20.81,2716299
#2008-07-28#,20.09,20.63,20.05,20.19,2849537
#2008-07-29#,20.14,20.82,20.14,20.71,3267477
#2008-07-30#,20.78,21.05,20.16,20.46,3201127
#2008-07-31#,20.4,20.55,19.98,20.05,3828057
#2008-08-01#,20.25,20.66,19.8,20.48,3600963
#2008-08-04#,20.35,20.55,19.93,20.44,2373398
#2008-08-05#,20.57,21.095,20.53,20.99,3734407
#2008-08-06#,20.95,20.95,20.6,20.79,2548779
#2008-08-07#,20.67,20.97,20.28,20.7,2308783
#2008-08-08#,20.69,21.62,20.57,21.5,3107629
#2008-08-11#,21.5,21.95,21.105,21.52,3475754
#2008-08-12#,21.52,21.75,21.31,21.47,3377098
#2008-08-13#,21.36,21.43,20.7,21.07,2034310
#2008-08-14#,20.7,21.65,20.7,21.5,2805089
#2008-08-15#,21.44,21.9,21.44,21.79,2525668
#2008-08-18#,21.81,21.92,20.97,21.08,2501567
#2008-08-19#,21.12,21.12,20.37,20.55,2679283
#2008-08-20#,20.54,20.7,20.16,20.53,2844857
#2008-08-21#,20.13,20.84,20.13,20.75,3850162
#2008-08-22#,20.76,21.13,20.76,21.07,2838147
#2008-08-25#,20.91,20.98,20.06,20.14,3188570
#2008-08-26#,20.1,20.28,19.895,20.24,2964483
#2008-08-27#,19.91,20.1,19.52,19.65,3525935
#2008-08-28#,19.68,19.835,19.59,19.71,3619235
#2008-08-29#,19.57,19.65,19.03,19.33,4474842
#2008-09-01#,19.57,19.65,19.03,19.33,4474842
#2008-09-02#,19.55,20.2,19.21,19.49,6415547
#2008-09-03#,19.58,19.76,19.18,19.61,5744286
#2008-09-04#,19.35,19.49,18.94,18.96,5627087
#2008-09-05#,18.65,19.13,18.65,19.03,5402389
#2008-09-08#,19.18,19.59,19.1,19.54,4558117
#2008-09-09#,19.52,19.88,19.12,19.2,5662943
#2008-09-10#,19.44,19.61,18.94,19.32,4042659
#2008-09-11#,19.25,19.6,18.91,19.4,4894718
#2008-09-12#,19.23,19.54,18.98,19.39,4598913
#2008-09-15#,19.01,19.87,19,19.49,6000906
#2008-09-16#,19.21,19.58,18.62,19.22,5270578
#2008-09-17#,19,19,18.5,18.62,5954687
#2008-09-18#,18.87,18.99,18.06,18.71,6466232
#2008-09-19#,18.72,19.88,18.03,18.32,5818488
#2008-09-22#,18.36,18.71,18.35,18.55,4053946
#2008-09-23#,18.55,19.16,18.26,18.34,2713178
#2008-09-24#,18.39,18.62,18.18,18.27,2245594
#2008-09-25#,18.37,18.87,18.19,18.32,3081785
#2008-09-26#,18.14,18.76,18.14,18.76,2104100
#2008-09-29#,18.51,18.82,17.76,18.03,5806337
#2008-09-30#,18.27,18.32,17.76,18.04,3519523
#2008-10-01#,17.86,18.4,17.86,18.14,3853168
#2008-10-02#,17.96,18.28,17.79,17.85,3706738
#2008-10-03#,18.06,18.42,17.5,17.53,3727641
#2008-10-06#,17.34,17.75,16.5,16.96,8105338
#2008-10-07#,17.09,17.24,16.46,16.52,5348832
#2008-10-08#,16.21,17.22,16.06,16.12,5560843
#2008-10-09#,16.2,16.2,14.25,14.26,6705530
#2008-10-10#,13.77,14.82,13.11,13.98,6329456
#2008-10-13#,14.75,14.92,14.18,14.78,3369734
#2008-10-14#,16.49,16.49,14.5,14.78,4439318
#2008-10-15#,14.74,14.94,13.57,13.85,3457861
#2008-10-16#,13.78,14.63,13.49,14.46,4245489
#2008-10-17#,14.09,14.87,14.09,14.45,4746464
#2008-10-20#,13.75,14.39,13.53,14.16,4629965
#2008-10-21#,13.87,14.17,13.83,13.95,3106561
#2008-10-22#,13.66,14.06,13.3,13.6,4869976
#2008-10-23#,13.72,13.72,12.9,13.33,4984002
#2008-10-24#,12.53,13.5,12.53,13.07,5580986
#2008-10-27#,12.92,13.18,12.66,12.66,4483031
#2008-10-28#,12.84,14.05,12.6,14.01,5696506
#2008-10-29#,13.81,15.035,13.81,14.36,4427163
#2008-10-30#,14.72,14.88,13.63,13.91,4900495
#2008-10-31#,13.99,15.02,13.82,15.01,5135568
#2008-11-03#,15.02,15.2,14.89,15.05,2907731
#2008-11-04#,15.27,15.51,15,15.35,3206725
#2008-11-05#,15.22,15.47,14.92,14.98,3354887
#2008-11-06#,14.96,15.24,14.48,14.52,3454674
#2008-11-07#,14.6,14.9,14.39,14.89,3367952
#2008-11-10#,15.13,15.13,14.59,14.81,2957848
#2008-11-11#,14.67,15.09,14.29,14.62,3342294
#2008-11-12#,14.24,14.52,13.96,14,3603830
#2008-11-13#,14.04,14.96,13.57,14.96,5385638
#2008-11-14#,14.13,14.93,13.88,13.91,3576022
#2008-11-17#,13.75,13.95,13.36,13.39,2470230
#2008-11-18#,13.62,13.62,12.48,12.77,5552575
#2008-11-19#,12.89,13,11.37,11.51,6503506
#2008-11-20#,11.26,12.44,11.22,11.42,5773685
#2008-11-21#,11.59,11.76,10.89,11.75,6130155
#2008-11-24#,12.05,12.47,11.604,12.25,5361017
#2008-11-25#,12.57,13.11,12.35,13.04,5118643
#2008-11-26#,12.65,13.57,12.64,13.47,3271298
#2008-11-27#,12.65,13.57,12.64,13.47,3271298
#2008-11-28#,13.88,13.99,13.47,13.67,1707613
#2008-12-01#,13.46,13.46,12.59,12.59,3759713
#2008-12-02#,12.75,13.5,12.37,13.42,9317066
#2008-12-03#,12.67,13.25,12.25,13.2,4186249
#2008-12-04#,13.78,14.25,13.49,13.86,4718691
#2008-12-05#,13.69,14.68,13.35,14.61,4165529
#2008-12-08#,14.91,15.38,14.23,15.26,4512558
#2008-12-09#,15.17,15.31,14.8,14.95,4590489
#2008-12-10#,15.06,15.21,14.72,14.96,2263255
#2008-12-11#,14.7,15.03,14.23,14.38,2698183
#2008-12-12#,14.04,14.73,13.96,14.6,4206403
#2008-12-15#,14.7,14.85,14.11,14.53,3015876
#2008-12-16#,14.63,15.2,14.5675,15.05,3558080
#2008-12-17#,14.67,15.07,14.48,14.89,3481322
#2008-12-18#,15.19,15.48,14.62,14.99,4504938
#2008-12-19#,15.1,15.3,14.78,14.97,3592595
#2008-12-22#,14.91,14.97,14.63,14.97,3749588
#2008-12-23#,15.1,15.27,14.51,15.15,3451199
#2008-12-24#,15.17,15.3,15.02,15.2,1215998
#2008-12-25#,15.17,15.3,15.02,15.2,1215998
#2008-12-26#,15.21,15.47,15.174,15.46,1165710
#2008-12-29#,15.44,15.75,15.36,15.73,3133372
#2008-12-30#,15.79,16.03,15.63,15.98,2497744
#2008-12-31#,15.95,16.26,15.82,16,2722571
#2009-01-01#,15.95,16.26,15.82,16,2722571
