"Date","Open","High","Low","Close","Volume"
#2005-01-03#,49.6,49.69,49.27,49.43,3253500
#2005-01-04#,49.5,49.5,49.04,49.2,4320500
#2005-01-05#,49,49.3,48.74,48.75,3600000
#2005-01-06#,48.7,49.95,48.7,49.75,5396800
#2005-01-07#,49.52,50.74,49.5,50.2,5868800
#2005-01-10#,50.25,51.5,50.17,51.36,6201300
#2005-01-11#,51.01,51.19,50.55,50.95,4343300
#2005-01-12#,50.95,51.06,50.54,50.98,4320800
#2005-01-13#,50.79,51.18,50.26,50.41,3908700
#2005-01-14#,50.41,51.01,50.41,50.94,2740900
#2005-01-17#,50.41,51.01,50.41,50.94,2740900
#2005-01-18#,50.6,51.25,50.55,51.09,2802500
#2005-01-19#,51.09,51.39,50.55,51.07,4491600
#2005-01-20#,51.1,52.37,51.08,52.16,7268100
#2005-01-21#,52.1,52.57,51.99,51.99,6003600
#2005-01-24#,51.72,51.83,51.35,51.35,4552100
#2005-01-25#,51.6,52.09,51.58,51.8,4592100
#2005-01-26#,51.81,52.08,50.87,50.95,5493300
#2005-01-27#,50.8,51.5,50.8,51.36,3972000
#2005-01-28#,49.96,52.47,49.96,52.43,5911200
#2005-01-31#,52.5,52.52,52.08,52.49,3320900
#2005-02-01#,52.49,52.9,52.34,52.9,4080000
#2005-02-02#,52.9,52.93,52.44,52.56,4474900
#2005-02-03#,52.5,52.72,52.16,52.39,3051700
#2005-02-04#,52.27,53.4,52.26,53.34,4063600
#2005-02-07#,53.78,54.62,53.63,54.1,5383500
#2005-02-08#,53.82,54,53.29,53.7,2921400
#2005-02-09#,53.55,53.65,52.93,52.95,3087700
#2005-02-10#,52.9,53.25,52.61,53.01,3037100
#2005-02-11#,53.01,53.65,52.75,53.42,3674000
#2005-02-14#,53.23,53.24,52.3,52.42,4304500
#2005-02-15#,52.27,52.41,51.86,52.15,3955000
#2005-02-16#,52.1,52.14,51.44,51.8,4601700
#2005-02-17#,53.19,53.52,53.01,53.26,8830100
#2005-02-18#,53.26,53.48,52.83,53,5193700
#2005-02-21#,53.26,53.48,52.83,53,5193700
#2005-02-22#,52.42,52.61,52,52.02,4998500
#2005-02-23#,52.03,52.86,52.02,52.68,3109600
#2005-02-24#,52.5,52.98,52.05,52.9,3385600
#2005-02-25#,52.91,53.22,52.71,52.9,2498000
#2005-02-28#,52.1,52.6,51.94,52.12,3571600
#2005-03-01#,52,52.46,51.6,52.38,3944400
#2005-03-02#,52.38,53.44,52.25,53.3,4437400
#2005-03-03#,53.5,54.05,53.13,53.48,4478700
#2005-03-04#,53.55,53.95,53.32,53.47,3086800
#2005-03-07#,54.75,55.44,53.92,54,7347800
#2005-03-08#,54.05,54.94,54.01,54.6,3799000
#2005-03-09#,54.52,54.79,54.14,54.54,3686800
#2005-03-10#,54.76,55.09,54.55,54.92,3517800
#2005-03-11#,54.97,54.98,53.96,53.97,3196900
#2005-03-14#,54.08,54.47,53.95,54.39,2515700
#2005-03-15#,54.3,54.44,53.85,53.9,3074800
#2005-03-16#,53.6,53.87,52.91,53.07,4142900
#2005-03-17#,52.9,53.64,52.65,53.37,3589900
#2005-03-18#,53.35,53.44,52.6,53.36,5620200
#2005-03-21#,53.36,53.36,52.64,53.06,2443500
#2005-03-22#,53.06,53.13,51.84,51.84,5314600
#2005-03-23#,51.75,52.05,51.6,51.78,4198500
#2005-03-24#,51.95,51.95,50.9,51,5005000
#2005-03-25#,51.95,51.95,50.9,51,5005000
#2005-03-28#,51.15,51.32,50.96,51.12,4320300
#2005-03-29#,51.15,51.99,51.1,51.59,3285100
#2005-03-30#,50.95,51.78,50.91,51.54,2810200
#2005-03-31#,51.53,51.54,50.8,50.95,3626900
#2005-04-01#,51,51.36,50.42,50.51,3637100
#2005-04-04#,50.33,51.19,50.31,51.01,2544200
#2005-04-05#,51,51.56,50.9,51.35,2658500
#2005-04-06#,51.5,51.99,51.41,51.73,2769400
#2005-04-07#,51.98,52.44,51.8,52.35,3017700
#2005-04-08#,52.3,52.46,51.97,52.4,2972800
#2005-04-11#,52.35,52.5,51.95,51.99,2043800
#2005-04-12#,51.95,52.15,51.5,52.07,2526100
#2005-04-13#,51.85,52,51.29,51.4,2667200
#2005-04-14#,51.7,51.73,51.17,51.43,2678200
#2005-04-15#,51.53,52.56,51.31,52.2,4640700
#2005-04-18#,52.15,52.32,51.5,51.77,2858500
#2005-04-19#,51.61,51.78,50.68,50.82,3986700
#2005-04-20#,51.77,51.77,50.13,50.3,5109400
#2005-04-21#,50.7,51.27,50.32,51.15,4802400
#2005-04-22#,51,51.39,50.19,50.54,3351100
#2005-04-25#,50.75,50.89,50.378,50.7,2464700
#2005-04-26#,50.74,51.74,50.74,51.57,3703900
#2005-04-27#,51.4,52.15,51.3,52.11,3438200
#2005-04-28#,52.13,52.47,51.74,51.9,2926300
#2005-04-29#,51.91,52.76,51.72,52.7,3536800
#2005-05-02#,52.65,52.81,51.93,51.94,3128300
#2005-05-03#,51.94,52.26,51.81,52.04,3121300
#2005-05-04#,52.2,52.99,51.96,52.65,3033800
#2005-05-05#,52.8,52.84,52.2,52.58,2388100
#2005-05-06#,52.55,52.58,52.04,52.13,2619300
#2005-05-09#,52.07,52.22,51.76,52.09,2302900
#2005-05-10#,51.89,51.94,51.52,51.72,2194600
#2005-05-11#,51.86,52.75,51.61,52.6,2416800
#2005-05-12#,52.6,53,52.07,52.15,2234300
#2005-05-13#,51.96,52.13,51.12,51.56,2874300
#2005-05-16#,51.66,52.41,51.65,52.19,2520200
#2005-05-17#,51.85,52.22,51.27,52.22,3909100
#2005-05-18#,52.35,52.8,52.12,52.64,3320500
#2005-05-19#,52.8,53.25,52.48,53.23,3058100
#2005-05-20#,53.4,53.45,52.55,52.85,2728600
#2005-05-23#,53.24,53.43,52.91,52.92,3549400
#2005-05-24#,53.25,53.42,52.75,52.78,3619500
#2005-05-25#,52.4,53.09,52.01,53,4907300
#2005-05-26#,53.1,53.61,53.08,53.43,3501400
#2005-05-27#,53.35,53.65,53.31,53.65,2143500
#2005-05-30#,53.35,53.65,53.31,53.65,2143500
#2005-05-31#,53.65,54.41,53.6,53.75,4900500
#2005-06-01#,53.09,54.31,53.08,53.75,3923700
#2005-06-02#,53.49,53.98,53.17,53.92,2856800
#2005-06-03#,53.57,53.73,53.24,53.3,2891200
#2005-06-06#,53.13,53.21,52.84,53.02,3245900
#2005-06-07#,53.02,53.58,52.76,52.78,2878100
#2005-06-08#,53.05,53.05,52.36,52.6,3028500
#2005-06-09#,52.4,52.74,52.12,52.51,4153900
#2005-06-10#,52,52.76,52,52.68,1948200
#2005-06-13#,52.4,52.95,52.17,52.5,3033700
#2005-06-14#,52.27,52.74,52.05,52.52,4122600
#2005-06-15#,52.52,52.7,52.16,52.51,2498400
#2005-06-16#,52.55,53,52.41,52.88,2362100
#2005-06-17#,53.55,53.55,52.96,53.23,4053300
#2005-06-20#,53.05,53.25,52.84,52.84,3711500
#2005-06-21#,52.58,52.85,52.17,52.4,3410900
