"Date","Open","High","Low","Close","Volume"
#2003-01-01#,16.45,16.65,16.25,16.485,522000
#2003-01-02#,16.55,17.175,16.45,17.175,1577000
#2003-01-03#,17.175,17.225,16.85,16.915,1020400
#2003-01-06#,16.5,16.695,16.305,16.37,2340800
#2003-01-07#,16.325,16.405,16.1,16.31,2276400
#2003-01-08#,13.875,14.56,13.175,14.445,16192000
#2003-01-09#,14.535,14.795,14.365,14.605,3223800
#2003-01-10#,14.525,14.78,14.5,14.5,3006000
#2003-01-13#,14.61,14.775,14.3,14.36,3442200
#2003-01-14#,14.365,14.605,14.125,14.56,3087600
#2003-01-15#,14.525,14.525,13.945,14.025,3618200
#2003-01-16#,14.075,14.12,13.9,13.995,2726200
#2003-01-17#,13.9,13.905,13.61,13.685,3240600
#2003-01-20#,13.9,13.905,13.61,13.685,3240600
#2003-01-21#,13.625,13.705,13.21,13.325,2498400
#2003-01-22#,13.25,13.575,13.205,13.28,4966600
#2003-01-23#,13.425,13.54,13.3,13.42,3010400
#2003-01-24#,13.4,13.46,13.085,13.25,1973200
#2003-01-27#,13.235,13.315,12.875,12.925,1670200
#2003-01-28#,13.025,13.38,12.5,13.25,4897600
#2003-01-29#,13.255,13.495,13.13,13.415,1306000
#2003-01-30#,13.375,13.4,12.75,12.75,2704800
#2003-01-31#,12.79,13.115,12.75,13.1,888000
#2003-02-03#,13.1,13.2,12.905,12.935,945400
#2003-02-04#,12.87,12.87,12.45,12.525,2287000
#2003-02-05#,12.7,12.805,12.445,12.5,2570200
#2003-02-06#,12.3,12.52,12.045,12.24,3646800
#2003-02-07#,12.44,12.67,12.44,12.535,3688600
#2003-02-10#,12.54,12.895,12.52,12.775,2493400
#2003-02-11#,12.9,13.055,12.8,12.885,1476000
#2003-02-12#,12.825,12.9,12.65,12.665,853800
#2003-02-13#,12.73,12.73,12.33,12.4,2825200
#2003-02-14#,12.425,12.74,12.425,12.72,1714800
#2003-02-17#,12.425,12.74,12.425,12.72,1714800
#2003-02-18#,12.795,13.14,12.77,13.035,1689600
#2003-02-19#,12.925,13.05,12.775,12.815,926400
#2003-02-20#,12.82,13,12.64,12.675,1168800
#2003-02-21#,12.8,13.35,12.65,13.245,1532400
#2003-02-24#,13.24,13.3,12.86,12.865,1454200
#2003-02-25#,12.765,12.77,12.525,12.675,1780400
#2003-02-26#,12.675,12.76,12.4,12.55,1111200
#2003-02-27#,12.55,12.785,12.55,12.74,1501600
#2003-02-28#,12.65,12.825,12.575,12.81,1558000
#2003-03-03#,12.75,12.915,12.58,12.625,813000
#2003-03-04#,12.63,12.63,12.375,12.395,700200
#2003-03-05#,12.395,12.485,12.275,12.44,886400
#2003-03-06#,12.445,12.5,12.26,12.455,993000
#2003-03-07#,12.375,13.12,12.3,13.1,2051400
#2003-03-10#,13.015,13.07,12.725,12.99,3191600
#2003-03-11#,12.99,13.2,12.75,12.77,2795800
#2003-03-12#,12.765,12.955,12.715,12.89,1620600
#2003-03-13#,13,13.675,13,13.59,2632600
#2003-03-14#,13.625,13.915,13.535,13.825,1582400
