"Date","Open","High","Low","Close","Volume"
#2007-01-01#,75.58,75.58,74.76,74.86,190200
#2007-01-02#,75.58,75.58,74.76,74.86,190200
#2007-01-03#,75.46,77.24,75.15,76.1,626400
#2007-01-04#,76,77.36,75.63,77.14,560900
#2007-01-05#,77.04,77.04,75.96,76.05,498800
#2007-01-08#,76.3,76.39,75.53,76.09,314300
#2007-01-09#,76.2,76.46,76.05,76.3,413100
#2007-01-10#,76.09,77.68,75.42,77.5,402500
#2007-01-11#,77.7,79.17,77.59,79.08,710000
#2007-01-12#,78.85,79.35,78.43,79.25,625000
#2007-01-15#,78.85,79.35,78.43,79.25,625000
#2007-01-16#,79,79.37,77.817,78.18,1010600
#2007-01-17#,78.18,78.47,77.04,77.08,553300
#2007-01-18#,77.27,77.86,77.03,77.23,546100
#2007-01-19#,76.96,78.41,76.65,78.38,743100
#2007-01-22#,78.48,79.05,78.27,78.75,521200
#2007-01-23#,78.75,80,78.57,79.86,675000
#2007-01-24#,79.86,80.37,79.52,80.3,336400
#2007-01-25#,80.08,80.2,79,79.56,427200
#2007-01-26#,79.59,80.18,78.1,78.52,646700
#2007-01-29#,78.52,79.51,78.33,79.02,499300
#2007-01-30#,79.27,79.4,78.15,78.2,462400
#2007-01-31#,77.9,82.99,77.9,82.42,1435900
#2007-02-01#,82.42,86.41,82.42,85.79,2285400
#2007-02-02#,85.79,87.76,85.12,86.89,1328000
#2007-02-05#,87.5,87.6,85.78,86,620900
#2007-02-06#,86.09,87.12,85.92,86.98,469600
#2007-02-07#,86.72,86.72,84.51,85.41,856600
#2007-02-08#,85.41,85.41,83.36,83.49,1120500
#2007-02-09#,83.54,84.1,82.4,82.88,663300
#2007-02-12#,83.45,83.71,82.68,83.7,564303
#2007-02-13#,83.8,84.352,82.81,84,336153
#2007-02-14#,84.03,84.87,83.8,84.41,522797
#2007-02-15#,84.41,84.77,83.78,84.63,726730
#2007-02-16#,88.73,94.3,88.31,93.89,6707900
#2007-02-19#,88.73,94.3,88.31,93.89,6707900
#2007-02-20#,93.89,94.35,92.6,93.78,1697500
#2007-02-21#,93.58,94.29,93.04,93.65,740800
#2007-02-22#,93.65,93.65,92.45,92.92,604700
#2007-02-23#,92.71,93.03,92.17,92.95,531800
#2007-02-26#,92.8,92.8,89.5,90.8,918100
#2007-02-27#,90,90.15,87,88.75,1166900
#2007-02-28#,88.35,88.45,86.24,87.52,894500
#2007-03-01#,87.52,87.87,84.64,87.75,979273
#2007-03-02#,87.65,87.65,86.23,87,579000
#2007-03-05#,86,86.78,84.87,85.06,790200
#2007-03-06#,85.46,86.2,84.75,85.71,636200
#2007-03-07#,85.69,86.57,85.29,85.67,554600
#2007-03-08#,86.25,87.52,85.96,87.24,553000
#2007-03-09#,87.6,87.99,85.71,86.86,337900
#2007-03-12#,86.86,86.86,84.72,85.12,607400
#2007-03-13#,84.96,85.68,83.19,83.3,1122400
#2007-03-14#,83.55,84.37,81.12,83.2,1242100
#2007-03-15#,83.24,84.8,83.22,84.14,516100
#2007-03-16#,84.29,84.61,82.68,83.12,677800
#2007-03-19#,83.55,85.3,83.55,84.75,824500
#2007-03-20#,84.78,85.57,84.21,85.42,433200
#2007-03-21#,85.67,87.7,84.838,87.21,598000
#2007-03-22#,87.21,87.21,84.89,85.8,942700
#2007-03-23#,85.81,86.14,85.41,85.49,614000
#2007-03-26#,85.43,86.34,83.64,84.81,629500
#2007-03-27#,84.81,84.81,83.2,83.5,570600
#2007-03-28#,83.25,83.26,81.5,82.48,1027676
#2007-03-29#,83.06,83.06,81.3,82.24,473600
#2007-03-30#,82.49,83.46,81.31,82.05,456700
#2007-04-02#,82.4,82.93,81.28,82.32,569700
#2007-04-03#,82.46,82.46,81.42,82.14,898300
#2007-04-04#,82.27,82.44,81.99,82.28,433200
#2007-04-05#,82.28,82.9,82.21,82.57,357500
#2007-04-06#,82.28,82.9,82.21,82.57,357500
#2007-04-09#,82.77,83.18,82.21,83.07,411000
#2007-04-10#,83.11,84.12,83,84.1,585700
#2007-04-11#,84.2,84.56,83.29,83.79,980300
#2007-04-12#,83.78,85.05,83.24,85.02,519200
#2007-04-13#,85.13,85.95,84.4,85.35,535700
#2007-04-16#,85.76,86.92,85.56,86.32,412746
#2007-04-17#,86.55,87.47,86.23,86.8,511656
#2007-04-18#,87.3,89.6,85.92,89.05,1050000
#2007-04-19#,88.8,89.92,87.76,89,948400
#2007-04-20#,93.49,94.5,89.95,92.64,2759059
#2007-04-23#,92.39,92.49,91.12,91.34,754900
#2007-04-24#,91.29,92.054,89.75,91.61,979500
#2007-04-25#,92,93.25,90.85,93.08,727400
#2007-04-26#,92.88,93.9,92.35,93.42,660400
#2007-04-27#,93.17,93.17,91.44,92.02,526059
#2007-04-30#,91.9,92.3,90.16,90.16,589800
#2007-05-01#,90.3,90.87,88.41,90.84,864500
#2007-05-02#,90.83,92.59,90.7,91.89,461378
#2007-05-03#,92,92.33,91.27,91.96,318800
#2007-05-04#,92.15,93.2,91.69,92.98,601200
#2007-05-07#,92.98,93.78,92.33,92.78,293000
#2007-05-08#,92.1,93,91.5,92.74,327600
#2007-05-09#,92.61,104.87,92.35,96.03,6957400
#2007-05-10#,95.81,96.99,94.52,94.82,779500
#2007-05-11#,95.12,96.14,93.78,94.64,589000
#2007-05-14#,94.64,94.89,94.01,94.46,423800
#2007-05-15#,94.46,94.99,93.38,93.62,393500
#2007-05-16#,93.77,94.22,93.2,94.13,277000
#2007-05-17#,93.7,94.75,93.59,94.13,590300
#2007-05-18#,94.26,95.43,94.11,95.15,679500
#2007-05-21#,94.66,97.04,94.66,95.82,756400
#2007-05-22#,95.82,97.43,94.25,97.26,596600
#2007-05-23#,96.51,98.93,96.5,98.44,909800
#2007-05-24#,98,99.71,96.35,96.82,827800
#2007-05-25#,97.07,97.94,96.37,96.81,332500
#2007-05-28#,97.07,97.94,96.37,96.81,332500
#2007-05-29#,97.38,98.93,97.16,97.99,533900
#2007-05-30#,97.89,98.37,96.82,98.37,449800
#2007-05-31#,102.4,108,100.01,102.06,1792880
#2007-06-01#,102.06,103.5,102.06,103.05,956100
#2007-06-04#,103.03,103.5,102.55,103.32,636200
#2007-06-05#,103.03,103.32,100.59,101.25,789800
#2007-06-06#,101.14,101.71,99.89,100.6,432796
#2007-06-07#,99.96,100.47,97.04,97.28,763700
#2007-06-08#,97.37,99.5,96.94,99.38,654600
#2007-06-11#,99.33,99.9,98.36,99.37,365400
#2007-06-12#,98.78,99.84,97.93,98.91,508400
#2007-06-13#,99.11,100.24,98.45,100.03,435100
#2007-06-14#,100.04,101.47,100.03,101.32,396200
#2007-06-15#,101.19,102.67,101.02,101.68,519600
#2007-06-18#,102.59,103.118,101.97,102.56,479994
#2007-06-19#,102.31,102.31,100.78,100.93,377000
#2007-06-20#,101.3,102.34,99.9,100.04,525300
#2007-06-21#,100.04,100.54,98.92,100.52,497300
#2007-06-22#,100.52,100.74,98.78,98.98,381000
#2007-06-25#,99.23,101.22,98.22,98.52,417500
#2007-06-26#,99.47,102.24,98.71,98.95,562600
#2007-06-27#,98.7,101.61,98.46,101.49,599600
#2007-06-28#,101.66,102.21,100.57,101.78,395300
#2007-06-29#,101.94,103.02,100.15,100.79,488603
#2007-07-02#,101.15,101.63,100.22,101.63,461810
#2007-07-03#,102.38,102.85,100.76,101.33,233000
#2007-07-04#,102.38,102.85,100.76,101.33,233000
#2007-07-05#,101.65,103.17,101.13,102.83,371500
#2007-07-06#,102.31,103.53,102.02,103,430900
#2007-07-09#,103.4,103.73,102.05,102.27,433100
#2007-07-10#,101.1,101.5,99.48,99.82,714700
#2007-07-11#,99.72,100.24,98.82,99.83,522300
#2007-07-12#,99.95,101.09,99.83,101.09,659300
#2007-07-13#,101,102.07,100.41,101.81,535300
#2007-07-16#,101.42,102.29,100.47,101.07,388600
#2007-07-17#,101.07,101.88,101,101.02,504400
#2007-07-18#,100.56,100.76,98.83,99.68,773399
#2007-07-19#,100.66,101.3,99.5,99.87,641000
#2007-07-20#,96.5,97.73,94.46,97.42,1197500
#2007-07-23#,97.46,97.84,95.65,96.33,669400
#2007-07-24#,95.75,95.91,94.08,95.01,1098800
#2007-07-25#,95.04,95.85,94.5,95,1092865
#2007-07-26#,94.05,95.17,92.69,94.76,1492000
#2007-07-27#,94.57,94.97,92.5,92.57,973800
#2007-07-30#,92.52,92.8,90.89,91.39,1338500
#2007-07-31#,91.62,91.74,89.8,90.01,916544
#2007-08-01#,90.01,91.38,88,91.29,1152686
#2007-08-02#,91.35,91.54,89.93,90.55,658600
#2007-08-03#,90.6,91.93,87.17,87.5,1028448
#2007-08-06#,87.6,88.35,84.42,86,1451882
#2007-08-07#,85.5,88.72,85.34,88.28,968450
#2007-08-08#,88.65,91.3,87.1,88,753300
#2007-08-09#,86.35,88.48,84.91,87.1,1150200
#2007-08-10#,86.1,89.542,85,87.4,694312
#2007-08-13#,86.97,88.46,85.79,87.26,703500
#2007-08-14#,87.86,88.69,85.6,85.71,469700
#2007-08-15#,85.35,86.25,84.05,84.12,829600
#2007-08-16#,83.05,88.08,82.17,87.52,1232100
#2007-08-17#,89.63,90.17,85.55,86.33,1116600
#2007-08-20#,86.55,87.63,85.77,86.68,596700
#2007-08-21#,86.6,86.84,85.55,86.5,527800
#2007-08-22#,87.15,87.84,85.89,86.53,316400
#2007-08-23#,86.5,86.81,85.2,86.28,433300
#2007-08-24#,86.33,87.64,85.51,87.64,257600
#2007-08-27#,87.65,87.81,86.16,87.38,877700
#2007-08-28#,86.93,87.32,84.01,84.04,629100
#2007-08-29#,84.55,86.17,84.5,86.1,383000
#2007-08-30#,84.86,86.85,84.788,85.99,361000
#2007-08-31#,86.38,87.96,86.04,87.31,367100
#2007-09-03#,86.38,87.96,86.04,87.31,367100
#2007-09-04#,87.35,87.77,86.4,86.91,338450
#2007-09-05#,86.51,86.6,84.73,85.38,445400
#2007-09-06#,85.5,87.4,84.14,86.6,991900
#2007-09-07#,84.95,86.02,84.49,85.72,447900
