"Date","Open","High","Low","Close","Volume"
#2009-01-01#,97.27,98.7,96.29,97.08,416965
#2009-01-02#,98.75,102.76,95.42,101.34,619555
#2009-01-05#,101.34,105.25,100.85,104.24,1483171
#2009-01-06#,105.49,105.49,100.2,102,1514654
#2009-01-07#,100,101.27,96.59,98.86,711398
#2009-01-08#,98.85,99.96,95.74,99.92,866161
#2009-01-09#,95,99.09,93.86,94.26,975572
#2009-01-12#,94.48,94.48,86.62,87.88,1547406
#2009-01-13#,87.87,88.44,86.01,86.62,931814
#2009-01-14#,85.44,85.44,81.81,83.44,1123372
#2009-01-15#,83.04,88.36,81.7,87.22,1588567
#2009-01-16#,89.12,92.3,85.62,88.79,904706
#2009-01-19#,89.12,92.3,85.62,88.79,904706
#2009-01-20#,85.79,86.36,81.36,82.84,1151120
#2009-01-21#,84.38,85,80.64,83.28,1067812
#2009-01-22#,81.85,83.83,80.17,82.4,1308982
#2009-01-23#,80,83.01,79.38,81.79,1532560
#2009-01-26#,81.55,83.42,79.12,79.41,1001755
#2009-01-27#,80.17,82.58,79.87,81.5,656781
#2009-01-28#,83.39,86.46,82.98,83.55,712907
#2009-01-29#,82.77,84.25,81.06,81.72,573072
#2009-01-30#,85.19,85.38,79.51,80.52,656488
#2009-02-02#,79.27,81.79,77.68,80.96,575604
#2009-02-03#,81.96,84.23,81.25,82.89,666285
#2009-02-04#,83.48,86.79,82.89,83.62,777344
#2009-02-05#,82.68,86.43,81.64,85.74,620634
#2009-02-06#,85.54,87.67,84.78,85.55,647173
#2009-02-09#,85.73,85.73,82.85,84.07,560670
#2009-02-10#,83.59,86.86,81.59,82.76,985217
#2009-02-11#,82.93,82.93,77.33,79.94,1129030
#2009-02-12#,79.98,82.52,76.35,81.87,998103
#2009-02-13#,80.88,81.4,76.65,77.29,699690
#2009-02-16#,80.88,81.4,76.65,77.29,699690
#2009-02-17#,74.41,75.81,72.98,73.01,955876
#2009-02-18#,74.07,74.57,70.31,71.51,712224
#2009-02-19#,72.18,73.48,69.47,69.69,654647
#2009-02-20#,68.5,71.22,67.31,68.73,983134
#2009-02-23#,69.07,70.95,67.25,68.37,888230
#2009-02-24#,68.69,76.21,68.69,74.76,1331334
#2009-02-25#,74.02,75.72,71.25,74.77,731902
#2009-02-26#,75.42,76.67,73.7,73.79,948143
#2009-02-27#,72.9,77.54,72.33,76.56,986136
#2009-03-02#,75,78,73.78,75.5,880486
#2009-03-03#,75.92,76.19,71.56,71.99,1323926
#2009-03-04#,73.05,75.42,72.69,74.35,531053
#2009-03-05#,72.94,73.65,70.35,71.27,530834
#2009-03-06#,71.81,72.08,68,69.96,538075
#2009-03-09#,69.41,71.31,68.98,70.25,576067
#2009-03-10#,71.82,76.25,71.49,74.97,739595
#2009-03-11#,75.16,77,73.685,75.96,841108
#2009-03-12#,75.6,77.17,74.93,76.9,809362
#2009-03-13#,77.32,78.23,75.9,76.66,477272
#2009-03-16#,77.73,78.44,75.11,75.31,507341
#2009-03-17#,75.48,79.19,74.41,79.08,592944
#2009-03-18#,78.58,80.75,77.17,79.51,1049333
#2009-03-19#,80.13,80.58,78,78.32,552144
#2009-03-20#,78.6,78.71,73.77,74.48,677422
#2009-03-23#,76.19,77.78,74.75,77.78,1113779
#2009-03-24#,77.16,77.9,76.2,76.32,608206
#2009-03-25#,77.64,81.61,76.6,80.5,1097587
#2009-03-26#,81.5,84.43,81.125,83.98,1028660
#2009-03-27#,82.66,83.61,81.14,81.63,499671
#2009-03-30#,78.88,80.5,78,79.17,714891
#2009-03-31#,80.33,81.15,79.02,79.3,652443
#2009-04-01#,77.89,85.59,76.78,84.91,1112548
#2009-04-02#,86.4,92.37,86.16,90.94,1100621
#2009-04-03#,90.65,91.3,88.69,90.25,536487
#2009-04-06#,89.43,89.78,85.1,87.88,630090
#2009-04-07#,86.12,86.12,83.22,83.68,491388
#2009-04-08#,84.64,84.73,82.12,83.06,613591
#2009-04-09#,85.34,88.35,84.58,88.03,617367
#2009-04-10#,85.34,88.35,84.58,88.03,617367
#2009-04-13#,86.83,88.71,83.61,88.31,572249
#2009-04-14#,87.12,87.19,83.89,84.26,416022
#2009-04-15#,84.78,86.78,83.44,86.38,320794
#2009-04-16#,87.45,92.16,86.12,91.58,852490
#2009-04-17#,91.32,92.21,89.64,90.56,438341
#2009-04-20#,88.8,88.8,85.66,86.1,389218
#2009-04-21#,85.51,88.55,84.63,88.09,477181
#2009-04-22#,86.57,91.79,85.75,89.42,635507
#2009-04-23#,89.95,91.16,86.75,89.39,524680
#2009-04-24#,90.63,93.95,90.09,92.66,397459
#2009-04-27#,92.1,93.46,88.86,89.88,361612
#2009-04-28#,88.48,92.33,86.24,88.09,495091
#2009-04-29#,89.24,89.24,85.3,86.68,721727
#2009-04-30#,87.4,87.4,83.55,84.03,630401
#2009-05-01#,83.38,84.4,82.5,83.39,546683
#2009-05-04#,84.23,89.33,84,88.98,711102
#2009-05-05#,89.76,96.14,89.75,93.99,1234547
#2009-05-06#,95,96.7,92.05,94.21,725840
#2009-05-07#,95.22,95.99,89,89.72,585246
#2009-05-08#,90.76,91.8,86.73,90.2,517795
#2009-05-11#,88.17,90.48,86.77,87.75,642507
#2009-05-12#,88.53,89.49,85.72,86.95,362231
#2009-05-13#,85.35,85.79,82.2,82.71,531626
#2009-05-14#,83.17,84.97,81.35,81.65,691340
#2009-05-15#,81.45,83.47,80.37,81.08,477039
#2009-05-18#,81.96,85.58,81.69,85.14,479350
#2009-05-19#,84.9,85.8,83.737,83.98,307164
#2009-05-20#,84.92,87.6,82.95,84.18,683392
#2009-05-21#,82.86,83.27,79.51,80.28,702726
#2009-05-22#,80.51,80.84,78.78,78.85,436801
#2009-05-25#,80.51,80.84,78.78,78.85,436801
#2009-05-26#,78.87,82.93,78.46,81.3,686399
#2009-05-27#,81.26,82.866,79.48,79.79,764439
#2009-05-28#,80.33,81.15,77.3,79.9,463038
#2009-05-29#,80.42,83.18,80.29,81.47,431441
#2009-06-01#,83.02,86.72,82.57,85.73,669794
#2009-06-02#,86.16,87.19,85.32,86.77,535111
#2009-06-03#,86,86.22,82.48,84,454083
#2009-06-04#,84.27,84.56,81.68,82.82,576068
#2009-06-05#,84.87,84.87,79.2,80.59,894238
#2009-06-08#,79.58,79.98,76.97,77.6,868673
#2009-06-09#,77.83,78.94,77.22,78.36,791413
#2009-06-10#,79.78,79.78,76.46,78.44,674990
#2009-06-11#,77.85,79.73,75.72,79.54,1149890
#2009-06-12#,79.54,83.77,79.1,83.44,1127580
#2009-06-15#,82.79,83.05,81.43,82.05,782899
#2009-06-16#,82.46,84.01,80.98,81.62,850983
#2009-06-17#,80.45,82.14,78.33,78.54,1219337
#2009-06-18#,80.27,81.46,79.06,80.64,674884
#2009-06-19#,81.83,82.04,79.61,80.08,565752
#2009-06-22#,81.08,81.84,78.32,78.39,965557
#2009-06-23#,79.59,80.15,78.28,78.95,402505
#2009-06-24#,78.94,80.94,78.75,79.64,292976
#2009-06-25#,79.38,82.12,79.27,81.66,281996
#2009-06-26#,81.08,81.39,80.11,80.34,686440
#2009-06-29#,80.81,81.04,79.14,79.51,439872
#2009-06-30#,80.03,80.18,78.18,78.88,492062
#2009-07-01#,79.71,79.98,78.34,78.61,870360
#2009-07-02#,77.32,78.02,76.62,77.82,422449
#2009-07-03#,77.32,78.02,76.62,77.82,422449
#2009-07-06#,77.34,77.85,76.07,77.49,480293
#2009-07-07#,78.32,78.4,76.44,76.57,423246
#2009-07-08#,77.91,77.91,74.4,76.11,776721
#2009-07-09#,76.17,78.46,76.17,77.79,371438
#2009-07-10#,76.5,77.32,73.8,75.47,963488
#2009-07-13#,76.06,77.26,73.78,77.1,590481
#2009-07-14#,74.87,77.18,74.21,74.49,2065945
#2009-07-15#,75.9,77.49,75.26,77.19,823154
#2009-07-16#,76.89,79.47,76.61,79.15,391337
#2009-07-17#,78.9,79.74,78.49,79.15,288102
#2009-07-20#,79.4,81.06,79.4,79.63,365652
#2009-07-21#,80.5,81,78.51,79.56,360750
#2009-07-22#,79.46,82.07,79,81.24,442852
#2009-07-23#,81.52,87.06,81.43,86.85,763216
#2009-07-24#,85.97,88.52,85.97,88.31,611054
#2009-07-27#,88.13,88.25,86.34,87.2,387923
#2009-07-28#,86.71,89.7,85.83,87.49,269269
#2009-07-29#,87.03,87.27,84.06,85.12,468226
#2009-07-30#,86.26,87.26,85.48,86.15,584201
#2009-07-31#,85.95,86.94,85.04,86.07,371304
#2009-08-03#,87.15,88.04,85.69,88.04,464344
#2009-08-04#,88.04,92.34,87.18,89.32,1441329
#2009-08-05#,89.2,89.32,86.66,88.06,660002
#2009-08-06#,88.58,88.88,86.881,87.27,331443
#2009-08-07#,88.26,89.52,87.52,88.79,407257
#2009-08-10#,88.71,89.06,86.14,86.84,228052
#2009-08-11#,86.71,87.25,85.5,85.92,136158
#2009-08-12#,86,88.83,86,88.09,376239
#2009-08-13#,88.09,88.56,86.87,88.24,332687
#2009-08-14#,87.88,88.19,85.85,86.39,172559
#2009-08-17#,84.91,85.26,82.73,83.65,285385
#2009-08-18#,83.94,85.86,83.88,85.28,289738
#2009-08-19#,84.28,87.06,83.72,86.6,243102
#2009-08-20#,87.1,88.47,86.75,87.8,414468
#2009-08-21#,88.26,90.1,88.13,89.59,281880
#2009-08-24#,89.55,90.22,87.99,88.74,269718
#2009-08-25#,88.91,90.83,88.54,88.78,203471
#2009-08-26#,88.85,89.63,87.04,89.32,291516
#2009-08-27#,89,89.93,87.7,88.5,201079
#2009-08-28#,89.21,89.5,87.82,89.16,226678
#2009-08-31#,88.15,88.77,87.12,87.58,292015
#2009-09-01#,87.18,89.04,85.46,86.01,409099
#2009-09-02#,85.88,86.35,85,85.91,257901
#2009-09-03#,85.95,86.71,84.4,86.6,257281
#2009-09-04#,86.24,87.62,85.87,87.5,221108
#2009-09-07#,86.24,87.62,85.87,87.5,221108
#2009-09-08#,88.46,91.24,88.22,90.41,379304
#2009-09-09#,90.48,92.15,89.42,91.2,381388
#2009-09-10#,90.88,91.63,90.33,90.96,363933
#2009-09-11#,91.58,93.14,90.79,91.32,463647
#2009-09-14#,90.38,92.15,90.2,91.98,316024
#2009-09-15#,91.75,94.95,91.75,94.71,317394
#2009-09-16#,95.06,101.64,95.04,101.04,970540
#2009-09-17#,100.34,102.96,100.14,102.57,695468
#2009-09-18#,102.88,103.44,100.04,100.62,550991
#2009-09-21#,99.96,100,97,99.29,457676
#2009-09-22#,96.91,98.35,96.05,97.89,556888
#2009-09-23#,98,99.96,97.41,97.41,395866
#2009-09-24#,97.89,98.58,93.04,93.83,688294
#2009-09-25#,93.64,95.44,93,93.29,285201
#2009-09-28#,93.58,95.53,93.32,95.07,342433
#2009-09-29#,95.33,96.38,94.02,94.2,374637
#2009-09-30#,93.7,93.7,90.36,92.07,451110
#2009-10-01#,94,94,90.26,90.88,663030
#2009-10-02#,89.56,91.31,88.85,89.91,471711
#2009-10-05#,90.14,91.64,89.85,90.95,246239
#2009-10-06#,91.94,94.05,91.885,93.38,403753
#2009-10-07#,93.3,93.54,91.45,92.23,284183
#2009-10-08#,93.16,94.16,92.09,92.66,307153
#2009-10-09#,92.55,92.69,91.75,92.26,270279
#2009-10-12#,92.68,93.34,91.76,92.63,143012
#2009-10-13#,92.24,93.19,90.97,92.49,243231
#2009-10-14#,93.71,93.71,90.76,91.4,522658
#2009-10-15#,91.21,95,91.21,94.1,617809
#2009-10-16#,93.34,93.71,91.58,93,252536
#2009-10-19#,93.11,96.4,92.4,95.62,473840
#2009-10-20#,96.53,96.74,94.15,95.7,356580
#2009-10-21#,95.69,96.87,92.01,92.13,351889
#2009-10-22#,92.04,93.56,90.6,92.85,310773
#2009-10-23#,93.42,93.6,89.15,90.54,347274
#2009-10-26#,91.02,92.56,87.1,87.42,383841
#2009-10-27#,87.95,88.78,86.42,88.01,602008
#2009-10-28#,87.6,88.25,84.24,84.55,520686
#2009-10-29#,85.84,87.19,84.94,86.66,261590
#2009-10-30#,85.27,86.23,82.39,83.32,581554
#2009-11-02#,83.39,86.05,80.23,82.25,1064089
#2009-11-03#,78.69,82.08,77.39,79.82,1300883
#2009-11-04#,79.29,82.22,77.36,79.52,721465
#2009-11-05#,80.08,82.96,79.8,82.82,507042
#2009-11-06#,81.91,84.47,81.66,83.87,818870
#2009-11-09#,84.77,86.57,84.77,86.46,392980
#2009-11-10#,86.02,86.59,84.53,85.56,632806
#2009-11-11#,86.47,87.979,85.74,86.32,891589
#2009-11-12#,86.32,87.41,84.25,84.5,746644
#2009-11-13#,85.11,86.79,84.19,85.93,432009
#2009-11-16#,86.77,89.79,86.67,88.81,485122
#2009-11-17#,88.42,89.14,87.54,88.71,390965
#2009-11-18#,88.7,89.2,87.39,87.52,1158311
#2009-11-19#,86.56,87.4,85,85.98,427715
#2009-11-20#,87.15,87.15,85.56,86.46,455574
#2009-11-23#,87.74,87.74,86.86,87.49,646509
#2009-11-24#,87.75,87.75,85.6,86.01,565179
#2009-11-25#,86.37,86.72,86.05,86.52,437254
#2009-11-26#,86.37,86.72,86.05,86.52,437254
#2009-11-27#,85.02,85.59,83.95,84.03,171003
#2009-11-30#,84.05,85.44,83.495,85.29,730032
#2009-12-01#,86,86.34,85.39,85.74,374892
#2009-12-02#,86.24,87.17,85.9,86.92,413496
#2009-12-03#,86.91,87.11,84.62,84.95,263697
#2009-12-04#,86.19,87,83.84,84.8,320194
#2009-12-07#,84.35,85,83.1,83.27,578784
#2009-12-08#,82.19,84.73,81.42,82.5,369592
#2009-12-09#,84.67,85.49,83.29,85.06,638870
#2009-12-10#,86.47,87.5,85.85,86.33,420473
#2009-12-11#,86.54,87.1,86.35,86.71,427612
#2009-12-14#,87.59,87.59,86.5,87.5,345382
#2009-12-15#,87.24,87.83,86.47,86.67,314605
#2009-12-16#,86.92,87.445,86.56,86.98,291231
#2009-12-17#,85.77,87.27,85.77,86.64,267136
#2009-12-18#,87,88.89,86.718,88.89,633814
#2009-12-21#,89.55,91.52,89.55,91.36,395100
#2009-12-22#,91.76,93.66,91.66,93.52,325028
#2009-12-23#,93.96,94.29,93.27,93.68,233603
#2009-12-24#,94,94.8,93.73,94,129330
#2009-12-25#,94,94.8,93.73,94,129330
#2009-12-28#,94.09,94.2,93.02,93.55,214008
#2009-12-29#,93.21,94.13,93.09,93.09,244185
#2009-12-30#,92.13,93.34,90.9,91.43,376847
#2009-12-31#,91.36,91.5,89.03,89.41,350907
#2010-01-01#,91.36,91.5,89.03,89.41,350907
