"Date","Open","High","Low","Close","Volume"
#2005-01-03#,33.25,33.6,32.65,32.9,6066800
#2005-01-04#,32.86,33.08,32.74,33,3791900
#2005-01-05#,32.86,33.01,32.66,32.7,4533200
#2005-01-06#,32.67,32.7,31.49,31.68,7836200
#2005-01-07#,31.75,32.5,31.09,31.26,4427100
#2005-01-10#,30.65,31.42,30.6,31.16,2554100
#2005-01-11#,30.95,31.11,30.66,30.74,1961900
#2005-01-12#,30.7,30.9,30.5,30.9,1648200
#2005-01-13#,30.68,30.72,30.12,30.37,2557300
#2005-01-14#,31.7,32.24,31.38,31.51,4249200
#2005-01-17#,31.7,32.24,31.38,31.51,4249200
#2005-01-18#,31.52,31.97,31.25,31.73,2513600
#2005-01-19#,31.93,32.08,31.69,31.75,2269700
#2005-01-20#,31.77,32,31.41,31.51,1744600
#2005-01-21#,31.46,31.6,30.85,31.01,2017700
#2005-01-24#,31,31.27,30.76,31.06,1556300
#2005-01-25#,31.06,31.18,30.5,30.65,2249400
#2005-01-26#,30.55,31.12,30.34,30.85,1900500
#2005-01-27#,30.86,31.44,30.55,31.27,2339100
#2005-01-28#,31.19,31.34,30.52,31.09,1644800
#2005-01-31#,32.6,32.6,31.39,32.5,6620200
#2005-02-01#,32.64,33.13,32.27,33.02,4351800
#2005-02-02#,32.9,32.91,32.36,32.61,2461300
#2005-02-03#,32.4,32.63,31.82,31.99,2337200
#2005-02-04#,31.87,32.49,31.82,32.32,2189700
#2005-02-07#,32.32,32.69,31.8,32.2,2262400
#2005-02-08#,32.04,32.2,31.75,31.95,1620800
#2005-02-09#,32.15,32.65,31.95,32.5,2266100
#2005-02-10#,32.5,32.52,31.91,32.47,2211400
#2005-02-11#,32.47,33.1,32.37,32.99,2357400
#2005-02-14#,32.82,32.98,32.12,32.3,2166500
#2005-02-15#,32.24,32.76,32.24,32.68,1819500
#2005-02-16#,32.49,32.49,31.65,31.76,1905100
#2005-02-17#,31.61,31.64,30.75,30.9,3681300
#2005-02-18#,31.1,31.88,31.08,31.58,2104200
#2005-02-21#,31.1,31.88,31.08,31.58,2104200
#2005-02-22#,31.4,31.65,30.95,30.99,1990000
#2005-02-23#,31.11,32.28,31.08,31.7,3087700
#2005-02-24#,31.7,32.17,31.26,31.62,2251500
#2005-02-25#,31.5,31.86,31.15,31.63,1527900
#2005-02-28#,31.63,32.74,31.41,32.65,3838000
#2005-03-01#,32.01,34.25,31.95,33,12480400
#2005-03-02#,33,33,31.89,32,4383000
#2005-03-03#,31.99,32,31.67,31.72,2419600
#2005-03-04#,31.85,32,31.76,31.8,1305500
#2005-03-07#,31.76,31.9,31.4,31.5,2052400
#2005-03-08#,31.5,31.51,31.04,31.08,2463200
#2005-03-09#,31.08,31.25,30.64,30.73,1865300
#2005-03-10#,30.6,31.1,30.44,30.6,1941400
#2005-03-11#,30.25,30.82,30.09,30.23,2821500
#2005-03-14#,30.24,30.64,30.24,30.56,6419300
#2005-03-15#,30.72,30.8,30.21,30.45,2348800
#2005-03-16#,30.28,30.47,30.01,30.34,1680400
#2005-03-17#,30.18,30.5,30.15,30.3,1615300
#2005-03-18#,30.42,30.42,29.71,30,3161400
#2005-03-21#,29.95,30.62,29.7,30.59,3050300
#2005-03-22#,30.58,30.74,29.66,29.8,4059200
#2005-03-23#,29.7,30.47,29.69,30.23,2665000
#2005-03-24#,30.24,30.56,30.1,30.18,1737900
#2005-03-25#,30.24,30.56,30.1,30.18,1737900
#2005-03-28#,30.18,30.29,29.75,30,1752800
#2005-03-29#,29.85,30.4,29.35,30,2805200
#2005-03-30#,30,30.74,29.86,30.7,2383400
#2005-03-31#,30.6,30.6,30.04,30.42,1771600
#2005-04-01#,30.41,30.9,29.52,29.89,2963100
#2005-04-04#,29.8,30.35,29.57,30.13,1772200
#2005-04-05#,29.88,30.3,29.85,30.05,1389800
#2005-04-06#,30.06,30.2,29.9,29.99,711600
#2005-04-07#,29.99,30.09,29.82,29.99,1011800
#2005-04-08#,30,30.15,29.89,29.89,1024200
#2005-04-11#,29.99,30.02,29.83,30,1033200
#2005-04-12#,29.82,30.06,29.5,29.99,1575200
#2005-04-13#,29.75,29.96,29.24,29.26,1941600
#2005-04-14#,29.2,29.21,28.87,28.97,1785800
#2005-04-15#,28.78,28.91,28.07,28.14,2588500
#2005-04-18#,28.05,28.38,27.65,27.86,2788100
#2005-04-19#,27.75,27.9,27.43,27.74,3367400
#2005-04-20#,27.5,27.78,27.21,27.69,2839400
#2005-04-21#,27.95,28.47,27.75,28.34,2185900
#2005-04-22#,28.19,28.2,27.79,27.9,1956100
#2005-04-25#,27.97,28.44,27.97,28.2,1299200
#2005-04-26#,28.15,28.44,28.1,28.2,1339300
#2005-04-27#,28.21,28.21,27.73,27.99,1678200
#2005-04-28#,27.95,27.96,27.57,27.6,1619800
#2005-04-29#,27.61,28.04,27.35,28.03,1927700
#2005-05-02#,28.17,28.27,27.78,28.1,1571300
#2005-05-03#,28,28.27,27.78,28.25,2458400
#2005-05-04#,28.73,29.99,28.67,29.99,4412100
#2005-05-05#,29.86,29.9,29.36,29.57,1618100
#2005-05-06#,29.78,29.9,29.55,29.84,1187800
#2005-05-09#,29.72,29.95,29.5,29.93,1266800
#2005-05-10#,29.7,29.75,28.91,29.15,2285400
#2005-05-11#,29.12,29.35,28.8336,29.16,1713900
#2005-05-12#,29.07,29.42,28.58,28.74,1688300
#2005-05-13#,28.74,28.9,28.15,28.67,1227400
#2005-05-16#,28.63,29,28.42,28.84,1013400
#2005-05-17#,28.8,29,28.47,28.94,938900
#2005-05-18#,28.98,29.25,28.77,29.25,1552600
#2005-05-19#,29.25,29.76,29.2,29.76,1600500
#2005-05-20#,29.85,29.99,29.73,29.94,1465900
#2005-05-23#,29.94,29.9858,29.74,29.75,1327700
#2005-05-24#,29.7,29.79,29.16,29.26,1567100
#2005-05-25#,29.26,29.67,29.2472,29.53,1685900
#2005-05-26#,29.55,29.7,29.316,29.46,1847400
#2005-05-27#,29.34,29.36,28.81,29.01,1813600
#2005-05-30#,29.34,29.36,28.81,29.01,1813600
#2005-05-31#,29.05,29.38,28.95,29.04,1648600
#2005-06-01#,29.4,29.51,28.73,28.96,1639100
#2005-06-02#,29.15,29.15,28.44,28.7,2322400
#2005-06-03#,28.8,29.15,28.73,28.99,1614700
#2005-06-06#,28.9,29.11,28.55,29,1378800
#2005-06-07#,29,29.17,28.75,28.8,2672000
#2005-06-08#,28.92,28.98,28.65,28.72,878000
#2005-06-09#,28.67,28.84,28.46,28.6,4458900
#2005-06-10#,28.5,28.72,26.87,28.58,1675100
#2005-06-13#,28.43,28.73,28.08,28.24,2642200
#2005-06-14#,28.2,28.35,28.05,28.19,1914900
#2005-06-15#,28.36,28.36,27.66,27.85,3481800
#2005-06-16#,27.9,28.12,27.55,27.96,2800000
#2005-06-17#,28.2,28.38,27.8,27.89,2057100
#2005-06-20#,27.72,28.27,27.72,28.11,1303400
#2005-06-21#,28.04,28.16,27.68,27.7,1351100
#2005-06-22#,27.8,28.15,27.61,27.91,3814200
#2005-06-23#,27.91,27.96,27.58,27.65,1789000
#2005-06-24#,27.65,27.84,27.33,27.41,2798600
#2005-06-27#,27.55,28.06,27.52,27.96,2592400
#2005-06-28#,27.99,28.01,27.5,27.88,1605500
#2005-06-29#,28.02,28.19,27.6,27.64,2138100
#2005-06-30#,27.8,28.12,27.6,27.7,4167400
#2005-07-01#,27.55,27.95,27.52,27.7,3153500
#2005-07-04#,27.55,27.95,27.52,27.7,3153500
#2005-07-05#,27.17,27.78,26.99,27.69,2553100
#2005-07-06#,27.71,27.89,27.6,27.76,1986600
#2005-07-07#,27.57,28.03,27.4,28.02,2608600
#2005-07-08#,27.9,29.9,27.86,29.4,9573400
#2005-07-11#,29.26,29.47,29.1,29.35,2732000
#2005-07-12#,29.15,29.34,28.8,29.19,2029800
#2005-07-13#,29.13,29.29,29,29.09,1007400
#2005-07-14#,29.4,29.88,29.25,29.79,3165900
#2005-07-15#,29.79,30.18,29.79,30.01,3023300
#2005-07-18#,29.9,30.01,29.82,29.82,1915200
#2005-07-19#,29.85,30.01,29.78,29.99,1911400
#2005-07-20#,29.85,29.96,29.7,29.82,1814100
#2005-07-21#,29.8,29.91,29.43,29.73,1565100
#2005-07-22#,29.64,29.73,29.35,29.49,2363300
#2005-07-25#,29.35,29.49,29.04,29.06,1612600
#2005-07-26#,29.23,29.29,28.92,29,1826400
#2005-07-27#,29.14,29.37,29.01,29.18,1781900
#2005-07-28#,29.28,29.5,29.13,29.18,1436400
#2005-07-29#,29.09,29.36,28.92,28.97,1705900
