"Date","Open","High","Low","Close","Volume"
#2008-01-01#,84.65,85.21,84.28,84.32,1740724
#2008-01-02#,84.24,84.76,82.23,82.71,4453627
#2008-01-03#,82.82,83.48,82.37,82.7,2724254
#2008-01-04#,82,82.66,81.55,81.76,3620279
#2008-01-07#,82.1,82.15,80.77,81.11,4223722
#2008-01-08#,81.35,82.07,80.1,80.21,5711164
#2008-01-09#,80.2,80.82,78.49,80.19,6422264
#2008-01-10#,79.75,80.71,79.02,80.21,6835761
#2008-01-11#,79.63,81.06,76.97,77.58,8414480
#2008-01-14#,78.13,78.64,77.5,78.5,2927555
#2008-01-15#,78,78.7,77.03,77.18,4206443
#2008-01-16#,76.83,78.58,76.83,77.3,4467441
#2008-01-17#,77.38,77.69,74.47,74.96,7093002
#2008-01-18#,75.47,76.44,74.06,74.91,7053128
#2008-01-21#,75.47,76.44,74.06,74.91,7053128
#2008-01-22#,72.07,75.61,72.07,75.16,6578043
#2008-01-23#,73.55,76.23,72.05,76.1,7000324
#2008-01-24#,76.4,76.83,75,75.73,4805803
#2008-01-25#,76.82,76.82,75.07,75.51,3910132
#2008-01-28#,76.02,77.52,75.6,77.44,4611788
#2008-01-29#,77.8,78.68,76.2,78.02,5062450
#2008-01-30#,77.82,79.49,77.49,78.22,4583911
#2008-01-31#,77.33,80,77.04,79.65,5432882
#2008-02-01#,79.79,81.28,79.64,81.21,4739733
#2008-02-04#,81.23,81.5,80.49,80.57,3377338
#2008-02-05#,79.31,79.91,78.91,79.09,4802375
#2008-02-06#,79.47,79.94,78.81,79.18,3871055
#2008-02-07#,78.6,79.54,78.28,79.12,3484329
#2008-02-08#,78.85,79.19,77.82,78.56,2821911
#2008-02-11#,78.38,79.57,77.84,79.28,2097234
#2008-02-12#,79.61,79.84,78.6,79.1,3663737
#2008-02-13#,79.55,81.51,79.48,81.38,3780875
#2008-02-14#,81.24,81.65,80.2,80.29,2485610
#2008-02-15#,80.14,80.61,79.54,79.95,3632565
#2008-02-18#,80.14,80.61,79.54,79.95,3632565
#2008-02-19#,80.25,80.86,79.56,79.85,3493585
#2008-02-20#,79.32,80.2,78.44,79.94,3242373
#2008-02-21#,80.06,80.65,78.68,78.96,4083960
#2008-02-22#,79.32,79.81,78.24,79.67,3490828
#2008-02-25#,79.56,81.04,79.09,81,2936537
#2008-02-26#,80.6,81.59,80.46,81.29,3177637
#2008-02-27#,80.68,81.15,80.09,80.48,2804787
#2008-02-28#,80.06,80.28,79.25,79.8,2701396
#2008-02-29#,79.65,79.65,78.19,78.4,3091245
#2008-03-03#,78.16,78.65,77.62,78.49,2425471
#2008-03-04#,77.92,78.73,77.491,78.41,4390001
#2008-03-05#,78.91,79.61,77.92,78.93,3866487
#2008-03-06#,78.7,79.24,77.89,77.95,4713833
#2008-03-07#,77.41,77.99,76.33,76.51,5199090
