"Date","Open","High","Low","Close","Volume"
#2013-01-01#,17.29,17.667,17.247,17.613,3508737
#2013-01-02#,17.9,18.113,17.793,18.077,6088896
#2013-01-03#,18.02,18.067,17.32,17.403,6442725
#2013-01-04#,17.42,17.6,17.28,17.297,4842588
#2013-01-07#,17.303,17.443,16.353,16.687,10506876
#2013-01-08#,16.687,16.94,16.44,16.91,6468552
#2013-01-09#,16.95,16.95,16.623,16.777,2895933
#2013-01-10#,16.933,16.933,15.993,16.253,7333659
#2013-01-11#,16.283,17.02,16.267,16.973,6769125
#2013-01-14#,16.77,16.973,16.6,16.923,4190766
#2013-01-15#,16.92,17.13,16.837,17.017,3368688
#2013-01-16#,16.927,17.03,16.677,16.85,3390132
#2013-01-17#,16.947,16.99,16.28,16.613,8339721
#2013-01-18#,16.637,16.65,15.267,15.94,17825493
#2013-01-21#,16.637,16.65,15.267,15.94,17825493
#2013-01-22#,15.973,16.21,15.657,16.18,6808560
#2013-01-23#,16.253,16.327,15.913,16.02,5264667
#2013-01-24#,16.183,16.273,15.637,15.757,5049975
#2013-01-25#,15.79,15.947,15.513,15.57,4720830
#2013-01-28#,15.637,15.93,15.573,15.817,3950232
#2013-01-29#,15.877,16.083,15.687,15.747,5346390
#2013-01-30#,15.773,16.3,15.75,16.06,4257045
#2013-01-31#,15.963,16.127,15.633,15.967,4852863
#2013-02-01#,16.127,16.22,15.767,15.883,5560197
#2013-02-04#,15.85,16.003,15.747,15.867,3530124
#2013-02-05#,16.017,16.317,15.813,16.11,5096766
#2013-02-06#,16.053,16.74,16.053,16.483,5045754
#2013-02-07#,16.537,16.567,15.953,16.05,4878705
#2013-02-08#,16.093,16.177,15.487,15.613,6569151
#2013-02-11#,15.65,15.923,15.555,15.817,3587394
#2013-02-12#,15.803,15.85,15.51,15.587,3565521
#2013-02-13#,15.557,16.44,15.317,15.897,9666666
#2013-02-14#,15.897,16.053,15.487,15.897,6043485
#2013-02-15#,15.807,17.293,15.693,17.027,20554428
#2013-02-18#,15.807,17.293,15.693,17.027,20554428
#2013-02-19#,16.887,16.927,16.343,16.56,8022906
#2013-02-20#,16.553,16.99,16.373,16.89,6911808
#2013-02-21#,16.817,17.2,16.37,16.587,6827727
#2013-02-22#,16.613,17.187,16.6,16.897,4036317
#2013-02-25#,17.01,17.193,16.543,16.547,4812606
#2013-02-26#,16.573,16.647,16.087,16.317,4446963
#2013-02-27#,16.27,16.75,16.127,16.54,7825971
#2013-02-28#,17.547,17.96,16.753,16.82,19852650
#2013-03-01#,16.713,17.003,16.35,16.887,8244561
#2013-03-04#,16.77,16.77,16.38,16.603,6057369
#2013-03-05#,16.617,16.757,16.253,16.35,5817921
#2013-03-06#,16.377,16.437,16.073,16.227,5342604
#2013-03-07#,16.36,16.377,15.887,15.917,7232154
#2013-03-08#,16.027,16.057,15.747,15.78,5184783
#2013-03-11#,15.747,15.8,15.28,15.697,7256982
#2013-03-12#,15.633,15.723,15.127,15.397,7429188
#2013-03-13#,15.5,15.953,15.423,15.697,6895878
#2013-03-14#,15.69,15.893,15.56,15.71,3751038
#2013-03-15#,15.727,16.17,15.657,16.127,12036645
#2013-03-18#,16.027,16.057,15.867,16.04,5401605
#2013-03-19#,16.107,16.773,16.077,16.573,9326217
#2013-03-20#,16.647,17.03,16.567,17,4483518
#2013-03-21#,16.847,17.007,16.677,16.783,4784325
#2013-03-22#,16.25,16.703,16.02,16.167,9003951
#2013-03-25#,16.237,16.29,16.02,16.127,4831149
#2013-03-26#,16.2,16.343,16.12,16.277,3605040
#2013-03-27#,16.137,16.213,15.8,16.003,5203377
#2013-03-28#,16.017,16.027,15.747,15.913,4625298
#2013-03-29#,16.017,16.027,15.747,15.913,4625298
#2013-04-01#,15.913,16.02,15.72,15.887,3599115
#2013-04-02#,15.97,16.4,15.873,16.203,5245944
#2013-04-03#,16.123,16.275,15.943,16.093,4265313
#2013-04-04#,16.167,16.767,16.06,16.76,8266767
#2013-04-05#,16.523,16.747,16.383,16.56,5461710
#2013-04-08#,16.623,17.39,16.56,17.337,9900549
#2013-04-09#,17.433,17.893,17.29,17.557,8571783
#2013-04-10#,17.523,18.487,17.523,18.263,8031483
#2013-04-11#,18.357,18.643,18.267,18.62,7245330
#2013-04-12#,18.643,18.98,18.35,18.917,5967951
#2013-04-15#,18.88,19.197,18.423,18.44,6979002
#2013-04-16#,18.493,18.923,18.42,18.83,4907430
#2013-04-17#,18.693,19.277,18.477,18.56,6115509
#2013-04-18#,18.517,18.883,18.317,18.407,3942885
#2013-04-19#,18.3,18.78,18.238,18.57,3837681
#2013-04-22#,18.553,18.763,18.427,18.53,4559172
#2013-04-23#,18.637,19.1,18.587,18.897,4106601
#2013-04-24#,18.98,19.523,18.98,19.163,8015265
#2013-04-25#,19.25,19.327,18.913,18.953,6626382
#2013-04-26#,18.833,19.037,18.821,18.883,3387642
#2013-04-29#,18.883,18.933,18.763,18.833,2888142
#2013-04-30#,18.793,18.945,18.483,18.8,3831456
#2013-05-01#,18.487,18.753,18.293,18.64,5776794
#2013-05-02#,18.573,18.833,18.483,18.5,3040527
#2013-05-03#,18.657,19.43,18.657,19.147,4230723
#2013-05-06#,19.093,19.133,18.447,18.727,5793675
#2013-05-07#,18.75,19.087,18.573,19.05,5131341
#2013-05-08#,19.07,19.26,18.77,18.99,10516362
#2013-05-09#,17.083,18.003,16.917,18.003,28317348
#2013-05-10#,18,18.123,17.702,18.077,8512053
#2013-05-13#,17.9,18.29,17.613,17.943,9673005
#2013-05-14#,18.417,18.92,18.167,18.807,9472758
#2013-05-15#,18.767,19.297,18.663,19.267,6396384
#2013-05-16#,19.203,19.61,19.057,19.07,6011541
#2013-05-17#,19.167,19.18,18.697,18.97,4466391
#2013-05-20#,18.837,18.947,18.58,18.757,3862173
#2013-05-21#,18.757,18.963,18.64,18.81,6090747
#2013-05-22#,19.083,19.78,18.877,18.96,6594507
#2013-05-23#,18.897,18.987,18.67,18.917,3653322
#2013-05-24#,18.793,18.835,18.503,18.637,3261720
#2013-05-27#,18.793,18.835,18.503,18.637,3261720
#2013-05-28#,18.817,18.957,18.417,18.497,3194106
#2013-05-29#,18.393,18.497,18.077,18.29,3730971
#2013-05-30#,18.353,18.52,18.25,18.273,2885151
#2013-05-31#,18.253,18.547,18.17,18.197,4572327
#2013-06-03#,18.143,18.273,17.857,17.987,5482161
#2013-06-04#,18.76,19.93,18.58,19.867,16775679
#2013-06-05#,19.76,20.493,19.427,19.54,11623770
#2013-06-06#,19.6,19.99,19.45,19.913,6329682
#2013-06-07#,19.94,20.78,19.863,20.54,9734682
#2013-06-10#,20.613,20.773,20.437,20.733,3477489
#2013-06-11#,20.543,20.81,20.433,20.457,3013614
#2013-06-12#,20.587,20.83,20.563,20.633,3683145
#2013-06-13#,20.57,20.7,20.433,20.667,4354020
#2013-06-14#,20.557,20.98,19.57,19.753,8211714
#2013-06-17#,19.893,20.407,19.73,19.87,5653950
#2013-06-18#,19.997,20.117,19.723,19.877,3222993
#2013-06-19#,19.86,20.257,19.427,19.453,4533072
#2013-06-20#,19.253,19.31,18.633,18.68,4124967
#2013-06-21#,18.707,18.957,18.197,18.74,8866776
#2013-06-24#,18.687,19.067,18.507,18.94,5011734
#2013-06-25#,19.067,19.257,18.943,19.067,3175200
#2013-06-26#,19.173,19.443,19.13,19.25,2533299
#2013-06-27#,19.337,19.903,19.335,19.883,3677334
#2013-06-28#,20.03,20.607,19.947,20.277,8914674
#2013-07-01#,20.367,20.613,20.2,20.273,3995256
#2013-07-02#,20.097,20.253,19.953,20.133,3328593
#2013-07-03#,20.043,20.193,19.855,20.083,1603386
#2013-07-04#,20.043,20.193,19.855,20.083,1603386
#2013-07-05#,20.263,20.327,19.954,20.197,1429500
#2013-07-08#,20.377,20.44,20.095,20.207,2363208
#2013-07-09#,20.273,20.457,19.903,19.927,2805366
#2013-07-10#,19.873,20.04,19.717,19.867,3207237
#2013-07-11#,20.1,20.323,19.983,20.15,3198582
#2013-07-12#,20.183,20.33,19.81,19.953,3496488
#2013-07-15#,20.3,20.383,20.147,20.267,4697388
#2013-07-16#,20.3,20.347,20.123,20.21,3467370
#2013-07-17#,20.297,21.25,20.297,20.907,6580599
#2013-07-18#,21.253,21.253,20.767,21.087,3556149
#2013-07-19#,21.133,21.22,20.8,21.13,3225081
#2013-07-22#,21.32,21.61,21.26,21.543,4785183
#2013-07-23#,21.537,21.627,21.297,21.55,2884974
#2013-07-24#,21.55,21.613,20.797,21.077,3887166
#2013-07-25#,20.987,21.15,20.853,21.1,2097078
#2013-07-26#,20.893,21.06,20.663,20.96,1639224
#2013-07-29#,21.077,21.203,20.133,20.203,5609607
#2013-07-30#,20.313,20.533,20.05,20.09,6273294
#2013-07-31#,20.24,20.563,20.147,20.33,7337652
#2013-08-01#,20.473,20.987,20.473,20.84,3689397
#2013-08-02#,20.883,21.157,20.847,21.123,2377029
#2013-08-05#,21.147,21.203,20.813,21.147,1935906
#2013-08-06#,21.123,21.208,20.81,20.993,3132069
#2013-08-07#,20.93,21.122,20.81,20.82,4739973
#2013-08-08#,20.933,21.217,20.81,21.157,7055391
#2013-08-09#,21.333,22.04,21.213,21.233,13877352
#2013-08-12#,21.087,21.09,20.367,20.92,6068895
#2013-08-13#,21.05,21.179,20.54,20.6,3805950
#2013-08-14#,20.547,20.597,20.13,20.19,4101753
#2013-08-15#,20.01,20.06,19.51,19.527,4314198
#2013-08-16#,19.46,19.597,19.21,19.413,3414591
#2013-08-19#,19.413,19.777,19.33,19.703,3511092
#2013-08-20#,19.69,19.863,19.55,19.747,3203520
#2013-08-21#,19.723,19.927,19.617,19.663,3282081
#2013-08-22#,19.64,20.053,19.623,20.03,1584123
#2013-08-23#,20.11,20.387,19.767,19.867,4774845
#2013-08-26#,19.843,19.99,19.553,19.663,2749221
#2013-08-27#,19.43,19.523,19.303,19.327,2642277
#2013-08-28#,19.33,19.477,19.18,19.22,2393415
#2013-08-29#,19.143,19.297,18.977,18.993,2840277
#2013-08-30#,19.087,19.167,18.927,19.13,2820747
#2013-09-02#,19.087,19.167,18.927,19.13,2820747
#2013-09-03#,19.387,19.397,17.98,18.007,13668405
#2013-09-04#,17.917,18.89,17.843,18.683,8064786
#2013-09-05#,18.743,18.83,18.59,18.713,2988813
#2013-09-06#,18.823,18.823,18.373,18.417,3305874
#2013-09-09#,18.367,18.777,18.297,18.74,3689082
#2013-09-10#,18.847,18.847,18.597,18.677,3190197
#2013-09-11#,18.59,18.747,18.42,18.507,4422759
#2013-09-12#,18.447,18.477,18.297,18.367,2857893
#2013-09-13#,18.383,18.45,18.113,18.35,2988732
#2013-09-16#,18.603,18.863,18.497,18.583,2266380
#2013-09-17#,18.66,19.273,18.603,19.01,3408342
#2013-09-18#,19.013,19.39,18.83,19.345,3686784
#2013-09-19#,19.417,19.579,18.703,18.723,5655942
#2013-09-20#,18.547,18.673,17.95,18.633,17050395
#2013-09-23#,18.29,18.607,18.113,18.287,4534143
#2013-09-24#,18.427,18.527,18.193,18.247,2861883
#2013-09-25#,18.2,18.407,17.983,18.113,2468364
#2013-09-26#,18.133,18.3,17.687,17.857,3790998
#2013-09-27#,17.803,17.87,17.59,17.69,3113910
#2013-09-30#,17.633,17.66,17.283,17.417,5074011
#2013-10-01#,17.477,17.547,17.337,17.533,5010441
#2013-10-02#,17.323,17.417,17.237,17.407,6153489
#2013-10-03#,17.363,17.383,17.207,17.25,5434029
#2013-10-04#,17.27,17.48,17.17,17.29,5628696
#2013-10-07#,17.137,17.338,17.048,17.217,4380306
#2013-10-08#,17.173,18.217,17.087,17.863,11620926
#2013-10-09#,17.84,18.163,17.643,17.753,8443050
#2013-10-10#,17.873,17.963,17.643,17.95,2892429
#2013-10-11#,17.863,17.978,17.707,17.917,2865078
#2013-10-14#,17.783,18.465,17.757,18.377,4120992
#2013-10-15#,18.32,18.583,18.26,18.52,5265993
#2013-10-16#,18.613,18.947,18.56,18.823,4751835
#2013-10-17#,18.927,19.55,18.84,19.15,6910935
#2013-10-18#,19.317,19.53,19.067,19.24,5111577
#2013-10-21#,19.32,19.38,19.02,19.143,4234740
#2013-10-22#,19.16,19.36,19.123,19.193,2394930
#2013-10-23#,19.03,19.238,18.903,18.913,2947788
#2013-10-24#,18.947,19.202,18.81,19.12,5025693
#2013-10-25#,19.21,19.455,19.147,19.383,2447616
#2013-10-28#,19.647,19.667,19.38,19.5,3171792
#2013-10-29#,19.573,19.66,19.343,19.51,3132795
#2013-10-30#,19.44,19.64,19.167,19.333,2124159
#2013-10-31#,19.32,19.4,19.05,19.077,2937867
#2013-11-01#,19.183,19.233,18.817,18.897,3109503
#2013-11-04#,18.92,19.11,18.863,18.9,3358038
#2013-11-05#,18.937,19.393,18.833,19.173,3228117
#2013-11-06#,19.17,19.333,18.953,19.277,3577005
#2013-11-07#,19.25,19.283,19.01,19.037,5665653
#2013-11-08#,18.637,19.227,18.137,18.387,9997827
#2013-11-11#,18.393,18.673,18.352,18.6,4505370
#2013-11-12#,18.517,18.847,18.48,18.663,4954746
#2013-11-13#,18.633,19.05,18.547,19.03,3747552
#2013-11-14#,19.09,19.383,19.03,19.24,3196857
