"Date","Open","High","Low","Close","Volume"
#2014-01-01#,35.28,35.47,35.04,35.3,3072009
#2014-01-02#,35.25,35.33,34.72,34.91,3686485
#2014-01-03#,34.85,35.04,34.43,34.52,3491899
#2014-01-06#,34.62,34.78,34.4,34.43,4352107
#2014-01-07#,34.45,34.89,34.27,34.88,3889370
#2014-01-08#,34.72,34.75,34.08,34.4,5538115
#2014-01-09#,34.39,34.93,34.18,34.5,4378304
#2014-01-10#,34.54,34.68,34.27,34.64,5979003
#2014-01-13#,34.67,34.74,34.02,34.11,4603444
#2014-01-14#,34.19,34.6,34,34.56,5999455
#2014-01-15#,34.56,34.7,34,34.01,6925689
#2014-01-16#,34.01,34.3,33.98,34.17,3732865
#2014-01-17#,34.34,34.4,33.95,33.96,3687400
#2014-01-20#,34.34,34.4,33.95,33.96,3687400
#2014-01-21#,34.33,34.4,33.92,34.28,3863298
#2014-01-22#,34.36,34.49,34.14,34.4,4199191
#2014-01-23#,34.06,34.36,33.65,33.71,4617131
#2014-01-24#,33.51,33.53,32.97,33,4796426
#2014-01-27#,33,33.1625,32.65,32.92,3429224
#2014-01-28#,32.97,33.44,32.94,33.36,3856862
#2014-01-29#,33.16,33.39,32.93,33.04,4636062
#2014-01-30#,33.18,33.36,32.92,33.04,2969418
#2014-01-31#,32.68,32.88,32.4,32.79,6718393
#2014-02-03#,32.78,32.85,31.97,32.06,8982979
#2014-02-04#,32.23,32.41,31.875,32.34,10932959
#2014-02-05#,32.35,32.42,31.59,32.1,6537213
#2014-02-06#,31.68,32.95,31.57,31.81,9408513
#2014-02-07#,31.9,32.83,31.68,32.6,8263961
#2014-02-10#,32.49,32.49,32.05,32.27,5871382
#2014-02-11#,32.35,32.9,32.3,32.7,6144524
#2014-02-12#,32.95,33.35,32.85,33.29,5216350
#2014-02-13#,33.02,33.42,32.72,33.27,6756007
#2014-02-14#,33.03,33.43,32.87,33.22,6103249
#2014-02-17#,33.03,33.43,32.87,33.22,6103249
#2014-02-18#,33.28,33.6,33.11,33.54,7382423
#2014-02-19#,33.38,34.05,33.3,33.34,6145067
#2014-02-20#,33.34,33.695,33.27,33.48,4224744
#2014-02-21#,33.575,33.58,33.24,33.26,7255077
#2014-02-24#,33.49,34.33,33.48,33.89,6836305
#2014-02-25#,33.93,34.175,33.75,34.03,5396215
