"Date","Open","High","Low","Close","Volume"
#2010-01-01#,31.6582,32.1906,31.4125,31.7811,2765612
#2010-01-04#,32.2725,32.8459,32.2316,32.6411,4338998
#2010-01-05#,32.5592,33.8288,31.6173,32.1906,10894786
#2010-01-06#,32.764,32.9278,32.2725,32.6411,7009152
#2010-01-07#,32.805,33.5421,32.6411,33.2964,7806367
#2010-01-08#,33.1326,33.2555,31.6582,31.7811,10739099
#2010-01-11#,32.2725,32.2725,31.4125,31.4534,5988002
#2010-01-12#,31.2896,31.3306,30.061,30.3067,6188196
#2010-01-13#,30.3477,31.3306,30.3477,31.1258,4693997
#2010-01-14#,30.962,32.0063,30.921,31.5763,6552398
#2010-01-15#,31.5354,31.6582,30.8391,31.0439,5626308
#2010-01-18#,31.5354,31.6582,30.8391,31.0439,5626308
#2010-01-19#,31.0439,31.4944,30.5115,31.2896,3896074
#2010-01-20#,30.962,30.962,30.2657,30.6343,4073869
#2010-01-21#,30.8391,31.0439,29.9791,30.1838,5752462
#2010-01-22#,29.8972,30.4705,29.3238,29.5286,6074186
#2010-01-25#,30.1019,30.4705,29.3647,29.4057,5135985
#2010-01-26#,29.5286,29.9381,29.2419,29.4466,4292020
#2010-01-27#,29.4876,30.45,29.3443,30.3067,6680302
#2010-01-28#,27.2351,27.9313,25.9245,26.5388,18999629
#2010-01-29#,26.3341,26.375,24.7368,25.1873,14909804
#2010-02-01#,25.515,26.0064,25.2283,25.9245,9808090
#2010-02-02#,26.0883,27.0303,25.6378,26.8255,9103489
#2010-02-03#,26.7846,27.9313,26.6208,27.3989,10790038
#2010-02-04#,26.9893,27.0303,25.7607,25.8836,10239537
#2010-02-05#,26.5798,26.6208,25.9245,26.2112,8998175
#2010-02-08#,27.1122,27.4399,26.6617,26.9074,6370001
#2010-02-09#,27.2351,27.5218,26.5798,26.7846,5008181
#2010-02-10#,26.8255,27.3989,26.7436,27.1532,4719820
#2010-02-11#,27.0303,27.317,26.9074,27.2351,4291555
#2010-02-12#,27.8904,29.8562,27.6446,29.2828,12822578
#2010-02-15#,27.8904,29.8562,27.6446,29.2828,12822578
#2010-02-16#,29.8562,30.061,29.2828,29.7333,5675941
#2010-02-17#,29.8152,29.8972,28.6275,29.119,5404348
#2010-02-18#,29.0371,29.119,28.5866,28.7095,3721432
#2010-02-19#,28.6275,28.9552,28.4637,28.7095,2517391
#2010-02-22#,28.7914,28.8733,28.0132,28.1361,4107676
#2010-02-23#,28.0951,28.1361,27.6446,27.7675,3239286
#2010-02-24#,27.8904,28.0132,27.6037,27.8084,2914334
#2010-02-25#,27.3989,28.1361,27.0713,28.0542,3811059
#2010-02-26#,27.6446,28.0542,27.4399,27.6856,3663470
#2010-03-01#,27.7675,27.8904,27.0713,27.6037,2773470
#2010-03-02#,27.7265,27.9313,27.276,27.8904,3662657
#2010-03-03#,27.9313,28.6685,27.9313,28.1361,3054890
#2010-03-04#,28.259,28.259,27.5627,27.8494,2614484
#2010-03-05#,28.0542,28.6685,27.8904,28.4637,3119500
#2010-03-08#,28.5866,28.5866,28.0951,28.2999,2332740
#2010-03-09#,27.9723,28.7914,27.8904,28.5456,3892200
#2010-03-10#,28.4228,29.4466,28.4228,29.119,3041127
#2010-03-11#,28.9961,29.3238,28.7095,28.7914,2772397
#2010-03-12#,28.7504,29.0781,28.4637,28.7095,2125081
#2010-03-15#,28.5866,28.8733,28.0951,28.7914,3136380
#2010-03-16#,28.7504,30.3477,28.7504,30.2248,5696704
#2010-03-17#,30.3477,30.3886,29.5286,29.7743,3216739
#2010-03-18#,29.6924,30.3067,29.5695,30.1019,2278572
#2010-03-19#,30.2248,30.3886,29.0781,29.4057,3351550
#2010-03-22#,29.16,30.02,29.119,29.7333,2128700
#2010-03-23#,29.9381,30.3477,29.7743,30.1019,2461940
#2010-03-24#,30.02,30.1429,29.6514,29.6924,1869205
#2010-03-25#,30.1019,30.7572,29.6105,29.6514,4337570
#2010-03-26#,29.5286,30.1019,29.2828,29.3647,3742388
#2010-03-29#,29.5695,29.8562,29.4057,29.6105,1799699
#2010-03-30#,29.6105,29.8972,29.2009,29.4876,1893735
#2010-03-31#,29.2419,29.5286,28.7095,28.7504,2635121
#2010-04-01#,29.0781,29.4466,28.6685,28.9142,3554229
#2010-04-02#,29.0781,29.4466,28.6685,28.9142,3554229
#2010-04-05#,28.9552,29.4057,28.5866,29.3238,3208361
#2010-04-06#,29.0371,30.1838,28.9961,29.8152,3811966
#2010-04-07#,29.6514,29.8972,29.4876,29.6105,2213245
#2010-04-08#,29.4876,30.5115,29.2828,30.4296,3990307
#2010-04-09#,30.3886,30.4296,30.061,30.2657,2133666
#2010-04-12#,30.1838,30.7572,30.061,30.3886,4071869
#2010-04-13#,30.3067,30.6958,30.02,30.3477,3347954
#2010-04-14#,30.6343,31.7401,30.5524,31.4125,4472881
#2010-04-15#,31.1668,31.7401,31.0029,31.0848,3922511
#2010-04-16#,30.8391,30.8801,29.4057,29.9381,6085804
#2010-04-19#,29.7743,30.4705,29.6924,30.2657,2537680
#2010-04-20#,30.3477,30.5524,29.8972,30.3886,2855147
#2010-04-21#,30.2657,30.3067,29.7743,30.061,2465269
#2010-04-22#,29.4466,29.4876,28.5866,28.9961,7090241
#2010-04-23#,29.0781,29.8562,28.9142,29.0371,4818509
#2010-04-26#,29.2419,29.4876,28.7914,29.3238,3006711
#2010-04-27#,29.0371,29.2419,28.177,28.2999,4346097
#2010-04-28#,27.9723,28.5047,27.6037,28.3409,7357033
#2010-04-29#,30.4296,30.7572,29.0371,29.3238,8262685
#2010-04-30#,29.3238,29.5695,28.5866,28.9552,5190572
#2010-05-03#,29.3647,29.4466,28.5047,29.0781,3776720
#2010-05-04#,28.8733,29.119,28.2999,28.5047,4435667
#2010-05-05#,28.4228,28.7095,27.8494,28.1361,4577582
#2010-05-06#,28.0542,28.6275,25.5969,27.3579,6602971
#2010-05-07#,27.1941,27.6856,26.5388,27.0303,6765525
#2010-05-10#,28.1361,28.5456,27.8904,28.4228,3993937
#2010-05-11#,28.218,29.16,28.1361,28.6275,5243638
#2010-05-12#,28.6275,29.0781,28.5047,28.5866,3963977
#2010-05-13#,28.3818,28.5047,27.8904,28.0132,4523202
#2010-05-14#,27.9313,27.9723,27.3989,27.8084,4979348
#2010-05-17#,27.6446,28.1361,27.5627,28.0542,3312614
#2010-05-18#,28.3818,28.5456,27.6446,27.7675,3975058
#2010-05-19#,27.7265,28.259,27.4808,27.8904,4437160
#2010-05-20#,27.317,28.1361,27.0713,27.4399,6045665
#2010-05-21#,27.0713,28.259,26.9074,28.0132,4649747
#2010-05-24#,27.6037,28.0542,27.4808,27.5627,2410307
#2010-05-25#,27.0713,27.6856,26.6617,27.6446,3685588
#2010-05-26#,27.5218,28.5047,27.4399,27.6856,4129755
#2010-05-27#,28.218,28.3818,28.0132,28.3409,2712173
#2010-05-28#,28.2999,28.4228,27.8084,28.0542,2457490
